UCL_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL112003,114,270,67,135,102,53,12,19,0,774,134,167,97,219,144,54,20,53,7,909,278,179,892,413,289,159,175,265,33,2685,12,12,17,24,24,16,12,29,0,144,40,38,16,53,66,34,17,43,0,303,9,39,9,8,23,7,3,9,0,120,20,42,18,31,26,20,28,38,16,241,1186,3296,1274,1277,1046,477,307,571,117,9550
UCL112004,91,174,45,68,58,50,11,25,4,523,94,99,61,119,81,49,11,22,6,548,239,101,728,183,166,124,88,176,23,1820,16,3,11,15,33,14,9,9,0,111,38,22,25,50,54,25,11,20,7,256,13,21,3,12,7,4,0,3,0,65,23,33,14,21,31,20,12,28,10,194,964,1957,977,622,638,399,155,314,80,6102
UCL112005,50,69,25,30,26,13,3,5,3,229,59,59,31,131,57,46,19,17,3,420,161,99,889,341,236,149,394,235,39,2535,19,10,13,26,28,49,16,34,0,190,21,10,11,44,48,22,16,30,0,196,5,3,3,8,6,3,6,3,0,38,16,19,16,36,13,22,23,38,19,192,449,739,1014,661,457,334,485,377,71,4578
UCL112006,132,250,51,149,154,54,20,24,6,846,200,247,102,312,293,119,29,70,17,1395,500,241,1628,726,617,432,288,483,64,4984,19,13,23,54,103,86,13,66,6,391,52,34,27,107,123,64,28,69,8,513,6,24,5,21,30,9,3,15,0,127,34,38,37,55,57,45,27,57,31,384,1454,3488,1993,1733,1740,929,432,867,175,12801
UCL112007,82,139,43,115,81,35,5,26,8,532,144,159,62,297,174,64,12,43,16,979,438,196,1420,596,561,339,279,362,60,4242,22,11,19,45,64,57,11,47,3,282,37,15,20,76,107,46,20,34,3,356,8,31,9,13,20,15,3,13,0,112,28,38,32,43,38,41,23,52,31,317,1151,2628,1702,1464,1278,739,379,742,141,10224
UCL112008,64,110,28,82,47,17,3,7,9,367,102,109,46,211,114,48,12,23,5,683,253,95,799,481,267,167,244,232,39,2571,8,5,19,41,44,29,7,28,0,171,25,18,15,52,64,24,14,24,3,235,7,5,0,8,14,4,3,3,0,47,15,21,16,40,27,28,26,34,14,230,648,1253,980,1083,667,364,326,387,89,5793
UCL112009,29,114,31,91,55,27,9,12,3,379,73,95,59,186,120,43,12,32,6,633,227,127,947,468,368,226,182,314,28,2885,9,10,12,45,44,51,22,50,5,251,18,16,16,49,79,45,18,42,3,299,6,10,10,5,19,11,4,8,0,79,16,27,15,17,35,20,13,45,18,193,612,1991,1192,1116,946,493,270,568,85,7273
UCL112010,7,20,4,12,5,3,0,3,0,53,8,14,9,18,14,7,0,0,0,73,35,16,116,27,23,18,23,21,5,290,0,0,0,0,6,8,0,4,0,19,9,3,0,3,4,3,0,0,0,20,0,0,0,0,3,0,0,0,0,7,4,0,5,3,0,3,0,5,0,23,93,156,142,81,65,42,27,42,5,648
UCL112011,73,124,51,100,60,15,12,19,5,463,122,126,123,232,141,41,27,46,13,854,272,178,1227,576,347,240,189,329,43,3395,22,4,13,51,46,37,14,45,0,232,19,22,29,86,62,42,17,38,0,318,3,13,10,16,18,14,6,10,0,82,19,26,27,45,28,46,31,50,33,298,735,1582,1552,1268,836,477,296,587,102,7426
UCL112012,92,193,43,111,112,45,10,22,4,641,147,168,107,269,210,60,20,43,3,1026,403,187,1492,558,500,288,348,343,37,4159,24,6,22,32,64,64,12,33,6,258,32,23,25,65,123,46,20,42,8,389,12,35,7,22,17,13,9,20,0,121,24,26,34,62,38,39,32,65,23,342,1221,3210,1855,1352,1344,655,496,632,122,10881
UCL112013,152,284,55,133,176,56,10,30,7,901,162,220,111,318,258,124,17,43,19,1260,465,239,1527,657,588,371,213,386,40,4483,12,14,18,48,63,68,10,42,0,278,48,32,27,100,122,83,23,51,3,492,11,29,11,15,34,14,0,9,3,128,32,41,51,53,40,46,22,48,33,365,1364,3566,1893,1574,1555,834,316,653,131,11893
UCL112014,77,186,36,83,67,27,21,21,7,533,117,162,61,233,143,44,16,58,10,838,329,203,1284,504,425,254,258,370,50,3668,22,12,15,40,71,52,20,55,0,288,23,20,32,75,89,47,25,54,4,376,11,11,6,17,17,16,5,42,3,134,31,32,42,49,41,35,33,96,35,392,901,2397,1544,1153,1005,551,387,809,115,8875
UCL112015,124,237,78,154,124,28,19,30,8,800,193,246,113,356,234,76,19,48,9,1299,603,313,2127,800,758,458,328,480,65,5934,27,20,31,52,102,69,31,57,3,387,46,38,48,101,158,61,38,56,5,545,10,34,21,13,33,11,10,20,0,153,40,49,38,47,51,49,42,72,24,411,1739,4242,2674,1848,1820,895,513,890,155,14780
UCL113001,28,83,21,47,32,16,5,11,4,249,50,53,37,112,55,31,8,16,3,368,166,93,545,245,152,104,82,172,25,1574,9,5,5,15,34,21,3,23,3,113,17,16,13,33,39,34,11,19,0,188,3,9,7,11,9,5,0,0,0,43,11,16,14,24,12,22,17,34,17,164,443,1092,680,609,434,267,124,310,68,4022
UCL113002,19,38,18,16,16,16,0,3,4,136,30,31,14,47,40,11,0,6,7,183,120,43,321,177,84,118,62,85,18,1021,6,6,8,15,21,14,5,10,0,73,22,9,8,27,23,26,3,15,0,131,4,5,3,3,8,4,3,0,0,25,10,14,19,13,8,17,4,24,17,117,281,407,402,337,248,219,83,150,53,2179
UCL113003,30,68,9,50,29,13,5,0,5,202,48,62,32,119,58,23,4,15,3,373,138,108,724,329,222,84,214,121,24,1964,9,9,4,28,30,10,9,21,0,128,13,16,8,43,41,14,14,14,0,163,5,5,4,8,6,3,3,4,0,40,17,20,14,27,30,19,22,33,10,195,394,997,810,691,458,192,282,218,58,4100
UCL113004,20,27,13,19,14,8,0,12,0,102,19,29,16,29,21,6,3,8,0,126,86,23,221,58,47,52,43,64,7,599,0,0,0,3,5,4,0,9,0,32,8,4,5,15,3,3,0,9,0,52,3,0,0,4,0,3,0,3,0,9,9,9,9,10,6,6,4,7,0,62,245,362,263,173,121,97,53,122,7,1446
UCL113005,35,73,18,51,47,26,3,9,3,266,57,66,41,107,44,30,5,18,8,375,182,102,541,249,162,167,82,181,25,1690,18,11,7,19,30,33,3,21,0,136,15,16,7,46,34,19,12,24,5,177,3,4,5,5,11,3,0,9,0,43,10,13,11,29,20,38,11,36,15,191,433,947,653,569,404,346,128,307,66,3852
UCL113006,19,62,23,46,27,5,3,3,0,196,35,55,17,110,56,38,4,14,3,336,132,86,489,366,223,119,115,144,15,1686,3,8,11,25,24,20,3,17,0,114,17,12,10,33,23,27,7,29,3,163,3,6,3,3,8,3,3,5,0,36,14,20,8,18,20,20,19,22,11,158,324,797,577,661,463,268,163,256,42,3536
UCL113007,43,67,25,44,41,23,4,26,6,270,67,71,33,122,69,31,7,45,3,449,278,84,761,220,233,147,145,228,28,2123,10,8,3,11,29,22,10,22,0,114,12,7,10,37,44,36,14,31,0,187,10,8,6,9,8,3,6,25,0,70,19,21,19,28,29,24,18,77,26,251,623,1083,908,556,535,297,222,577,81,4875
UCL113008,15,23,4,26,8,3,0,0,0,74,12,33,5,47,20,16,4,11,3,151,70,45,241,209,83,70,58,105,17,903,4,0,9,18,12,16,11,16,0,91,3,10,0,35,15,13,3,13,0,94,0,3,0,0,6,0,0,4,0,21,3,6,13,17,11,7,4,18,11,98,145,339,284,385,188,129,90,179,35,1774
UCL113009,63,102,36,58,46,20,3,7,4,332,78,84,65,93,75,27,15,10,5,449,158,70,580,169,171,89,119,93,16,1453,9,3,3,6,17,20,4,8,0,72,15,14,13,19,42,19,7,11,0,137,8,14,3,3,5,0,0,0,0,37,6,17,8,17,8,11,0,7,8,83,614,1378,754,486,503,215,163,156,63,4341
UCL113010,21,47,18,30,22,11,3,12,3,165,40,47,36,91,41,26,17,22,7,327,132,106,841,279,256,114,302,189,27,2238,5,11,16,27,18,21,18,23,0,137,13,13,9,26,32,12,24,29,0,158,5,3,6,0,11,3,3,5,0,35,3,9,13,19,9,12,23,35,11,139,264,554,958,513,441,211,405,329,56,3717
UCL113011,20,35,12,29,20,7,6,6,0,137,27,31,39,62,43,11,8,11,0,226,84,48,464,190,143,65,182,120,12,1295,4,4,10,16,14,13,7,21,0,90,3,9,15,19,23,9,13,14,0,98,0,3,5,3,5,3,4,3,0,26,5,7,10,9,7,10,15,18,14,97,206,457,572,349,309,132,232,197,33,2492
UCL113012,42,105,26,67,62,21,10,3,5,339,72,90,53,128,89,42,20,28,7,522,149,99,797,263,211,140,164,197,32,2059,7,3,6,14,26,17,9,23,0,114,25,19,15,32,52,19,10,29,3,201,0,6,9,3,18,8,3,3,0,54,6,14,24,10,19,13,20,20,19,144,480,1295,992,608,585,289,238,346,91,4916
UCL113013,33,43,18,33,17,12,6,0,0,167,29,35,27,65,37,23,8,18,0,249,128,48,559,145,123,77,239,108,14,1442,8,4,0,8,19,20,8,15,0,89,16,11,8,25,21,12,13,12,0,109,3,0,3,3,4,4,7,4,0,35,20,8,18,5,17,20,19,9,7,133,340,647,679,335,295,190,315,186,32,3020
UCL113014,22,44,22,26,12,9,5,0,0,134,24,24,40,41,30,20,18,5,3,204,77,41,594,127,123,53,275,82,9,1386,3,0,3,16,12,11,0,25,0,81,0,4,8,11,25,9,13,5,0,80,3,0,5,3,6,0,3,7,0,29,0,3,13,6,6,10,13,14,3,76,186,446,727,275,248,121,343,147,26,2520
UCL113015,47,80,20,52,51,15,0,11,3,290,66,76,53,90,69,22,4,20,3,407,146,80,534,199,147,102,76,126,28,1451,14,7,5,19,15,11,0,15,0,83,19,16,12,20,22,18,4,12,3,134,6,5,3,3,7,4,3,3,0,34,10,10,11,16,11,7,4,24,10,103,492,873,686,469,429,224,108,248,56,3591
UCL113016,14,37,17,24,23,3,5,5,0,124,41,50,26,89,65,15,6,12,5,308,100,78,638,214,182,97,162,146,14,1633,6,0,7,19,26,24,17,23,0,112,3,9,7,27,38,12,3,9,0,114,3,11,0,7,3,0,0,9,0,36,4,8,0,17,9,6,17,20,3,89,237,501,710,424,384,170,211,241,33,2913
UCL113017,19,52,28,25,35,6,13,3,3,190,34,49,56,76,50,15,29,9,0,322,139,74,750,197,187,100,418,126,40,2029,9,3,11,23,33,17,21,13,0,125,13,4,11,19,36,13,31,9,4,139,0,6,0,6,7,5,5,3,0,39,10,6,10,14,15,8,13,17,6,103,365,693,899,400,407,179,557,206,59,3772
UCL113018,20,31,16,23,18,10,4,4,0,128,20,30,17,78,24,14,0,5,5,200,89,62,362,188,96,64,60,98,16,1036,0,0,6,14,16,11,6,10,0,71,7,6,6,29,17,14,7,16,0,106,0,3,3,0,4,5,3,8,0,21,3,3,8,5,0,10,9,12,15,67,183,338,437,379,214,145,87,153,48,1971
UCL113019,29,66,16,41,26,16,5,16,0,207,32,62,24,123,49,36,12,15,0,351,166,82,485,277,163,160,111,184,16,1640,8,5,8,11,30,43,11,25,0,149,22,13,18,42,34,29,13,27,0,191,3,15,0,8,10,9,3,3,3,53,13,9,13,32,17,23,18,30,7,165,327,815,580,587,370,329,167,313,38,3534
UCL113020,32,71,8,34,24,12,3,4,7,195,36,39,18,73,43,24,0,16,3,256,153,52,515,172,117,99,73,113,7,1305,12,9,3,18,24,15,3,10,0,94,10,3,11,26,27,21,11,18,0,130,4,8,3,8,9,3,3,3,0,39,14,14,8,24,17,19,7,12,8,122,361,660,593,419,304,229,98,195,34,2889
UCL114001,8,40,4,13,19,9,0,7,6,103,19,27,15,44,33,12,3,0,3,142,44,34,171,69,55,26,32,36,0,467,0,0,3,3,9,5,0,6,0,32,0,3,3,8,16,7,0,5,0,45,0,0,0,0,3,0,3,3,0,15,0,0,0,3,3,3,0,4,7,27,140,403,225,180,181,64,46,72,23,1320
UCL114002,18,36,10,24,12,5,4,5,0,106,25,18,19,31,26,19,0,3,0,129,72,35,246,77,57,38,50,71,6,661,3,0,3,3,3,7,0,3,0,25,5,3,6,4,11,8,3,6,0,47,0,0,0,0,3,0,0,0,0,10,4,11,0,5,3,4,0,8,0,46,189,315,307,195,142,89,68,95,10,1415
UCL114003,51,55,24,39,25,16,3,10,4,230,44,60,17,55,36,20,3,22,0,269,90,35,288,111,50,67,39,77,10,773,5,4,0,11,14,8,0,7,0,51,14,0,11,17,15,16,3,14,0,98,4,7,4,3,0,3,0,4,0,26,18,18,12,10,5,22,5,11,7,116,488,956,424,392,245,210,66,214,49,3046
UCL114004,7,28,4,11,13,6,3,3,0,78,7,14,7,23,10,6,0,5,0,77,59,25,203,101,43,45,36,90,15,613,0,3,3,9,10,6,0,3,0,41,7,5,6,15,11,14,4,9,0,68,0,3,3,0,3,0,0,0,0,12,0,5,11,9,4,3,7,3,4,52,108,260,245,196,102,96,51,122,27,1213
UCL114005,4,18,0,12,10,3,3,7,0,66,18,15,8,42,14,8,0,11,3,118,59,44,256,147,105,63,62,173,10,915,6,0,6,8,11,15,9,30,0,89,3,12,3,17,14,10,4,16,0,79,0,4,0,0,3,0,3,7,0,19,4,6,7,17,11,10,9,25,9,98,117,287,292,266,194,114,91,275,30,1672
UCL114006,13,20,9,25,15,10,0,3,3,93,20,25,13,39,31,14,4,3,3,154,87,35,234,96,83,52,61,84,3,733,7,0,3,12,11,12,3,9,0,45,8,3,3,14,10,6,5,3,0,59,0,5,6,3,4,3,0,3,0,17,16,7,8,13,13,13,3,14,5,93,223,411,289,232,203,117,76,126,29,1698
UCL114007,3,25,3,15,9,3,0,5,0,68,13,12,9,44,24,7,3,0,0,120,58,35,180,78,70,32,54,83,3,586,6,4,5,4,12,5,3,10,0,46,10,9,0,13,10,9,6,7,0,62,0,0,0,4,0,0,0,3,0,9,3,6,6,4,4,16,9,14,3,59,117,256,214,184,144,75,68,126,12,1201
UCL114008,11,24,10,18,11,7,3,0,0,72,19,14,11,31,12,6,6,18,0,104,62,14,216,75,52,35,48,115,16,629,5,0,0,5,14,3,0,9,0,42,3,4,0,18,15,9,0,11,0,61,4,0,0,0,0,0,3,0,0,8,12,5,12,10,7,6,17,22,0,85,155,238,254,170,111,73,74,181,17,1286
UCL114009,19,33,9,15,10,3,0,6,0,104,15,19,5,50,22,12,3,7,0,132,83,46,269,118,77,69,54,101,20,834,3,3,3,13,9,19,3,9,0,61,7,11,6,23,13,12,3,14,0,90,0,0,3,3,3,0,3,4,0,13,7,5,11,18,6,10,6,12,8,96,177,383,312,272,169,134,70,160,30,1707
UCL114010,14,31,3,19,13,3,4,4,0,93,16,24,11,69,23,4,7,4,0,162,77,29,249,91,79,40,69,102,10,745,9,3,3,9,15,6,5,12,0,55,3,8,3,17,17,15,3,11,0,74,0,0,3,0,0,0,0,10,0,15,4,10,12,18,11,12,17,28,8,114,189,391,294,253,184,98,98,188,29,1706
UCL114011,19,34,9,23,12,7,3,8,0,108,23,16,14,39,17,3,4,3,3,126,70,40,260,83,87,59,58,77,16,756,5,0,4,6,6,13,0,6,0,42,4,6,3,11,28,6,11,6,0,83,0,3,0,3,7,3,3,3,3,17,14,4,9,10,9,9,7,7,9,84,191,391,308,197,180,112,88,122,31,1627
UCL114012,9,19,4,19,8,7,0,0,0,61,13,19,3,26,29,3,6,8,3,107,54,25,134,76,54,31,33,53,10,463,0,4,0,11,5,7,3,15,0,37,3,3,9,15,12,3,10,8,0,64,0,3,0,0,3,3,0,0,0,16,4,3,9,7,4,3,3,8,5,48,112,219,165,164,129,70,52,98,21,1038
UCL114013,22,30,13,19,9,4,0,0,0,94,20,34,17,51,28,3,9,3,11,176,84,36,293,95,81,53,163,61,15,885,7,3,3,9,14,8,9,8,0,68,12,7,10,18,26,17,15,9,0,107,0,0,3,0,3,3,4,0,0,17,12,6,24,10,6,15,23,15,3,114,239,420,370,237,198,119,235,115,34,1970
UCL114014,30,43,20,25,27,12,4,8,0,166,39,39,17,59,41,28,5,6,5,241,73,49,380,85,101,45,92,67,12,903,0,0,3,4,13,8,3,3,0,34,8,8,11,13,37,6,3,3,0,95,10,3,3,5,3,5,0,3,0,31,5,8,8,9,19,4,9,11,3,71,281,623,459,269,313,133,114,106,32,2328
UCL114015,12,33,3,34,12,3,0,4,3,110,28,33,9,46,28,13,8,12,3,176,101,49,341,158,71,79,59,138,3,1010,7,0,3,7,7,13,0,17,0,62,4,5,3,18,13,12,4,22,0,83,0,3,3,3,0,3,0,3,0,16,11,7,18,20,16,5,14,33,24,138,203,459,393,322,177,138,86,263,38,2073
UCL114016,11,20,13,11,12,4,0,3,3,84,19,14,11,29,20,3,4,7,3,117,96,32,279,70,98,34,69,103,19,812,6,3,9,6,13,10,3,16,0,59,4,7,3,7,25,6,3,13,0,70,0,0,7,0,6,0,0,10,0,23,9,11,6,13,12,12,17,20,4,99,214,385,350,166,202,74,97,204,37,1730
UCL114017,29,44,21,29,20,7,4,10,4,157,29,34,16,51,34,17,5,11,3,191,84,34,243,72,63,41,23,44,12,610,0,0,0,8,9,4,0,3,0,25,8,4,6,16,13,14,3,8,0,70,4,18,7,4,8,3,0,0,0,41,0,9,3,8,13,7,0,0,3,50,308,859,312,267,222,135,39,97,35,2268
UCL114018,28,69,42,27,44,11,4,3,3,231,56,60,54,78,62,25,16,12,11,370,136,77,530,183,165,64,120,83,11,1372,5,3,6,19,22,11,9,12,0,76,13,3,5,30,20,8,6,13,0,89,3,4,7,3,3,5,4,3,3,36,0,10,9,14,12,14,5,13,10,90,328,576,668,391,393,149,162,143,45,2862
UCL114019,29,29,11,23,18,13,3,3,3,132,24,18,16,41,25,14,3,10,4,159,96,33,286,97,60,82,28,85,11,792,3,3,3,3,13,17,0,3,0,50,11,4,5,18,20,14,7,8,0,85,3,0,0,0,4,0,0,0,0,15,11,8,13,14,3,8,0,16,3,80,260,422,358,256,200,172,41,138,26,1883
UCL114020,20,21,13,24,12,7,0,3,0,110,23,24,16,50,23,14,3,3,0,159,71,38,285,94,71,47,55,59,7,729,8,3,4,13,13,6,0,7,0,54,3,8,3,14,12,11,3,7,3,64,3,4,0,0,3,0,0,0,0,11,14,11,13,13,13,8,6,7,13,95,220,446,337,245,187,101,78,101,28,1734
UCL114021,20,40,15,25,20,13,4,4,0,147,38,25,21,51,36,13,7,5,3,202,89,42,382,105,88,58,80,107,11,959,4,3,3,8,17,4,0,9,3,53,16,10,4,20,24,13,7,9,0,102,4,0,3,5,8,0,0,4,3,34,5,5,12,12,10,8,9,15,9,88,250,505,469,299,260,139,133,168,35,2267
UCL114022,22,35,8,29,19,3,3,5,0,133,22,33,19,58,46,16,7,11,3,220,78,46,333,124,83,67,82,115,20,954,7,6,6,13,11,12,0,12,0,61,19,10,0,21,21,5,5,9,0,94,0,8,3,3,7,3,0,0,0,21,4,12,10,15,6,13,9,16,4,95,211,479,405,309,259,149,118,183,29,2146
UCL114023,11,24,8,12,9,4,0,0,0,66,17,22,5,43,14,7,4,4,0,113,45,27,152,90,42,29,27,56,11,487,0,0,0,3,5,3,0,9,0,21,5,3,3,10,9,8,3,10,0,55,0,3,0,0,0,0,0,0,0,10,3,0,3,7,4,4,4,12,8,62,108,218,182,187,97,65,39,102,31,1031
