UCL_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL121075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,4,3,0,0,3,0,0,3,5,3,0,0,0,0,10,3,8,0,0,0,0,9,0,8,0,0,3,0,14,8,5,0,0,0,0,9,3,5,0,0,0,0,6,3,3,0,0,0,0,7,0,4,0,0,0,0,8,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,29,42,8,4,5,0,88
UCL121076,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,3,0,0,0,0,4,0,3,3,3,0,0,8,0,3,3,0,0,0,9,0,7,0,3,3,0,6,0,0,0,0,0,0,5,3,4,3,4,0,0,14,3,4,0,0,0,0,8,0,8,0,0,0,0,13,3,3,3,0,0,0,6,0,0,0,0,0,0,0,3,9,0,0,0,0,13,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,9,25,56,25,8,10,0,119
UCL121077,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,3,0,3,0,0,0,4,0,3,0,0,0,0,9,3,3,0,0,0,0,9,0,0,0,0,0,0,3,3,5,0,0,0,0,12,5,4,0,0,0,0,10,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,14,8,3,0,69
UCL121078,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,3,0,0,0,0,3,3,3,0,0,0,0,14,3,3,0,0,0,0,11,5,12,0,0,3,0,23,0,3,0,0,0,0,7,0,0,0,0,0,0,3,0,11,0,0,0,0,8,0,3,5,0,0,0,8,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,54,11,3,4,0,100
UCL121079,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,0,5,0,3,0,0,0,0,3,0,8,0,0,0,0,6,3,0,0,0,0,0,3,0,3,0,0,0,0,11,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,8,3,0,0,0,13,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,35,13,5,3,0,63
UCL121080,0,0,3,0,0,0,3,0,0,0,0,0,0,5,4,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,4,8,3,0,0,3,0,12,0,3,0,0,0,0,4,4,3,0,3,0,0,12,3,0,3,0,0,0,11,0,5,3,0,0,0,8,0,0,0,0,0,0,3,0,6,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,37,35,19,5,5,0,98
UCL121081,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,0,0,0,0,12,4,3,3,0,0,0,10,5,8,0,0,0,3,13,4,6,3,0,0,0,13,0,8,0,0,0,0,10,3,3,0,0,0,0,7,3,0,3,4,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,7,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,35,37,15,7,3,4,98
UCL121082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,5,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,0,3,0,4,0,0,0,0,0,3,4,0,0,0,0,7,0,8,3,0,0,0,7,6,12,0,0,3,0,20,0,3,0,0,0,0,7,0,3,0,0,0,0,6,0,5,3,0,0,0,13,8,10,0,0,0,0,21,0,3,3,0,0,0,10,0,0,0,0,0,0,3,0,3,0,0,0,0,3,26,59,19,3,4,0,119
UCL121083,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,4,4,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,6,0,3,0,0,0,0,3,4,17,0,0,0,0,23,8,12,0,0,0,0,17,3,4,0,0,0,0,12,0,12,0,0,0,0,12,5,9,3,0,0,0,19,0,3,0,0,0,0,9,0,3,0,0,0,0,3,0,5,0,0,0,0,3,35,82,11,3,0,0,129
UCL121084,6,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,0,7,0,4,0,0,0,0,3,3,3,3,0,0,0,17,0,5,7,0,0,0,7,3,6,0,0,0,0,13,0,3,0,0,0,0,5,3,3,0,0,0,0,9,0,0,0,0,0,0,3,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,10,6,3,0,74
UCL121085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,6,3,3,0,0,0,0,9,3,0,0,0,3,0,7,0,4,0,0,0,0,9,4,5,0,0,0,0,9,0,5,0,0,0,0,12,0,3,0,0,0,0,6,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,22,28,9,9,5,0,71
UCL121086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,3,7,0,0,15,4,14,0,0,0,0,21,3,6,3,0,0,0,19,3,0,3,3,0,0,13,3,0,3,0,0,0,13,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,32,31,16,15,8,0,106
UCL121087,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,3,0,0,0,0,9,0,0,0,0,0,0,6,4,0,3,0,0,0,4,0,8,0,0,0,0,9,3,6,0,0,0,0,10,3,8,0,3,0,0,12,0,5,0,0,0,0,5,0,0,0,0,0,0,3,3,3,3,0,0,0,15,3,5,6,0,0,0,15,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,7,25,43,24,8,7,0,113
UCL121088,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,5,0,0,0,0,11,4,6,0,0,0,0,14,4,5,0,0,0,0,10,0,11,0,0,0,0,11,3,11,0,0,0,0,16,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,20,61,5,8,0,0,95
UCL121089,4,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,0,0,0,0,9,0,4,0,0,0,0,7,7,0,4,0,0,0,11,3,4,3,4,0,0,12,0,4,0,0,0,0,12,0,3,0,0,0,0,5,4,7,7,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,3,5,3,0,0,17,5,6,0,0,0,0,13,3,5,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,4,38,57,33,9,4,0,139
UCL121090,3,3,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,6,0,0,0,0,3,5,0,3,0,0,0,11,0,0,3,0,0,0,5,0,0,0,0,0,0,3,0,3,0,3,0,0,4,0,7,0,0,0,0,11,0,3,0,0,0,0,3,0,3,0,0,0,0,3,3,3,0,0,0,0,5,3,3,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,27,29,14,4,4,0,78
UCL121091,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,8,3,3,0,0,0,0,4,0,0,0,0,3,0,8,3,3,6,0,3,0,9,5,6,0,3,0,0,19,3,17,0,3,0,0,26,3,11,0,0,0,0,19,11,17,0,0,0,0,29,3,6,3,0,0,0,14,0,9,5,0,0,0,7,4,9,0,0,0,0,16,0,5,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,18,43,97,31,12,10,0,186
UCL121092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,7,0,3,0,0,0,0,6,3,3,0,0,0,0,14,3,0,0,0,0,0,12,3,12,5,0,0,0,18,3,3,0,0,0,0,9,0,9,0,3,0,0,13,5,4,3,0,0,0,15,0,11,3,0,0,0,8,0,7,0,0,0,0,8,0,3,0,0,0,0,6,0,7,4,0,0,0,12,0,7,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,74,23,10,9,0,130
UCL121093,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,5,0,0,0,0,4,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,4,5,3,0,38
UCL121094,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,4,0,0,0,0,6,0,3,3,0,0,0,7,0,3,0,0,0,0,3,0,0,0,0,0,0,9,0,3,3,0,0,0,12,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,8,0,0,0,0,4,3,9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,40,8,3,3,0,67
UCL121095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,9,3,3,0,0,0,0,4,0,3,0,0,0,0,3,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,7,4,3,0,45
UCL121096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,8,3,4,0,0,0,0,8,0,3,0,0,0,0,3,3,4,0,0,0,0,5,5,3,0,0,0,0,7,3,4,0,0,0,0,11,0,3,0,0,0,0,9,0,9,0,0,0,0,5,3,0,0,0,0,0,3,0,4,0,0,0,0,4,4,5,0,0,0,0,8,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,6,31,39,12,4,3,0,95
UCL121097,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,7,3,0,0,0,0,0,6,3,0,3,0,0,0,9,3,0,0,0,0,0,6,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,7,0,3,0,0,0,0,7,0,0,0,0,0,0,0,3,3,4,0,0,0,14,4,10,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,6,4,0,0,0,11,35,36,23,8,4,0,102
UCL121098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,5,0,0,0,0,0,5,0,3,0,0,0,0,9,5,0,0,0,0,0,7,0,4,0,0,0,0,4,3,3,0,0,0,0,7,0,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,7,5,3,0,49
UCL121099,4,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,3,5,7,0,0,0,0,16,5,4,0,0,0,0,16,0,8,4,0,0,0,18,3,4,0,0,0,0,7,0,0,0,0,0,0,0,3,7,0,0,0,0,9,0,3,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,52,16,5,0,0,105
UCL121100,4,0,0,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,3,0,0,0,4,0,9,4,3,0,0,0,0,9,3,3,5,0,0,0,10,4,4,3,0,0,0,11,0,3,4,0,0,0,9,4,5,0,0,0,0,16,0,4,0,0,0,0,6,8,13,4,0,4,0,26,0,0,0,0,0,0,7,3,3,0,0,0,0,6,7,10,3,0,0,0,12,3,8,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,3,47,60,33,10,12,0,156
UCL121101,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,4,0,0,0,0,8,0,0,3,0,0,0,5,0,4,0,0,0,0,6,4,4,3,0,0,0,10,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,27,29,7,4,3,0,69
UCL121102,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,3,3,0,3,0,11,0,3,0,5,0,0,11,4,15,0,0,0,0,17,4,11,0,3,0,0,18,7,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,26,40,14,13,9,0,98
UCL121103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,3,3,0,3,0,0,0,3,3,3,3,0,0,0,10,3,3,0,0,0,0,7,4,8,0,0,0,0,12,0,3,0,0,0,0,8,3,11,0,0,0,0,13,0,3,3,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,41,9,0,4,0,78
UCL121104,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,3,0,0,0,3,3,4,0,0,0,0,5,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,10,3,8,0,39
UCL121105,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,3,0,10,3,0,3,0,0,0,8,3,6,0,0,0,0,15,0,5,0,0,0,0,5,5,0,0,4,0,0,9,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,3,0,3,0,0,4,0,3,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,32,29,14,4,3,0,79
UCL121106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,4,0,0,0,9,0,9,0,0,0,0,11,10,11,0,0,3,0,19,0,6,3,0,0,0,12,7,3,0,0,0,0,8,5,3,3,0,0,0,8,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,30,43,13,3,7,0,99
UCL121107,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,6,3,0,0,0,0,0,3,3,0,0,0,0,0,3,9,4,0,0,0,0,12,3,3,3,3,0,0,16,8,3,3,0,0,0,17,3,12,0,0,0,0,12,3,12,3,0,0,0,14,0,3,0,0,0,0,5,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,36,41,14,11,5,0,106
UCL121108,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,5,0,0,0,0,3,0,0,0,0,0,0,5,0,4,0,0,0,0,4,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,16,33,8,0,4,0,62
UCL121109,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,8,5,0,0,0,0,0,7,0,5,0,0,0,0,4,3,7,0,0,0,0,12,0,0,3,3,3,0,11,5,3,0,0,0,0,14,0,6,0,0,0,0,3,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,32,10,5,5,0,73
UCL121110,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,3,0,3,0,0,12,0,0,0,0,0,0,4,3,3,0,0,0,0,8,3,0,0,3,0,0,7,3,0,0,0,0,0,3,0,7,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,10,11,10,4,0,55
UCL121111,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,3,3,0,0,0,8,0,4,0,0,0,0,10,0,3,0,4,0,0,7,6,12,3,0,0,0,18,3,7,0,0,0,0,14,0,8,3,0,3,0,15,3,3,0,0,0,0,4,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,7,23,63,18,8,8,0,115
UCL121112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,5,0,5,0,0,0,0,6,4,6,0,0,0,0,9,0,10,0,0,0,0,12,0,7,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,8,3,3,0,61
UCL121113,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,4,0,0,3,0,7,0,0,0,0,9,3,4,0,0,0,0,8,0,4,0,3,0,0,9,0,6,0,0,0,0,6,3,3,3,0,0,0,6,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,0,0,0,0,0,7,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,41,9,4,3,0,77
UCL121114,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,3,0,0,0,6,3,0,0,0,0,0,6,3,0,0,0,0,0,3,3,3,0,3,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,15,13,9,4,0,0,43
UCL121115,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,7,3,13,4,0,0,0,21,6,3,3,0,0,0,16,0,11,3,0,0,0,16,3,8,0,0,0,0,15,6,10,6,0,0,0,18,3,9,0,0,0,0,12,3,5,3,0,0,0,8,0,16,3,3,0,0,20,5,16,0,0,0,0,20,0,7,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,4,31,90,29,7,4,0,171
UCL121116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,0,3,0,4,0,0,0,0,9,3,8,0,3,0,0,14,0,0,3,0,0,0,6,3,0,0,0,0,0,9,3,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,25,23,7,4,5,0,65
