UCL_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
UCL101001,756,2557,21480,49406,20191,15861,7251,4856,1969,124321,3,19,129,815,1018,1331,1586,1259,335,6497,93,422,377,1928,1184,1620,1607,1016,482,8730,596,3414,3358,17158,11620,8943,8323,4697,2536,60637,33,286,999,6727,3531,2900,1444,590,142,16648,45,218,471,2293,523,303,263,134,103,4347,46,179,516,2395,1095,824,2006,891,671,8617,31,183,258,700,911,2040,4435,4360,1100,14021,183,593,2110,7032,3486,4982,1844,562,164,20957,1692,3861,4465,35823,6106,3969,2208,1168,442,59733,78,409,2393,7796,2240,1671,987,375,143,16101,46,461,809,4807,1399,1211,620,322,147,9824,127,1254,2562,7578,3307,2239,1235,628,189,19118,51,367,315,4262,1195,785,755,424,206,8343,25,141,340,1819,1534,2785,4715,4914,2329,18600,113,386,664,4033,1714,639,351,140,58,8101,195,991,3121,12415,4390,2796,1332,616,191,26042,97,403,1021,7301,6673,5900,3190,1548,606,26738,95,446,1418,5407,2291,2653,1804,557,178,14849,0,7,29,164,307,1172,2027,1148,451,5317
UCL102001,4,5,5,42,22,12,4,3,0,102,0,0,0,6,8,15,25,23,3,72,3,0,0,8,0,3,0,0,0,19,4,20,21,88,99,68,47,42,15,406,0,0,5,33,8,8,0,0,0,63,0,0,0,8,3,0,0,3,0,12,0,0,6,12,14,12,35,12,9,96,0,0,0,4,3,11,23,20,8,69,0,0,0,7,3,4,3,0,0,20,3,32,27,241,16,16,4,0,0,347,0,3,5,28,5,5,0,0,0,50,0,0,0,9,3,3,0,0,0,17,0,0,0,3,0,3,0,0,0,3,0,0,0,7,7,5,6,0,0,34,0,0,3,3,13,32,43,43,26,158,0,3,0,3,4,3,0,0,0,19,0,0,3,11,6,0,0,0,0,28,0,0,0,7,4,0,0,0,0,11,0,3,4,15,14,6,3,0,0,45,0,0,0,0,0,3,8,7,0,22
UCL102002,3,31,38,335,190,157,89,37,14,890,0,0,0,10,20,30,22,21,3,110,0,0,4,14,10,28,54,32,15,155,25,278,256,977,1225,1357,1553,1084,498,7264,0,0,7,63,46,41,27,20,3,210,0,7,7,44,26,25,14,14,6,150,0,10,10,84,71,87,204,84,71,615,0,3,0,9,6,25,42,36,11,134,0,3,11,34,22,39,11,4,3,134,13,46,25,343,61,54,64,31,16,640,3,8,14,94,36,26,31,11,5,222,0,0,4,28,15,4,3,3,0,60,0,0,0,14,5,4,3,0,0,26,4,36,8,106,75,78,97,53,25,479,0,0,0,17,29,57,104,66,34,323,5,12,3,81,44,23,10,3,3,186,7,17,31,149,42,40,16,3,0,304,0,3,0,18,19,11,14,4,3,74,0,3,11,54,47,46,37,7,3,214,0,0,0,6,14,67,118,52,16,265
UCL102003,3,8,24,46,21,8,7,3,0,117,0,0,0,0,0,7,6,3,0,11,0,0,0,0,0,0,4,4,3,8,3,35,42,120,209,259,395,404,169,1635,0,0,3,4,6,7,4,5,0,39,3,0,3,14,0,4,10,0,8,42,0,0,6,17,12,21,53,38,17,164,0,0,0,0,0,3,0,3,0,8,0,0,0,3,3,3,0,0,3,17,0,9,3,61,5,3,10,6,3,99,0,0,0,10,9,3,4,0,3,28,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,10,8,10,11,12,3,68,0,0,0,8,4,8,7,8,11,47,0,9,0,40,15,7,3,3,0,75,0,0,0,16,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,8,6,13,13,3,0,43,0,0,0,0,0,4,11,10,4,30
UCL102004,5,30,372,500,136,87,45,18,13,1204,0,0,5,15,26,25,27,34,9,136,0,8,0,7,4,7,14,14,3,64,29,162,151,653,594,658,707,466,230,3650,0,4,4,36,40,25,12,8,0,130,0,3,9,39,19,10,9,3,0,90,0,8,22,102,48,74,361,70,73,758,0,0,3,9,10,35,81,89,35,266,0,16,50,50,26,48,12,3,0,203,18,82,74,465,67,50,46,21,4,823,0,10,19,70,29,17,10,3,3,147,3,12,5,93,7,0,4,0,0,131,3,16,3,34,4,4,0,0,0,72,3,23,16,94,49,27,25,13,11,256,0,0,8,22,32,74,105,167,83,487,3,3,26,52,14,12,4,4,3,131,3,23,49,154,49,17,4,3,0,292,0,3,3,12,10,4,4,0,0,26,3,10,59,130,61,62,31,16,0,376,0,0,0,4,6,21,22,7,8,71
UCL102005,8,41,399,628,123,94,39,31,10,1373,0,0,13,48,90,79,99,126,29,490,3,10,3,24,9,24,15,11,4,104,20,142,136,608,1156,1157,1258,872,347,5689,0,3,5,38,22,31,22,4,0,130,0,0,10,20,23,15,19,5,3,100,0,0,18,73,63,156,283,174,116,890,0,3,4,13,26,80,104,149,54,431,0,4,24,30,16,25,4,3,0,104,18,45,60,362,53,51,36,25,6,659,10,15,24,96,30,16,16,0,3,201,0,11,27,110,19,16,9,6,0,193,12,51,27,94,28,13,3,3,0,234,0,33,7,63,38,33,42,41,12,267,0,3,9,40,100,263,382,510,217,1526,0,8,20,48,27,14,11,6,0,132,4,5,39,84,31,11,8,0,0,188,3,6,17,87,77,65,38,10,9,321,6,8,52,66,37,31,22,8,0,228,0,0,0,10,15,76,103,68,25,294
UCL111001,0,3,4,39,9,9,0,3,0,62,0,0,0,0,3,5,7,4,0,24,0,0,0,0,0,0,0,0,0,5,0,12,16,46,81,99,99,69,33,462,0,0,3,10,6,3,0,0,0,18,0,0,0,0,3,0,0,0,0,12,0,0,0,11,11,23,40,21,18,121,0,0,0,0,0,0,3,12,4,23,0,0,3,3,0,6,3,0,0,12,11,21,19,189,7,9,3,3,0,269,0,0,0,3,0,0,0,0,0,8,0,0,0,5,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,9,0,4,7,3,0,5,0,34,0,0,0,0,0,6,10,9,11,34,0,0,0,10,0,0,0,0,0,14,0,0,4,12,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,3,12,6,0,0,0,0,28,0,0,0,0,0,3,0,0,0,7
UCL111002,0,0,7,43,28,20,3,3,0,116,0,0,0,0,0,3,0,0,0,8,0,0,0,3,0,0,6,0,3,11,5,25,31,121,140,132,148,77,25,707,0,3,4,18,11,6,4,0,0,48,0,0,0,3,5,0,0,0,0,7,0,0,5,15,9,19,73,8,15,141,0,0,0,0,3,3,4,3,0,13,0,0,0,5,3,4,0,0,0,20,3,25,12,123,20,12,10,4,0,204,0,3,0,12,7,3,3,0,0,29,0,0,0,4,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,9,0,0,0,9,4,3,6,3,0,38,0,0,0,0,0,0,7,8,3,22,0,0,3,0,5,0,0,0,0,11,0,0,0,18,0,3,0,0,0,23,0,0,0,0,6,0,0,0,0,7,0,4,0,24,14,4,0,3,0,53,0,0,0,0,0,3,11,0,0,16
UCL112001,0,0,67,46,9,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,24,40,41,26,7,165,0,0,0,8,7,0,0,3,0,16,0,0,0,7,3,0,0,0,0,13,0,0,3,3,10,9,8,4,4,44,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,13,3,9,6,41,3,3,0,5,0,69,0,0,3,9,9,0,0,0,0,18,0,0,0,20,0,0,0,0,0,23,6,9,4,18,3,0,0,0,0,42,0,0,0,0,3,0,0,0,0,8,0,0,3,0,0,4,0,0,3,10,0,0,4,6,11,3,0,0,0,18,0,0,0,11,0,0,0,0,0,11,0,0,0,3,0,0,4,0,0,3,0,3,0,7,3,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0
UCL112002,0,4,4,22,9,5,9,0,0,59,0,0,0,0,3,0,3,0,0,11,0,0,0,0,0,0,3,0,0,3,0,7,20,50,52,66,53,46,15,302,0,0,0,4,3,5,0,0,0,15,0,0,0,0,0,0,0,0,0,11,0,0,0,8,7,7,13,8,3,42,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,5,6,8,41,5,3,3,0,0,77,0,0,0,0,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,6,0,0,0,9,0,8,3,0,0,20,0,0,0,0,0,4,3,3,9,17,0,0,4,3,3,0,0,0,0,10,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,10,0,0,0,13,4,0,3,0,0,21,0,0,0,0,3,3,3,0,0,11
