UCL_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL101001,38762,35344,74113,121766,114022,235796,35473,35034,70504,21850,20602,42448,179091,169661,348751,73576,71940,145514,37314,35658,72969,26602,25516,52119,137487,133107,270598,7146,7238,14382,7125,11653,18781,12046,5727,17775,12202,19178,31375,398,405,800,38914,44206,83116,73212,81925,155143,26165,27749,53915,8449,9171,17616,20755,29069,49822,554,669,1219,129134,148583,277714,8773,10960,19737,9944,17047,26991,250,359,603,18966,28366,47334,141635,139396,281026,683986,698668,1382652
UCL102001,311,216,530,1043,1087,2135,371,313,680,96,95,196,1517,1492,3011,677,625,1297,441,412,849,115,107,219,1226,1140,2367,51,50,104,26,48,70,156,96,247,154,228,375,8,5,7,389,419,812,258,320,576,152,153,306,52,82,131,277,392,667,3,0,5,731,950,1682,32,35,70,67,143,207,0,0,5,102,173,280,1159,1110,2268,5442,5504,10947
UCL102002,3202,2936,6139,9781,9020,18800,2045,2092,4131,1375,1300,2674,13199,12409,25611,6695,6498,13189,1741,1711,3450,1287,1324,2615,9721,9540,19263,331,442,776,203,438,642,1206,714,1923,861,1638,2501,33,32,59,2636,3267,5896,1732,2284,4013,623,1110,1738,407,497,901,940,2014,2960,16,32,48,3718,5942,9658,199,301,495,414,897,1310,7,21,23,612,1212,1833,9464,10550,20010,42554,45852,88402
UCL102003,440,326,762,1440,1342,2783,428,432,859,226,211,442,2098,1985,4087,906,935,1843,375,440,820,314,318,628,1598,1696,3296,62,71,138,48,105,159,162,117,280,142,304,447,6,9,15,425,608,1030,269,351,621,140,199,332,54,77,135,140,342,481,4,3,15,605,976,1579,36,38,81,65,116,180,3,3,6,103,156,259,2262,2550,4811,7531,8297,15827
UCL102004,3259,2906,6167,9709,9229,18943,2239,2021,4258,1160,1119,2277,13105,12368,25476,6676,6511,13185,1762,1720,3485,1384,1290,2680,9824,9524,19348,455,543,996,338,520,861,1215,773,1980,1068,1644,2710,29,20,52,3098,3504,6602,4190,4856,9050,1680,1901,3580,574,701,1278,1640,2612,4247,23,27,53,8107,10098,18203,165,241,410,427,796,1220,14,28,43,606,1061,1667,8590,9411,18003,46599,48876,95471
UCL102005,2775,2510,5282,8030,7614,15643,2091,2170,4259,870,786,1657,10996,10564,21562,5380,5189,10569,2225,2375,4598,816,754,1569,8423,8314,16739,364,426,791,304,515,819,1089,569,1658,735,1161,1895,34,28,62,2529,2698,5225,4146,4347,8501,1703,1411,3119,405,530,936,972,1689,2668,16,23,34,7248,8007,15251,213,253,467,336,769,1111,3,18,24,559,1036,1596,7696,8063,15753,40217,41188,81409
UCL111001,396,392,788,1166,1092,2257,502,492,998,280,296,579,1953,1881,3837,906,904,1811,330,321,652,229,291,524,1461,1518,2978,77,86,163,60,117,178,187,131,317,189,322,511,0,0,0,520,652,1167,222,500,716,110,191,301,50,68,120,169,326,502,0,3,3,550,1089,1639,38,55,96,83,150,236,3,4,8,128,207,338,1813,1913,3727,6817,7659,14476
UCL111002,906,804,1708,2614,2466,5084,864,829,1695,345,340,679,3824,3637,7460,1647,1544,3191,616,639,1255,371,326,696,2638,2505,5141,120,141,266,53,105,157,302,226,529,257,471,727,11,13,20,742,958,1698,379,547,931,147,281,429,87,145,234,297,510,808,0,3,7,914,1493,2404,53,67,124,110,226,338,3,3,3,173,291,464,2239,2242,4489,11438,11928,23363
UCL112001,184,161,347,553,549,1097,112,105,211,112,99,205,770,745,1520,387,341,727,118,114,231,245,287,531,747,744,1491,38,29,64,28,37,69,65,52,113,73,103,179,3,0,3,209,220,427,730,952,1688,297,333,628,71,86,156,120,231,355,5,9,11,1228,1611,2843,14,10,22,22,34,58,0,0,0,36,48,79,771,902,1672,3937,4438,8376
UCL112002,343,313,654,967,856,1817,510,535,1037,85,96,180,1559,1479,3036,700,577,1278,311,364,670,240,161,406,1246,1106,2348,37,63,108,32,71,102,115,91,203,127,224,350,5,9,12,312,453,770,420,636,1050,120,117,235,53,79,135,168,303,475,0,0,0,759,1135,1899,20,22,46,44,87,127,0,0,0,65,107,173,1749,1299,3052,6035,5900,11935
