UCL_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
UCL101001,101508,8413,114,74,8601,133,110239,13242,85669,4473,402,90538,54,103834,202,8520,5085,83,13683,18,13900,80,453,46,215,715,3,797,13524,94640,9599,695,104935,74,118535,169,151,14,7,168,267,605,115200,103205,9723,777,113710,468,229375,103932,6819,112,69,7002,137,111071,10749,74929,4279,392,79601,48,90395,244,7536,5494,64,13096,4,13345,72,358,51,195,601,10,686,11065,82820,9826,653,93299,67,104426,149,107,17,11,133,252,533,115139,89740,9953,733,100429,459,216031,57529,3323,47,36,3408,62,60999,4942,36428,2411,188,39029,21,43993,120,4046,3553,31,7629,8,7757,45,220,27,103,349,3,397,5107,40695,5994,319,47009,34,52155,63,47,8,3,59,117,239,62707,44065,6050,361,50475,212,113387,35662,1882,29,14,1922,44,37628,2931,22161,1646,121,23935,23,26881,83,2642,2652,24,5316,9,5405,25,123,29,65,216,0,239,3037,24922,4327,215,29466,27,32526,44,31,6,3,38,70,156,38740,26829,4364,229,31426,138,70302,46895,2302,33,24
UCL102001,1339,55,0,0,53,0,1397,71,331,10,0,339,0,413,0,19,10,0,29,0,29,0,0,0,0,0,0,3,73,352,15,0,367,0,445,3,0,0,0,0,0,5,1415,401,15,0,424,0,1843,1318,48,0,0,48,0,1372,82,243,3,0,252,0,328,0,19,0,0,17,0,17,0,0,0,0,0,0,3,80,261,6,0,266,0,348,4,0,0,0,0,4,4,1401,314,6,0,317,8,1727,750,30,0,0,30,0,779,39,127,8,0,131,0,172,0,0,4,0,7,0,7,0,0,0,0,0,0,0,39,128,9,0,140,0,177,0,0,0,0,0,4,3,795,156,9,0,167,4,963,498,15,0,0,15,0,511,16,73,0,0,76,0,86,0,5,0,0,3,0,10,0,0,0,0,0,0,3,16,73,3,0,79,0,101,0,0,0,0,0,3,3,514,90,3,0,99,3,617,733,24,0,0
UCL102002,11522,349,0,4,360,20,11901,473,746,18,3,770,0,1246,9,74,32,0,103,0,111,0,0,0,0,3,0,8,483,822,50,3,882,0,1366,24,0,0,0,0,20,41,12023,1175,55,9,1235,44,13306,11978,289,3,0,299,12,12285,452,702,19,3,722,0,1176,15,57,23,0,78,0,89,4,4,0,0,9,0,13,472,759,51,4,811,0,1287,18,5,0,0,5,16,37,12465,1057,54,5,1112,34,13608,6849,138,9,0,147,12,7007,224,352,16,0,371,0,596,3,37,10,0,46,0,47,7,4,0,3,8,0,10,234,389,28,6,423,0,656,11,0,0,0,0,17,31,7096,528,35,6,571,28,7695,4244,96,0,0,94,3,4345,119,201,10,0,206,3,330,5,12,12,0,27,0,26,0,0,0,0,0,0,0,126,217,15,0,236,3,365,9,0,0,0,0,11,15,4372,309,19,0,329,16,4719,5598,100,5,0
UCL102003,1937,51,3,7,59,0,1988,76,135,3,0,140,0,218,0,3,4,0,5,0,8,3,0,0,0,0,0,3,82,138,11,0,148,0,230,5,0,0,0,0,3,3,2019,187,10,7,202,3,2224,1924,27,0,3,33,0,1957,82,105,0,3,111,0,192,3,8,0,0,4,0,10,0,0,0,0,0,0,0,85,108,3,4,115,0,198,3,0,0,0,0,3,9,2011,143,3,4,144,3,2158,1060,16,0,0,18,0,1079,34,37,0,4,34,0,74,0,3,4,0,3,0,8,0,0,0,0,0,0,0,42,35,4,4,41,0,79,3,0,0,0,0,0,3,1099,59,4,3,62,0,1160,731,13,0,0,17,0,748,25,18,0,0,18,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,18,0,0,20,0,50,0,0,0,0,0,0,0,762,36,3,0,35,0,800,920,21,0,0
UCL102004,12687,322,4,8,327,13,13024,457,930,41,5,969,3,1430,12,122,41,3,168,0,180,6,8,0,0,8,0,14,470,1060,84,11,1152,3,1622,18,0,0,0,0,19,31,13174,1382,87,15,1476,34,14679,12067,262,0,0,265,19,12352,416,918,31,0,951,0,1365,6,72,54,0,127,0,140,4,6,0,0,6,0,8,426,998,91,0,1088,0,1514,11,0,0,0,0,14,24,12507,1260,89,3,1353,31,13894,6757,129,3,0,129,5,6896,196,375,21,0,395,0,592,3,32,24,0,51,0,57,0,9,3,0,13,0,12,202,412,40,0,461,0,664,15,0,0,0,0,9,20,6973,542,47,3,591,16,7580,4225,75,3,4,78,5,4312,124,190,17,0,199,0,326,3,14,26,0,33,0,39,0,4,0,0,4,0,4,123,201,35,0,243,0,368,10,0,0,0,0,3,13,4359,273,41,4,320,15,4690,5696,100,0,3
UCL102005,9047,408,16,6,428,12,9482,464,1429,70,9,1506,0,1968,5,170,99,3,278,0,284,5,10,0,4,17,0,15,476,1606,168,20,1795,0,2271,11,3,3,0,5,17,35,9532,2021,182,21,2225,23,11785,9344,375,6,0,391,12,9747,417,1507,51,7,1563,0,1977,4,132,117,0,253,0,251,6,9,0,3,10,0,13,422,1644,167,14,1820,0,2244,6,6,0,0,6,18,33,9777,2026,178,14,2219,25,12022,5386,195,6,0,197,5,5592,200,738,33,4,773,0,979,3,45,63,0,108,0,108,0,3,0,5,8,0,9,208,787,94,6,888,0,1097,4,3,0,0,3,10,20,5598,981,100,7,1090,16,6709,3392,103,0,0,102,9,3504,149,429,27,0,453,0,605,0,25,42,0,69,0,74,0,3,0,3,7,0,9,153,454,69,3,528,0,683,6,0,0,0,0,3,10,3550,558,69,0,632,12,4193,4443,152,3,3
UCL111001,1847,32,0,0,32,8,1881,44,196,5,0,205,0,246,0,39,19,0,58,0,58,0,0,0,0,3,0,3,44,231,26,3,264,0,305,4,0,0,0,0,3,7,1896,265,26,3,290,8,2194,1637,23,0,0,20,0,1663,55,150,9,0,160,0,214,0,31,21,0,55,0,50,0,0,0,0,0,0,0,52,184,30,0,207,0,262,0,0,0,0,0,0,0,1695,199,31,0,233,0,1925,941,7,3,0,15,0,949,27,66,3,0,69,0,95,0,3,16,0,23,0,23,0,0,0,0,0,0,0,27,70,22,0,88,0,120,0,0,0,0,0,0,0,970,80,23,0,103,3,1071,634,6,0,0,6,0,639,19,33,0,0,29,0,51,0,3,16,0,23,0,23,0,0,0,0,0,0,0,19,33,20,0,51,0,72,0,0,0,0,0,0,0,652,41,20,0,58,0,710,826,11,0,0
UCL111002,3761,79,0,0,79,8,3846,73,183,9,0,196,0,274,3,18,3,0,23,0,22,3,0,0,0,0,0,3,81,199,18,0,218,0,299,3,0,0,0,0,0,0,3847,275,18,0,290,7,4151,3662,58,0,0,60,4,3730,64,170,8,0,174,0,239,0,5,3,3,12,0,12,0,0,0,0,0,0,0,64,179,10,3,188,0,253,0,0,0,0,3,3,8,3728,240,13,3,254,8,3994,1915,35,0,0,35,3,1956,35,76,0,0,79,0,111,0,4,4,0,13,0,13,0,0,0,0,0,0,0,35,80,4,0,86,0,124,6,0,0,0,0,0,6,1954,118,4,4,122,3,2081,1203,8,0,0,8,0,1216,33,58,3,0,59,0,90,0,4,0,0,3,0,3,0,0,0,0,0,0,0,32,57,4,0,63,0,98,0,0,0,0,0,0,0,1233,67,4,0,75,0,1313,1562,17,0,0
UCL112001,610,10,0,0,10,0,621,27,102,4,0,109,0,137,0,39,4,0,43,0,43,0,0,0,0,0,0,0,27,141,11,0,150,0,177,0,0,0,0,0,8,8,637,149,11,0,158,8,805,560,17,0,0,17,0,574,19,115,0,0,118,0,133,0,12,0,0,20,0,20,0,0,0,0,0,0,0,19,133,3,0,137,0,154,0,0,0,0,0,4,4,576,145,3,0,149,3,731,342,11,0,0,11,6,350,16,34,3,0,38,0,48,0,7,3,0,6,0,6,0,0,0,0,0,0,0,16,40,6,0,49,0,61,0,0,0,0,0,0,0,355,53,6,0,56,8,410,212,4,0,0,4,0,215,0,10,4,0,17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,17,0,19,0,0,0,0,0,3,3,210,14,3,0,18,3,234,275,9,0,0
UCL112002,1346,23,3,0,25,0,1369,44,60,0,0,63,3,109,0,9,0,0,11,0,11,0,0,0,0,0,0,0,44,74,0,0,76,3,119,0,0,0,0,0,3,3,1392,94,0,0,97,9,1492,1425,15,0,0,15,0,1441,29,59,5,0,59,3,94,0,8,7,0,8,0,8,0,0,0,0,0,0,0,32,65,9,0,75,3,108,0,0,0,0,0,3,3,1457,80,9,0,88,8,1552,790,6,0,0,6,0,802,25,37,0,3,37,0,66,0,0,5,0,6,0,6,0,0,0,0,0,0,0,25,36,7,3,40,0,66,0,0,0,0,0,0,0,814,42,7,3,48,5,865,484,3,0,0,3,0,487,6,27,0,0,29,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,4,0,29,0,40,0,0,0,0,0,3,3,490,35,4,0,39,3,528,613,10,0,0
