UCL_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
UCL101001,36,205,1558,3745,859,563,236,66,17,7284,128696,223116,189590,301529,124491,97378,63109,30581,13434,1171938,170,545,1260,8355,1446,922,174,17,7,12896,3,15,155,1036,649,602,319,226,36,3028,18,89,325,1740,1302,1025,566,179,66,5311,70,222,371,1882,775,485,228,79,29,4135,14,82,170,1714,1117,868,1053,327,33,5368,783,2731,18280,37155,14259,12651,6608,4000,1434,97897,7,29,112,772,935,1116,1393,1365,246,5961,80,417,382,2289,1227,1799,1722,947,351,9211,618,3671,3554,20115,14150,10488,9776,4659,1614,68644,28,323,955,5519,3155,2525,1181,450,83,14212,44,251,457,2737,662,321,261,113,40,4886,33,214,453,1932,1150,802,1926,918,305,7739,22,181,259,760,1059,1916,3245,3791,1169,12395,185,705,2445,6673,2665,4064,1773,564,118,19202,1516,4138,6785,41839,6989,4129,2301,1000,312,69008,87,403,2436,6284,1582,1225,904,338,89,13344,68,541,934,6160,1635,1209,710,296,98,11652,138,1332,2671,7586,3937,2378,1181,522,134,19886
UCL102001,0,0,0,3,0,0,0,0,0,8,1198,2015,2002,3810,2050,1376,646,234,92,13435,4,7,0,73,0,3,0,0,0,94,0,0,0,3,3,3,0,3,0,20,0,0,0,0,0,0,0,0,0,8,0,0,3,12,7,3,7,0,0,39,0,0,0,9,0,3,0,0,0,12,0,0,3,40,16,6,10,0,0,75,0,0,0,3,7,15,22,21,0,74,3,7,0,10,0,0,0,0,0,22,0,23,19,72,135,98,81,32,13,475,0,3,4,23,13,8,3,0,0,53,0,3,3,10,3,4,3,0,0,28,0,0,3,7,11,20,29,19,7,99,0,0,0,3,0,11,22,16,3,57,0,0,0,3,0,3,3,0,0,8,15,29,30,287,27,9,9,4,0,414,0,3,0,11,3,0,0,0,0,18,0,0,0,10,0,3,0,0,0,14,0,0,0,7,0,0,0,0,0,8
UCL102002,0,0,3,5,0,0,0,0,0,11,8842,18195,16194,27417,14528,13511,10699,5774,2425,117589,0,0,3,25,3,0,0,0,0,37,0,0,4,7,10,7,7,8,0,37,0,0,0,15,3,3,3,0,0,25,3,18,19,85,42,40,24,19,6,257,0,4,0,29,42,20,32,15,3,140,7,32,44,176,83,80,90,39,16,560,0,0,0,10,20,27,41,37,7,143,0,0,0,27,13,43,50,28,10,176,33,280,284,1041,1263,1235,1495,1027,343,7000,0,5,9,64,35,36,15,4,0,160,0,0,3,33,30,17,31,10,0,119,0,14,11,43,50,67,169,76,45,482,0,4,3,3,10,37,47,46,4,154,0,6,9,24,22,29,8,15,0,114,13,40,36,430,68,44,49,36,11,721,0,9,22,46,23,13,16,18,4,148,0,3,0,28,8,12,8,0,0,64,0,0,8,5,14,0,3,3,0,29
UCL102003,0,0,0,0,0,0,0,0,0,0,1494,2840,2627,4387,2613,2889,2680,1558,692,21772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,0,3,11,14,11,0,8,0,52,0,0,0,0,4,0,0,0,0,8,0,0,20,30,12,11,8,5,0,86,0,0,0,0,0,0,5,6,0,18,0,0,0,5,0,5,3,3,3,15,3,33,49,129,195,218,390,386,150,1545,0,3,0,10,4,0,3,3,3,26,0,6,3,12,4,0,0,8,3,35,0,0,0,6,9,10,56,29,10,123,0,0,0,0,5,3,0,3,3,14,0,0,0,4,4,3,3,0,0,18,0,9,11,71,12,9,8,4,0,125,5,0,5,0,0,3,6,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
UCL102004,18,18,23,72,6,4,0,0,0,140,9548,17818,18902,33616,16727,15979,11593,5821,2242,132246,4,3,10,71,11,10,0,0,0,105,0,0,0,21,13,18,21,15,0,92,4,4,6,24,9,6,4,0,0,53,3,21,17,85,67,37,17,4,0,245,0,0,3,28,14,11,13,4,0,65,14,13,307,413,76,55,45,12,13,952,0,3,0,18,25,26,41,40,3,149,0,3,5,21,6,14,24,9,0,84,23,203,168,661,693,714,729,422,161,3780,0,5,6,44,28,21,3,3,4,120,0,3,9,38,17,11,3,4,0,87,3,15,18,54,61,71,310,79,26,624,0,0,4,4,12,41,65,85,17,229,4,3,65,43,14,28,13,3,3,174,13,72,84,529,88,51,52,34,4,930,0,11,20,48,20,10,12,3,3,125,0,6,17,115,15,3,0,3,0,163,5,11,3,23,10,7,3,0,0,70
UCL102005,0,3,3,3,0,0,0,0,0,14,7507,15020,15406,25037,11572,9729,6346,3227,1139,94988,4,3,21,36,4,3,0,0,0,73,0,0,11,48,43,36,20,16,3,174,0,0,0,7,0,3,6,0,0,18,3,19,23,73,32,15,11,5,4,176,0,0,3,67,90,44,92,36,6,335,6,29,669,831,73,72,39,18,5,1747,0,0,10,68,69,79,104,141,34,503,0,8,3,43,18,14,27,13,0,126,23,144,141,560,1125,1113,1108,681,217,5122,0,0,11,53,16,11,15,4,0,112,3,4,16,26,25,18,25,8,4,120,3,0,16,42,54,154,262,152,51,744,0,4,3,12,35,82,103,96,41,383,0,0,36,35,16,23,10,0,0,124,13,50,206,476,64,44,41,26,3,922,7,14,18,68,15,12,6,3,0,139,3,10,21,146,17,20,4,3,3,234,10,41,22,101,29,8,8,3,0,226
UCL111001,0,0,4,0,0,0,0,0,0,8,1488,2630,2703,4619,2294,2271,1578,821,322,18735,0,3,0,36,4,0,0,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,12,6,3,3,0,0,32,0,0,0,0,3,0,0,0,0,4,0,3,5,23,4,4,3,0,0,48,0,0,0,0,0,6,12,7,0,22,0,3,0,5,0,3,0,0,0,13,3,11,21,72,96,92,109,47,22,468,0,0,0,11,6,5,0,0,0,23,0,0,0,7,3,0,0,0,0,6,0,0,0,7,6,19,55,18,6,115,0,0,0,3,4,3,12,7,5,32,0,3,0,3,3,5,0,0,0,16,6,30,10,215,14,9,5,3,0,288,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
UCL111002,0,0,6,0,0,0,0,0,0,6,2877,5366,4463,8824,3918,3531,2471,1137,327,32921,0,0,0,15,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,5,0,10,9,4,3,3,0,38,0,0,0,0,0,0,0,0,0,5,0,0,11,29,16,11,10,3,0,82,0,0,0,0,4,3,0,3,0,12,0,3,0,3,3,4,5,0,0,16,0,34,22,105,128,148,184,78,30,723,0,5,3,16,8,0,0,0,0,35,0,0,0,0,3,0,4,0,0,7,0,0,0,8,14,18,81,11,3,143,0,0,0,0,0,3,7,0,0,9,0,0,3,12,3,10,0,0,0,27,0,17,4,130,30,7,10,3,0,194,0,0,3,3,0,0,4,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8
UCL112001,0,0,0,0,0,0,0,0,0,0,534,1035,1667,1590,827,787,572,346,114,7469,0,3,0,20,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,5,0,0,18,0,0,0,0,4,0,0,0,0,3,0,3,68,42,14,0,3,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,21,23,30,62,29,7,202,0,0,4,7,3,6,0,0,0,17,0,0,0,3,0,4,0,0,0,10,0,0,3,0,7,11,3,3,3,33,0,0,0,0,0,0,0,0,0,5,0,0,4,3,0,0,0,0,0,5,3,3,7,55,10,4,0,0,0,80,0,0,0,3,3,0,0,0,3,13,0,0,5,11,6,0,3,0,0,21,7,8,0,26,7,0,0,0,0,50
UCL112002,0,3,0,0,0,0,0,0,0,8,1082,2173,2318,3665,1562,1511,1015,495,180,14003,0,3,0,13,0,5,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,8,4,4,3,0,0,23,0,0,0,3,0,0,3,0,0,6,0,3,13,22,7,11,6,0,0,65,0,0,0,0,0,4,3,0,0,12,0,0,3,5,0,0,0,0,0,16,0,8,30,38,42,59,74,42,8,313,0,0,0,5,3,6,0,0,0,18,0,0,0,6,3,4,0,0,0,10,0,0,0,0,5,3,16,4,3,30,0,0,0,0,0,3,5,0,0,13,0,7,3,3,0,0,0,0,0,15,0,5,3,59,9,3,5,0,0,88,0,0,0,3,0,0,0,4,0,4,0,0,0,6,0,0,0,0,0,11,0,0,3,3,3,0,0,0,0,11
