UCL_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
UCL101001,15,60,268,874,877,1124,1785,1230,295,295,377,455,474,354,265,8745,163,806,1826,1569,5864,36902,53229,44063,8277,9622,11065,14051,16135,9356,9285,222217,23,239,2441,5321,510,1334,1855,122,24,34,43,48,39,20,400,12462,20,943,1982,3506,1123,3516,2172,1758,308,420,568,361,416,228,620,17942,42,65,269,940,3303,10473,8605,3368,599,526,585,529,403,251,901,30863,156,3253,2219,1707,1288,1113,2196,1608,330,365,357,414,458,331,556,16352,92,2289,11352,7735,1086,661,515,255,168,353,251,214,180,72,1183,26417,53,119,523,1884,6658,14861,7324,2803,621,809,916,1015,1037,552,984,40158,32,289,427,3254,2979,10898,25834,35595,4592,5773,7504,9820,10579,7661,3507,128742,16,160,237,812,2527,4445,8770,4793,1021,1053,1133,1470,1461,809,754,29445,5,18,51,734,1755,3569,3681,3427,1376,1767,2560,725,916,361,534,21476,4,16,83,1077,1206,4547,11790,7807,1946,1673,3389,1929,1481,1266,784,39001,39,220,671,2026,1092,2489,2873,3253
UCL102001,0,0,3,7,18,18,18,5,0,0,3,3,3,0,3,83,0,3,7,3,4,17,40,60,14,0,7,10,11,5,10,181,0,3,32,77,3,12,7,0,0,0,0,0,0,0,7,147,0,0,0,3,0,0,0,4,8,0,0,5,3,6,3,41,0,0,0,3,12,22,31,25,12,3,7,3,0,0,0,117,0,72,52,18,6,10,14,4,0,0,3,3,0,0,5,191,0,19,57,36,3,0,3,0,0,0,0,0,0,0,8,121,0,0,0,3,0,8,3,5,0,0,0,0,0,0,0,27,0,0,0,12,6,26,74,345,31,32,36,82,53,40,8,758,0,0,0,0,3,12,13,9,0,3,3,3,10,3,0,66,0,0,0,0,3,9,3,3,0,3,0,3,6,3,0,29,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,12,0,4,0,19,14,5,3,12
UCL102002,0,8,23,82,65,61,125,83,9,21,14,4,12,6,12,514,13,36,70,11,61,192,368,316,56,60,69,59,43,32,63,1451,0,13,74,108,6,12,6,4,0,0,8,0,0,0,13,247,0,60,91,78,21,25,10,15,6,6,4,0,0,3,12,334,0,4,16,40,53,115,45,32,12,6,5,3,4,5,25,371,7,314,233,125,94,76,100,75,9,10,13,9,0,5,32,1104,0,52,104,74,8,3,11,0,0,4,0,0,0,0,10,283,6,5,18,29,36,57,46,15,3,5,3,8,4,0,14,253,3,33,28,116,60,71,163,385,91,104,70,77,63,46,51,1357,3,24,15,18,42,43,73,53,16,8,17,16,18,5,12,373,0,0,0,16,12,23,23,19,10,3,3,0,4,8,0,123,0,0,3,7,3,8,9,8,3,0,3,0,0,6,4,58,5,35,85,238,98,163,130,120
UCL102003,3,3,9,18,13,9,20,30,9,6,0,4,6,0,0,123,0,0,9,3,11,12,33,49,9,8,18,20,23,4,5,203,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,22,0,7,3,4,0,3,0,0,0,0,0,0,0,0,3,23,0,3,3,12,3,9,16,10,0,0,0,0,0,0,3,63,0,101,69,37,21,10,17,12,0,3,0,0,0,0,13,288,0,5,8,5,0,0,0,0,0,0,0,0,0,0,0,21,3,0,3,4,8,8,3,0,0,0,0,0,3,0,0,34,0,10,7,11,3,5,19,84,14,4,17,28,8,6,7,229,0,3,7,3,5,7,12,6,0,0,0,0,0,3,3,51,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,35,7,14,17,17
UCL102004,0,8,23,57,61,68,104,85,24,37,12,16,20,8,21,544,0,10,28,20,62,148,266,419,68,118,134,237,356,164,131,2152,0,15,49,151,15,9,29,5,0,0,0,0,0,0,12,290,0,16,12,38,3,14,11,31,0,0,5,3,0,0,3,142,0,3,9,25,41,68,37,25,0,10,7,4,4,4,12,244,3,685,206,80,63,53,79,64,23,11,12,16,14,10,67,1383,3,126,179,118,24,9,3,0,3,0,0,0,3,3,22,500,3,0,3,25,70,66,38,44,12,3,15,28,25,19,25,378,0,20,15,93,53,86,260,479,89,170,119,123,122,77,51,1748,0,7,8,9,15,28,76,54,10,8,7,9,20,3,12,269,0,0,0,0,6,12,20,66,35,43,38,13,27,26,5,289,0,0,0,5,3,6,19,7,3,5,27,25,13,11,8,137,0,7,43,80,39,92,77,86
UCL102005,0,3,13,52,42,41,94,78,25,9,18,15,12,6,12,419,0,16,21,13,38,130,354,460,134,194,286,473,561,271,177,3122,0,6,307,304,43,56,233,5,0,0,0,0,0,0,34,988,0,18,36,37,14,24,20,29,9,4,14,13,8,0,5,236,0,5,11,16,39,61,47,22,3,4,3,4,0,9,4,240,3,493,605,188,61,54,72,30,12,9,7,11,5,8,72,1628,0,120,389,179,28,20,9,4,3,9,0,9,0,0,46,822,0,3,13,14,31,35,44,33,5,10,3,19,15,8,5,231,3,14,16,91,32,81,148,320,57,144,138,127,174,193,47,1585,0,6,7,11,18,26,85,46,11,9,10,25,30,33,7,343,0,0,0,3,30,43,48,70,28,41,72,35,39,15,4,423,0,0,0,3,7,13,33,58,13,42,94,82,26,70,24,463,0,14,59,149,45,71,69,53
UCL111001,0,0,5,11,6,3,7,4,6,0,0,0,0,0,3,42,0,3,0,0,3,5,21,38,0,9,9,7,5,5,0,110,0,3,8,27,3,0,0,0,0,0,0,0,0,0,3,48,0,0,0,9,0,0,0,0,0,0,3,0,4,0,0,22,0,0,0,3,9,12,9,4,0,0,0,0,0,0,0,35,0,99,65,22,7,7,8,5,0,0,0,0,3,3,13,240,0,17,24,7,3,3,0,0,0,0,0,0,0,0,3,54,0,0,0,0,3,8,0,0,0,0,3,3,0,0,3,31,0,3,0,8,7,9,42,267,29,38,38,42,34,20,14,554,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,12,0,0,0,0,4,4,3,3,0,5,0,4,3,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,11,10,4,12,4,11
UCL111002,0,0,3,9,12,6,20,15,4,0,3,6,0,0,4,86,0,0,0,4,8,30,33,55,13,8,9,11,9,4,10,198,0,3,3,13,0,0,0,0,0,0,0,0,0,0,3,22,0,5,8,0,0,0,8,5,0,0,0,0,0,0,0,30,0,0,0,4,3,13,18,13,9,0,0,3,0,0,3,74,0,159,51,16,11,8,5,8,6,10,0,0,0,0,10,276,0,15,7,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,13,8,10,3,3,3,0,0,9,0,0,0,48,0,3,0,14,5,25,65,168,19,28,16,14,18,11,8,404,0,8,3,0,0,4,12,6,0,3,0,0,0,3,0,39,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,4,5,0,0,0,0,0,0,0,12,0,3,7,21,9,7,10,12
UCL112001,0,0,3,11,3,0,8,5,0,0,0,0,0,0,0,45,0,0,0,3,3,10,26,35,13,7,14,30,53,39,24,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,11,6,0,0,3,0,0,0,3,0,30,0,14,13,8,9,9,13,8,0,0,3,0,0,0,3,79,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,5,6,0,3,0,0,0,4,0,0,21,0,0,3,3,0,6,16,53,3,3,12,15,18,8,8,153,0,0,0,0,4,0,8,3,0,0,0,3,6,4,0,33,0,0,0,0,4,3,3,3,10,5,7,0,6,3,3,47,0,0,0,0,0,0,3,7,3,5,22,30,11,0,0,89,0,0,3,0,4,3,3,0
UCL112002,0,0,0,8,9,3,12,10,4,0,3,0,0,0,0,43,0,4,0,0,4,11,20,15,7,14,7,4,7,3,12,116,0,0,7,7,0,0,3,0,0,0,0,0,0,0,3,20,0,0,3,3,0,3,3,0,0,0,0,0,0,0,3,16,0,0,0,3,4,12,10,0,0,0,0,0,0,0,3,32,3,30,14,5,9,3,0,6,0,3,0,0,0,0,3,72,0,0,6,5,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,5,4,3,0,0,0,3,0,3,4,15,0,0,3,0,3,3,21,65,8,9,15,13,16,4,4,168,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,8,0,3,3,3,0,4,0,4,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,15,0,0,4,10,3,5,4,6
