UCL_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
UCL101001,255,29817,..,7690,1746,9438,107,9542,..,4298,421,4724,65,4784,..,7803,1806,9608,92,9700,..,5612,741,6350,53,6403,..,7947,1589,9532,60,9596,..,7236,597,7826,173,8002,..,7558,1698,9256,86,9348,..,11569,336,11911,95,11998,..,13174,1672,14845,110,14955,..,21983,694,22678,222,22900,..,2481,149,2630,21,2647,..,49203,2855,52058,448,52505,..,24753,3823,28582,293,28873,..,11882,1314,13201,92,13291,..,9794,3328,13126,122,13251,..,7609,2095,9708,102,9811,..,32743,19499,52241,290,52537,..,81339,20688,102026,1985,104015,..,693058,173599,866653,8095,874752,..,5309,1323,6633,115907,122539,1193204,698368,174921,873288,124004,2190497,2378833,..,..,..,..,2378833,..,4687,71,4766,22,4786,..,159402,30483,189884,1780,191662,..,384,16,400,26,433,..,99554,36861,136410,673,137085,..,160944,64535,225481,1222,226707,..,12002,4858,16859,93,16952,..,272499,106248,378752,1993,380738,..,15149,2376,17523,151,17673,..,4964,127,5090,56,5147,..,18143,743,18883,170,19056,..,13863,412,14273,157,14433
UCL102001,0,21,..,318,77,394,3,393,..,14,0,14,0,14,..,18,0,19,0,18,..,33,3,38,0,44,..,25,3,33,0,35,..,30,0,30,0,30,..,97,14,112,0,114,..,67,0,68,0,68,..,30,5,37,0,40,..,111,3,110,0,110,..,15,0,17,0,17,..,220,13,234,0,231,..,67,8,75,3,76,..,31,0,31,0,31,..,44,7,51,0,51,..,7,0,10,0,10,..,35,17,57,0,57,..,332,64,397,17,417,..,2482,387,2864,47,2912,..,36,8,44,982,1026,14235,2515,394,2909,1033,18177,28524,..,..,..,..,28524,..,27,3,27,0,27,..,88,15,109,0,111,..,15,0,15,0,15,..,68,23,87,0,91,..,154,42,200,3,202,..,7,3,12,0,12,..,232,71,301,3,303,..,174,23,197,3,197,..,28,0,28,0,28,..,65,3,70,0,70,..,102,0,102,4,107
UCL102002,9,320,..,19,3,23,0,23,..,164,5,172,4,169,..,44,11,57,0,52,..,154,9,163,3,167,..,227,48,275,0,271,..,50,8,62,0,62,..,84,11,91,0,98,..,249,12,256,4,264,..,146,14,157,0,157,..,458,12,469,4,476,..,69,5,72,3,73,..,916,40,954,17,969,..,699,70,766,10,781,..,66,12,72,0,72,..,302,62,359,3,367,..,42,10,55,0,55,..,140,48,188,0,188,..,1508,248,1757,41,1797,..,8477,1297,9778,123,9905,..,486,44,533,8526,9057,140195,8967,1345,10311,8651,159149,272160,..,..,..,..,272160,..,391,3,397,3,394,..,450,40,493,6,497,..,58,3,61,0,61,..,540,238,785,0,788,..,1027,415,1442,17,1458,..,48,24,72,0,72,..,1616,674,2294,24,2314,..,210,11,225,5,232,..,405,4,411,4,418,..,567,33,596,7,603,..,822,31,852,9,861
UCL102003,0,20,..,4,0,4,0,4,..,11,0,11,0,11,..,0,0,0,0,0,..,27,0,27,0,27,..,19,0,19,3,22,..,7,0,7,0,7,..,10,0,10,0,10,..,65,3,70,0,70,..,21,0,21,0,23,..,104,0,106,0,106,..,15,0,15,0,15,..,207,7,217,3,219,..,73,5,76,0,82,..,0,0,0,0,0,..,60,5,63,3,65,..,8,0,13,0,13,..,19,4,22,0,21,..,292,32,327,8,331,..,1364,161,1526,21,1549,..,92,6,95,2018,2114,27578,1461,164,1621,2035,31239,52948,..,..,..,..,52948,..,26,0,26,5,25,..,30,9,38,0,38,..,21,0,21,0,21,..,60,27,91,8,97,..,125,53,176,4,180,..,19,0,18,0,18,..,203,84,285,8,299,..,21,3,21,0,21,..,46,0,46,0,48,..,131,8,141,0,142,..,195,4,195,0,201
UCL102004,6,285,..,644,166,816,5,820,..,23,9,34,0,34,..,114,16,130,0,126,..,287,28,311,4,313,..,116,9,123,0,123,..,128,6,137,0,137,..,132,38,171,0,171,..,218,13,225,6,233,..,119,11,127,6,129,..,388,14,401,5,407,..,118,6,130,0,130,..,838,42,880,13,895,..,367,37,405,6,404,..,138,10,152,0,152,..,246,60,307,4,310,..,33,4,32,0,32,..,245,101,350,3,350,..,1623,368,1997,44,2043,..,10028,1801,11829,140,11967,..,379,56,442,7428,7865,144526,10409,1858,12272,7563,164361,284182,..,..,..,..,284182,..,225,4,223,4,227,..,648,212,857,9,870,..,73,0,71,3,75,..,706,219,927,8,932,..,1885,438,2328,9,2334,..,189,71,265,0,267,..,2789,730,3517,17,3535,..,286,52,332,0,331,..,279,6,286,3,284,..,457,18,477,4,479,..,756,24,777,8,789
UCL102005,0,194,..,2284,794,3077,38,3114,..,273,19,285,6,291,..,174,33,205,3,206,..,243,35,279,7,286,..,99,18,119,0,121,..,45,0,45,0,45,..,671,191,855,10,870,..,197,6,208,3,212,..,138,19,156,0,162,..,396,18,413,5,420,..,93,3,98,0,98,..,827,53,874,15,890,..,1008,200,1217,9,1217,..,64,3,67,0,68,..,325,76,398,0,397,..,474,110,589,5,598,..,476,199,678,0,678,..,2191,610,2797,57,2857,..,16766,4034,20794,291,21090,..,327,57,382,6084,6462,105535,17092,4084,21178,6370,133083,208044,..,..,..,..,208044,..,163,0,163,5,167,..,2374,658,3038,23,3061,..,33,0,33,0,33,..,540,199,733,3,740,..,2465,695,3164,15,3185,..,278,121,395,0,395,..,3284,1011,4290,20,4315,..,796,136,933,17,954,..,371,9,381,12,390,..,343,21,365,3,367,..,930,37,970,21,993
UCL111001,0,9,..,3,0,3,0,3,..,3,0,3,0,3,..,5,3,9,0,9,..,7,0,12,0,12,..,16,0,16,0,16,..,0,0,0,0,0,..,18,4,26,0,26,..,60,0,60,0,60,..,5,0,5,0,5,..,69,0,69,0,67,..,7,0,8,0,8,..,147,0,148,0,150,..,34,7,35,0,35,..,14,0,14,0,14,..,42,3,48,0,47,..,0,0,0,0,0,..,14,3,21,3,17,..,257,61,319,5,318,..,1391,350,1744,19,1760,..,58,4,63,1615,1684,21406,1454,354,1808,1639,24845,41256,..,..,..,..,41256,..,38,0,43,0,40,..,66,10,73,0,76,..,33,3,34,0,33,..,45,15,61,3,65,..,104,50,153,0,153,..,0,0,3,0,3,..,155,62,218,3,222,..,36,5,44,0,44,..,63,0,63,0,67,..,46,0,50,0,50,..,116,10,125,4,129
UCL111002,3,22,..,9,0,9,0,9,..,6,0,5,0,5,..,3,0,3,0,3,..,59,7,62,0,63,..,23,8,30,0,30,..,21,0,22,0,22,..,10,0,10,0,8,..,56,0,56,0,56,..,15,3,18,0,18,..,111,3,113,7,118,..,17,3,18,0,18,..,204,9,213,7,215,..,57,9,65,0,65,..,19,3,16,0,16,..,32,8,41,0,48,..,3,3,3,0,3,..,28,15,42,0,42,..,302,60,357,10,368,..,1429,295,1718,24,1746,..,86,5,89,1877,1964,36271,1512,294,1806,1904,39979,70873,..,..,..,..,70873,..,145,5,146,0,146,..,89,11,95,3,96,..,23,0,23,0,23,..,112,61,172,4,177,..,140,138,276,4,280,..,0,8,9,0,9,..,256,206,454,6,460,..,13,0,17,0,17,..,35,0,35,0,35,..,63,3,65,0,65,..,119,3,125,5,126
UCL112001,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,15,5,17,0,17,..,5,0,9,0,9,..,10,0,10,0,10,..,0,0,0,0,0,..,3,0,4,0,4,..,23,0,23,0,28,..,15,0,13,0,13,..,34,3,40,0,40,..,13,0,13,0,13,..,86,4,85,3,87,..,27,3,31,0,31,..,10,0,10,0,10,..,17,3,16,0,16,..,0,0,0,0,0,..,20,10,34,0,34,..,156,18,169,11,178,..,910,152,1059,15,1079,..,25,0,29,790,821,8799,941,153,1088,807,10698,16736,..,..,..,..,16736,..,14,0,14,0,14,..,227,71,303,4,302,..,19,0,15,0,15,..,47,12,61,0,64,..,174,75,252,0,255,..,25,9,33,0,33,..,248,101,345,3,352,..,3,0,3,0,3,..,20,0,20,0,20,..,54,3,61,3,58,..,79,0,79,0,79
UCL112002,0,6,..,0,0,0,0,0,..,5,0,5,0,5,..,15,0,18,0,18,..,3,0,3,0,3,..,7,0,8,0,8,..,4,0,4,0,4,..,9,0,11,0,11,..,19,0,19,0,19,..,3,0,3,0,3,..,36,0,36,0,34,..,5,0,5,0,5,..,58,0,58,0,60,..,19,0,20,0,22,..,16,0,18,0,18,..,23,12,35,0,35,..,0,0,0,0,0,..,18,4,24,0,24,..,124,23,141,0,144,..,668,92,763,10,770,..,33,0,33,1114,1145,15028,708,92,796,1121,16948,29252,..,..,..,..,29252,..,31,0,31,0,31,..,65,11,80,0,80,..,25,4,29,0,32,..,52,24,72,0,72,..,76,17,90,3,93,..,11,3,16,0,16,..,141,50,186,3,187,..,17,3,17,0,17,..,32,0,32,0,32,..,38,0,41,4,41,..,44,3,51,0,51
