UCL_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL101001,728,1781,5925,8445,14397,25489,32857,29263,16191,135084,244,1266,4752,5011,7705,9925,8923,9190,4412,51425,12217,21639,54708,41124,35169,31215,28108,22264,17023,263469,115103,311088,720002,633859,557398,456889,316734,174046,82873,3367988
UCL102001,13,11,52,52,108,248,314,282,148,1227,3,0,5,9,13,22,25,51,19,148,95,148,444,328,337,263,236,202,94,2151,961,2371,5745,5195,5644,4023,2353,1245,523,28050
UCL102002,79,112,323,406,878,1992,2668,2309,1698,10463,7,25,47,54,100,146,177,132,64,761,846,1020,1895,2098,2575,2809,3446,3537,2758,20989,8311,17056,33519,37026,40500,39224,34117,20672,9957,240392
UCL102003,7,18,59,76,144,390,672,710,475,2543,3,5,10,10,22,17,20,29,12,131,182,184,399,472,576,704,922,959,731,5131,1371,2699,5458,6510,7419,8449,8275,5686,2765,48638
UCL102004,117,141,385,414,856,1898,2519,2508,1714,10557,16,41,78,109,141,136,130,181,95,931,646,1012,1992,1793,2293,2492,2726,2813,2466,18236,8705,22746,42392,40347,41799,40169,31738,18044,8794,254736
UCL102005,74,120,289,407,791,2125,3073,3145,1747,11781,19,30,92,99,127,228,354,512,253,1707,711,1017,1893,1695,2011,2130,2408,2292,1439,15597,8093,19129,32951,32940,34083,31455,24422,15232,6476,204792
UCL111001,21,39,73,94,159,279,407,450,308,1832,3,3,29,49,55,37,43,40,16,282,182,291,480,432,457,513,469,535,320,3678,1381,3328,6216,5830,6009,5973,4571,2747,1296,37363
UCL111002,31,38,100,131,224,578,653,556,354,2680,3,7,21,23,29,23,18,18,10,162,209,226,567,549,579,569,625,543,285,4151,2202,4862,10870,10198,9890,8794,6726,3470,1325,58337
UCL112001,11,18,32,26,50,105,161,152,117,673,0,4,10,6,9,6,13,12,3,54,147,253,227,151,234,177,159,160,84,1595,1082,2387,2684,2105,2282,2141,1681,1114,495,15960
UCL112002,11,22,45,50,97,188,268,265,165,1098,0,0,9,9,14,23,13,10,3,81,217,396,509,362,304,299,315,275,191,2870,1170,2801,4540,3963,3981,3789,2823,1657,795,25519
UCL112003,9,4,17,23,69,127,136,129,79,594,0,0,5,8,10,13,16,12,3,68,63,67,155,210,252,390,394,271,132,1918,718,1308,2533,3526,4232,4810,3885,1729,632,23379
UCL112004,6,3,16,19,28,64,130,148,102,524,0,0,0,3,10,3,12,10,10,49,75,60,86,145,235,214,267,247,117,1457,484,775,1516,2124,2726,2917,3481,2228,821,17065
UCL112005,14,25,38,52,92,243,285,244,133,1133,0,3,3,6,6,18,14,10,3,58,92,206,518,403,306,250,270,234,158,2443,688,1490,2932,2627,2575,2596,2087,1230,554,16783
UCL112006,18,38,110,127,200,349,441,439,298,2025,4,10,31,51,52,31,33,15,12,234,151,211,396,355,468,577,537,628,565,3896,1266,2590,5149,5410,6160,6609,5610,3437,1627,37861
UCL112007,15,23,41,66,111,285,319,304,195,1336,0,0,3,10,14,24,22,25,12,112,137,186,423,308,332,355,343,310,164,2564,1008,2298,5095,4104,4112,3874,2801,1862,793,25940
UCL112008,8,12,29,49,87,168,281,228,119,979,0,4,13,7,16,23,18,18,3,103,91,180,407,346,291,245,341,301,251,2444,644,1381,2952,2690,2895,2760,2279,1378,667,17644
UCL112009,13,21,30,59,81,183,242,301,277,1209,0,3,4,8,13,11,16,16,12,73,126,212,312,231,290,348,275,257,207,2260,777,1922,3269,3196,3569,3710,2656,1636,946,21671
UCL112010,0,0,0,6,4,11,33,27,8,91,0,0,0,0,0,0,4,0,0,8,6,10,24,13,26,22,24,13,0,137,50,110,280,269,296,264,207,86,20,1583
UCL112011,15,24,61,80,124,295,337,277,158,1372,0,0,7,4,6,24,14,13,3,71,134,244,534,463,387,381,456,383,295,3278,889,1959,4015,3515,3548,3819,3387,1960,849,23939
UCL112012,21,24,67,79,145,315,373,327,228,1584,0,0,11,22,20,31,26,12,8,144,149,175,367,350,387,342,366,360,149,2646,1103,2178,5148,4738,4480,4117,3253,2070,895,27985
UCL112013,9,10,47,48,126,257,410,444,339,1690,0,0,5,11,13,23,19,12,16,91,121,114,281,245,350,417,681,673,535,3419,965,1860,4184,4756,5590,5929,6412,4141,1955,35800
UCL112014,13,27,66,69,145,268,348,333,263,1537,0,10,15,13,31,23,20,19,9,129,158,212,418,363,350,432,388,375,209,2901,969,2165,4636,3803,4029,4033,3149,2135,982,25899
UCL112015,16,41,101,108,164,280,393,377,300,1779,3,11,35,43,21,23,34,10,12,193,154,229,380,337,387,419,418,363,188,2877,1444,3471,6608,5881,5812,5654,4130,2479,1170,36665
UCL113001,3,11,19,31,49,111,184,205,209,811,0,4,6,3,5,8,8,7,8,46,45,51,112,131,188,251,264,297,237,1582,289,676,1425,1638,2040,2539,2490,1711,1039,13849
UCL113002,0,9,15,35,54,106,176,150,78,622,0,0,0,3,0,4,3,6,0,24,35,26,82,86,128,145,252,255,194,1203,251,424,874,1029,1292,1729,1969,1176,546,9289
UCL113003,3,17,47,61,122,351,340,244,122,1308,0,0,0,3,8,10,11,3,8,38,51,91,207,196,234,269,298,287,247,1880,465,955,2091,1850,2332,2641,2042,1217,593,14178
UCL113004,0,3,3,0,13,29,134,104,56,347,0,0,0,3,0,3,3,0,0,14,20,21,48,42,45,63,94,90,34,451,114,206,614,568,623,701,953,524,160,4462
UCL113005,3,16,22,31,68,175,315,303,210,1139,5,0,3,3,11,3,6,17,9,56,57,51,121,129,185,250,456,449,295,1985,417,658,1404,1642,2126,3006,3801,2541,1223,16815
UCL113006,12,13,43,49,79,136,220,216,202,968,0,3,4,3,10,3,8,13,5,48,68,102,227,211,195,216,229,248,139,1633,507,886,1821,1902,2026,2125,1856,1299,662,13084
UCL113007,8,21,45,59,88,188,271,306,189,1174,0,7,35,22,36,32,34,51,28,244,85,118,274,224,219,260,228,233,179,1814,563,1176,2790,2288,2293,2088,1468,1115,588,14373
UCL113008,5,13,31,22,63,129,189,127,69,652,6,0,0,5,3,6,5,4,6,30,75,151,356,247,207,222,174,191,192,1815,352,664,1292,1116,1204,1360,1219,674,358,8240
UCL113009,3,0,8,3,23,47,88,96,70,344,0,0,0,0,0,0,3,7,3,12,25,31,60,74,80,109,119,119,93,711,309,693,1215,1480,1769,2145,1772,953,435,10766
UCL113010,6,20,33,51,89,207,250,141,103,893,0,0,3,4,5,9,3,3,3,29,56,79,153,106,142,178,210,176,84,1182,523,1069,2210,2017,2066,2136,1683,731,326,12767
UCL113011,7,6,16,22,44,136,165,152,89,646,0,0,3,3,0,5,9,9,3,33,40,56,120,100,138,136,220,171,72,1055,320,643,1298,1209,1420,1537,1504,930,368,9230
UCL113012,10,12,23,39,66,153,180,180,120,782,0,3,7,4,3,23,15,9,3,67,37,51,97,88,123,185,230,267,274,1340,531,1100,1916,1918,2260,2472,2342,1688,792,15021
UCL113013,0,3,15,15,45,71,95,105,79,436,0,0,3,0,0,5,4,7,4,23,49,51,129,120,147,140,139,96,38,912,316,608,1549,1353,1385,1136,950,651,285,8228
UCL113014,5,13,28,21,56,101,96,99,44,472,0,0,0,0,3,8,3,7,4,25,33,41,100,91,120,100,95,69,37,685,307,634,1493,1281,1450,1196,802,414,139,7712
UCL113015,0,3,11,14,31,78,116,100,66,432,0,3,3,0,7,9,6,3,0,33,32,39,71,92,119,120,249,243,236,1205,283,592,1150,1498,1738,1974,2351,1238,530,11359
UCL113016,3,16,30,41,72,145,124,121,60,605,0,0,3,3,5,7,3,9,3,34,57,63,152,117,153,164,165,95,37,996,446,946,1681,1561,1705,1667,1169,664,268,10103
UCL113017,7,12,25,26,41,89,116,117,94,532,3,0,3,3,9,0,3,3,0,29,43,43,114,109,109,112,97,80,46,758,417,874,1860,1762,1852,1433,878,551,276,9903
UCL113018,4,0,9,17,48,119,184,135,35,561,0,0,4,0,0,4,5,6,3,24,28,30,49,43,99,112,168,181,81,797,269,424,828,1010,1222,1479,1671,949,254,8120
UCL113019,17,13,40,50,83,193,292,300,208,1200,0,0,0,3,9,7,10,19,10,61,67,69,117,112,185,247,289,289,242,1627,485,977,1757,1762,2120,2397,2305,1598,814,14225
UCL113020,7,3,12,13,28,121,162,168,71,584,0,0,3,3,5,3,5,5,4,30,38,33,75,79,118,171,213,197,89,1012,265,415,1006,1267,1547,2145,2216,1364,446,10672
UCL114001,4,5,0,4,9,22,56,80,99,277,0,0,0,0,3,0,0,0,0,12,9,8,19,39,31,44,63,72,47,325,101,149,346,565,573,702,688,538,354,4023
UCL114002,3,0,3,5,6,27,58,34,15,159,0,0,0,0,3,0,5,0,0,12,23,12,31,30,57,73,136,93,29,483,158,251,374,554,718,738,739,379,88,3995
UCL114003,0,0,5,3,8,15,23,24,42,127,0,0,0,0,0,0,3,0,0,8,63,100,263,219,221,248,153,68,55,1392,192,473,1487,1345,1278,1483,894,321,223,7704
UCL114004,0,3,3,17,24,55,131,137,63,432,0,0,0,0,3,0,0,4,3,18,15,15,37,34,61,97,185,229,170,835,95,159,404,489,829,1249,1678,1177,479,6567
UCL114005,11,20,20,27,50,112,171,203,145,754,3,0,7,0,3,10,5,8,3,36,53,47,77,115,134,119,146,142,75,903,328,580,1048,971,1139,1224,1159,831,380,7662
UCL114006,3,5,7,11,28,61,73,74,54,306,0,0,0,0,6,4,6,5,3,27,24,28,110,108,121,90,110,124,78,798,179,343,739,702,878,855,745,505,235,5186
UCL114007,3,4,10,15,21,62,101,115,72,401,0,0,3,3,3,3,0,0,0,14,14,18,44,41,42,59,96,104,48,470,133,239,511,561,606,840,846,608,267,4611
UCL114008,0,0,9,15,9,42,108,86,52,317,0,0,0,0,0,0,0,0,7,13,24,22,22,43,69,67,91,103,80,519,148,265,440,470,683,790,767,530,217,4303
UCL114009,4,7,17,19,46,118,139,141,103,585,0,0,3,0,9,3,3,0,3,30,55,44,80,81,103,118,127,118,51,774,246,458,792,820,995,1084,1036,726,377,6529
UCL114010,3,0,13,15,30,85,82,99,56,384,0,0,3,0,3,8,12,4,3,33,28,46,61,66,82,131,144,132,84,772,163,400,697,744,805,1010,796,581,271,5465
UCL114011,0,4,6,12,41,73,110,88,43,377,0,0,0,0,0,6,9,3,0,16,44,38,62,64,88,106,135,96,26,661,201,382,763,709,833,851,838,563,175,5319
UCL114012,3,0,9,21,26,60,99,91,63,375,0,0,3,0,0,4,3,0,0,19,28,33,63,58,59,64,115,87,70,576,140,272,526,500,522,738,706,426,223,4047
UCL114013,3,7,14,14,34,83,95,110,85,453,0,0,0,3,7,8,11,3,4,35,29,50,90,93,101,79,111,134,56,745,219,463,1138,835,910,904,787,615,283,6153
UCL114014,0,0,3,3,6,16,30,25,18,100,0,0,0,0,3,0,0,3,0,6,14,8,25,30,37,44,39,14,6,214,191,360,695,999,920,677,376,156,60,4423
UCL114015,3,9,15,27,44,88,149,180,84,608,0,0,3,3,0,6,7,3,0,25,46,42,100,97,95,114,143,114,60,815,294,632,1127,1000,1045,1054,1061,757,307,7277
UCL114016,3,7,17,15,37,53,74,111,52,368,0,0,0,0,4,0,3,10,3,26,41,35,65,80,96,110,101,92,75,706,193,398,809,749,890,851,669,507,204,5276
UCL114017,0,0,0,0,7,17,25,23,13,76,0,0,0,0,0,0,0,0,0,7,16,17,27,46,50,62,54,15,6,303,115,227,602,867,939,959,580,202,89,4578
UCL114018,3,3,19,5,17,51,41,24,9,170,0,0,0,0,0,0,3,0,0,3,37,34,92,107,71,73,52,31,9,514,260,481,1120,1381,1253,978,737,247,40,6496
UCL114019,4,0,13,9,14,34,64,87,59,291,0,0,0,0,0,0,4,0,0,13,12,20,53,36,67,94,133,140,85,640,147,299,554,634,902,1284,1417,829,327,6394
UCL114020,3,7,19,15,46,74,126,65,31,383,0,0,3,3,3,3,14,4,0,35,59,61,131,137,147,134,148,106,29,946,205,464,982,909,948,858,729,420,131,5637
UCL114021,3,0,3,12,25,66,66,59,19,257,0,0,0,4,3,3,3,7,0,25,18,25,64,75,69,61,88,65,16,475,207,350,849,882,1001,1028,984,536,135,5974
UCL114022,9,0,13,17,34,91,107,127,87,484,0,3,0,0,4,3,0,8,6,25,28,29,69,63,96,121,122,154,150,830,235,391,846,1014,1236,1293,1046,695,420,7174
UCL114023,3,0,3,13,24,80,113,96,76,403,0,0,0,0,0,3,0,5,0,13,15,15,36,38,87,105,161,160,114,737,128,224,450,480,679,1062,1160,733,374,5292
UCL114024,0,3,12,15,23,80,76,76,31,314,0,0,0,0,3,8,0,3,3,16,43,49,77,57,84,109,85,89,50,636,190,338,780,642,711,757,563,376,142,4500
UCL114025,6,4,12,12,34,103,120,108,103,510,0,0,3,0,3,5,3,6,0,21,58,48,92,98,129,142,167,169,82,989,321,607,1207,1054,1186,1191,947,692,337,7532
UCL114026,0,0,3,7,9,31,55,43,22,173,0,0,0,0,0,0,0,4,0,3,20,8,24,44,33,47,69,67,89,411,132,194,627,961,750,821,776,343,161,4767
UCL114027,4,0,3,3,5,22,57,47,38,194,0,0,0,0,0,0,3,10,6,18,17,14,23,33,49,67,71,108,50,443,133,187,336,491,642,733,927,643,245,4347
