UCL_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
UCL112013,9952,2210,1905,131,62,14262,1513,794,855,106,11,3274,260,120,128,14,7,535,11728,3125,2881,259,82,18070
UCL112014,7847,953,179,170,57,9207,2056,646,157,126,12,2995,324,116,23,12,5,474,10220,1715,357,308,78,12685
UCL112015,12185,521,1358,124,28,14212,2442,251,666,19,3,3379,395,32,89,9,0,533,15023,801,2115,151,35,18116
UCL113001,2997,1655,400,189,16,5253,637,682,129,171,8,1628,115,114,18,31,4,272,3747,2448,546,389,29,7156
UCL113002,2563,367,362,27,24,3346,632,185,218,29,4,1066,96,23,28,8,3,163,3299,571,609,68,24,4573
UCL113003,4748,89,65,14,13,4936,1752,70,94,3,4,1920,255,6,18,0,8,286,6760,164,183,18,23,7142
UCL113004,1438,76,95,29,7,1646,305,41,62,13,0,427,40,8,4,7,0,59,1778,126,169,53,6,2125
UCL113005,4127,1005,794,82,52,6064,1055,635,438,53,16,2195,153,70,70,16,3,313,5335,1710,1304,154,73,8577
UCL113006,3866,322,257,54,20,4526,1167,238,254,34,3,1694,155,26,37,3,6,221,5189,584,543,88,28,6436
UCL113007,3793,229,484,34,19,4555,1092,146,260,35,9,1547,163,18,61,7,0,252,5052,389,805,76,32,6348
UCL113008,2115,72,70,21,17,2295,954,99,93,18,5,1178,125,11,12,6,10,162,3193,185,179,46,32,3640
UCL113009,3317,680,322,23,20,4358,288,97,154,5,0,555,61,15,20,3,4,101,3664,790,500,36,17,5013
UCL113010,4117,293,60,12,19,4493,1158,171,51,4,4,1390,147,17,8,0,3,178,5418,485,120,11,20,6054
UCL113011,2920,255,66,15,10,3267,986,217,55,13,6,1281,122,31,8,0,3,167,4029,511,126,31,12,4715
UCL113012,5124,407,86,9,10,5636,888,213,27,0,0,1137,157,27,3,0,9,196,6172,649,122,9,22,6974
UCL113013,2733,153,95,24,16,3015,626,115,78,23,4,849,87,27,10,9,4,137,3444,290,187,60,19,4001
UCL113014,2659,300,20,3,8,2992,638,158,10,0,3,812,90,18,0,0,6,114,3385,477,28,3,18,3920
UCL113015,2880,1078,389,10,21,4385,446,249,152,3,12,865,68,45,20,0,3,139,3395,1376,565,18,39,5391
UCL113016,3080,474,19,15,12,3595,721,248,13,6,3,990,97,23,26,111,8,264,3894,745,54,134,21,4853
UCL113017,3310,337,138,22,12,3827,602,138,106,28,5,886,76,17,12,3,5,108,3991,490,254,54,30,4819
UCL113018,2857,120,26,24,4,3029,760,33,17,25,0,836,114,14,0,3,0,132,3730,160,44,49,3,3993
UCL113019,4272,398,309,30,22,5024,1230,320,284,9,16,1863,181,37,38,5,10,265,5675,751,629,51,44,7155
UCL113020,3586,296,99,68,13,4072,874,148,38,57,5,1126,140,18,3,7,0,172,4599,464,145,138,19,5370
UCL114001,1312,281,31,4,11,1633,241,136,5,0,0,389,39,20,0,0,3,60,1598,427,36,9,10,2081
UCL114002,1223,178,3,59,14,1476,209,30,0,27,9,270,40,4,0,3,3,46,1472,207,4,92,23,1801
UCL114003,1826,464,259,84,39,2676,160,48,61,42,16,336,74,14,18,13,12,127,2061,532,342,137,66,3137
UCL114004,1792,316,112,123,16,2360,485,225,84,131,4,924,68,20,8,24,0,130,2343,560,212,276,22,3419
UCL114005,2220,27,218,42,5,2519,890,43,242,36,0,1216,118,0,35,4,0,157,3227,71,495,80,12,3891
UCL114006,1734,52,77,14,10,1898,432,50,74,11,3,567,81,6,7,3,22,128,2253,112,163,30,42,2589
UCL114007,1490,57,29,10,3,1587,584,61,37,5,4,691,70,3,3,0,0,80,2143,119,67,17,9,2352
UCL114008,1422,61,61,18,13,1574,406,40,56,14,0,522,57,11,9,0,3,88,1884,118,130,29,11,2177
UCL114009,2035,51,101,10,9,2196,726,67,115,0,6,916,99,10,13,0,0,119,2863,128,224,12,17,3242
UCL114010,1717,28,112,16,23,1902,556,24,102,8,13,708,71,3,13,3,0,86,2344,57,232,28,33,2700
UCL114011,1647,61,62,34,9,1808,623,51,65,15,5,758,86,4,16,3,0,109,2354,115,139,48,10,2675
UCL114012,1245,23,55,9,25,1350,545,13,54,3,15,621,73,0,10,0,5,87,1866,31,115,12,40,2064
UCL114013,1861,77,117,10,12,2077,694,64,112,9,5,889,82,10,14,0,3,107,2635,157,241,17,22,3075
UCL114014,1476,64,217,8,3,1765,128,7,25,3,0,159,27,0,3,0,0,25,1627,73,246,8,3,1958
UCL114015,2172,85,161,24,39,2480,856,74,167,10,5,1108,108,7,25,3,3,148,3134,164,351,39,49,3739
UCL114016,1601,102,119,10,10,1843,469,73,63,12,7,626,63,6,8,0,3,83,2137,183,194,22,22,2556
UCL114017,1356,511,81,11,13,1966,87,50,5,3,0,142,28,11,0,0,4,49,1465,570,89,10,19,2152
UCL114018,2524,31,4,5,4,2565,205,8,4,0,0,218,49,0,0,0,3,51,2780,34,11,5,8,2839
UCL114019,1815,483,191,15,30,2529,243,171,84,5,3,503,57,21,11,8,3,98,2112,671,282,28,32,3129
UCL114020,1408,65,204,31,5,1716,548,40,190,17,5,803,117,9,39,4,0,160,2073,108,432,58,15,2677
UCL114021,2120,209,48,24,21,2419,352,94,30,22,0,499,54,9,4,6,12,83,2519,302,79,51,28,2993
UCL114022,2234,141,206,15,12,2612,468,88,164,11,3,741,63,6,26,3,0,105,2770,237,397,33,21,3457
UCL114023,1421,101,210,126,10,1857,478,82,150,110,4,830,53,6,25,13,0,98,1956,188,382,250,11,2790
UCL114024,1309,60,91,15,6,1479,442,32,99,5,4,592,61,7,12,3,0,85,1814,102,207,18,12,2154
UCL114025,2359,80,132,14,16,2603,729,56,127,8,9,938,102,0,17,0,0,125,3195,138,273,23,31,3666
UCL114026,1538,340,61,25,13,1981,144,69,22,14,0,249,34,15,3,3,0,58,1720,422,83,43,16,2283
UCL114027,1105,463,124,13,11,1712,155,168,51,9,4,392,28,21,10,4,4,67,1280,654,186,29,15,2170
UCL114028,1361,99,121,12,12,1603,342,82,57,12,3,491,40,3,7,0,0,52,1739,181,186,27,13,2150
UCL114029,1738,20,19,7,0,1786,310,3,5,0,0,321,48,0,0,0,0,53,2104,26,24,16,0,2167
UCL114030,1525,54,57,0,7,1639,524,49,48,0,7,623,46,8,6,0,0,64,2095,106,113,3,15,2323
UCL114031,1626,145,58,16,3,1849,492,87,62,4,0,648,60,3,5,0,0,71,2176,238,119,22,3,2558
UCL114032,1530,182,198,61,7,1978,361,82,61,37,3,544,60,12,12,7,0,95,1956,274,273,107,12,2618
UCL114033,480,34,59,8,0,582,152,9,37,3,4,199,25,3,3,0,0,29,653,43,100,9,4,815
UCL114034,1394,113,20,10,3,1534,327,85,3,4,0,423,42,12,0,0,0,54,1766,203,20,9,7,2007
UCL114035,1674,102,110,3,0,1894,580,85,124,4,0,796,69,12,18,0,0,105,2325,202,257,7,8,2792
UCL115001,453,8,28,20,3,512,137,0,14,24,0,174,14,0,3,0,0,20,605,8,44,40,3,706
UCL115002,371,5,3,3,0,387,50,0,3,3,0,56,6,0,0,0,0,6,429,5,9,3,0,449
UCL115003,451,9,3,59,0,522,80,4,4,23,0,104,21,0,0,4,0,29,553,12,5,78,0,655
UCL115004,262,3,14,4,0,284,125,6,12,6,0,148,13,4,0,0,0,18,402,13,25,10,0,450
UCL115005,515,7,7,3,3,539,28,5,0,0,0,38,8,0,0,0,0,11,558,18,11,3,4,589
UCL115006,810,103,0,15,0,928,113,34,0,21,0,166,21,10,0,0,0,27,946,137,0,35,0,1122
UCL115007,266,25,12,10,0,314,124,19,18,3,0,166,14,0,3,0,0,20,397,44,37,15,3,501
UCL115008,436,11,13,12,0,476,81,15,16,5,0,119,15,0,3,0,0,19,534,31,33,25,0,614
UCL115009,272,0,5,3,6,280,175,7,10,3,0,193,27,0,3,3,0,28,469,9,18,7,6,506
UCL115010,420,13,0,0,0,428,81,9,0,0,0,89,9,0,34,0,0,44,509,18,34,0,0,564
UCL115011,255,0,3,5,4,271,113,3,0,0,0,119,13,3,0,3,0,21,382,7,4,8,3,407
UCL115012,1051,75,17,0,10,1159,305,86,12,0,5,407,57,10,0,0,0,70,1416,171,32,3,16,1632
UCL115013,935,34,8,3,5,988,135,15,3,0,0,156,22,0,0,0,0,25,1098,50,15,3,5,1170
UCL115014,402,66,17,12,10,504,83,19,9,3,0,115,19,0,0,0,0,22,501,87,29,13,7,633
UCL115015,563,68,43,4,16,685,70,33,5,4,5,116,18,3,0,0,0,17,646,100,54,9,19,826
UCL115016,231,4,0,4,0,237,186,11,7,4,0,209,20,0,0,0,0,23,432,15,10,11,0,466
UCL115017,1535,23,8,7,9,1581,221,12,12,3,3,246,35,0,0,0,0,34,1790,40,17,7,13,1862
UCL115018,727,9,26,9,0,767,230,9,22,0,0,264,39,0,3,3,28,69,994,24,52,11,27,1106
UCL115019,292,3,9,0,3,312,136,5,6,0,0,151,10,0,0,0,0,14,435,10,13,5,4,473
UCL115020,835,12,5,41,0,893,92,5,0,20,0,120,25,0,0,0,0,26,946,19,4,62,0,1036
UCL115021,319,0,10,3,0,330,128,0,27,3,3,163,12,0,0,0,0,15,457,0,46,6,3,508
UCL115022,311,12,16,10,12,354,179,5,11,0,0,191,32,0,0,0,0,37,518,16,30,8,10,582
UCL115023,428,0,0,0,3,433,31,0,0,0,0,31,11,0,0,0,0,11,469,0,0,0,3,475
UCL115024,333,21,5,0,5,358,91,6,0,0,0,101,24,0,3,0,0,27,448,26,4,0,7,494
UCL115025,722,66,12,0,3,804,123,22,8,0,0,156,22,7,0,0,0,28,871,92,22,0,3,989
UCL115026,564,127,20,3,6,722,76,37,10,0,0,122,16,5,0,0,3,30,657,173,29,3,11,872
UCL115027,310,44,100,52,7,506,51,14,47,15,0,132,15,3,7,4,3,35,379,60,154,74,11,679
UCL115028,258,7,9,11,0,286,128,3,4,11,0,142,18,0,0,3,0,22,400,10,9,23,0,445
UCL115029,864,12,9,7,4,890,108,4,6,0,0,121,13,0,0,3,0,22,992,15,11,3,4,1033
UCL115030,603,3,4,5,3,622,63,0,0,3,0,70,15,0,0,0,0,21,685,3,3,8,5,710
UCL115031,952,12,4,7,0,974,61,3,0,0,0,64,18,0,0,0,0,18,1027,15,4,4,0,1055
UCL115032,458,0,0,0,0,461,50,0,0,0,0,52,12,0,0,0,0,12,521,3,0,0,0,529
UCL115033,863,32,3,0,0,893,125,5,0,0,0,135,14,0,0,0,0,20,1001,35,3,0,3,1043
UCL115034,878,34,0,0,4,915,195,3,0,8,0,215,34,0,0,0,0,36,1109,39,0,14,3,1166
UCL115035,359,0,0,0,0,355,19,0,0,0,0,19,8,0,0,0,0,8,378,0,0,0,0,379
UCL115036,379,0,10,8,0,402,165,3,19,0,0,194,13,0,3,0,0,22,560,9,28,13,0,611
UCL115037,866,17,54,20,3,961,273,5,38,4,0,323,53,0,8,0,0,58,1191,22,99,21,3,1344
UCL115038,403,0,0,0,3,407,41,0,0,0,0,48,3,0,0,0,0,3,449,0,0,0,3,457
UCL115039,582,5,22,3,0,620,354,3,9,3,0,369,41,0,5,3,0,47,976,8,40,12,0,1036
UCL115040,406,0,8,0,6,418,136,0,8,0,0,148,17,0,5,0,0,20,555,5,21,0,4,591
UCL115041,585,18,25,6,10,643,266,21,12,4,0,305,22,3,0,4,6,36,869,45,44,16,16,981
UCL115042,425,3,24,6,3,466,285,0,28,3,0,316,43,0,3,0,3,48,764,3,57,6,5,830
UCL115043,437,5,3,4,0,450,63,0,0,0,0,59,7,0,0,3,3,20,505,7,4,5,3,524
UCL115044,558,21,0,4,0,582,237,38,3,0,0,272,15,8,0,0,0,26,807,59,3,7,0,880
UCL115045,959,35,20,10,4,1029,277,35,7,0,0,324,30,0,0,0,0,37,1272,71,30,12,6,1385
UCL115046,288,3,7,3,0,298,98,0,6,7,0,110,12,0,0,0,0,14,401,6,4,12,0,423
UCL115047,552,24,14,0,3,591,121,11,3,0,0,134,21,6,0,0,0,20,686,41,12,0,8,753
UCL115048,325,12,6,0,4,347,102,37,5,0,0,145,21,0,16,0,0,33,447,49,30,0,4,529
UCL115049,310,3,7,0,8,324,115,0,13,0,0,128,16,0,0,0,0,14,433,7,13,5,9,464
UCL115050,292,3,4,0,0,311,18,0,3,0,0,23,8,0,0,0,0,11,326,3,12,5,0,341
UCL115051,578,6,19,0,3,604,222,15,8,4,0,244,29,0,3,0,0,29,825,19,32,3,3,880
UCL115052,706,60,54,25,10,854,222,30,41,18,0,314,36,4,6,5,0,51,967,96,94,47,8,1215
UCL115053,839,70,6,0,3,919,51,32,0,0,3,83,17,6,0,0,0,26,906,114,10,0,9,1028
UCL115054,495,244,87,32,0,856,139,135,42,20,0,335,20,14,3,0,0,42,646,387,128,57,4,1224
UCL115055,265,173,3,14,3,464,69,75,3,8,0,155,10,11,0,0,0,18,339,264,12,17,3,637
UCL115056,472,28,10,8,0,524,182,19,15,3,0,219,18,4,6,3,0,28,677,52,30,14,0,767
UCL115057,503,0,55,3,3,563,83,0,15,8,0,105,9,0,0,4,0,17,597,0,70,20,3,686
UCL115058,244,0,12,0,0,262,83,0,12,0,0,99,6,0,0,0,0,9,336,0,28,0,0,363
UCL115059,369,0,0,0,0,372,50,0,0,0,0,50,12,0,0,0,0,17,433,0,0,0,3,436
UCL115060,308,16,29,0,0,357,25,6,0,0,0,26,9,0,0,0,0,5,337,26,29,0,0,393
UCL115061,1138,66,70,0,3,1279,124,11,51,0,0,185,22,3,3,0,0,29,1283,73,131,0,3,1494
UCL115062,558,0,17,4,6,579,340,3,30,0,0,372,26,0,0,0,0,24,924,4,43,4,9,981
UCL115063,705,3,0,0,0,706,69,0,0,0,0,69,15,0,0,0,0,13,783,3,0,0,0,788
UCL115064,605,9,22,14,3,656,272,15,34,10,0,332,31,0,3,6,0,36,916,25,59,35,3,1032
UCL115065,434,0,0,0,0,434,6,0,0,0,0,6,3,0,0,0,0,3,447,0,0,0,0,451
UCL115066,334,0,15,12,3,367,126,0,4,18,0,154,13,0,0,0,0,14,474,3,17,35,3,535
UCL115067,554,10,4,6,0,582,225,20,3,3,0,256,40,3,0,0,0,41,816,41,8,10,3,875
UCL115068,744,7,4,3,3,768,154,0,0,0,0,156,20,0,0,0,0,20,924,9,3,3,3,945
UCL115069,490,14,0,11,7,515,145,23,3,4,3,187,19,3,0,3,4,26,655,39,3,19,13,733
UCL115070,478,0,0,0,0,486,61,0,0,0,0,59,12,0,0,0,0,12,549,0,0,3,0,554
UCL115071,464,18,3,14,3,503,207,13,17,4,0,237,24,0,4,0,0,28,698,33,22,25,6,773
UCL115072,440,9,13,0,3,466,219,4,14,0,3,250,11,0,0,0,0,15,679,21,26,3,3,732
UCL115073,483,17,0,15,5,515,239,12,0,4,0,257,39,3,0,0,7,46,762,27,0,23,9,820
UCL115074,817,115,9,21,0,960,205,45,7,27,0,279,32,5,0,4,0,37,1043,166,16,52,0,1279
UCL115075,494,8,31,3,3,536,269,11,21,3,3,309,38,0,5,3,0,41,801,27,51,3,6,891
UCL115076,581,0,0,0,4,587,100,0,0,0,0,107,19,0,0,0,0,19,704,0,0,0,7,714
UCL115077,235,0,16,7,0,257,110,0,6,9,0,127,16,0,0,0,0,18,360,0,27,10,0,401
UCL115078,310,0,5,0,3,320,135,7,18,0,0,159,12,0,4,0,0,22,461,12,25,3,3,505
UCL115079,662,17,14,3,0,695,166,15,13,10,0,199,24,0,0,0,0,24,853,33,35,14,0,927
UCL115080,436,28,37,33,3,536,167,19,25,28,0,247,13,3,4,0,0,24,616,46,68,63,6,803
UCL115081,232,126,150,7,19,533,32,23,26,0,0,87,12,6,9,0,0,26,273,163,184,8,20,646
UCL115082,341,12,0,0,0,358,32,5,0,0,0,42,4,0,0,0,0,7,382,15,0,0,0,399
UCL115083,380,18,0,0,5,402,81,7,0,0,0,89,8,0,0,0,0,8,466,26,0,0,5,494
UCL115084,957,20,10,4,6,995,293,21,25,0,0,339,64,0,4,0,0,69,1312,40,36,3,7,1404
UCL115085,303,0,14,0,6,322,174,7,7,4,9,202,23,0,0,0,0,27,503,11,23,3,12,549
UCL115086,270,3,13,37,0,326,97,0,0,45,0,142,12,0,0,5,0,14,380,3,16,86,0,489
UCL115087,437,29,3,3,0,471,119,15,3,0,0,139,5,3,0,0,0,12,562,45,6,4,0,621
UCL115088,317,3,10,0,0,333,32,7,3,0,0,44,4,0,0,0,0,6,353,15,11,0,0,383
UCL115089,685,7,31,15,11,751,274,3,29,9,0,309,31,0,4,0,0,36,989,14,65,28,8,1099
UCL115090,204,3,13,0,41,258,109,0,9,3,20,152,15,0,7,0,3,19,331,3,23,3,67,425
UCL115091,815,45,27,0,8,890,127,18,29,0,0,173,34,3,0,0,0,32,969,67,59,0,8,1103
UCL115092,743,56,19,14,0,832,153,18,8,4,0,183,34,0,0,0,0,33,925,81,29,17,0,1051
UCL115093,276,0,36,10,20,342,150,3,27,12,6,204,24,0,3,0,5,33,454,3,68,31,33,583
UCL115094,673,7,23,11,6,717,246,11,43,3,0,302,39,3,3,0,0,45,955,19,63,15,8,1065
UCL115095,645,41,21,14,8,730,235,31,10,15,0,295,25,9,4,4,0,40,908,76,40,36,11,1066
UCL115096,704,18,3,0,7,727,98,0,0,0,0,98,22,0,0,0,3,23,820,21,3,0,7,846
UCL115097,465,0,13,5,3,483,258,3,28,0,0,290,46,0,3,3,0,48,767,3,41,10,3,827
UCL115098,343,23,3,0,0,375,43,23,0,0,0,67,15,4,0,0,0,20,403,52,3,0,3,461
UCL115099,415,6,13,5,3,445,119,3,19,7,0,147,23,5,0,0,0,22,552,19,38,15,3,620
UCL115100,619,19,49,11,6,705,247,20,46,10,0,323,31,0,7,3,0,47,901,33,102,22,10,1065
UCL115101,900,28,57,6,3,990,161,12,19,3,9,192,30,3,6,0,0,38,1081,40,76,13,13,1222
UCL115102,507,3,0,0,0,506,16,0,0,0,0,22,3,0,0,0,0,3,528,6,0,0,0,529
UCL115103,845,103,64,36,3,1061,219,74,44,40,0,377,29,11,11,0,0,57,1102,191,122,80,4,1493
UCL115104,870,26,33,4,6,942,400,11,25,3,0,441,44,0,3,0,0,54,1319,36,63,3,9,1440
UCL115105,797,11,25,0,11,837,341,13,33,3,5,399,43,0,4,0,0,49,1184,22,61,3,14,1287
UCL115106,433,23,20,6,3,489,211,8,6,0,0,232,29,0,0,3,0,34,673,31,28,14,7,753
UCL115107,589,3,17,0,39,649,212,4,23,0,14,260,35,0,8,0,0,42,834,8,41,0,58,948
UCL115108,1259,89,67,3,7,1423,176,23,22,0,4,229,38,4,7,0,3,47,1473,112,92,7,17,1703
UCL115109,932,166,69,16,32,1211,209,64,39,0,7,324,35,13,0,0,3,52,1176,241,117,14,39,1587
UCL115110,425,16,0,0,0,442,134,4,0,0,0,140,26,0,0,0,0,26,586,21,0,0,0,608
UCL115111,384,102,8,13,3,510,71,38,3,10,0,118,16,3,0,0,0,19,464,150,9,20,3,647
UCL115112,893,64,45,0,0,1004,119,30,26,0,0,170,24,5,0,0,0,25,1035,95,71,3,0,1201
UCL115113,667,4,8,6,0,686,50,0,0,3,0,58,11,0,0,0,0,15,733,4,12,6,0,759
UCL115114,387,6,0,67,22,483,173,0,0,23,6,200,26,0,0,7,0,32,586,6,0,88,32,714
UCL115115,661,9,34,8,3,705,292,6,32,0,0,329,20,0,5,0,0,28,972,14,65,8,0,1068
UCL115116,829,302,36,0,6,1170,139,64,12,0,0,218,17,9,4,0,0,30,988,374,54,0,6,1417
UCL115117,411,0,0,0,0,411,49,0,0,0,0,49,6,0,0,0,0,3,471,0,0,0,4,470
UCL115118,1055,39,3,3,0,1104,133,3,7,0,3,142,29,0,0,3,0,32,1214,45,11,3,5,1284
UCL115119,1253,51,80,7,10,1398,362,20,69,8,0,459,49,3,9,0,0,65,1667,77,157,15,12,1924
UCL115120,712,92,49,128,3,980,153,39,32,121,0,346,21,7,4,16,0,49,886,133,83,263,3,1376
UCL115121,1195,6,0,0,3,1203,157,4,0,0,0,167,31,0,0,0,0,35,1379,12,3,3,0,1397
UCL115122,294,48,3,9,0,352,40,4,0,6,0,46,8,0,0,0,0,8,344,51,3,17,0,411
UCL115123,397,0,0,0,0,400,51,0,0,0,0,50,13,0,0,0,0,13,459,3,0,0,0,461
UCL115124,616,37,12,3,0,661,50,3,0,0,0,63,6,0,0,0,0,11,672,39,12,4,0,734
UCL115125,371,20,19,0,0,407,15,5,3,0,0,25,7,0,0,0,0,11,393,28,25,0,0,438
UCL115126,876,21,28,106,6,1039,323,14,24,50,0,417,47,9,3,13,0,61,1248,47,56,167,9,1527
UCL115127,1200,38,0,0,3,1251,237,22,0,3,0,267,43,3,0,0,0,48,1486,66,0,3,3,1559
UCL115128,1171,36,14,0,5,1230,232,37,0,0,0,271,42,0,0,0,0,46,1440,78,17,0,5,1544
UCL115129,420,48,51,9,0,529,70,15,25,0,0,112,10,8,6,0,0,24,498,66,84,14,0,662
UCL115130,771,47,32,9,4,863,141,15,8,0,0,166,19,4,3,0,0,32,938,71,43,12,5,1060
UCL115131,1021,14,51,9,3,1106,426,19,56,6,0,507,45,0,3,0,0,47,1492,38,112,22,3,1663
UCL115132,755,19,9,9,4,808,313,22,19,5,0,360,40,3,0,0,0,43,1108,47,30,13,4,1211
UCL115133,444,12,3,0,0,453,66,4,0,0,0,75,6,0,0,0,0,12,520,17,8,0,0,535
UCL115134,772,59,0,3,5,848,93,45,0,0,0,135,16,8,0,0,0,24,885,110,3,10,5,1008
UCL115135,631,10,23,39,0,705,183,17,10,16,0,229,32,0,3,5,0,40,850,23,39,55,0,970
UCL115136,271,14,13,29,0,317,47,0,6,20,0,71,5,0,0,0,0,8,321,15,14,48,0,397
UCL115137,368,4,10,3,5,389,131,11,0,0,3,144,19,0,0,3,0,23,523,15,11,6,5,561
UCL115138,775,18,23,0,4,821,165,7,5,0,0,178,24,3,3,0,0,34,968,28,37,0,4,1029
UCL115139,641,4,11,15,4,677,222,3,12,6,0,247,24,0,3,0,0,32,896,12,29,19,5,959
UCL115140,702,47,43,22,6,818,181,39,37,22,3,282,24,3,3,6,0,40,911,99,85,42,10,1141
UCL115141,441,27,0,3,0,472,74,3,0,6,0,78,19,0,0,0,0,19,529,26,0,11,0,569
UCL115142,813,58,47,3,0,918,164,15,16,0,0,194,37,0,3,0,0,46,1011,74,66,3,3,1152
UCL115143,341,0,11,6,3,363,188,0,7,3,4,203,15,0,0,0,0,18,548,0,17,9,10,588
UCL115144,226,0,21,0,12,256,171,0,18,0,19,212,25,0,0,0,0,28,424,0,41,0,30,490
UCL115145,260,0,15,11,6,289,28,0,23,18,0,67,9,0,3,3,4,13,293,0,44,27,8,372
UCL115146,361,9,0,152,4,532,97,8,9,33,3,146,14,0,0,3,0,20,476,22,5,184,3,690
UCL115147,281,3,4,3,3,291,151,3,10,5,0,163,18,0,5,0,0,24,450,5,15,9,3,477
UCL115148,315,4,11,0,0,330,197,3,27,6,3,231,22,0,4,0,0,32,535,6,39,4,3,591
UCL115149,342,12,8,10,0,371,132,32,11,9,0,186,22,3,0,0,3,26,495,57,18,12,3,589
UCL115150,919,24,15,99,4,1071,482,52,13,36,3,587,52,0,3,8,0,63,1449,81,39,140,10,1720
UCL115151,271,8,22,9,0,318,128,3,36,7,3,179,20,0,5,0,0,25,421,12,67,11,7,514
UCL115152,324,3,4,3,0,337,205,0,10,4,0,224,18,0,0,0,0,22,554,3,15,11,0,578
UCL115153,671,4,18,4,17,716,241,3,22,0,0,278,47,0,4,0,7,53,964,9,45,6,26,1048
UCL115154,537,3,0,11,3,552,60,0,0,24,0,93,4,0,0,3,0,12,605,3,0,38,6,652
UCL115155,374,0,0,0,0,380,14,0,0,0,0,14,3,0,0,0,0,3,394,0,0,0,0,396
UCL115156,1117,38,26,4,4,1198,431,57,24,3,4,511,35,10,0,0,0,48,1582,99,52,14,7,1759
UCL115157,563,53,69,0,0,691,66,14,20,0,0,103,12,0,0,0,0,12,641,70,86,0,0,805
