UCL_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL101001,1619566,1680476,3300041,54176,54347,108522,186670,189275,375941,4606,4191,8796,5187,5041,10230,1539,1351,2884,2714,2262,4974,328,320,652,605,486,1086,1420,1476,2893,48,24,64,203115,204419,407534,55927,61438,117362,4170,3679,7847,317392,323875,641272,166775,159980,326751,2103733,2164331,4268067
UCL102001,13757,13762,27519,528,556,1079,1111,1128,2238,99,85,181,116,113,226,36,25,66,37,39,79,9,3,16,17,24,42,566,571,1140,0,0,0,1994,1986,3979,211,206,423,44,32,72,2776,2781,5554,1392,1376,2773,17924,17923,35841
UCL102002,115607,123503,239106,4259,4802,9056,13507,14661,28164,155,156,313,404,435,841,52,69,119,120,113,232,26,29,50,38,50,89,63,80,140,3,0,3,14361,15581,29940,754,887,1641,348,349,699,19726,21615,41340,11520,12386,23904,146848,157502,304352
UCL102003,21303,23344,44646,1033,1130,2162,1772,1948,3716,121,111,228,1046,1141,2190,22,17,38,37,52,91,25,19,46,22,21,40,28,27,58,0,0,0,3068,3345,6409,202,181,382,63,76,142,4367,4732,9104,2589,2897,5484,28257,30974,59231
UCL102004,123040,128169,251207,4426,4536,8961,15115,16292,31409,255,263,518,561,549,1110,100,83,185,160,156,313,39,48,88,76,80,158,104,102,207,3,3,6,16415,17583,33998,1429,1535,2967,363,335,697,22633,23992,46621,10312,10484,20793,155986,162642,318627
UCL102005,101438,105354,206792,3500,3604,7103,10422,11102,21526,156,164,321,311,284,593,50,41,92,117,100,219,22,23,44,48,34,78,119,119,242,0,0,0,11249,11863,23104,1595,1399,2995,258,214,476,16603,17081,33680,9252,9234,18485,127291,131668,258965
UCL111001,16972,18196,35168,947,1013,1956,1603,1863,3473,625,643,1263,113,130,247,40,39,76,44,36,77,16,18,32,22,16,40,21,22,48,0,0,3,2481,2770,5251,149,181,328,69,63,130,3642,4025,7671,2185,2310,4494,22800,24533,47331
UCL111002,29442,30743,60186,1488,1611,3096,3405,3714,7120,39,54,97,145,184,324,18,20,40,42,43,91,7,4,8,21,14,34,12,12,25,0,3,7,3690,4052,7741,134,170,303,87,76,158,5396,5910,11308,2686,2810,5490,37526,39462,76981
UCL112001,6722,7285,14008,946,1095,2040,610,751,1362,24,27,48,77,103,179,0,3,3,14,13,24,8,3,9,9,5,16,13,9,18,0,0,0,744,912,1657,178,228,408,27,23,53,1896,2259,4157,952,1034,1990,9574,10580,20153
UCL112002,11808,12410,24215,1036,1137,2172,1359,1440,2797,28,25,56,59,54,117,3,11,13,23,10,37,0,7,8,4,6,12,13,18,25,0,0,0,1499,1570,3065,90,103,194,49,30,73,2662,2834,5502,1942,1505,3445,16414,16746,33163
