LGA_CODE_2016,C16_OTT_DS_FUA,C16_OTT_DS_OD,C16_OTT_DS_NS_,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_FUA,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS_,C16_TT_NS_T,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_FUA,C16_Tot_DS_OD,C16_Tot_DS_NS_,C16_T_T
LGA10050,0,3,6,212,1116,418,137,15,7,1699,16497,3683,499,125,80,20877
LGA10130,9,4,4,92,682,94,89,40,21,923,9265,993,616,110,100,11079
LGA10250,8,6,0,242,836,382,73,171,41,1515,11875,3885,882,777,135,17555
LGA10300,0,0,0,8,94,3,5,25,0,131,819,24,41,61,4,951
LGA10470,7,0,8,93,821,165,110,17,62,1175,12813,1595,686,67,172,15333
LGA10550,25,5,10,170,900,134,76,113,17,1238,11747,1440,621,435,164,14407
LGA10600,0,3,0,40,347,20,18,21,5,416,4754,246,152,180,54,5387
LGA10650,0,10,0,34,357,7,28,29,0,434,3197,115,151,172,12,3649
LGA10750,41,5,3,581,5162,1062,633,154,76,7080,82065,17028,5708,554,358,105709
LGA10800,0,0,0,22,289,5,14,10,11,327,2289,17,68,28,57,2461
LGA10850,0,0,0,19,211,8,21,9,26,271,2658,38,73,44,29,2836
LGA10900,4,3,0,266,1357,139,82,43,28,1646,27618,1506,639,112,119,29996
LGA10950,0,0,0,6,107,8,6,36,4,160,968,40,34,57,17,1112
LGA11100,55,0,0,107,330,147,886,20,10,1399,5683,2277,9289,137,79,17464
LGA11150,0,0,3,14,197,8,6,47,3,253,925,23,37,127,22,1135
LGA11200,0,0,0,11,62,0,0,10,0,76,559,3,41,13,4,617
LGA11250,7,3,0,44,548,23,45,34,21,669,7163,193,219,123,46,7738
LGA11300,82,0,0,122,289,102,516,18,17,939,4874,2037,5534,68,90,12614
LGA11350,6,7,3,128,1324,144,157,397,54,2070,10509,956,872,912,235,13482
LGA11400,9,4,0,49,364,5,11,14,0,389,4797,32,76,58,27,4997
LGA11450,13,0,0,240,1104,166,22,21,12,1323,23117,1521,206,103,70,25027
LGA11500,139,0,7,505,2283,989,302,28,25,3635,40786,9017,2437,108,131,52481
LGA11520,94,3,7,169,563,237,1562,35,24,2427,12756,3162,17685,335,166,34105
LGA11570,249,9,5,739,4092,1309,3087,95,87,8667,64047,18190,30218,690,434,113582
LGA11600,0,0,0,24,92,0,5,42,0,144,991,0,34,67,11,1111
LGA11650,304,8,18,1783,5585,1547,1152,460,164,8903,98876,15980,10101,1623,613,127190
LGA11700,0,0,0,29,113,9,3,14,10,142,669,29,13,20,16,747
LGA11720,3,0,0,133,1409,207,47,22,40,1723,18467,1602,330,80,143,20623
LGA11730,8,19,8,149,1428,115,139,234,30,1941,17992,1195,1126,1282,186,21776
LGA11750,0,3,0,20,213,3,38,12,7,267,1656,32,145,109,7,1950
LGA11800,35,19,5,336,1362,400,378,269,72,2486,21187,3611,3023,1268,362,29459
LGA12000,0,0,0,21,177,0,10,8,0,190,1575,5,34,11,17,1636
LGA12150,0,0,0,22,261,3,20,32,3,321,1505,17,73,61,12,1669
LGA12350,3,0,0,39,434,31,44,15,4,531,4662,190,271,74,60,5251
LGA12380,129,0,5,452,2506,864,1746,96,111,5320,37568,10966,18469,442,364,67815
LGA12700,0,0,0,21,245,4,4,14,3,263,3338,21,39,59,25,3485
LGA12730,0,0,0,29,375,18,54,29,0,473,3341,76,281,78,42,3808
LGA12750,18,14,4,209,994,148,168,154,17,1482,13330,1318,1112,574,114,16450
LGA12850,52,3,3,397,2573,533,788,111,79,4081,42652,7700,8389,546,289,59574
LGA12870,6,3,3,58,395,30,51,19,9,502,4589,218,324,117,35,5274
LGA12900,0,7,0,31,317,13,27,30,0,394,3418,131,151,121,20,3835
LGA12930,113,3,0,301,1237,372,1197,47,46,2897,26984,5932,17260,314,180,50664
LGA12950,0,0,0,26,137,0,4,23,0,165,1611,6,50,30,16,1704
LGA13010,0,0,3,33,349,3,14,12,22,399,3447,39,142,53,66,3744
LGA13310,3,3,7,104,669,78,63,46,30,887,10066,911,416,155,85,11630
LGA13340,0,3,0,47,268,6,5,15,3,299,3754,49,44,43,31,3920
LGA13450,3,0,3,69,760,58,227,28,10,1084,7674,451,1018,128,76,9338
LGA13510,0,3,0,53,340,16,10,21,0,391,4267,166,95,100,26,4656
LGA13550,0,0,0,42,356,22,30,31,10,441,4331,173,276,75,37,4894
LGA13660,0,5,0,38,208,4,5,29,0,249,2080,23,26,90,11,2226
LGA13800,24,0,0,173,1202,239,65,89,50,1645,19199,2364,535,241,193,22541
LGA13850,0,0,0,15,142,3,23,13,4,178,1102,27,75,41,21,1265
LGA13910,10,3,0,69,537,49,40,22,14,657,6743,345,328,80,60,7562
LGA14000,418,3,3,884,1143,273,561,48,41,2065,35240,4293,8548,193,169,48443
LGA14100,47,0,0,78,153,41,112,4,4,312,2925,757,1099,7,24,4809
LGA14170,143,4,4,344,1090,1607,3556,262,245,6763,18040,23916,30447,1264,617,74288
LGA14200,0,3,3,46,504,25,57,33,9,635,5796,184,397,121,119,6618
LGA14300,0,0,0,23,229,10,9,5,0,254,1980,46,46,11,15,2096
LGA14350,0,3,4,75,953,59,67,87,37,1205,10321,484,522,326,193,11837
LGA14400,116,0,0,140,349,54,117,17,23,555,6393,936,753,123,83,8293
LGA14500,294,0,3,456,852,107,562,3,12,1540,28912,1619,9015,30,83,39667
LGA14550,0,3,0,44,377,3,11,14,3,419,3673,23,74,94,30,3899
LGA14600,0,0,0,20,297,10,16,19,4,340,2280,19,75,41,73,2487
LGA14650,134,9,0,815,2628,550,279,171,39,3669,64071,7406,2976,815,176,75444
LGA14700,79,0,5,113,198,38,545,7,10,799,5881,777,7453,23,70,14199
LGA14750,0,0,0,22,401,17,42,15,10,481,3670,206,249,64,44,4232
LGA14850,7,7,0,151,1146,193,170,131,18,1662,14302,1688,879,527,110,17508
LGA14870,0,3,0,84,772,73,31,75,6,949,7393,589,160,421,74,8627
LGA14900,60,0,52,433,3164,714,1722,48,123,5769,46492,6676,9219,163,376,62933
LGA14920,4,0,0,46,293,3,11,12,0,316,3014,19,91,42,7,3174
LGA14950,0,0,0,17,116,0,3,0,3,123,1175,3,25,19,10,1226
LGA15050,0,0,62,263,1199,220,106,47,116,1689,24664,2611,690,149,389,28503
LGA15240,11,13,12,519,2168,352,339,245,81,3177,31122,3682,2719,1143,326,38993
LGA15270,0,6,4,66,975,60,39,76,32,1186,8863,390,264,196,108,9825
LGA15300,4,0,0,70,588,46,117,85,8,839,4238,277,530,231,71,5351
LGA15350,66,0,0,86,213,87,627,11,6,947,4087,1406,6259,63,35,11849
LGA15520,10,8,0,80,338,30,32,52,13,469,4208,195,269,223,39,4941
LGA15560,0,3,0,15,159,0,8,9,0,182,1393,3,73,46,8,1524
LGA15650,0,0,3,40,388,73,24,42,13,539,5359,654,69,66,52,6199
LGA15700,12,5,0,72,531,31,59,77,4,704,6950,315,522,580,42,8410
LGA15750,0,0,0,42,504,36,76,34,4,665,4530,199,322,157,28,5232
LGA15800,0,0,0,15,238,24,13,30,3,301,2200,62,77,47,16,2405
LGA15850,3,0,0,21,249,9,15,12,3,286,2356,36,105,21,23,2549
LGA15900,57,0,8,451,1796,586,869,136,55,3435,43697,9625,8362,361,288,62332
LGA15950,152,0,0,195,188,301,2349,20,18,2878,3464,4488,24712,86,97,32857
LGA15990,669,15,8,1431,2261,711,2713,261,77,6018,52279,8371,30628,716,400,92390
LGA16100,0,0,0,12,231,4,8,5,4,250,1945,15,49,13,71,2096
LGA16150,7,3,7,80,905,187,111,40,65,1298,13262,1559,647,86,136,15697
LGA16200,9,0,4,47,498,44,86,34,8,670,5128,191,365,86,75,5845
LGA16260,542,0,3,799,1490,765,3197,58,71,5573,35613,12107,31829,291,326,80162
LGA16350,24,0,3,312,3129,853,674,98,35,4795,54018,8072,4402,314,255,67066
LGA16380,194,14,0,592,1437,397,479,215,37,2561,23715,4281,3692,1114,212,33014
LGA16400,21,18,3,238,1509,460,109,258,56,2400,21493,3927,1023,842,163,27448
LGA16490,3,0,0,118,1144,263,300,90,9,1808,15609,3005,2665,182,80,21534
LGA16550,241,3,0,379,678,603,3351,61,71,4766,13785,8776,30878,504,216,54163
LGA16610,22,3,3,77,641,50,104,93,3,894,7693,535,716,475,38,9455
LGA16650,100,3,5,247,993,377,1635,90,34,3129,16630,5711,17255,417,167,40185
LGA16700,139,3,19,395,848,384,1010,17,54,2310,20102,7020,15498,174,221,43011
LGA16900,4,3,29,161,1042,298,114,70,27,1553,19666,3486,1025,415,129,24727
LGA16950,26,16,16,483,2504,330,160,253,41,3295,35435,2841,1079,1272,308,40930
LGA17000,6,0,0,60,574,48,53,16,12,705,7281,610,315,95,57,8359
LGA17040,11,10,21,120,572,64,451,44,160,1293,7047,501,994,283,404,9222
LGA17080,0,0,0,44,494,22,33,25,6,581,5459,150,185,53,41,5888
LGA17100,38,0,0,72,272,89,847,19,17,1246,5482,879,6910,143,123,13543
LGA17150,334,0,3,594,1663,697,1586,79,51,4079,49718,10843,17950,442,209,79167
LGA17200,464,6,5,613,190,1870,10140,732,301,13222,1851,18355,75958,1122,716,98001
LGA17310,3,4,8,183,1624,274,90,215,27,2238,20136,2020,516,637,160,23459
LGA17350,4,0,0,21,131,3,13,6,0,161,2246,44,123,34,14,2463
LGA17400,0,0,0,34,286,4,12,57,5,364,2805,61,45,126,22,3050
LGA17420,110,0,0,498,1327,250,176,10,26,1785,40297,5752,2784,88,133,49056
LGA17550,69,26,49,467,1696,620,641,498,49,3500,24287,6918,4752,2153,385,38497
LGA17620,0,0,0,50,476,16,29,26,3,548,5097,109,266,116,54,5640
LGA17640,0,0,0,34,278,11,0,10,4,299,3013,74,3,50,34,3180
LGA17650,0,0,0,31,167,0,10,11,0,182,2321,16,38,44,17,2434
LGA17750,45,3,5,227,1187,97,240,76,9,1609,19819,993,2396,270,80,23564
LGA17850,0,0,0,21,156,0,3,5,0,174,1254,3,28,26,21,1339
LGA17900,0,30,3,91,310,0,26,136,18,495,2145,9,147,450,141,2888
LGA17950,0,0,0,10,121,7,5,0,0,129,1039,14,39,13,15,1118
LGA18020,0,3,0,50,447,8,19,26,9,509,3684,55,89,102,68,3990
LGA18050,130,0,20,192,284,390,2760,43,22,3497,4392,5088,18252,385,139,28256
LGA18100,0,0,0,16,156,13,0,0,0,168,1479,64,9,16,11,1568
LGA18200,0,4,0,32,274,6,23,45,8,351,2403,41,129,187,32,2793
LGA18230,112,9,3,218,1212,142,189,139,19,1696,15711,1178,1359,601,95,18949
LGA18250,160,0,4,241,515,115,1037,17,13,1688,12462,2186,12861,86,67,27665
LGA18350,5,3,3,200,1122,108,42,64,21,1356,17012,1145,352,187,134,18829
LGA18400,0,0,0,189,918,74,10,22,8,1034,14813,686,118,134,58,15809
LGA18450,177,11,36,695,2570,711,1554,326,155,5324,52958,9605,13671,859,496,77588
LGA18500,105,0,0,178,305,432,1817,25,13,2592,4757,5092,13243,181,118,23392
LGA18710,0,4,0,58,340,32,10,20,6,408,5486,239,38,65,53,5887
LGA19399,0,0,0,14,68,0,0,14,14,92,402,0,0,16,19,438
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
