LGA_CODE_2016,C16_AP_75_79_NCB_4,C16_AP_75_79_NCB_5,C16_AP_75_79_NCB_6m,C16_AP_75_79_NCB_NS,C16_AP_75_79_Tot,C16_AP_80_84_NCB_0,C16_AP_80_84_NCB_1,C16_AP_80_84_NCB_2,C16_AP_80_84_NCB_3,C16_AP_80_84_NCB_4,C16_AP_80_84_NCB_5,C16_AP_80_84_NCB_6m,C16_AP_80_84_NCB_NS,C16_AP_80_84_Tot,C16_AP_85andover_N_c_b_0,C16_AP_85andover_N_c_b_1,C16_AP_85andover_N_c_b_2,C16_AP_85andover_N_c_b_3,C16_AP_85andover_N_c_b_4,C16_AP_85andover_N_c_b_5,C16_AP_85ov_N_c_b_6mor,C16_AP_85andover_N_c_b_NS,C16_AP_85_and_over_Tot,C16_AP_Tot_NCB_0,C16_AP_Tot_NCB_1,C16_AP_Tot_NCB_2,C16_AP_Tot_NCB_3,C16_AP_Tot_NCB_4,C16_AP_Tot_NCB_5,C16_AP_Tot_N_ch_b_6mor,C16_AP_Tot_NCB_NS,C16_AP_T_T
LGA10050,154,54,62,120,924,48,47,128,160,114,57,74,106,734,52,62,170,160,127,57,65,138,841,5884,2306,5385,3778,1575,543,423,1820,21704
LGA10130,80,35,44,49,526,28,19,54,87,60,36,37,44,362,21,43,77,92,64,25,47,51,426,3935,1195,2668,2060,919,344,289,1160,12567
LGA10250,159,54,22,118,1000,52,49,161,185,117,37,61,98,768,83,74,225,218,152,52,64,236,1104,4009,1957,5172,3464,1472,394,284,1600,18363
LGA10300,15,5,3,8,47,0,3,0,7,4,4,7,4,31,7,0,0,5,0,4,3,4,22,159,73,176,202,100,30,32,103,879
LGA10470,91,44,33,65,612,49,30,103,119,83,33,36,77,529,40,40,128,101,79,37,44,124,600,4477,1723,4176,2834,1279,420,324,1473,16703
LGA10550,117,37,34,90,771,33,33,113,124,87,44,31,64,528,39,55,108,131,100,35,36,112,621,2991,1584,4078,2606,1208,391,260,1316,14437
LGA10600,65,10,8,20,280,15,17,48,48,30,18,9,24,201,13,15,45,58,40,17,17,23,233,1156,606,1512,983,507,148,100,422,5433
LGA10650,40,17,13,21,219,7,14,12,29,40,13,14,14,144,8,16,22,39,29,20,16,32,182,604,305,842,762,401,140,91,390,3532
LGA10750,450,231,268,261,3101,114,168,484,467,319,202,266,217,2240,160,226,440,379,300,210,333,258,2303,36901,17950,34641,18976,8390,3243,2919,9104,132134
LGA10800,33,6,11,18,143,4,7,11,18,22,12,4,21,102,14,3,12,17,15,7,21,45,135,453,164,461,485,287,111,74,317,2363
LGA10850,18,16,8,16,130,10,11,17,16,22,15,3,7,89,11,5,11,21,20,10,9,6,96,668,265,704,565,291,118,55,247,2918
LGA10900,153,82,40,102,1311,110,98,221,199,131,61,50,73,952,120,101,300,214,115,65,56,104,1079,9231,3966,9192,5469,2071,671,416,1911,32926
LGA10950,8,3,11,9,60,3,0,0,9,9,0,3,6,31,0,0,5,10,9,8,3,5,39,215,88,252,209,106,36,32,117,1059
LGA11100,73,22,27,55,644,28,51,133,92,51,20,15,59,453,46,51,131,70,40,26,41,95,497,7325,2828,4752,1953,660,200,153,1714,19583
LGA11150,3,6,6,6,37,0,0,3,3,3,0,3,9,26,0,0,0,3,3,0,4,7,27,222,94,172,145,89,31,47,224,1023
LGA11200,0,3,0,0,5,0,0,3,3,0,3,3,3,12,0,0,0,0,0,0,3,0,15,141,61,102,79,52,29,40,110,621
LGA11250,56,37,10,52,391,15,19,62,64,54,27,24,56,326,12,18,61,64,52,22,17,146,398,1606,794,2098,1345,637,220,132,802,7629
LGA11300,44,23,25,40,529,69,48,128,94,56,24,24,46,490,86,62,136,109,53,37,47,71,601,7236,2343,3317,1434,551,186,182,1392,16638
LGA11350,45,27,13,44,392,22,23,57,74,48,25,10,51,314,39,29,93,97,68,21,27,71,450,3813,1854,3341,1863,665,194,111,1875,13726
LGA11400,39,20,19,24,214,12,9,24,37,38,16,22,20,182,18,15,43,28,33,17,17,15,188,1067,443,1346,1134,546,186,143,413,5283
LGA11450,123,37,26,67,727,24,24,140,117,80,42,34,75,527,29,41,119,115,66,40,36,195,652,8400,3689,8758,5147,1904,568,318,1938,30720
LGA11500,232,115,113,148,1557,62,78,206,202,153,80,117,147,1049,59,81,171,199,119,74,109,284,1096,17397,7916,16016,9660,4454,1775,1447,4875,63534
LGA11520,120,49,23,78,1245,98,89,308,251,95,43,33,76,990,163,126,361,244,136,54,43,153,1279,15144,5663,9200,4038,1186,326,185,2930,38670
LGA11570,513,232,318,416,4734,256,331,1094,771,461,233,372,375,3886,357,486,1097,783,503,267,468,609,4568,42230,18608,32993,18690,8645,3589,3300,11574,139620
LGA11600,3,0,4,0,33,0,0,7,3,9,4,3,3,29,3,3,7,5,7,0,3,5,38,215,94,232,196,108,42,32,113,1038
LGA11650,881,310,224,651,6721,469,331,1232,1263,770,292,246,650,5259,501,535,1463,1245,745,320,326,1272,6407,34001,15909,39806,24990,9774,3042,1925,10263,139707
LGA11700,3,6,3,5,21,0,0,0,7,3,0,0,3,11,0,3,0,4,0,0,0,4,19,142,71,125,89,55,30,46,126,685
LGA11720,128,37,34,88,763,33,32,146,136,99,34,43,96,619,44,65,151,136,93,27,45,143,706,5131,2521,5985,4029,1755,568,399,1976,22360
LGA11730,182,71,60,97,1146,66,56,182,206,151,71,66,125,921,75,61,200,201,159,82,80,152,1014,4271,2078,5843,4273,2060,694,491,1880,21595
LGA11750,10,5,6,12,74,3,0,7,8,11,3,5,8,50,3,3,9,7,0,7,7,9,47,368,144,424,307,170,56,52,230,1753
LGA11800,228,78,62,174,1542,77,53,255,237,148,81,67,134,1063,68,92,260,245,154,77,66,315,1284,7073,3358,8486,5697,2400,783,540,2716,31045
LGA12000,14,14,4,20,106,10,5,8,16,14,8,11,16,78,4,5,6,9,14,3,7,27,76,363,130,327,349,229,77,66,212,1751
LGA12150,16,9,4,14,78,0,8,3,7,4,8,3,8,42,6,4,12,16,10,0,6,11,70,278,136,299,289,156,63,67,279,1573
LGA12350,49,20,21,39,310,10,9,40,49,41,14,18,8,198,24,20,46,66,52,20,29,25,273,1053,500,1217,1050,568,197,159,482,5229
