LGA_CODE_2016,C16_85o_SOL_SE_To,C16_85o_LPE_NS,C16_85o_Tot,C16_Tot_SEO,C16_To_SOL_SE_Vw_w,C16_To_SOL_SE_Nw_Na,C16_To_SOL_SE_P_E_n,C16_Tot_SOL_SE_Tot,C16_Tot_LPE_NS,C16_T_T
LGA10050,84,147,1329,44120,2893,646,42,3582,3374,51076
LGA10130,13,46,649,24937,2064,327,25,2420,2098,29449
LGA10250,65,294,1755,37214,1523,118,35,1679,2896,41790
LGA10300,3,7,35,1902,130,22,3,152,236,2287
LGA10470,23,161,892,35906,1548,210,24,1784,3619,41300
LGA10550,40,114,999,29765,999,85,22,1107,2380,33253
LGA10600,14,24,368,11446,399,19,8,425,792,12668
LGA10650,12,49,313,7377,248,26,7,278,810,8462
LGA10750,1518,308,3553,180926,120941,17165,1491,139603,16441,336962
LGA10800,0,58,211,5108,123,14,3,140,704,5955
LGA10850,3,12,165,6650,120,9,0,129,472,7257
LGA10900,139,91,1630,68689,4429,420,44,4895,3316,76904
LGA10950,0,18,65,2335,62,5,0,66,291,2692
LGA11100,373,45,765,22941,17468,3247,230,20943,2764,46654
LGA11150,0,11,40,2048,72,10,0,78,505,2634
LGA11200,0,0,21,1415,57,3,3,66,174,1651
LGA11250,15,197,593,15703,433,50,11,492,1508,17708
LGA11300,563,71,976,11563,18185,5133,194,23512,1736,36809
LGA11350,31,90,687,25554,2073,122,38,2235,3774,31556
LGA11400,11,27,306,12207,283,38,0,319,861,13386
LGA11450,118,102,980,63466,10084,1282,131,11497,3256,78218
LGA11500,343,356,1666,100164,41676,5983,572,48228,8614,157006
LGA11520,892,139,2020,47038,29617,6271,313,36200,4777,88015
LGA11570,3243,481,7487,117941,162485,45230,2048,209763,18596,346302
LGA11600,3,6,60,2332,129,31,7,168,220,2719
LGA11650,596,1450,10278,289774,17540,2471,254,20265,17700,327736
LGA11700,0,0,23,1479,45,7,3,57,294,1833
LGA11720,26,129,1052,49842,988,134,38,1157,4559,55560
LGA11730,29,142,1618,45752,1063,111,30,1207,3714,50671
LGA11750,0,9,78,3908,177,25,9,207,535,4647
LGA11800,124,383,2070,62254,4557,1074,98,5725,4961,72944
LGA12000,0,30,120,3817,47,4,0,59,439,4315
LGA12150,0,18,105,3266,64,4,0,67,584,3918
LGA12350,13,70,433,11090,307,42,11,357,1007,12460
LGA12380,1387,247,3282,62405,109416,31805,1482,142700,10971,216079
LGA12700,0,10,179,8282,87,3,0,90,602,8975
LGA12730,3,29,295,7715,238,70,0,308,828,8851
LGA12750,72,127,1388,33050,1365,157,28,1547,2639,37232
LGA12850,2557,192,3585,49353,97129,42966,1374,141468,7993,198817
LGA12870,7,81,411,11039,237,26,6,270,968,12277
LGA12900,3,26,254,8538,204,29,5,234,818,9587
LGA12930,1125,237,3763,62154,62136,16271,614,79022,5662,146841
LGA12950,4,12,134,3813,87,5,6,97,322,4236
LGA13010,6,63,279,7633,185,35,6,227,972,8836
LGA13310,42,69,738,25746,1241,232,34,1504,2357,29609
LGA13340,6,46,259,9495,190,25,4,223,634,10351
LGA13450,240,89,669,17858,4219,1143,90,5452,2327,25641
LGA13510,3,33,391,10152,213,35,0,248,739,11141
LGA13550,5,29,318,11000,261,37,4,308,907,12215
LGA13660,3,27,155,4685,62,9,0,69,502,5258
LGA13800,97,95,1010,57007,3528,434,55,4023,3555,64592
LGA13850,4,13,60,2483,110,13,3,129,334,2946
LGA13910,3,41,516,16623,585,86,12,679,1189,18498
LGA14000,577,631,3841,93165,37884,6456,360,44702,4795,142667
LGA14100,214,30,746,10532,2320,463,26,2810,658,13999
LGA14170,1620,201,3170,117284,41595,10118,469,52181,12579,182043
LGA14200,12,42,408,14655,476,73,12,557,1275,16483
LGA14300,0,10,115,4759,124,86,0,207,1326,6295
LGA14350,21,126,867,25255,639,107,14,755,2875,28885
LGA14400,34,121,704,19210,864,89,12,973,1282,21464
LGA14500,434,486,4036,81070,27871,4915,225,33002,3977,118053
LGA14550,9,26,239,7878,246,18,8,272,790,8940
LGA14600,3,16,172,5366,130,20,3,151,673,6194
LGA14650,312,674,5681,180098,8069,1046,140,9262,8011,197371
LGA14700,158,52,777,24896,8318,1179,98,9592,1555,36051
LGA14750,28,24,239,9366,712,126,17,851,947,11168
LGA14850,83,140,1148,37762,1889,243,31,2157,3219,43135
LGA14870,9,67,516,17905,682,103,19,798,2385,21090
LGA14900,1136,203,2283,84511,86587,19141,1145,106873,12939,204326
LGA14920,0,11,191,6910,99,5,3,111,672,7687
LGA14950,3,14,101,2821,33,14,4,49,251,3119
LGA15050,73,170,1280,70392,2767,415,45,3230,3686,77305
LGA15240,94,501,3421,81652,2327,220,64,2602,6051,90303
LGA15270,31,45,487,21047,619,82,12,709,2318,24076
LGA15300,5,24,176,11075,455,64,7,527,1559,13159
LGA15350,79,97,910,22190,3945,401,42,4386,1898,28475
LGA15520,7,37,341,10488,274,36,6,319,876,11680
LGA15560,3,5,70,3309,116,18,3,133,395,3836
LGA15650,4,19,203,14181,546,58,7,609,1293,16086
LGA15700,15,138,706,17278,461,39,9,510,1423,19212
LGA15750,3,71,256,11424,233,26,0,260,1395,13084
LGA15800,10,23,199,5095,145,16,4,168,588,5853
LGA15850,3,25,179,5752,82,11,0,93,594,6444
LGA15900,384,882,4148,131814,13160,2516,158,15833,7767,155411
LGA15950,169,127,1146,47433,13572,1501,123,15190,5030,67658
LGA15990,783,846,6945,201772,34284,4188,378,38848,12252,252878
LGA16100,4,9,112,4462,161,21,3,189,643,5301
LGA16150,63,92,921,35416,2109,353,38,2502,2429,40344
LGA16200,3,62,438,12931,384,54,12,453,1230,14608
LGA16260,971,275,3898,94332,95919,21430,948,118303,13518,226149
LGA16350,435,178,2316,151300,29361,3803,419,33584,11184,196066
LGA16380,110,243,2981,71257,2324,238,55,2618,4663,78539
LGA16400,71,248,1676,62212,2238,263,50,2549,4801,69556
LGA16490,156,68,680,45218,6044,784,98,6932,3877,56027
LGA16550,1001,392,3181,83952,39461,5691,354,45510,11204,140660
LGA16610,20,43,634,20630,391,50,15,459,1724,22807
LGA16650,1083,443,2817,41160,51387,9942,586,61920,6326,109404
LGA16700,835,241,2972,55443,45867,9903,430,56199,4652,116302
LGA16900,315,91,1377,57950,6160,1064,94,7313,3190,68460
LGA16950,148,351,3160,88148,3764,496,53,4315,7188,99650
LGA17000,8,39,343,20595,652,101,8,756,1632,22987
LGA17040,41,82,460,17287,984,119,18,1121,1807,20218
LGA17080,13,97,430,12480,457,68,6,533,1387,14395
LGA17100,381,38,752,11783,20775,4979,228,25980,2547,40312
LGA17150,598,346,5947,181626,25265,3357,298,28923,7918,218464
LGA17200,592,282,1790,107287,62417,12934,555,75909,25177,208374
LGA17310,31,166,1437,52935,1920,442,40,2406,4322,59663
LGA17350,3,3,210,5648,116,20,3,139,321,6110
LGA17400,0,59,176,5730,158,17,6,183,718,6628
LGA17420,572,98,2000,102587,43529,6595,377,50497,4160,157243
LGA17550,126,444,3581,81054,3668,414,68,4150,6169,91371
LGA17620,3,60,352,12444,362,82,9,455,1217,14112
LGA17640,6,14,184,6958,126,8,8,141,595,7695
LGA17650,6,7,118,5564,108,5,3,109,377,6048
LGA17750,49,110,1372,54708,3580,652,53,4292,3387,62385
LGA17850,0,36,96,2708,45,0,0,51,337,3092
LGA17900,4,4,77,5042,308,31,3,343,722,6107
LGA17950,0,8,60,2401,63,6,0,62,265,2732
LGA18020,5,37,305,8178,212,17,0,230,972,9384
LGA18050,463,234,1513,45870,12868,1242,104,14215,6731,66812
LGA18100,0,18,148,3273,59,6,0,65,318,3664
LGA18200,9,3,135,5843,212,22,9,235,720,6794
LGA18230,34,126,1081,43242,2212,264,22,2499,4334,50077
LGA18250,443,128,1731,40861,24164,5649,256,30074,3368,74302
LGA18350,79,84,1428,42268,2451,319,42,2813,2798,47882
LGA18400,98,41,652,43229,2583,282,51,2920,2371,48519
LGA18450,1195,405,5253,159289,28330,6122,448,34898,9438,203630
LGA18500,279,220,1599,41035,7819,622,71,8514,4687,54240
