LGA_CODE_2016,C16_CFNC_1F1P_1000_1499,C16_CFNC_1F1P_1500_1999,C16_CFNC_1F1P_2000_2499,C16_CFNC_1F1P_2500_2999,C16_CFNC_1F1P_3000_3999,C16_CFNC_1F1P_4000m,C16_CFNC_1F1P_Ns,C16_CFNC_1F1P_T,C16_CFNC_1E1A_N,C16_CFNC_1E1A_1_149,C16_CFNC_1E1A_150_299,C16_CFNC_1E1A_300_399,C16_CFNC_1E1A_400_499,C16_CFNC_1E1A_500_649,C16_CFNC_1E1A_650_799,C16_CFNC_1E1A_800_999,C16_CFNC_1E1A_1000_1499,C16_CFNC_1E1A_1500_1999,C16_CFNC_1E1A_2000_2499,C16_CFNC_1E1A_2500_2999,C16_CFNC_1E1A_3000_3999,C16_CFNC_1E1A_4000m,C16_CFNC_1E1A_Ns,C16_CFNC_1E1A_T,C16_CFNC_1F1NW_N,C16_CFNC_1F1NW_1_149,C16_CFNC_1F1NW_150_299,C16_CFNC_1F1NW_300_399,C16_CFNC_1F1NW_400_499,C16_CFNC_1F1NW_500_649,C16_CFNC_1F1NW_650_799,C16_CFNC_1F1NW_800_999,C16_CFNC_1F1NW_1000_1499,C16_CFNC_1F1NW_1500_1999,C16_CFNC_1F1NW_2000_2499,C16_CFNC_1F1NW_2500_2999,C16_CFNC_1F1NW_3000_3999,C16_CFNC_1F1NW_4000m,C16_CFNC_1F1NW_Ns,C16_CFNC_1F1NW_Tot,C16_CFNC_1P1NW_N,C16_CFNC_1P1NW_1_149,C16_CFNC_1P1NW_150_299,C16_CFNC_1P1NW_300_399,C16_CFNC_1P1NW_400_499,C16_CFNC_1P1NW_500_649,C16_CFNC_1P1NW_650_799,C16_CFNC_1P1NW_800_999,C16_CFNC_1P1NW_1000_1499,C16_CFNC_1P1NW_1500_1999,C16_CFNC_1P1NW_2000_2499,C16_CFNC_1P1NW_2500_2999,C16_CFNC_1P1NW_3000_3999,C16_CFNC_1P1NW_4000_mr,C16_CFNC_1P1NW_Ns,C16_CFNC_1P1NW_Tot,C16_CFNC_1A1NW_N,C16_CFNC_1A1NW_1_149,C16_CFNC_1A1NW_150_299,C16_CFNC_1A1NW_300_399,C16_CFNC_1A1NW_400_499,C16_CFNC_1A1NW_500_649,C16_CFNC_1A1NW_650_799,C16_CFNC_1A1NW_800_999,C16_CFNC_1A1NW_1000_1499,C16_CFNC_1A1NW_1500_1999,C16_CFNC_1A1NW_2000_2499,C16_CFNC_1A1NW_2500_2999,C16_CFNC_1A1NW_3000_3999,C16_CFNC_1A1NW_4000m,C16_CFNC_1A1NW_Ns,C16_CFNC_1A1NW_T,C16_CFNC_BA_N,C16_CFNC_BA_1_149,C16_CFNC_BA_150_299,C16_CFNC_BA_300_399,C16_CFNC_BA_400_499,C16_CFNC_BA_500_649,C16_CFNC_BA_650_799,C16_CFNC_BA_800_999,C16_CFNC_BA_1000_1499,C16_CFNC_BA_1500_1999,C16_CFNC_BA_2000_2499,C16_CFNC_BA_2500_2999,C16_CFNC_BA_3000_3999,C16_CFNC_BA_4000m,C16_CFNC_BA_Ns,C16_CFNC_BA_Tot,C16_CFNC_BNW_N,C16_CFNC_BNW_1_149,C16_CFNC_BNW_150_299,C16_CFNC_BNW_300_399,C16_CFNC_BNW_400_499,C16_CFNC_BNW_500_649,C16_CFNC_BNW_650_799,C16_CFNC_BNW_800_999,C16_CFNC_BNW_1000_1499,C16_CFNC_BNW_1500_1999,C16_CFNC_BNW_2000_2499,C16_CFNC_BNW_2500_2999,C16_CFNC_BNW_3000_3999,C16_CFNC_BNW_4000m,C16_CFNC_BNW_Ns,C16_CFNC_BNW_T,C16_CFNC_LFns_N,C16_CFNC_LFns_1_149,C16_CFNC_LFns_150_299,C16_CFNC_LFns_300_399,C16_CFNC_LFns_400_499,C16_CFNC_LFns_500_649,C16_CFNC_LFns_650_799,C16_CFNC_LFns_800_999,C16_CFNC_LFns_1000_1499,C16_CFNC_LFns_1500_1999,C16_CFNC_LFns_2000_2499,C16_CFNC_LFns_2500_2999,C16_CFNC_LFns_3000_3999,C16_CFNC_LFns_4000mo,C16_CFNC_LFns_Ns,C16_CFNC_LFns_T,C16_CFNC_T_N,C16_CFNC_T_1_149,C16_CFNC_T_150_299,C16_CFNC_T_300_399,C16_CFNC_T_400_499,C16_CFNC_T_500_649,C16_CFNC_T_650_799,C16_CFNC_T_800_999,C16_CFNC_T_1000_1499,C16_CFNC_T_1500_1999,C16_CFNC_T_2000_2499,C16_CFNC_T_2500_2999,C16_CFNC_T_3000_3999,C16_CFNC_T_4000m,C16_CFNC_T_Ns,C16_CFNC_T_T,C16_CF_BFT_N,C16_CF_BFT_1_149,C16_CF_BFT_150_299,C16_CF_BFT_300_399,C16_CF_BFT_400_499,C16_CF_BFT_500_649,C16_CF_BFT_650_799,C16_CF_BFT_800_999,C16_CF_BFT_1000_1499,C16_CF_BFT_1500_1999,C16_CF_BFT_2000_2499,C16_CF_BFT_2500_2999,C16_CF_BFT_3000_3999,C16_CF_BFT_4000_mr,C16_CF_BFT_Ns,C16_CF_BFT_Tot,C16_CF_BPT_N,C16_CF_BPT_1_149,C16_CF_BPT_150_299,C16_CF_BPT_300_399,C16_CF_BPT_400_499,C16_CF_BPT_500_649,C16_CF_BPT_650_799,C16_CF_BPT_800_999,C16_CF_BPT_1000_1499,C16_CF_BPT_1500_1999,C16_CF_BPT_2000_2499,C16_CF_BPT_2500_2999,C16_CF_BPT_3000_3999,C16_CF_BPT_4000_mr,C16_CF_BPT_Ns,C16_CF_BPT_Tot,C16_CF_1F1P_N,C16_CF_1F1P_1_149,C16_CF_1F1P_150_299,C16_CF_1F1P_300_399,C16_CF_1F1P_400_499,C16_CF_1F1P_500_649,C16_CF_1F1P_650_799,C16_CF_1F1P_800_999,C16_CF_1F1P_1000_1499,C16_CF_1F1P_1500_1999,C16_CF_1F1P_2000_2499,C16_CF_1F1P_2500_2999,C16_CF_1F1P_3000_3999,C16_CF_1F1P_4000mo,C16_CF_1F1P_Ns,C16_CF_1F1P_T,C16_CF_1E1A_N,C16_CF_1E1A_1_149,C16_CF_1E1A_150_299,C16_CF_1E1A_300_399,C16_CF_1E1A_400_499,C16_CF_1E1A_500_649,C16_CF_1E1A_650_799,C16_CF_1E1A_800_999,C16_CF_1E1A_1000_1499,C16_CF_1E1A_1500_1999,C16_CF_1E1A_2000_2499,C16_CF_1E1A_2500_2999,C16_CF_1E1A_3000_3999,C16_CF_1E1A_4000_mr,C16_CF_1E1A_Ns,C16_CF_1E1A_Tot
LGA10050,210,201,152,97,51,48,15,828,0,0,0,0,0,0,0,6,23,11,14,13,6,9,3,88,0,0,0,0,8,11,34,68,150,91,55,26,28,24,9,496,0,0,4,7,17,31,71,64,90,43,23,5,12,3,12,386,0,0,0,0,0,3,3,6,13,12,7,0,0,0,7,57,0,0,0,0,0,0,0,3,5,5,3,5,3,0,3,36,46,25,11,16,151,49,536,211,406,78,61,27,20,14,90,1741,0,0,0,0,5,0,7,4,10,0,0,0,0,0,317,345,52,30,25,24,188,110,687,407,1109,657,624,373,289,182,475,5235,0,0,0,0,0,0,3,5,62,121,206,207,248,141,92,1085,0,0,3,0,0,3,5,14,39,29,38,19,11,6,14,194,0,0,0,0,0,3,11,19,267,386,391,257,257,129,122,1837,0,0,0,0,0,0,0,6,33,51,58,46,39,25,17,273
LGA10130,112,80,79,43,27,33,7,432,0,0,0,0,4,0,0,0,11,9,3,13,6,9,3,47,0,0,0,3,0,12,15,30,54,41,44,19,19,6,10,257,3,7,3,0,16,19,29,40,53,22,10,8,3,4,4,212,0,0,0,0,0,3,0,3,7,4,4,4,3,0,0,34,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,17,23,7,15,3,89,25,265,102,177,59,54,19,16,11,38,925,0,0,0,0,0,0,3,3,3,0,0,0,0,0,161,177,38,18,23,8,123,75,348,253,559,337,343,199,162,128,253,2867,3,0,0,0,0,0,3,9,59,77,101,90,134,103,66,638,0,0,0,0,0,0,3,13,33,20,15,12,4,6,5,120,0,0,0,0,0,5,3,22,110,182,141,102,94,58,65,798,0,0,0,0,0,0,3,3,16,23,24,14,9,3,10,111
LGA10250,146,160,113,77,52,43,5,642,0,0,0,0,0,0,3,5,12,14,16,9,5,10,3,84,0,0,0,0,4,10,23,49,88,68,42,34,14,24,14,373,0,3,3,3,12,34,68,73,123,43,23,17,10,8,12,435,0,0,3,0,4,0,10,11,13,4,5,4,0,5,8,58,0,0,0,0,0,0,4,0,3,5,8,0,0,0,3,27,32,20,14,8,161,68,677,290,581,142,93,37,29,38,98,2285,0,0,0,0,6,0,8,0,8,3,3,0,0,0,236,272,35,28,28,14,201,132,826,489,1178,599,530,287,238,209,397,5187,0,3,0,0,3,0,6,6,54,87,148,127,177,126,77,812,0,0,0,0,0,3,3,22,70,47,48,24,17,15,27,272,0,0,0,0,3,3,11,21,169,291,276,202,141,114,95,1327,0,0,0,0,0,0,0,5,31,32,35,16,22,9,10,162
LGA10300,15,13,4,0,0,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,9,9,4,0,0,0,0,27,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,15,4,13,7,0,0,0,0,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,3,0,0,0,10,4,24,23,62,47,20,14,0,6,35,248,0,0,0,0,0,0,0,0,4,11,12,13,4,9,7,52,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,5,0,0,0,0,0,0,4,0,14,16,8,6,5,0,7,72,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,12
LGA10470,135,126,108,62,54,36,7,576,0,0,0,0,0,0,0,0,10,16,14,8,10,3,6,67,3,0,0,0,4,9,23,35,95,75,41,30,24,6,13,357,0,4,3,4,15,21,48,34,84,32,25,4,6,9,9,286,0,0,0,0,7,3,9,3,12,4,0,0,4,0,0,50,0,0,0,0,0,0,0,6,6,5,9,3,6,0,3,39,38,19,17,15,131,40,372,153,279,70,48,15,16,9,73,1284,0,0,0,0,3,0,4,6,7,0,4,3,0,0,192,217,44,26,26,15,160,80,491,292,744,478,474,294,289,147,314,3885,4,0,0,0,0,0,5,8,62,112,185,214,284,159,95,1134,0,0,0,0,0,0,5,8,34,29,31,16,12,4,9,148,0,0,0,0,3,0,3,22,188,232,298,225,210,91,91,1361,0,0,0,0,0,0,0,4,25,36,39,40,45,20,14,227
LGA10550,155,100,96,48,32,31,10,532,0,0,0,0,0,3,0,3,23,14,8,11,8,3,7,89,0,0,0,0,7,8,19,42,96,62,39,15,12,3,10,320,0,7,7,4,27,37,53,81,118,29,22,10,7,0,11,412,0,0,0,0,3,3,15,4,21,7,3,0,4,4,0,71,3,0,0,0,0,0,7,3,9,3,8,3,0,3,5,43,31,36,32,18,204,71,621,255,501,118,70,33,20,21,93,2119,5,0,0,0,0,0,6,3,8,4,9,0,0,0,291,332,51,50,48,19,279,149,759,470,1124,457,409,218,159,93,443,4733,0,0,0,0,5,0,3,6,50,68,122,78,102,48,53,539,0,0,0,0,0,8,9,14,64,46,18,8,10,5,18,190,0,0,4,0,5,4,10,19,169,205,194,97,64,41,76,879,0,0,0,0,0,0,0,12,22,30,29,17,13,4,11,126
LGA10600,48,48,43,21,13,3,3,198,0,0,0,0,0,0,0,0,4,5,4,0,5,0,3,31,0,0,0,0,0,5,3,22,46,28,13,10,3,4,3,133,0,3,3,0,7,8,28,33,43,13,4,0,0,3,3,153,0,0,0,0,0,3,0,3,5,3,0,4,0,3,0,20,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,18,6,6,9,4,55,26,200,77,135,45,13,8,10,0,34,641,0,0,0,4,0,0,0,3,5,0,0,0,0,0,86,103,7,14,16,13,75,54,264,171,356,201,119,76,49,30,149,1592,0,0,0,0,0,0,0,0,19,29,39,35,30,22,16,185,0,0,0,0,4,3,5,12,35,23,18,3,4,3,7,119,0,0,0,0,0,3,4,11,67,66,59,32,26,16,23,303,0,0,0,0,0,0,0,0,10,8,11,3,7,4,5,49
LGA10650,40,40,26,6,11,7,8,150,0,0,0,0,0,0,0,0,3,10,4,3,0,4,0,32,0,0,0,0,3,3,17,13,15,13,9,4,0,5,0,85,0,3,7,3,12,3,13,12,27,3,0,0,0,4,3,93,0,0,0,0,0,0,3,0,6,0,0,4,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,5,10,14,0,45,20,170,43,89,10,3,3,0,3,28,451,0,0,0,0,0,0,4,0,4,0,0,0,0,0,65,75,12,13,19,3,69,30,219,85,239,113,76,49,31,31,106,1104,0,0,0,0,0,0,0,3,20,26,36,24,21,14,21,162,0,0,0,0,0,0,0,4,5,4,3,3,3,0,0,26,0,0,0,0,0,3,0,8,53,64,50,16,14,11,25,246,0,0,0,0,0,0,0,0,4,4,9,5,0,0,5,38
LGA10750,582,656,503,310,184,116,35,2480,0,0,0,0,0,3,7,5,70,68,94,57,52,25,20,400,5,6,3,9,19,78,210,426,936,548,355,109,107,58,76,2955,7,11,45,36,89,141,183,191,258,90,54,21,23,7,42,1203,4,3,4,4,5,12,24,32,68,36,25,4,11,3,30,265,0,4,0,0,3,5,3,0,19,23,30,18,18,4,23,155,777,176,122,76,869,322,2204,599,1036,215,117,36,23,21,314,6902,10,3,5,0,11,3,38,7,24,14,3,0,0,3,926,1056,813,212,176,126,1016,600,2754,1423,3564,2611,2895,1802,1599,792,1574,21958,12,5,0,4,3,3,9,29,394,1198,2544,2491,3396,2446,821,13369,3,0,5,0,3,18,42,90,343,259,219,135,133,72,86,1408,3,0,4,0,3,22,46,122,1193,2029,2236,1845,1625,1064,532,10732,0,0,0,7,5,4,7,23,166,275,376,324,350,194,119,1863
LGA10800,25,37,18,10,3,7,3,116,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,22,0,0,3,0,0,0,8,4,15,11,10,3,4,3,7,63,0,0,0,0,3,5,11,8,8,3,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,8,10,3,7,0,26,7,66,24,39,8,5,4,0,0,12,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,43,14,6,9,0,32,24,95,53,130,95,62,35,29,37,74,687,0,0,0,0,0,0,0,3,12,27,15,15,26,20,22,148,0,0,0,0,0,0,0,3,8,4,0,0,0,0,3,18,0,0,0,0,0,3,0,7,38,36,33,21,20,10,24,181,0,0,0,0,0,0,0,0,8,0,3,3,3,0,3,25
