LGA_CODE_2016,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950_over_REA,C11_950_over_ST_HA,C11_950over_Pe_no_sa_ho,C11_950ov_H_co_op_c_ch_gr,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T,C16_0_74_REA,C16_0_74_ST_HA,C16_0_74_Per_no_sa_ho,C16_0_74_Ho_co_op_c_c_g,C16_0_74_Oth_land_typ,C16_0_74_LLT_NS,C16_0_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Pe_no_sa_ho,C16_75_99_H_c_op_c_c_gr,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Pe_no_sa_ho,C16_100_149_H_c_o_c_c_g,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Pe_no_sa_ho,C16_150_199_H_c_o_c_c_g,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Pe_no_sa_ho,C16_200_224_H_c_o_c_c_g,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Pe_no_sa_ho,C16_225_274_H_c_o_c_c_g,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Pe_no_sa_ho,C16_275_349_H_c_o_c_c_g,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Pe_no_sa_ho,C16_350_449_H_c_o_c_c_g,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Pe_no_sa_ho,C16_450_549_H_c_o_c_c_g,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Pe_no_sa_ho,C16_550_649_H_c_o_c_c_g,C16_550_649_Ot_lan_ty,C16_550_649_Lan_ty_ns,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Pe_no_sa_ho,C16_650_749_H_co_op_c_ch_gr,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Pe_no_sa_ho,C16_750_849_H_co_op_c_ch_gr,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Pe_no_sa_ho,C16_850_949_H_co_op_c_ch_gr,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950_over_REA,C16_950_over_ST_HA,C16_950over_Pe_no_sa_ho,C16_950ov_H_co_op_c_ch_gr,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950_over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Pe_no_sa_ho,C16_R_NS_H_co_op_c_ch_gr,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_T_Pe_no_sa_ho,C16_Tot_Ho_co_op_co_ch_gr,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_T_T
LGA10850,0,0,0,0,0,0,0,0,0,3,3,3,5,0,8,0,27,299,53,151,23,41,31,598,3,0,32,0,18,29,75,0,3,0,0,0,0,9,25,20,9,0,4,0,57,41,7,24,0,8,0,79,59,4,34,0,0,0,91,87,8,33,0,3,0,131,74,0,19,0,0,0,102,29,0,12,0,0,0,39,3,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,14,0,8,0,28,335,41,173,0,37,26,617
LGA10900,0,0,4,21,0,6,0,0,0,34,37,32,66,26,19,8,172,3370,352,1272,199,115,141,5450,7,16,99,7,19,78,217,3,10,10,7,0,0,34,18,44,51,17,8,0,130,66,141,83,57,11,0,356,77,37,73,20,6,0,222,226,52,164,41,14,6,486,653,35,257,19,16,4,987,1380,36,324,18,8,3,1772,588,4,95,3,4,0,693,168,0,29,0,0,0,199,34,0,8,3,0,0,39,8,0,4,0,0,0,16,3,0,0,0,0,0,3,3,0,10,0,4,0,16,50,25,62,16,13,8,174,3282,394,1261,207,106,103,5356
LGA10950,0,0,0,0,0,0,0,0,0,0,0,3,5,0,17,0,27,63,57,98,13,97,28,354,0,4,13,0,26,18,55,0,3,0,0,9,0,13,9,19,8,0,16,0,50,21,10,15,5,8,0,61,9,7,27,0,4,0,48,10,3,16,0,7,0,41,3,3,11,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,3,4,0,27,50,47,100,16,82,21,317
LGA11100,0,0,25,20,0,9,0,0,0,24,46,83,47,12,12,14,216,2980,1404,704,98,108,81,5373,14,79,72,11,12,29,228,3,61,0,4,0,0,75,11,626,16,10,0,7,665,7,216,17,21,0,0,264,21,79,22,14,3,3,147,26,60,31,3,37,0,159,184,44,64,4,20,0,311,1106,58,161,3,17,6,1352,908,23,127,3,7,4,1071,877,14,96,3,21,3,1011,952,10,85,0,8,0,1050,277,0,41,0,8,0,325,135,0,16,0,3,0,152,123,0,27,0,4,0,153,95,97,57,5,9,16,280,4739,1371,830,83,155,67,7244
LGA11150,0,0,0,0,0,0,0,0,0,0,0,3,11,0,12,0,26,15,70,112,41,137,29,403,0,17,11,4,68,12,115,0,3,3,0,9,0,10,0,13,8,11,6,6,48,17,30,9,12,4,0,79,10,7,14,0,0,0,33,4,8,10,6,4,0,25,0,0,11,3,7,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,4,12,0,26,40,73,83,39,112,12,366
LGA11200,0,0,0,0,0,0,0,0,0,0,0,6,3,11,8,8,34,7,63,47,121,78,33,344,0,13,19,8,35,14,83,0,25,3,82,5,3,114,0,14,9,32,8,0,64,3,8,5,21,7,0,44,0,3,3,0,0,0,12,0,0,0,3,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,9,0,13,10,64,42,153,63,20,338
LGA11250,0,0,0,4,0,6,0,3,0,11,14,9,39,0,17,0,83,677,106,566,34,220,55,1659,3,10,58,16,58,38,182,3,14,17,4,32,3,72,44,25,88,13,37,5,207,199,39,175,14,27,4,451,113,8,112,0,21,4,264,132,11,87,0,19,3,256,108,11,48,0,13,0,178,36,0,20,0,3,0,63,4,0,3,0,0,0,5,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,9,16,3,32,4,12,0,70,671,112,646,47,226,66,1765
LGA11300,0,0,24,22,0,9,0,0,0,35,60,28,52,10,14,10,166,2741,311,677,84,100,73,3991,12,20,74,3,12,46,171,0,14,3,0,0,0,20,9,161,18,3,7,3,206,26,47,40,11,8,0,132,24,13,40,4,9,0,90,59,11,47,11,8,0,140,146,11,62,8,7,0,236,553,13,89,11,7,0,682,1115,10,188,5,32,7,1344,725,0,110,6,16,4,859,468,3,91,6,15,0,585,154,3,38,0,7,0,204,56,0,37,0,0,0,93,47,0,27,0,3,0,74,73,24,70,29,14,16,218,3460,338,940,90,157,69,5051
LGA11350,0,0,16,31,0,26,0,4,4,61,32,12,63,3,13,4,136,1631,168,1598,73,162,146,3774,3,3,99,3,7,87,199,0,3,3,0,3,0,16,3,16,37,3,21,4,79,33,74,92,21,12,0,231,22,21,102,8,6,3,160,47,9,143,4,10,4,222,150,11,205,5,16,5,394,347,14,358,4,22,8,744,351,0,228,0,12,3,604,267,0,142,0,6,0,419,130,0,80,0,0,0,206,63,0,24,0,0,0,93,38,0,16,0,4,0,55,55,0,25,0,9,0,92,22,8,68,6,10,5,124,1526,164,1631,59,142,118,3645
LGA11400,0,0,0,0,0,0,0,0,0,3,6,3,27,9,15,0,58,285,28,383,38,113,85,935,0,6,63,15,44,53,175,4,0,7,8,0,0,20,14,14,54,3,13,0,90,68,7,73,0,12,3,161,32,3,61,0,11,0,106,74,0,38,0,6,0,124,59,0,35,0,3,0,97,17,0,9,0,6,0,36,6,0,4,0,0,0,9,4,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,11,0,22,7,17,0,62,293,30,372,28,106,63,890
LGA11450,0,0,4,8,0,3,0,0,0,12,37,13,33,12,11,6,114,2130,328,715,60,88,60,3372,4,20,51,3,4,44,128,4,5,7,4,0,0,18,7,132,5,5,12,5,164,4,42,31,7,8,0,94,15,37,26,3,3,0,76,42,28,40,4,44,0,163,156,12,102,3,13,0,293,922,41,196,5,16,5,1181,1600,4,192,0,16,4,1819,736,0,44,0,7,0,782,93,0,15,0,3,0,109,28,0,3,0,0,0,30,3,0,0,0,0,0,7,12,0,4,0,0,0,16,67,15,45,13,16,8,164,3693,341,755,54,137,64,5047
LGA11500,0,0,0,22,6,11,0,4,4,41,112,316,91,18,26,26,593,6519,5307,1991,270,211,168,14460,19,189,143,7,9,82,444,5,163,7,15,5,0,190,11,1419,30,33,12,3,1514,45,956,85,57,10,11,1161,58,498,85,36,7,3,686,248,431,134,33,26,4,879,1621,572,430,38,34,5,2699,4935,394,657,31,65,24,6115,1550,28,188,3,25,13,1816,342,3,42,0,3,0,397,41,8,11,0,0,0,62,13,3,11,0,0,0,19,14,0,3,0,0,0,17,14,0,3,0,0,0,15,125,255,97,12,21,32,537,9042,4926,1931,266,209,188,16555
LGA11520,0,0,159,151,0,30,0,0,0,190,102,40,79,10,21,15,270,6621,747,1476,120,288,149,9390,24,34,171,13,12,86,338,3,29,6,7,6,0,51,8,340,29,15,21,3,414,18,121,38,44,10,3,229,23,42,39,15,13,3,132,49,41,45,3,57,0,188,171,35,75,19,28,3,327,585,27,188,16,10,3,828,2320,13,298,9,26,6,2679,2383,13,262,4,16,7,2684,1880,4,229,8,22,3,2137,711,5,106,0,5,4,826,312,3,61,0,0,0,380,423,0,58,0,0,0,487,169,43,101,15,25,15,364,9079,746,1689,158,256,139,12073
LGA11570,0,0,19,89,0,17,0,8,4,120,343,527,317,66,76,69,1397,18107,8020,5056,887,942,564,33587,81,444,514,40,45,345,1472,7,383,15,40,9,3,460,46,2900,131,126,30,16,3262,153,1527,224,215,43,15,2176,213,761,207,72,34,9,1297,451,590,257,83,56,6,1441,3019,512,655,104,109,25,4424,8976,442,1448,94,291,46,11299,5519,194,1068,38,191,37,7052,2668,34,436,10,81,15,3250,1072,20,157,0,31,3,1279,248,10,61,0,14,0,333,114,0,22,3,0,0,133,96,3,22,0,4,0,124,389,491,389,68,99,64,1501,23049,8312,5599,904,1036,599,39507
LGA11600,0,0,0,0,0,0,0,0,0,0,0,0,13,0,15,0,26,13,19,130,12,133,25,326,0,5,27,0,70,25,127,3,0,3,0,3,0,5,3,4,20,7,15,0,51,7,0,37,0,11,0,55,11,3,17,0,3,0,33,6,0,14,0,5,0,29,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,13,0,22,0,37,29,16,151,9,125,32,357
LGA11650,0,0,17,89,0,32,0,11,0,137,276,235,248,53,81,68,961,19361,3763,6390,667,1134,652,31965,25,154,398,35,70,334,1019,13,141,25,38,17,7,234,54,1378,155,92,93,22,1800,351,658,352,214,263,24,1863,484,305,454,60,99,15,1417,1286,243,677,89,123,20,2443,4802,344,1391,43,112,40,6734,8618,141,1528,21,95,35,10443,3492,9,506,9,31,10,4069,932,10,145,0,15,3,1107,301,4,42,0,5,0,350,118,0,25,0,3,0,148,43,0,13,0,0,0,60,61,0,22,0,8,4,97,271,213,259,66,70,42,923,20862,3606,6000,676,1004,561,32705
LGA11700,0,0,0,0,0,0,0,0,0,0,0,6,4,0,16,0,20,3,100,55,33,141,28,354,0,12,7,0,60,17,95,0,5,0,5,4,0,19,0,34,9,24,4,7,82,0,15,9,4,0,0,31,0,9,0,0,0,0,9,3,4,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,12,3,23,7,81,42,43,76,22,269
LGA11720,0,0,0,8,0,9,0,3,0,24,51,40,50,3,22,15,186,2747,640,915,60,174,120,4665,4,25,103,8,8,68,224,3,18,9,10,3,0,46,28,244,52,9,13,3,344,159,137,106,11,20,0,435,149,65,106,4,7,3,338,675,56,174,8,27,8,938,1470,31,258,3,26,4,1793,916,0,105,0,5,3,1028,50,0,23,0,0,0,79,19,0,12,0,0,0,33,10,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,7,57,42,44,6,22,9,177,3538,627,1011,56,135,105,5463
LGA11730,0,0,4,15,0,5,0,3,0,29,44,35,45,6,26,3,160,2523,432,1423,171,312,172,5022,7,13,146,29,44,89,325,3,22,17,16,19,0,75,45,132,113,42,48,5,386,184,71,214,56,49,11,586,218,45,194,15,34,3,498,591,36,291,10,41,5,979,941,23,323,27,35,8,1361,486,3,91,8,13,6,617,96,0,13,3,10,0,131,23,0,7,0,6,0,37,17,0,10,0,7,0,29,6,0,3,0,3,0,8,0,0,0,0,0,0,9,10,0,4,0,4,0,18,34,34,62,11,28,8,179,2670,388,1482,210,332,146,5226
LGA11750,4,0,4,0,0,3,0,0,0,4,9,3,6,3,19,0,40,220,85,109,50,235,36,737,3,4,12,10,52,21,102,3,11,4,8,14,3,38,20,25,11,7,36,0,92,32,15,15,12,87,0,173,31,12,10,6,4,0,63,54,4,15,0,3,0,68,50,0,8,0,3,0,62,15,0,0,0,0,0,20,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,12,0,15,3,34,206,74,90,46,216,32,663
LGA11800,0,0,3,20,0,14,0,8,0,45,63,89,56,29,50,24,318,4598,1156,1894,232,452,196,8537,9,44,97,19,23,88,271,3,32,3,8,3,0,50,18,416,100,36,51,8,634,115,219,114,53,59,11,570,186,97,166,16,39,3,513,662,89,234,20,61,8,1076,1269,115,443,15,46,16,1900,1792,33,428,7,40,14,2314,564,3,99,5,17,3,696,102,0,22,0,3,0,129,24,3,10,0,3,0,38,9,0,7,0,4,0,16,0,0,0,0,4,0,7,8,0,9,0,8,0,23,91,57,57,32,41,11,287,4865,1104,1794,207,406,152,8525
LGA12000,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,11,39,15,151,7,26,18,256,0,4,28,0,15,21,63,0,7,12,0,0,0,17,5,6,22,0,5,0,37,13,0,30,0,3,0,49,12,0,17,0,0,0,32,30,0,9,0,0,0,46,15,0,15,0,0,0,28,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,6,85,13,133,0,23,28,285
LGA12150,0,0,0,0,0,3,0,0,0,5,5,0,8,0,13,4,30,67,82,155,44,94,49,497,0,9,30,3,42,30,111,0,0,0,0,4,0,11,8,21,25,4,4,3,63,20,32,40,10,9,3,114,16,8,16,4,3,0,49,8,3,25,3,4,0,50,0,3,11,0,0,0,8,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,3,7,0,28,57,87,155,32,83,36,443
LGA12350,0,0,0,3,0,8,0,3,0,9,4,5,18,3,10,0,36,565,173,328,36,88,44,1236,0,9,41,6,20,37,116,3,3,11,8,0,0,24,49,81,39,12,12,3,197,174,44,105,3,9,5,350,114,21,50,0,6,0,194,177,9,41,3,5,0,230,52,0,23,0,3,0,84,14,0,6,0,0,0,20,3,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,8,7,18,4,14,0,49,597,181,353,42,73,48,1288
