LGA_CODE_2016,C06_Se_h_NPUR_1,C06_Se_h_NPUR_2,C06_Se_h_NPUR_3,C06_Se_h_NPUR_4,C06_Se_h_NPUR_5,C06_Se_h_NPUR_6more,C06_Se_h_Tot,C06_SDRTHT1S_NPUR_1,C06_SDRTHT1S_NPUR_2,C06_SDRTHT1S_NPUR_3,C06_SDRTHT1S_NPUR_4,C06_SDRTHT1S_NPUR_5,C06_SDRTHT1S_NPUR_6mo,C06_SDRTHT1S_To,C06_SDRTHT2S_NPUR_1,C06_SDRTHT2S_NPUR_2,C06_SDRTHT2S_NPUR_3,C06_SDRTHT2S_NPUR_4,C06_SDRTHT2S_NPUR_5,C06_SDRTHT2S_NPUR_6mo,C06_SDRTHT2S_To,C06_SDRTHT_NPUR_1,C06_SDRTHT_NPUR_2,C06_SDRTHT_NPUR_3,C06_SDRTHT_NPUR_4,C06_SDRTHT_NPUR_5,C06_SDRTHT_NPUR_6mor,C06_SDRTHT_Tot,C06_FUA_1_2SB_NPUR_1,C06_FUA_1_2SB_NPUR_2,C06_FUA_1_2SB_NPUR_3,C06_FUA_1_2SB_NPUR_4,C06_FUA_1_2SB_NPUR_5,C06_FUA_1_2SB_NPUR_6mor,C06_FUA_1_2SB_Tot,C06_FUA_I_a_3SB_NPUR_1,C06_FUA_I_a_3SB_NPUR_2,C06_FUA_I_a_3SB_NPUR_3,C06_FUA_I_a_3SB_NPUR_4,C06_FUA_I_a_3SB_NPUR_5,C06_FUA_I_a_3SB_NPUR_6m,C06_FUA_In_a_3SB_To,C06_FUA_4mor_s_b_NPUR_1,C06_FUA_4mor_s_b_NPUR_2,C06_FUA_4mor_s_b_NPUR_3,C06_FUA_4mor_s_b_NPUR_4,C06_FUA_4mor_s_b_NPUR_5,C06_FUA_4m_s_b_NPUR_6mor,C06_FUA_4mor_st_bl_Tot,C06_FUA_AH_NPUR_1,C06_FUA_AH_NPUR_2,C06_FUA_AH_NPUR_3,C06_FUA_AH_NPUR_4,C06_FUA_AH_NPUR_5,C06_FUA_AH_NPUR_6mo,C06_FUA_AH_Tot,C06_FUA_To_NPUR_1,C06_FUA_To_NPUR_2,C06_FUA_To_NPUR_3,C06_FUA_To_NPUR_4,C06_FUA_To_NPUR_5,C06_FUA_To_NPUR_6mo,C06_FUA_To_To,C06_OD_CCH_NPUR_1,C06_OD_CCH_NPUR_2,C06_OD_CCH_NPUR_3,C06_OD_CCH_NPUR_4,C06_OD_CCH_NPUR_5,C06_OD_CCH_NPUR_6mo,C06_OD_CCH_Tot,C06_OD_IHTSO_NPUR_1,C06_OD_IHTSO_NPUR_2,C06_OD_IHTSO_NPUR_3,C06_OD_IHTSO_NPUR_4,C06_OD_IHTSO_NPUR_5,C06_OD_IHTSO_NPUR_6mo,C06_OD_IHTSO_Tot,C06_OD_H_f_a_s_o_NPUR_1,C06_OD_H_f_a_s_o_NPUR_2,C06_OD_H_f_a_s_o_NPUR_3,C06_OD_H_f_a_s_o_NPUR_4,C06_OD_H_f_a_s_o_NPUR_5,C06_OD_H_f_a_s_o_NPUR_6mor,C06_OD_H_f_a_s_o_TO,C06_OD_Tot_NPUR_1,C06_OD_Tot_NPUR_2,C06_OD_Tot_NPUR_3,C06_OD_Tot_NPUR_4,C06_OD_Tot_NPUR_5,C06_OD_Tot_NPUR_6mor,C06_OD_T_T,C06_DS_ns_NPUR_1,C06_DS_ns_NPUR_2,C06_DS_ns_NPUR_3,C06_DS_ns_NPUR_4,C06_DS_ns_NPUR_5,C06_DS_ns_NPUR_6more,C06_Dwg_st_NS_T,C06_Tot_NPUR_1,C06_Tot_NPUR_2,C06_Tot_NPUR_3,C06_Tot_NPUR_4,C06_Tot_NPUR_5,C06_Tot_NPUR_6more,C06_T_T,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_S_r_t_h_t_1_s_NPUR_1,C11_S_r_t_h_t_1_s_NPUR_2,C11_S_r_t_h_t_1_s_NPUR_3,C11_S_r_t_h_t_1_s_NPUR_4,C11_S_r_t_h_t_1_s_NPUR_5,C11_S_r_t_h_t_1_s_NPUR_6mo,C11_SDRTHTS_To,C11_S_r_t_h_t_2mor_s_NPUR_1,C11_S_r_t_h_t_2mor_s_NPUR_2,C11_S_r_t_h_t_2mor_s_NPUR_3,C11_S_r_t_h_t_2mor_s_NPUR_4,C11_S_r_t_h_t_2mor_s_NPUR_5,C11_SDRTHT2S_NPUR_6mo,C11_SDRTHT2S_To,C11_Sd_r_t_h_t_To_NPUR_1,C11_Sd_r_t_h_t_To_NPUR_2,C11_Sd_r_t_h_t_To_NPUR_3,C11_Sd_r_t_h_t_To_NPUR_4,C11_Sd_r_t_h_t_To_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_Sd_r_t_h_t_To_Tot,C11_Fl_u_a_1_2SB_NPUR_1,C11_Fl_u_a_1_2SB_NPUR_2,C11_Fl_u_a_1_2SB_NPUR_3,C11_Fl_u_a_1_2SB_NPUR_4,C11_Fl_u_a_1_2SB_NPUR_5,C11_F_u_a_1_2SB_NPUR_6mor,C11_FUA_1_2SB_Tot,C11_F_u_a_I_a_3SB_NPUR_1,C11_F_u_a_I_a_3SB_NPUR_2,C11_F_u_a_I_a_3SB_NPUR_3,C11_F_u_a_I_a_3SB_NPUR_4,C11_F_u_a_I_a_3SB_NPUR_5,C11_F_u_a_I_a_3SB_NPUR_6m,C11_FUA_In_a_3_st_b_To,C11_F_u_a_4mor_s_b_NPUR_1,C11_F_u_a_4mor_s_b_NPUR_2,C11_F_u_a_4mor_s_b_NPUR_3,C11_F_u_a_4mor_s_b_NPUR_4,C11_F_u_a_4mor_s_b_NPUR_5,C11_F_u_a_4m_s_b_NPUR_6mor,C11_FUA_4mor_st_bl_Tot,C11_FUA_AH_NPUR_1,C11_FUA_AH_NPUR_2,C11_FUA_AH_NPUR_3,C11_FUA_AH_NPUR_4,C11_FUA_AH_NPUR_5,C11_FUA_AH_NPUR_6mo,C11_FUA_AH_Tot,C11_FUA_To_NPUR_1,C11_FUA_To_NPUR_2,C11_FUA_To_NPUR_3,C11_FUA_To_NPUR_4,C11_FUA_To_NPUR_5,C11_FUA_To_NPUR_6mo,C11_FUA_To_To,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mo,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mo,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_TO,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_T_T,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4
LGA10050,2623,4730,2338,2270,1090,412,13463,544,401,69,33,7,8,1052,74,57,14,0,0,0,153,617,452,82,35,7,4,1206,1429,784,126,78,10,4,2427,105,47,9,9,0,0,162,123,56,11,0,0,0,193,6,0,3,0,0,0,18,1661,893,148,82,10,0,2796,55,38,9,6,3,0,104,3,0,0,0,0,0,3,25,15,8,6,0,0,56,78,52,13,13,3,0,162,8,3,0,0,0,0,12,4985,6134,2583,2400,1115,427,17633,3045,5290,2335,2332,993,407,14406,532,314,78,23,8,0,948,38,36,24,3,3,0,106,567,348,98,28,7,0,1055,1818,785,199,76,15,6,2914,69,23,8,0,0,0,99,16,3,0,0,0,0,23,3,6,3,0,0,0,15,1909,818,212,84,15,6,3048,45,17,3,0,4,0,69,0,0,0,0,0,0,0,6,4,4,4,0,0,22,56,22,10,3,3,0,89,3,0,4,3
LGA10130,1877,2964,1352,1282,635,284,8382,227,153,35,8,0,3,418,30,24,5,0,0,0,54,252,174,38,14,0,3,474,487,219,58,17,0,3,796,8,0,0,0,0,0,12,0,0,0,0,0,0,4,14,9,0,0,0,0,31,515,236,64,19,0,4,840,29,15,9,3,0,0,57,0,0,0,0,0,0,3,6,19,3,6,0,0,32,42,34,11,8,0,0,89,0,0,0,0,0,0,3,2684,3406,1457,1320,630,287,9786,2006,3169,1291,1236,621,304,8621,254,133,38,18,5,0,454,36,16,3,0,4,0,64,297,148,40,20,9,3,520,533,265,75,36,15,0,929,15,9,5,3,0,0,35,0,0,0,0,0,0,0,13,5,0,0,0,0,22,562,278,79,44,15,0,982,34,7,3,0,0,0,47,0,0,0,0,0,0,0,7,4,4,3,3,0,25,41,13,4,5,3,0,68,6,0,0,0
LGA10250,1864,4137,1630,1693,784,305,10413,627,441,135,61,21,9,1300,234,230,119,47,10,8,637,861,671,253,105,35,17,1940,924,621,201,107,25,9,1896,42,58,13,4,0,0,115,20,14,0,0,0,0,34,12,16,7,4,0,0,35,1005,711,221,110,29,9,2084,339,231,29,14,3,0,616,3,8,0,0,0,0,12,8,24,6,3,3,5,50,351,264,37,24,5,4,681,3,0,0,0,0,0,8,4084,5782,2146,1930,852,340,15119,2135,4477,1696,1707,733,334,11095,567,475,139,66,18,12,1270,216,292,127,72,14,5,726,776,768,265,137,36,16,1996,994,588,157,69,18,3,1834,22,42,9,6,0,0,77,29,27,7,0,0,0,66,16,3,0,0,0,0,17,1066,661,173,75,25,3,1999,264,168,23,7,0,0,466,5,3,0,0,0,0,5,12,10,5,3,0,0,29,278,182,29,12,0,0,501,3,3,0,0
LGA10300,196,312,106,125,69,28,832,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,34,8,3,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,8,3,0,0,0,41,8,0,0,0,0,0,10,0,0,0,0,0,0,0,6,3,0,0,0,0,13,17,4,0,0,0,0,23,0,0,0,0,0,0,0,246,324,108,130,70,28,903,177,291,114,101,58,25,766,18,0,0,0,0,0,19,0,0,0,0,0,0,3,18,0,0,0,0,0,16,17,3,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,3,0,0,0,25,7,0,0,0,0,0,7,0,0,0,0,0,0,0,5,7,0,0,0,0,7,12,7,0,0,0,0,16,0,0,0,0
LGA10470,2115,3783,1752,1791,817,395,10658,357,229,79,41,21,9,731,38,54,33,18,3,0,146,391,282,105,59,20,9,876,519,273,53,21,3,0,872,26,8,3,0,0,0,35,0,0,0,0,0,0,0,15,4,0,0,0,0,19,562,289,58,21,4,0,929,28,7,3,0,3,0,45,3,4,0,0,0,0,8,30,20,10,8,3,0,70,60,30,12,11,7,0,114,10,10,15,12,0,4,42,3143,4392,1944,1892,845,410,12627,2436,4163,1867,1880,886,436,11662,407,259,87,32,10,5,805,71,77,26,17,9,0,195,480,336,115,55,19,7,1008,549,211,43,18,8,0,823,19,14,0,0,0,0,36,3,0,0,0,0,0,7,19,9,4,3,3,0,35,593,232,50,22,7,0,899,17,11,0,0,0,0,29,4,0,0,0,0,0,4,12,12,3,0,0,0,24,28,17,3,0,0,0,59,12,12,0,0
LGA10550,2101,4182,1489,1414,603,303,10090,158,142,17,14,3,3,341,35,61,17,11,0,0,121,198,202,31,25,3,3,470,586,326,64,27,9,0,1014,4,0,0,0,0,0,3,0,0,0,0,0,0,0,15,13,3,0,0,0,27,599,339,68,23,9,4,1046,122,87,13,9,8,3,234,9,19,4,11,3,3,51,17,17,7,5,0,0,48,150,123,16,20,10,3,330,15,3,0,3,0,0,20,3056,4844,1614,1488,635,317,11959,2327,4546,1486,1279,608,257,10504,268,158,29,14,3,0,475,149,191,30,25,8,0,393,415,344,54,39,11,3,866,563,310,70,47,8,3,1009,8,3,0,0,0,0,9,0,0,0,0,0,0,0,13,6,4,0,0,0,25,589,321,72,49,8,3,1048,103,60,7,7,3,3,177,11,7,5,0,0,0,26,13,25,9,0,0,0,39,127,86,16,8,8,0,247,7,5,0,0
LGA10600,984,1761,682,590,235,134,4386,21,5,4,3,0,0,38,20,17,5,3,0,0,40,41,25,8,3,3,0,76,142,46,4,0,0,0,199,10,8,0,0,0,0,11,0,0,0,0,0,0,0,3,7,0,0,0,0,10,157,58,4,0,0,0,219,87,32,0,3,0,0,119,10,0,8,0,0,0,18,8,14,9,8,0,0,32,102,43,14,10,3,0,175,0,0,0,0,0,0,0,1284,1883,712,609,238,130,4857,1035,1837,655,590,258,114,4492,41,13,5,0,0,0,63,20,16,3,0,0,0,37,67,27,9,3,0,0,106,131,29,0,3,3,0,169,18,4,0,0,0,0,21,0,0,0,0,0,0,0,19,4,0,0,0,0,25,169,37,5,3,4,0,216,96,49,3,3,0,0,154,14,4,0,0,0,0,22,5,11,4,0,0,0,18,111,57,10,5,0,0,190,0,0,0,0
LGA10650,640,1158,356,318,192,87,2745,48,36,5,0,3,0,93,0,0,0,0,0,0,0,46,36,5,0,3,0,94,120,63,4,4,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,64,4,4,0,0,198,36,25,0,0,0,0,67,3,0,0,0,0,0,3,8,5,3,3,0,0,18,46,32,5,5,4,0,89,0,3,0,0,0,0,5,851,1293,370,332,205,89,3133,784,1215,306,310,154,86,2855,94,29,7,3,0,0,133,0,6,7,0,0,3,13,97,37,6,3,0,3,146,106,41,9,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,41,9,0,0,0,162,35,17,3,3,0,0,56,3,3,0,0,0,0,3,7,9,3,0,0,3,20,44,30,7,3,0,3,85,0,4,0,3
LGA10750,10014,19271,14129,16007,7874,4824,72115,1095,1245,770,698,327,187,4320,967,1362,1069,782,336,235,4753,2064,2606,1834,1479,665,419,9074,878,197,70,39,17,4,1201,539,384,225,140,44,23,1367,285,399,251,111,28,22,1090,45,28,5,8,4,0,91,1743,1007,558,303,91,48,3752,323,165,27,16,3,3,536,10,3,4,0,0,0,22,36,24,14,7,6,3,88,364,191,44,28,10,5,640,3,12,3,3,0,0,24,14188,23082,16565,17819,8649,5303,85603,10752,20023,15123,17336,8559,5878,77675,1106,1068,653,601,268,173,3874,1126,1629,1598,1363,657,483,6851,2229,2696,2255,1962,918,657,10722,914,196,43,30,12,9,1207,478,493,300,183,62,35,1545,416,637,460,290,74,38,1916,71,51,17,4,3,5,140,1884,1370,815,499,153,88,4806,180,66,21,13,0,0,274,6,3,0,0,0,0,14,31,29,19,16,3,6,101,209,96,39,23,8,3,384,22,15,10,12
LGA10800,515,810,311,234,184,89,2151,44,10,3,0,0,0,57,0,0,0,0,0,0,0,42,10,3,4,0,0,57,34,8,0,4,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,36,10,0,4,0,0,59,19,3,0,0,0,0,23,0,0,0,0,0,0,0,3,8,3,0,0,0,20,25,13,3,0,0,0,41,0,0,0,0,0,0,0,618,848,322,245,186,89,2309,554,832,259,234,150,104,2127,9,4,0,0,0,0,16,0,0,0,0,0,0,0,9,4,0,0,0,0,16,68,17,3,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,63,15,3,0,0,0,85,9,0,0,0,0,0,7,0,0,0,0,0,0,3,6,7,3,3,3,0,19,17,6,3,3,3,0,33,0,0,0,0
