LGA_CODE_2016,C06_0_74_CF_NC,C06_0_74_CF_Cu15DS_,C06_0_74_CF_CU15_NDS,C06_0_74_CF_NCU15_DS,C06_0_74_CF_NDCO,C06_0_74_CF_T,C06_75_99_CF_NC,C06_75_99_CF_Cu15DS_,C06_75_99_CF_CU15_NDS,C06_75_99_CF_NCU15_DS,C06_75_99_CF_NDCO,C06_75_99_CF_T,C06_100_149_CF_NC,C06_100_149_CF_Cu15DS_,C06_100_149_CF_CU15_NDS,C06_100_149_CF_NCU15_DS,C06_100_149_CF_NDCO,C06_100_149_Co_fam_To,C06_150_199_CF_NC,C06_150_199_CF_Cu15DS_,C06_150_199_CF_CU15_NDS,C06_150_199_CF_NCU15_DS,C06_150_199_CF_NDCO,C06_150_199_CF_T,C06_200_224_CF_NC,C06_200_224_CF_Cu15DS_,C06_200_224_CF_CU15_NDS,C06_200_224_CF_NCU15_DS,C06_200_224_CF_NDCO,C06_200_224_CF_T,C06_225_274_CF_NC,C06_225_274_CF_Cu15DS_,C06_225_274_CF_CU15_NDS,C06_225_274_CF_NCU15_DS,C06_225_274_CF_NDCO,C06_225_274_CF_T,C06_275_349_CF_NC,C06_275_349_CF_Cu15DS_,C06_275_349_CF_CU15_NDS,C06_275_349_CF_NCU15_DS,C06_275_349_CF_NDCO,C06_275_349_CF_T,C06_350_449_CF_NC,C06_350_449_CF_Cu15DS_,C06_350_449_CF_CU15_NDS,C06_350_449_CF_NCU15_DS,C06_350_449_CF_NDCO,C06_350_449_CF_T,C06_450_549_CF_NC,C06_450_549_CF_Cu15DS_,C06_450_549_CF_CU15_NDS,C06_450_549_CF_NCU15_DS,C06_450_549_CF_NDCO,C06_450_549_CF_T,C06_550_649_CF_NC,C06_550_649_CF_Cu15DS_,C06_550_649_CF_CU15_NDS,C06_550_649_CF_NCU15_DS,C06_550_649_CF_NDCO,C06_550_649_CF_T,C06_650_749_CF_NC,C06_650_749_CF_Cu15DS_,C06_650_749_CF_CU15_NDS,C06_650_749_CF_NCU15_DS,C06_650_749_CF_NDCO,C06_650_749_CF_T,C06_750_849_CF_NC,C06_750_849_CF_Cu15DS_,C06_750_849_CF_CU15_NDS,C06_750_849_CF_NCU15_DS,C06_750_849_CF_NDCO,C06_750_849_CF_T,C06_850_949_CF_NC,C06_850_949_CF_Cu15DS_,C06_850_949_CF_CU15_NDS,C06_850_949_CF_NCU15_DS,C06_850_949_CF_NDCO,C06_850_949_CF_T,C06_950over_CF_NC,C06_950ov_CF_Cu15DS_,C06_950ov_CF_CU15_NDS,C06_950ov_CF_NCU15_DS,C06_950ov_CF_NDCO,C06_950ov_CF_T,C06_Rns_CF_NC,C06_Rns_CF_Cu15DS_,C06_Rns_CF_CU15_NDS,C06_Rns_CF_NCU15_DS,C06_Rns_CF_NDCO,C06_Rns_CF_T,C06_Tot_CF_NC,C06_Tot_CF_Cu15DS_,C06_Tot_CF_CU15_NDS,C06_Tot_CF_NCU15_DS,C06_Tot_CF_NDCO,C06_Tota_Coup_fam_Tota,C11_0_74_CF_NC,C11_0_74_CF_Cu15DS_,C11_0_74_CF_CU15_NDS,C11_0_74_CF_NCU15_DS,C11_0_74_CF_NDCO,C11_0_74_Coup_fam_Tot,C11_75_99_CF_NC,C11_75_99_CF_Cu15DS_,C11_75_99_CF_CU15_NDS,C11_75_99_CF_NCU15_DS,C11_75_99_CF_NDCO,C11_75_99_CF_T,C11_100_149_CF_NC,C11_100_149_CF_Cu15DS_,C11_100_149_CF_CU15_NDS,C11_100_149_CF_NCU15_DS,C11_100_149_CF_NDCO,C11_100_149_Co_fam_To,C11_150_199_CF_NC,C11_150_199_CF_Cu15DS_,C11_150_199_CF_CU15_NDS,C11_150_199_CF_NCU15_DS,C11_150_199_CF_NDCO,C11_150_199_CF_T,C11_200_224_CF_NC,C11_200_224_CF_Cu15DS_,C11_200_224_CF_CU15_NDS,C11_200_224_CF_NCU15_DS,C11_200_224_CF_NDCO,C11_200_224_CF_T,C11_225_274_CF_NC,C11_225_274_CF_Cu15DS_,C11_225_274_CF_CU15_NDS,C11_225_274_CF_NCU15_DS,C11_225_274_CF_NDCO,C11_225_274_CF_T,C11_275_349_CF_NC,C11_275_349_CF_Cu15DS_,C11_275_349_CF_CU15_NDS,C11_275_349_CF_NCU15_DS,C11_275_349_CF_NDCO,C11_275_349_CF_T,C11_350_449_CF_NC,C11_350_449_CF_Cu15DS_,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_CF_T,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_CF_T,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_CF_T,C11_650_749_CF_NC,C11_650_749_CF_Cu15DS_,C11_650_749_CF_CU15_NDS,C11_650_749_CF_NCU15_DS,C11_650_749_CF_NDCO,C11_650_749_CF_T,C11_750_849_CF_NC,C11_750_849_CF_Cu15DS_,C11_750_849_CF_CU15_NDS,C11_750_849_CF_NCU15_DS,C11_750_849_CF_NDCO,C11_750_849_CF_T,C11_850_949_CF_NC,C11_850_949_CF_Cu15DS_,C11_850_949_CF_CU15_NDS,C11_850_949_CF_NCU15_DS,C11_850_949_CF_NDCO,C11_850_949_CF_T,C11_950over_CF_NC,C11_950ov_CF_Cu15DS_,C11_950ov_CF_CU15_NDS,C11_950ov_CF_NCU15_DS,C11_950ov_CF_NDCO,C11_950ov_CF_T,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_CF_T,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_CF_T,C16_0_74_CF_NC,C16_0_74_CF_Cu15DS_,C16_0_74_CF_CU15_NDS,C16_0_74_CF_NCU15_DS,C16_0_74_CF_NDCO,C16_0_74_CF_T,C16_75_99_CF_NC,C16_75_99_CF_Cu15DS_
LGA10050,46,3,16,3,4,80,42,0,9,0,0,56,201,5,101,7,12,325,289,16,156,7,23,485,95,5,83,10,9,211,122,11,128,8,7,276,49,15,72,8,9,148,19,4,21,4,5,51,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,10,26,3,11,3,5,47,893,66,616,55,66,1698,35,0,13,4,0,56,18,0,5,0,3,21,150,9,46,3,5,218,196,10,104,3,13,322,134,7,90,7,13,253,186,28,181,15,8,418,148,18,180,16,16,377,40,17,84,12,10,166,7,3,21,0,0,40,0,0,9,0,0,15,0,0,3,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,10,26,0,19,3,3,46,936,92,765,74,72,1940,22,3,14,3,8,47,10,0
LGA10130,67,6,73,8,8,168,19,3,26,7,4,52,99,8,80,3,17,212,145,8,127,8,22,313,70,22,73,4,3,169,42,7,55,7,3,117,16,7,37,4,0,55,4,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,11,15,3,18,3,0,37,483,72,492,45,56,1145,59,6,40,3,10,121,6,0,3,0,0,8,52,4,35,0,7,103,122,6,84,7,9,232,60,8,51,9,8,138,97,15,82,4,13,207,86,14,117,6,4,235,46,8,83,7,6,155,0,3,13,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,20,0,15,0,3,43,549,81,531,43,59,1259,56,8,45,6,4,118,0,0
LGA10250,44,12,43,4,6,106,31,0,8,0,0,36,75,9,30,3,5,131,126,4,65,11,18,228,99,17,107,3,10,232,153,21,167,13,22,371,140,34,155,20,14,369,52,17,71,11,9,155,3,0,3,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,3,0,0,4,18,3,10,0,5,36,742,106,675,66,94,1688,38,11,24,7,6,82,18,0,0,0,0,18,58,6,11,0,8,84,55,3,24,3,8,93,42,3,18,0,9,70,102,10,50,4,6,178,226,24,171,16,21,454,191,45,291,29,33,590,41,16,84,8,3,159,12,3,14,5,0,33,0,0,6,0,0,6,0,0,4,0,0,4,0,0,0,0,0,0,9,0,3,0,0,14,7,4,18,0,3,28,803,117,711,69,99,1798,33,7,18,4,3,63,0,0
LGA10300,16,0,22,0,3,46,4,0,6,0,0,10,13,0,8,0,0,26,3,0,13,3,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,39,7,53,5,4,109,13,0,20,0,0,36,0,0,0,0,0,0,9,3,5,0,5,18,13,0,11,4,3,29,4,0,0,0,0,4,0,0,3,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,5,0,0,7,49,9,41,4,13,106,19,0,17,0,0,39,0,0
LGA10470,50,7,48,7,5,114,23,0,6,3,0,32,102,3,54,3,11,172,161,12,118,11,21,325,90,7,85,6,10,202,77,15,106,8,8,205,30,16,68,4,5,129,4,3,8,0,0,25,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,12,0,6,3,4,24,544,66,510,42,59,1226,37,4,41,9,0,90,12,0,4,0,0,15,60,3,17,5,6,95,96,7,59,3,11,180,85,13,63,7,16,179,134,15,150,9,15,320,122,22,198,13,13,364,56,28,103,7,10,200,4,0,14,3,0,24,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,3,8,0,4,26,623,91,665,51,67,1497,26,8,31,0,0,61,10,0
LGA10550,64,9,55,3,5,143,13,7,10,0,0,35,78,0,51,7,5,147,175,9,156,11,25,377,67,8,73,6,8,156,70,23,100,6,11,207,27,9,37,6,3,75,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,8,12,0,10,0,4,28,509,70,504,38,62,1187,57,7,29,9,7,104,8,0,3,0,3,18,47,6,23,0,6,74,95,11,55,5,5,165,78,4,60,3,3,151,105,19,92,5,18,244,73,15,133,21,12,252,30,11,34,6,0,79,4,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,12,14,4,16,3,3,38,517,68,451,47,51,1147,34,0,45,3,6,82,4,0
LGA10600,21,0,20,0,0,42,5,0,0,0,0,6,36,0,20,0,0,55,57,7,70,5,8,141,24,10,29,3,6,65,18,9,48,0,3,87,4,3,15,4,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,18,178,23,212,14,16,444,18,0,17,0,0,39,3,0,0,0,0,3,9,0,7,4,0,26,25,4,22,0,0,43,24,4,23,0,0,48,30,9,38,4,0,87,33,16,64,3,0,118,15,3,45,4,0,69,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,152,35,213,22,16,447,14,0,22,0,4,36,0,0
LGA10650,27,3,33,0,6,78,11,0,5,0,0,23,31,4,20,0,4,67,23,3,31,0,0,59,7,0,10,0,0,18,9,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,123,16,117,5,14,272,30,3,22,0,0,58,0,0,4,0,0,7,26,0,13,3,0,48,36,6,28,3,3,80,16,3,14,0,3,37,11,0,17,0,3,33,4,5,4,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,11,132,21,105,18,10,285,16,0,31,0,0,50,5,0
LGA10750,186,17,99,17,23,342,133,10,43,5,24,213,600,71,345,47,112,1171,644,183,956,94,267,2155,613,166,1115,85,180,2167,1117,248,1807,164,225,3564,381,135,663,68,99,1349,160,64,319,46,65,663,27,10,39,6,7,94,5,0,11,0,5,24,3,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,25,3,34,3,4,64,132,34,119,9,39,344,4037,950,5564,557,1053,12162,148,21,127,24,25,340,37,0,18,3,10,63,530,20,117,35,68,765,286,70,244,49,112,763,216,86,244,30,136,705,378,129,551,71,120,1257,1140,289,1892,162,247,3739,1150,356,2042,213,236,4007,288,138,529,89,111,1156,105,55,259,46,51,524,20,11,53,11,6,101,0,4,9,3,0,18,0,0,5,0,0,7,15,3,30,8,5,59,160,20,152,21,47,403,4476,1208,6277,766,1190,13920,124,17,108,16,31,299,27,0
LGA10800,30,6,36,0,4,84,14,3,3,0,0,23,21,9,15,0,0,41,16,0,15,0,0,31,7,0,5,0,3,16,11,0,13,0,0,22,3,0,10,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,13,98,19,96,4,12,231,32,5,31,3,0,73,0,0,3,0,0,8,19,0,4,0,3,27,19,3,16,0,4,41,6,0,9,0,0,20,6,4,23,0,0,34,7,3,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,13,94,17,111,8,13,241,25,3,34,0,0,66,0,0
LGA10850,11,3,17,0,7,34,3,0,0,0,4,5,27,0,12,3,0,47,24,14,46,5,4,94,3,0,5,3,0,13,0,0,3,0,0,9,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,14,80,19,96,10,18,224,15,0,16,0,3,34,3,0,3,0,0,12,18,0,4,0,0,26,25,7,19,8,3,62,6,3,16,0,0,36,12,4,22,0,0,37,9,3,15,0,0,27,3,0,8,0,0,8,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,10,94,19,109,15,14,251,15,0,15,0,0,27,0,0
LGA10900,48,8,23,9,7,85,12,0,3,0,0,17,36,3,39,3,3,82,165,13,143,4,12,341,182,9,204,11,13,425,257,35,311,22,28,644,92,27,146,14,16,292,27,13,49,4,4,90,4,3,8,3,0,12,3,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,13,0,13,3,5,31,839,115,939,69,84,2045,23,6,41,3,3,68,6,0,0,0,0,3,21,0,9,0,3,31,55,0,13,6,7,90,65,7,40,5,10,125,140,8,142,9,16,310,282,25,299,34,24,669,142,40,278,27,23,505,38,15,75,11,10,150,6,4,20,3,0,35,4,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,9,25,3,15,0,5,51,810,107,942,96,88,2046,43,3,36,0,0,77,7,0
LGA10950,14,0,16,5,0,34,3,0,6,0,0,9,14,3,21,4,0,48,7,0,6,0,0,17,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,6,52,5,58,10,8,127,8,3,13,0,0,28,0,0,0,0,0,0,14,0,0,0,0,17,12,0,16,0,0,33,6,0,9,0,3,19,3,0,9,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,12,51,5,63,4,10,128,15,3,10,0,0,30,0,0
LGA11100,37,3,28,5,12,84,26,0,0,0,3,26,111,7,29,8,8,158,90,5,49,11,17,172,172,17,166,7,15,380,184,28,226,39,42,517,121,22,133,15,35,321,148,27,167,26,42,412,38,8,43,8,13,103,10,0,11,0,0,17,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,3,12,27,9,20,3,6,62,971,123,874,125,190,2279,21,4,22,6,5,70,3,0,3,0,3,7,99,0,8,0,10,115,39,10,14,6,8,78,19,0,13,3,0,33,64,9,44,9,14,142,186,23,195,18,22,445,241,33,293,33,43,649,103,20,122,18,33,295,148,22,117,13,30,329,24,7,57,3,12,105,4,0,24,3,3,41,5,3,4,0,0,14,3,0,7,3,0,13,32,3,23,3,7,74,999,141,957,108,190,2400,32,0,24,3,7,63,9,0
LGA11150,33,6,35,0,0,73,0,0,9,0,0,12,14,6,33,0,3,61,5,0,9,0,0,15,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,11,65,11,92,3,7,175,40,0,39,0,3,83,3,0,9,0,0,9,9,0,14,3,3,23,11,0,14,0,0,30,7,3,3,0,0,15,0,0,4,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,8,75,9,88,5,7,180,33,0,18,0,0,51,0,0
LGA11200,31,3,29,0,0,62,11,3,14,0,0,27,9,3,29,0,0,37,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,8,54,16,80,0,3,149,22,5,31,4,3,66,9,0,9,4,0,21,9,3,14,0,4,26,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,15,44,8,72,10,6,139,18,0,14,0,3,39,11,4
