LGA_CODE_2016,C16_1PF_Cu15DS_4000ov,C16_1PF_Cu15DS_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_0_299,C16_1PF_CU15_NDS_300_449,C16_1PF_CU15_NDS_450_599,C16_1PF_CU15_NDS_600_799,C16_1PF_CU15_NDS_800_999,C16_1PF_CU15_NDS_1000_1399,C16_1PF_CU15_NDS_1400_1799,C16_1PF_CU15_NDS_1800_2399,C16_1PF_CU15_NDS_2400_2999,C16_1PF_CU15_NDS_3000_3999,C16_1PF_CU15_NDS_4000ov,C16_1PF_CU15_NDS_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_0_299,C16_1PF_NCu15DS_300_449,C16_1PF_NCu15DS_450_599,C16_1PF_NCu15DS_600_799,C16_1PF_NCu15DS_800_999,C16_1PF_NCu15DS_1000_1399,C16_1PF_NCu15DS_1400_1799,C16_1PF_NCu15DS_1800_2399,C16_1PF_NCu15DS_2400_2999,C16_1PF_NCu15DS_3000_3999,C16_1PF_NCu15DS_4000ov,C16_1PF_NCu15DS_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_0_299,C16_1PF_NDCO_300_449,C16_1PF_NDCO_450_599,C16_1PF_NDCO_600_799,C16_1PF_NDCO_800_999,C16_1PF_NDCO_1000_1399,C16_1PF_NDCO_1400_1799,C16_1PF_NDCO_1800_2399,C16_1PF_NDCO_2400_2999,C16_1PF_NDCO_3000_3999,C16_1PF_NDCO_4000ov,C16_1PF_NDCO_NS,C16_1PF_NDCO_Tot,C16_1PF_T_0_299,C16_1PF_T_300_449,C16_1PF_T_450_599,C16_1PF_T_600_799,C16_1PF_T_800_999,C16_1PF_T_1000_1399,C16_1PF_T_1400_1799,C16_1PF_T_1800_2399,C16_1PF_T_2400_2999,C16_1PF_T_3000_3999,C16_1PF_T_4000ov,C16_1PF_T_NS,C16_1_PF_T_T,C16_T_0_299,C16_T_300_449,C16_T_450_599,C16_T_600_799,C16_T_800_999,C16_T_1000_1399,C16_T_1400_1799,C16_T_1800_2399,C16_T_2400_2999,C16_T_3000_3999,C16_T_4000ov,C16_T_NS,C16_T_T
LGA10050,0,0,47,9,8,3,25,24,79,46,23,10,0,3,10,245,7,3,0,8,13,25,21,12,3,0,0,3,96,7,3,5,11,13,40,28,19,3,0,0,6,140,20,16,12,48,57,170,95,58,11,6,3,23,528,189,120,95,218,385,1145,1168,1037,286,203,95,200,5140
LGA10130,0,4,37,3,0,3,12,12,32,18,15,3,4,4,5,118,0,5,3,4,3,12,13,11,0,0,0,4,52,3,3,3,3,9,22,12,3,3,3,0,4,71,14,9,11,26,25,81,50,32,4,12,4,13,274,128,52,50,123,164,502,467,356,124,121,78,96,2254
LGA10250,0,0,41,7,0,0,9,11,36,42,44,15,8,5,4,189,4,3,0,3,6,14,11,20,3,3,0,4,69,13,6,7,16,5,32,27,27,9,3,4,12,148,21,12,6,23,32,94,92,97,27,17,11,19,448,184,100,65,108,183,515,592,878,400,291,161,141,3622
LGA10300,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,5,0,0,4,0,0,0,0,0,0,14,13,13,16,23,27,43,21,9,0,3,3,12,169
LGA10470,0,0,46,6,3,4,8,15,59,50,39,13,4,0,7,211,3,3,0,3,7,19,10,9,3,6,3,3,76,6,6,0,8,21,34,25,20,9,4,3,8,139,18,9,10,22,41,119,104,85,26,15,9,14,475,152,73,56,133,221,694,874,1012,453,257,119,139,4187
LGA10550,0,0,27,7,4,3,16,6,34,30,14,7,3,0,7,128,3,3,0,4,13,15,8,5,0,0,0,0,57,11,10,10,8,15,20,24,7,0,0,0,7,103,19,15,10,27,38,80,65,29,6,4,0,13,318,167,100,83,169,250,604,597,518,176,129,58,136,2986
LGA10600,0,0,23,0,0,3,8,7,21,10,14,0,0,0,3,73,0,0,0,4,5,15,5,5,0,3,0,3,44,8,6,3,3,3,13,3,9,0,3,0,6,52,11,10,7,15,20,51,27,27,0,8,3,9,191,45,42,22,60,78,214,224,197,69,53,24,57,1075
LGA10650,0,0,7,0,0,3,3,5,7,7,3,0,0,0,0,34,0,0,0,3,3,5,0,0,0,0,0,0,14,0,0,0,3,0,5,0,3,0,0,0,0,25,0,3,3,14,12,22,9,8,0,4,3,0,80,57,29,30,68,71,147,104,92,18,24,19,41,704
LGA10750,8,18,376,49,23,19,28,53,179,261,381,184,122,41,60,1402,36,16,14,29,45,123,119,174,66,45,32,26,728,83,34,43,70,99,246,250,336,135,103,47,102,1533,191,75,76,138,213,605,686,986,441,299,126,202,4042,1432,502,407,762,1121,3727,5497,10478,6939,6183,2461,1632,41147
LGA10800,0,0,4,0,7,3,3,7,11,0,0,0,0,0,0,22,0,0,0,0,3,0,0,0,0,0,0,0,10,4,9,0,0,0,3,0,0,0,0,0,0,15,5,7,0,5,8,13,4,0,0,0,0,4,52,38,27,33,42,56,96,45,51,8,14,20,29,464
