LGA_CODE_2016,C06_C_Tot_0_14,C06_C_Tot_15_24,C06_C_Tot_25_34,C06_C_Tot_35_44,C06_C_Tot_45_54,C06_C_Tot_55_64,C06_C_Tot_65_74,C06_C_Tot_75_84,C06_C_Tot_85ov,C06_C_T_T,C06_Hinduism_0_14,C06_Hinduism_15_24,C06_Hinduism_25_34,C06_Hinduism_35_44,C06_Hinduism_45_54,C06_Hinduism_55_64,C06_Hinduism_65_74,C06_Hinduism_75_84,C06_Hinduism_85ov,C06_Hinduism_Tot,C06_Islam_0_14,C06_Islam_15_24,C06_Islam_25_34,C06_Islam_35_44,C06_Islam_45_54,C06_Islam_55_64,C06_Islam_65_74,C06_Islam_75_84,C06_Islam_85ov,C06_Islam_Tot,C06_Judaism_0_14,C06_Judaism_15_24,C06_Judaism_25_34,C06_Judaism_35_44,C06_Judaism_45_54,C06_Judaism_55_64,C06_Judaism_65_74,C06_Judaism_75_84,C06_Judaism_85ov,C06_Judaism_Tot,C06_OR_Au_Ab_Tr_R_0_14,C06_OR_Au_Ab_Tr_R_15_24,C06_OR_Au_Ab_Tr_R_25_34,C06_OR_Au_Ab_Tr_R_35_44,C06_OR_Au_Ab_Tr_R_45_54,C06_OR_Au_Ab_Tr_R_55_64,C06_OR_Au_Ab_Tr_R_65_74,C06_OR_Au_Ab_Tr_R_75_84,C06_OR_A_Ab_Tr_Re_85oe,C06_OR_Au_Ab_Tr_Re_Tot,C06_OR_Sikhism_0_14,C06_OR_Sikhism_15_24,C06_OR_Sikhism_25_34,C06_OR_Sikhism_35_44,C06_OR_Sikhism_45_54,C06_OR_Sikhism_55_64,C06_OR_Sikhism_65_74,C06_OR_Sikhism_75_84,C06_OR_Sikhism_85oe,C06_OR_Sikhism_Tot,C06_OR_OR_0_14,C06_OR_OR_15_24,C06_OR_OR_25_34,C06_OR_OR_35_44,C06_OR_OR_45_54,C06_OR_OR_55_64,C06_OR_OR_65_74,C06_OR_OR_75_84,C06_OR_OR_85oe,C06_OR_OR_Tot,C06_OR_Tot_0_14,C06_OR_Tot_15_24,C06_OR_Tot_25_34,C06_OR_Tot_35_44,C06_OR_Tot_45_54,C06_OR_Tot_55_64,C06_OR_Tot_65_74,C06_OR_Tot_75_84,C06_OR_Tot_85ov,C06_OR_T_T,C06_SBOSB_No_RA_0_14,C06_SBOSB_No_RA_15_24,C06_SBOSB_No_RA_25_34,C06_SBOSB_No_RA_35_44,C06_SBOSB_No_RA_45_54,C06_SBOSB_No_RA_55_64,C06_SBOSB_No_RA_65_74,C06_SBOSB_No_RA_75_84,C06_SBOSB_No_RA_85ov,C06_SBOSB_No_RA_Tot,C06_Rel_aff_ns_0_14,C06_Rel_aff_ns_15_24,C06_Rel_aff_ns_25_34,C06_Rel_aff_ns_35_44,C06_Rel_aff_ns_45_54,C06_Rel_aff_ns_55_64,C06_Rel_aff_ns_65_74,C06_Rel_aff_ns_75_84,C06_Rel_aff_ns_85ov,C06_Rel_aff_NS_T,C06_Tot_0_14_yrs,C06_Tot_15_24_yrs,C06_Tot_25_34_yrs,C06_Tot_35_44_yrs,C06_Tot_45_54_yrs,C06_Tot_55_64_yrs,C06_Tot_65_74_yrs,C06_Tot_75_84_yrs,C06_Tot_85o,C06_T_T,C11_Buddhism_0_14_yrs,C11_Buddhism_15_24,C11_Buddhism_25_34,C11_Buddhism_35_44,C11_Buddhism_45_54,C11_Buddhism_55_64,C11_Buddhism_65_74,C11_Buddhism_75_84,C11_Buddhism_85ov,C11_Buddhism_Tot,C11_Christ_Angl_0_14,C11_Christ_Angl_15_24,C11_Christ_Angl_25_34,C11_Christ_Angl_35_44,C11_Christ_Angl_45_54,C11_Christ_Angl_55_64,C11_Christ_Angl_65_74,C11_Christ_Angl_75_84,C11_Christ_Angl_85ov,C11_Christ_Angl_Tot,C11_C_Assyr_Apo_0_14,C11_C_Assyr_Apo_15_24,C11_C_Assyr_Apo_25_34,C11_C_Assyr_Apo_35_44,C11_C_Assyr_Apo_45_54,C11_C_Assyr_Apo_55_64,C11_C_Assyr_Apo_65_74,C11_C_Assyr_Apo_75_84,C11_C_Assyr_Apo_85ov,C11_C_Assyr_Apo_Tot,C11_C_Baptist_0_14,C11_C_Baptist_15_24,C11_C_Baptist_25_34,C11_C_Baptist_35_44,C11_C_Baptist_45_54,C11_C_Baptist_55_64,C11_C_Baptist_65_74,C11_C_Baptist_75_84,C11_C_Baptist_85ov,C11_C_Baptist_Tot,C11_Christ_Breth_0_14,C11_Christ_Breth_15_24,C11_Christ_Breth_25_34,C11_Christ_Breth_35_44,C11_Christ_Breth_45_54,C11_Christ_Breth_55_64,C11_Christ_Breth_65_74,C11_Christ_Breth_75_84,C11_Christ_Breth_85ov,C11_Christ_Breth_To,C11_Ch_Catholic_0_14,C11_Ch_Catholic_15_24,C11_Ch_Catholic_25_34,C11_Ch_Catholic_35_44,C11_Ch_Catholic_45_54,C11_Ch_Catholic_55_64,C11_Ch_Catholic_65_74,C11_Ch_Catholic_75_84,C11_Ch_Catholic_85ov,C11_C_Catholic_Tot,C11_C_Chur_Christ_0_14,C11_C_Chur_Christ_15_24,C11_C_Chur_Christ_25_34,C11_C_Chur_Christ_35_44,C11_C_Chur_Christ_45_54,C11_C_Chur_Christ_55_64,C11_C_Chur_Christ_65_74,C11_C_Chur_Christ_75_84,C11_C_Chur_Christ_85ov,C11_C_Chur_Christ_Tot,C11_C_East_Ortho_0_14,C11_C_East_Ortho_15_24,C11_C_East_Ortho_25_34,C11_C_East_Ortho_35_44,C11_C_East_Ortho_45_54,C11_C_East_Ortho_55_64,C11_C_East_Ortho_65_74,C11_C_East_Ortho_75_84,C11_C_East_Ortho_85ov,C11_C_East_Ortho_To,C11_C_Jeh_Wit_0_14,C11_C_Jeh_Wit_15_24,C11_C_Jeh_Wit_25_34,C11_C_Jeh_Wit_35_44,C11_C_Jeh_Wit_45_54,C11_C_Jeh_Wit_55_64,C11_C_Jeh_Wit_65_74,C11_C_Jeh_Wit_75_84,C11_C_Jeh_Wit_85ov,C11_C_Jeh_Wit_Tot
LGA10050,6282,4623,3759,4493,4958,3899,2633,2027,731,33412,13,11,21,9,6,7,0,0,0,72,29,19,22,13,12,3,0,0,0,100,0,7,3,4,7,3,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,10,16,28,29,17,17,8,5,0,0,125,14,31,34,17,22,8,4,0,0,133,2090,1499,1197,1014,940,520,200,122,41,7611,1060,768,613,627,589,400,259,231,64,4611,9539,7019,5703,6234,6581,4872,3116,2389,838,46285,72,58,75,84,68,51,16,8,0,440,1485,1031,930,1278,1458,1464,1068,712,329,9767,0,0,0,0,0,0,0,0,0,0,119,71,61,79,78,55,55,27,8,563,20,30,22,5,14,8,9,9,3,110,2962,2013,1610,1749,1835,1491,1014,648,251,13582,6,3,5,6,9,6,6,12,5,67,60,30,32,60,48,42,42,41,11,360,32,13,18,19,9,23,20,9,10,155
LGA10130,3906,3592,1807,2584,2658,2280,1634,1023,363,19860,8,8,23,7,9,0,0,0,0,63,30,18,25,23,13,3,0,0,0,112,3,3,3,3,4,0,0,0,0,15,3,3,0,3,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,17,10,36,14,19,18,20,0,0,0,118,14,53,11,19,23,18,0,0,0,145,909,1126,488,471,597,371,150,110,22,4253,727,550,332,343,355,270,145,115,77,2921,5622,5407,2737,3483,3703,2981,1945,1258,468,27595,47,63,47,66,40,39,9,5,0,314,1431,1215,703,917,1135,1065,807,516,242,8024,0,0,0,0,0,0,0,0,0,0,27,43,21,18,43,37,33,23,3,253,79,52,6,22,20,3,5,3,3,193,1345,1256,678,729,855,657,509,269,98,6395,0,10,0,4,7,4,0,0,0,32,8,11,3,13,9,10,7,4,0,62,18,19,8,10,14,11,10,6,0,98
LGA10250,4656,2764,2135,3553,4174,3720,2875,2534,889,27296,4,3,0,12,5,0,3,0,0,27,6,4,0,4,4,3,0,0,0,27,10,9,6,6,9,5,4,3,0,48,0,0,4,0,0,0,0,0,0,4,3,5,0,0,4,3,3,0,0,21,18,18,17,27,26,14,0,3,0,134,23,27,22,29,29,13,6,3,0,155,1654,963,864,934,1095,680,319,218,55,6780,807,502,416,488,536,435,257,256,90,3794,7209,4303,3488,5084,5930,4908,3475,3016,1034,38462,82,54,66,89,101,101,17,4,0,516,1205,702,535,1117,1410,1667,1374,994,491,9510,0,0,0,0,0,0,0,0,0,0,76,41,40,66,80,86,71,51,24,531,7,7,3,4,4,0,3,3,0,29,2045,1149,792,1263,1466,1287,954,652,233,9845,3,3,0,8,8,3,4,9,0,34,14,6,11,20,18,9,11,7,5,96,29,24,23,32,25,31,24,21,4,229
LGA10300,358,190,213,267,333,215,167,103,21,1868,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,95,45,48,43,22,27,6,0,3,288,64,40,43,25,43,21,20,12,7,272,516,274,307,337,404,257,192,112,35,2442,0,0,10,3,3,4,0,0,0,19,29,29,37,46,68,71,47,36,12,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,242,87,93,120,126,105,61,47,8,900,0,0,0,0,0,4,0,0,0,3,0,0,5,4,5,0,0,6,0,14,0,3,3,0,0,0,0,0,0,5
LGA10470,5498,4525,2974,3686,3885,3185,2006,1388,483,27632,16,7,13,6,13,3,0,0,0,61,24,17,23,5,3,3,0,0,0,80,3,3,0,0,0,3,0,0,0,14,7,0,3,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,18,34,26,21,17,15,3,0,0,132,22,37,25,19,18,14,3,0,0,139,1168,948,603,523,524,322,134,67,19,4305,594,673,613,519,416,288,173,115,40,3426,7343,6253,4276,4793,4899,3832,2319,1577,543,35845,30,44,53,54,46,25,12,5,0,272,1498,1125,903,1173,1230,1248,918,594,229,8928,0,0,0,0,0,0,0,0,0,0,113,90,60,71,82,92,35,19,3,569,53,34,33,16,18,14,5,4,3,176,3143,2167,1389,1636,1721,1346,926,589,207,13123,0,4,3,0,5,8,0,6,0,31,42,22,19,19,18,24,11,3,0,165,33,16,20,18,25,10,21,10,3,158
LGA10550,3366,1823,1367,2515,3243,3204,2512,1585,489,20101,3,0,0,9,3,5,3,0,0,19,7,3,3,12,9,7,3,0,0,40,3,0,0,3,4,4,3,0,0,16,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,10,16,22,40,20,7,0,0,127,19,9,16,22,36,18,7,0,0,133,1815,902,638,947,1205,825,379,164,66,6953,786,409,275,382,607,457,312,200,58,3485,6056,3166,2321,3952,5201,4571,3226,1960,608,31061,64,43,23,52,76,94,22,4,0,376,1192,669,505,932,1349,1558,1403,812,313,8727,0,0,0,0,0,0,0,0,0,0,62,36,29,32,53,67,53,40,12,391,0,0,0,0,0,0,0,0,0,3,1110,739,482,759,1030,1031,709,430,118,6404,0,6,3,0,4,5,9,0,5,26,20,9,4,17,13,20,11,0,0,105,37,23,23,23,36,33,15,9,5,207
LGA10600,1224,613,434,964,1156,1138,945,607,228,7305,0,0,3,0,0,4,0,0,0,11,4,3,3,5,4,0,0,0,0,20,14,0,0,4,7,0,0,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,12,15,30,14,0,3,0,93,18,3,12,15,30,12,0,3,0,96,868,418,279,453,652,367,168,75,20,3292,337,166,104,188,265,188,111,70,28,1468,2501,1215,854,1677,2167,1738,1231,762,281,12417,32,23,13,45,53,77,13,5,3,268,398,233,156,305,456,494,454,307,133,2932,0,0,0,0,0,0,0,0,0,0,4,4,0,11,9,20,13,9,6,75,3,0,0,0,0,0,0,0,0,3,360,203,132,265,327,274,267,140,44,2011,5,0,0,0,0,0,4,0,0,13,0,3,0,3,3,3,0,0,0,12,6,4,3,5,3,6,0,3,0,32
LGA10650,1085,536,499,693,923,925,772,544,188,6167,3,0,3,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,13,0,0,3,4,0,3,3,0,0,15,343,152,159,140,140,131,68,27,6,1170,118,66,55,55,95,81,77,43,12,615,1556,762,730,897,1160,1145,922,615,207,7993,0,3,8,0,0,0,3,0,0,15,246,123,111,151,254,326,322,209,70,1821,0,0,0,0,0,0,0,0,0,0,5,0,3,7,0,8,3,0,0,32,0,0,0,0,0,0,0,0,0,0,443,249,200,246,298,330,272,156,57,2248,0,0,0,0,0,0,0,3,0,4,0,0,0,5,0,5,0,3,0,17,7,0,0,4,3,7,0,0,0,18
LGA10750,43868,27348,27674,28621,25908,19790,10632,6135,1607,191594,2542,1252,2104,2019,1160,511,239,85,16,9937,3890,2127,2147,1968,1335,682,229,71,12,12463,13,21,16,23,20,26,13,3,5,133,0,0,4,0,0,0,0,0,0,10,909,479,620,593,338,117,71,27,0,3159,147,172,193,144,141,68,21,8,3,901,1058,650,812,741,483,185,98,33,3,4072,8471,4351,4679,3789,2692,1467,563,259,86,26360,6236,3419,3541,3441,2694,1929,1065,656,183,23172,66817,39667,41591,41365,35080,24953,12972,7327,1940,271712,929,591,828,977,879,596,222,102,25,5148,8569,5044,5755,7073,6499,5905,3572,1921,596,44922,25,27,17,21,27,20,19,7,0,174,1071,648,638,679,711,501,264,113,38,4667,45,29,29,35,27,22,14,8,0,208,23778,14506,13947,14433,13372,11142,6122,3284,1251,101839,191,149,111,159,160,100,43,20,7,936,1308,834,930,1141,829,795,587,307,91,6827,230,147,154,183,187,130,93,48,12,1187
LGA10800,1106,518,536,676,751,625,524,371,103,5205,0,0,0,3,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,167,61,75,49,65,37,19,7,3,487,80,54,45,41,56,54,20,26,5,386,1355,645,658,772,874,727,559,400,107,6098,0,3,4,0,4,0,0,0,0,12,320,153,131,200,265,236,200,147,60,1708,0,0,0,0,0,0,0,0,0,0,8,7,7,9,3,10,9,0,0,46,0,0,0,0,0,0,0,0,0,0,432,209,176,222,221,179,145,88,21,1697,4,0,0,0,0,0,0,0,0,6,6,0,0,4,7,0,0,0,0,13,0,3,3,0,8,13,3,3,6,32
