LGA_CODE_2016,C11_F_NatPhy_sci_15_19,C11_F_NatPhy_sci_20_24,C11_F_NatPhy_sci_25_34,C11_F_NatPhy_sci_35_44,C11_F_NatPhy_sci_45_54,C11_F_NatPhy_sci_55_64,C11_F_NatPhy_sci_65_74,C11_F_NatPhy_sci_75_84,C11_F_NatPhy_sci_85o,C11_F_NatPhy_sci_T,C11_F_InfTec_15_19,C11_F_InfTec_20_24,C11_F_InfTec_25_34,C11_F_InfTec_35_44,C11_F_InfTec_45_54,C11_F_InfTec_55_64,C11_F_InfTec_65_74,C11_F_InfTec_75_84,C11_F_InfTec_85_ov,C11_F_InfTec_Tot,C11_F_EngRT_15_19,C11_F_EngRT_20_24,C11_F_EngRT_25_34,C11_F_EngRT_35_44,C11_F_EngRT_45_54,C11_F_EngRT_55_64,C11_F_EngRT_65_74,C11_F_EngRT_75_84,C11_F_EngRT_85_ov,C11_F_EngRT_Tot,C11_F_ArchBuild_15_19,C11_F_ArchBuild_20_24,C11_F_ArchBuild_25_34,C11_F_ArchBuild_35_44,C11_F_ArchBuild_45_54,C11_F_ArchBuild_55_64,C11_F_ArchBuild_65_74,C11_F_ArchBuild_75_84,C11_F_ArchBuild_85o,C11_F_Arch_building_Tot,C11_F_AgEnv_RS_15_19,C11_F_AgEnv_RS_20_24,C11_F_AgEnv_RS_25_34,C11_F_AgEnv_RS_35_44,C11_F_AgEnv_RS_45_54,C11_F_AgEnv_RS_55_64,C11_F_AgEnv_RS_65_74,C11_F_AgEnv_RS_75_84,C11_F_Agr_env_re_st_85o,C11_F_AgEnv_RS_Tot,C11_F_Health_15_19,C11_F_Health_20_24,C11_F_Health_25_34,C11_F_Health_35_44,C11_F_Health_45_54,C11_F_Health_55_64,C11_F_Health_65_74,C11_F_Health_75_84,C11_F_Health_85o,C11_F_Healt_To,C11_F_Educ_15_19,C11_F_Educ_20_24,C11_F_Educ_25_34,C11_F_Educ_35_44,C11_F_Educ_45_54,C11_F_Educ_55_64,C11_F_Educ_65_74,C11_F_Educ_75_84,C11_F_Educ_85o,C11_F_Educ_Tot,C11_F_MngtCom_15_19,C11_F_MngtCom_20_24,C11_F_MngtCom_25_34,C11_F_MngtCom_35_44,C11_F_MngtCom_45_54,C11_F_MngtCom_55_64,C11_F_MngtCom_65_74,C11_F_MngtCom_75_84,C11_F_MngtCom_85o,C11_F_MngtCom_Tot,C11_F_Soc_cult_15_19,C11_F_Soc_cult_20_24,C11_F_Soc_cult_25_34,C11_F_Soc_cult_35_44,C11_F_Soc_cult_45_54,C11_F_Soc_cult_55_64,C11_F_Soc_cult_65_74,C11_F_Soc_cult_75_84,C11_F_Soc_cult_85o,C11_F_Society_cultur_Tot,C11_F_Creative_art_15_19,C11_F_Creative_art_20_24,C11_F_Creative_art_25_34,C11_F_Creative_art_35_44,C11_F_Creative_art_45_54,C11_F_Creative_art_55_64,C11_F_Creative_art_65_74,C11_F_Creative_art_75_84,C11_F_Create_arts_85ov,C11_F_Creative_arts_Tot,C11_F_FoodHos_PS_15_19,C11_F_FoodHos_PS_20_24,C11_F_FoodHos_PS_25_34,C11_F_FoodHos_PS_35_44,C11_F_FoodHos_PS_45_54,C11_F_FoodHos_PS_55_64,C11_F_FoodHos_PS_65_74,C11_F_FoodHos_PS_75_84,C11_F_FoodHos_PS_85o,C11_F_Foo_hos_pers_S_Tot,C11_F_MixFld_pr_15_19,C11_F_MixFld_pr_20_24,C11_F_MixFld_pr_25_34,C11_F_MixFld_pr_35_44,C11_F_MixFld_pr_45_54,C11_F_MixFld_pr_55_64,C11_F_MixFld_pr_65_74,C11_F_MixFld_pr_75_84,C11_F_MixFld_pr_85_ov,C11_F_MixFld_pr_Tot,C11_F_FldStu_ID_15_19,C11_F_FldStu_ID_20_24,C11_F_FldStu_ID_25_34,C11_F_FldStu_ID_35_44,C11_F_FldStu_ID_45_54,C11_F_FldStu_ID_55_64,C11_F_FldStu_ID_65_74,C11_F_FldStu_ID_75_84,C11_F_FldStu_ID_85o,C11_F_FldStu_ID_Tot,C11_F_FldStu_NS_15_19,C11_F_FldStu_NS_20_24,C11_F_FldStu_NS_25_34,C11_F_FldStu_NS_35_44,C11_F_FldStu_NS_45_54,C11_F_FldStu_NS_55_64,C11_F_FldStu_NS_65_74,C11_F_FldStu_NS_75_84,C11_F_FldStu_NS_85o,C11_F_FldStu_NS_T,C11_F_Tot_15_19,C11_F_Tot_20_24,C11_F_Tot_25_34,C11_F_Tot_35_44,C11_F_Tot_45_54,C11_F_Tot_55_64,C11_F_Tot_65_74,C11_F_Tot_75_84,C11_F_Tot_85o,C11_F_T_T,C16_F_NatPhy_sci_15_19,C16_F_NatPhy_sci_20_24,C16_F_NatPhy_sci_25_34,C16_F_NatPhy_sci_35_44,C16_F_NatPhy_sci_45_54,C16_F_NatPhy_sci_55_64,C16_F_NatPhy_sci_65_74,C16_F_NatPhy_sci_75_84,C16_F_NatPhy_sci_85_ov,C16_F_NatPhy_sci_Tot,C16_F_InfTec_15_19,C16_F_InfTec_20_24,C16_F_InfTec_25_34,C16_F_InfTec_35_44,C16_F_InfTec_45_54,C16_F_InfTec_55_64,C16_F_InfTec_65_74,C16_F_InfTec_75_84,C16_F_InfTec_85_o,C16_F_InfTec_T,C16_F_EngRT_15_19,C16_F_EngRT_20_24,C16_F_EngRT_25_34,C16_F_EngRT_35_44,C16_F_EngRT_45_54,C16_F_EngRT_55_64,C16_F_EngRT_65_74,C16_F_EngRT_75_84,C16_F_EngRT_85_o,C16_F_EngRT_T,C16_F_ArchBuild_15_19,C16_F_ArchBuild_20_24,C16_F_ArchBuild_25_34,C16_F_ArchBuild_35_44,C16_F_ArchBuild_45_54,C16_F_ArchBuild_55_64,C16_F_ArchBuild_65_74,C16_F_ArchBuild_75_84,C16_F_ArchBuild_85o,C16_F_ArchBuild_T,C16_F_AgEnv_RS_15_19,C16_F_AgEnv_RS_20_24,C16_F_AgEnv_RS_25_34,C16_F_AgEnv_RS_35_44,C16_F_AgEnv_RS_45_54,C16_F_AgEnv_RS_55_64,C16_F_AgEnv_RS_65_74,C16_F_AgEnv_RS_75_84,C16_F_AgEnv_RE_85o,C16_F_AgEnv_RS_T
LGA10050,0,18,41,46,27,17,8,0,0,156,0,3,13,22,33,24,8,0,0,98,0,7,36,36,26,17,15,8,7,153,0,8,18,14,7,6,0,0,0,61,4,25,43,38,26,14,4,0,0,152,11,125,374,329,419,348,130,79,27,1837,3,52,242,241,319,246,130,36,17,1273,56,250,543,527,457,260,92,50,17,2253,19,120,352,318,297,203,58,9,3,1379,7,33,89,68,47,29,17,7,0,291,65,140,224,213,121,77,38,23,3,910,0,0,4,0,0,0,0,0,0,10,0,10,19,17,17,17,7,0,0,82,141,104,166,198,199,229,265,317,249,1868,304,891,2163,2060,2005,1479,768,530,326,10523,0,12,43,41,46,25,13,5,0,189,0,5,18,21,22,29,11,0,0,116,0,14,43,34,46,26,28,12,10,217,0,3,19,13,12,15,5,0,0,70,0,20,39,45,32,13,3,4,0,171
LGA10130,0,24,44,44,45,35,16,11,4,228,0,5,11,9,10,5,0,0,0,49,0,5,8,14,11,9,6,4,0,59,0,0,7,4,9,3,5,0,0,27,14,42,57,34,45,20,11,0,0,223,18,52,130,161,218,181,115,48,29,944,0,22,167,184,246,212,121,49,9,1018,24,129,212,249,277,190,86,32,11,1220,28,99,176,231,232,209,86,21,11,1099,7,28,40,48,52,20,15,17,3,232,20,55,73,62,41,24,12,3,3,295,4,9,0,3,0,0,0,0,0,14,0,0,15,9,16,11,10,3,3,63,119,121,113,145,133,125,141,144,72,1113,236,592,1055,1212,1344,1047,619,341,150,6587,0,24,64,54,62,40,29,9,5,284,0,3,15,8,8,9,3,0,0,53,0,4,15,8,20,11,8,9,3,71,5,0,9,3,7,7,4,0,0,33,14,36,70,61,37,32,23,4,0,275
LGA10250,0,3,21,23,32,32,11,4,0,135,0,0,8,17,28,11,5,0,0,71,0,7,10,18,33,26,16,26,12,145,0,3,8,7,11,10,3,3,0,42,0,9,24,40,45,28,9,0,0,153,6,35,189,311,458,368,191,117,43,1712,0,22,134,255,313,385,191,73,20,1385,26,86,294,459,435,342,167,84,43,1938,9,52,187,274,307,234,80,29,5,1184,0,30,73,72,72,39,22,14,3,316,23,70,138,158,101,73,35,18,3,616,0,0,3,0,3,0,3,0,0,12,0,3,6,19,10,17,3,5,4,71,100,40,94,141,155,176,201,285,209,1398,171,357,1181,1799,2008,1744,932,657,340,9179,0,5,15,38,34,36,25,8,0,163,0,0,8,12,19,7,9,0,0,59,0,3,14,22,12,20,13,19,15,130,0,0,8,22,6,16,8,5,0,68,12,6,21,41,46,39,15,0,0,180
LGA10300,0,0,3,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,13,0,0,7,16,17,10,7,4,3,58,0,0,10,11,11,6,0,3,0,39,0,7,19,9,10,3,0,0,0,48,0,5,7,9,11,8,0,0,0,44,0,0,0,0,0,0,0,0,0,7,4,6,5,3,10,8,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,10,24,15,10,11,7,92,11,23,69,74,80,50,19,15,12,355,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,3,4,0,0,0,21
LGA10470,0,0,24,29,27,21,6,0,0,111,0,8,8,16,25,14,3,0,0,78,0,7,20,26,31,9,13,11,8,122,0,3,5,13,10,5,0,0,0,39,9,11,37,39,39,16,10,4,0,160,15,85,227,258,327,282,108,76,18,1397,3,43,181,252,279,248,115,54,24,1191,25,141,395,409,383,264,103,45,23,1777,20,119,256,227,191,128,57,16,9,1020,8,40,68,62,42,34,30,3,3,304,26,73,128,125,56,44,18,8,0,481,0,0,0,0,0,0,3,0,0,9,0,6,11,9,19,3,0,4,0,62,139,100,136,163,169,185,185,204,110,1387,242,633,1500,1631,1587,1261,653,422,195,8124,0,9,22,39,27,22,23,3,0,147,3,3,27,13,15,19,8,0,0,76,0,7,27,25,33,37,9,14,9,158,0,0,9,12,11,12,0,0,0,40,3,9,25,42,36,30,15,3,0,169
LGA10550,0,4,15,21,27,50,13,4,0,125,0,0,4,10,14,16,4,0,0,61,0,3,17,21,22,23,11,13,6,123,0,0,7,8,7,6,0,0,0,32,0,8,28,46,48,25,9,0,0,167,3,21,94,182,343,265,184,62,14,1175,0,8,79,126,219,293,132,48,11,921,20,61,150,275,312,270,146,56,20,1309,8,50,124,195,255,201,83,24,3,942,0,4,29,45,72,61,27,16,0,265,23,52,111,121,110,63,41,10,5,532,0,0,0,0,0,0,0,0,0,6,0,3,4,13,25,16,6,3,0,72,100,34,86,106,160,180,192,224,172,1253,162,244,764,1173,1615,1472,836,460,235,6977,0,4,14,23,29,40,27,5,3,149,0,0,4,14,16,13,3,0,0,56,3,0,12,20,27,25,11,14,12,131,0,0,6,14,6,6,3,0,0,40,0,7,28,47,56,47,20,3,0,209
LGA10600,0,0,9,16,12,10,5,0,0,58,0,0,3,10,12,3,5,0,0,32,0,0,5,8,14,6,10,3,4,39,0,0,5,5,3,5,0,0,0,21,3,0,8,33,28,11,3,3,0,86,3,7,41,102,150,119,66,23,7,529,0,3,35,77,137,120,49,15,4,451,6,24,61,96,129,78,49,15,9,462,0,13,40,115,139,88,27,9,0,437,0,9,20,29,45,23,21,3,4,150,4,18,23,46,31,28,13,7,0,173,0,0,0,0,0,0,0,0,0,4,0,0,5,14,9,11,0,3,0,39,38,6,24,25,49,44,61,64,43,355,60,85,273,565,755,550,304,162,74,2829,0,0,3,20,13,19,11,4,0,62,0,0,7,3,8,11,0,0,0,26,0,3,0,12,9,3,0,13,0,40,0,0,0,0,5,11,0,0,0,21,3,6,9,20,20,27,5,0,3,102
LGA10650,0,3,3,9,0,3,0,0,0,21,0,0,0,0,5,0,0,0,0,4,0,3,4,4,5,4,4,0,4,32,0,0,0,3,0,0,0,0,0,7,0,0,14,14,8,3,0,0,0,45,3,10,39,41,72,81,54,20,3,316,0,5,31,40,33,40,30,8,9,200,3,15,52,51,52,28,20,8,3,239,3,12,43,39,39,42,13,4,0,191,0,0,3,3,11,0,7,4,0,27,4,18,20,28,20,16,10,5,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,23,4,11,32,35,39,72,78,60,375,38,72,225,263,296,257,207,129,86,1576,0,0,4,7,0,7,0,0,0,20,0,0,4,0,6,0,0,0,0,10,0,0,0,0,3,3,6,6,0,25,0,0,0,0,0,0,0,0,0,7,0,0,14,13,15,8,4,0,0,57
LGA10750,0,159,596,548,359,178,36,5,0,1887,17,77,795,526,172,59,13,0,0,1657,7,43,379,434,426,208,120,65,26,1718,3,35,99,95,55,33,5,3,0,336,14,49,134,100,71,33,7,3,0,413,45,493,1736,1831,1545,946,278,119,38,7031,15,287,1476,1400,1012,840,315,130,43,5516,262,1516,5166,4254,2953,1679,417,134,51,16427,155,753,2181,1821,1290,709,183,47,7,7146,35,294,600,367,176,111,35,12,0,1630,147,522,1142,761,435,234,91,36,12,3378,15,10,19,23,26,19,5,3,3,121,8,47,274,240,168,78,22,13,0,848,977,704,1383,1457,1403,1335,1086,890,427,9674,1697,4986,15987,13862,10087,6473,2613,1468,606,57776,9,228,745,726,493,276,90,21,0,2579,7,117,1016,909,300,105,25,3,0,2479,3,79,520,532,476,324,168,84,31,2206,4,65,156,121,65,41,7,4,0,464,8,50,131,116,84,63,17,9,0,488
LGA10800,0,0,0,6,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,4,0,0,3,0,3,0,0,3,0,18,0,0,0,0,0,0,0,0,0,3,0,3,12,9,0,0,0,0,0,25,0,0,13,32,29,43,20,3,7,152,0,5,33,35,35,22,17,6,4,155,5,14,52,62,52,34,13,12,0,247,4,10,31,28,20,22,7,0,0,126,0,0,4,4,3,6,0,0,0,20,3,9,13,16,11,3,0,0,0,63,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,17,3,11,14,18,13,41,40,13,171,37,43,183,212,189,136,99,69,24,993,0,0,3,4,3,0,0,0,0,13,0,0,3,0,0,3,0,0,0,9,0,4,4,3,0,4,0,3,4,23,0,0,0,3,0,0,0,0,0,7,0,6,9,12,3,3,7,0,0,43
