LGA_CODE_2016,Med_age_persns_C2006,Med_age_persns_C2011,Med_age_persns_C2016,Med_mortg_rep_mon_C2006,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_person_inc_we_C2006,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_rent_weekly_C2006,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_Famly_inc_we_C2006,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Avg_num_p_per_brm_C2006,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Med_tot_hh_inc_wee_C2006,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Average_hh_size_C2006,Average_hh_size_C2011,Average_hh_size_C2016
LGA10050,36,37,39,1100,1452,1421,452,558,642,150,195,231,1152,1360,1532,0.8,0.8,0.8,921,1022,1182,2.4,2.4,2.3
LGA10130,35,36,36,997,1345,1393,379,481,561,150,200,250,1084,1226,1465,0.8,0.8,0.8,826,958,1170,2.5,2.4,2.4
LGA10250,43,45,48,1290,1733,1733,397,496,601,210,290,340,1019,1153,1426,0.8,0.8,0.8,776,927,1151,2.4,2.4,2.3
LGA10300,38,41,41,689,893,950,396,471,624,100,133,150,1002,1110,1438,0.8,0.8,0.8,734,887,1167,2.5,2.4,2.5
LGA10470,35,36,37,1300,1630,1670,424,544,646,170,220,280,1179,1435,1632,0.8,0.8,0.8,969,1138,1309,2.5,2.5,2.5
LGA10550,45,48,51,1010,1300,1343,368,453,538,160,200,250,898,1016,1242,0.8,0.8,0.8,700,847,988,2.4,2.3,2.2
LGA10600,44,46,49,1015,1300,1400,336,416,515,165,220,280,777,936,1218,0.8,0.8,0.8,621,786,994,2.4,2.4,2.3
LGA10650,45,48,49,867,1083,1083,387,429,524,115,145,180,973,961,1251,0.7,0.7,0.7,730,779,963,2.4,2.2,2.2
LGA10750,32,32,33,1712,2100,2150,473,565,672,200,300,380,1209,1492,1817,0.8,0.9,0.9,1117,1386,1709,3,3.1,3.2
LGA10800,40,41,43,784,1000,1000,363,460,580,100,135,150,949,1069,1360,0.7,0.8,0.7,722,889,1103,2.5,2.4,2.4
LGA10850,39,40,42,1083,1434,1500,391,531,620,140,165,220,1078,1368,1581,0.8,0.8,0.8,863,1095,1227,2.6,2.5,2.5
LGA10900,39,42,44,1500,1842,1842,501,590,688,200,280,350,1342,1630,1866,0.8,0.8,0.8,1103,1264,1465,2.5,2.5,2.5
LGA10950,37,39,40,763,1020,1083,365,480,634,100,140,160,944,1215,1561,0.8,0.8,0.8,711,918,1152,2.6,2.5,2.4
LGA11100,37,37,35,1950,2400,2400,453,575,720,225,340,460,1185,1489,1921,0.9,1.1,1.1,993,1242,1624,2.6,2.6,2.7
LGA11150,33,35,36,693,867,991,414,598,719,95,90,134,981,1252,1562,0.8,0.8,0.8,817,1032,1202,2.7,2.6,2.5
LGA11200,31,33,34,523,542,433,316,369,439,78,70,90,760,787,923,0.9,0.9,0.9,735,814,850,2.9,2.6,2.6
LGA11250,42,43,45,650,969,953,334,414,527,110,150,189,829,996,1279,0.8,0.8,0.7,619,794,974,2.3,2.2,2.2
