LGA_CODE_2016,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_CF_T,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_CF_T,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_CF_T,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_CF_T,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_CF_T,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_CF_T,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_CF_T,C16_4000m_CF_1C,C16_4000m_CF_2C,C16_4000m_CF_3C,C16_4000m_Cou_fa_4mo_ch,C16_4000m_CF_T,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_CF_T,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_CF_T,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_CF_T
LGA12950,3,0,3,0,5,7,6,0,0,15,27,28,16,5,89,7,22,18,3,54,17,15,11,3,41,7,14,3,0,32,12,20,3,4,33,4,0,3,3,11,28,20,20,5,75,0,3,0,0,4,123,134,82,31,369
LGA13010,8,12,5,3,31,15,15,9,7,44,61,62,39,14,170,43,31,22,8,104,39,29,14,0,84,22,27,14,3,62,13,15,5,0,36,9,11,10,0,31,36,36,24,13,106,4,3,0,0,7,278,247,139,53,716
LGA13310,24,17,5,5,49,44,38,26,18,127,154,155,64,34,409,162,181,81,35,464,203,200,84,25,504,138,151,62,23,367,134,147,55,19,356,76,89,35,12,209,138,120,74,35,368,15,10,10,3,33,1113,1137,499,218,2972
LGA13340,5,6,5,6,33,21,16,17,9,56,68,70,47,24,203,64,65,38,21,183,60,74,41,23,189,30,50,21,10,118,30,41,25,5,99,21,28,13,5,76,44,49,38,23,156,4,0,0,0,9,355,421,243,123,1153
LGA13450,21,26,14,10,79,50,50,23,10,135,157,202,100,34,495,172,191,90,39,492,144,178,82,28,439,93,134,64,12,305,83,129,60,16,289,57,76,34,13,184,98,154,89,45,390,23,22,8,4,51,932,1206,593,223,2957
LGA13510,7,7,6,3,22,24,18,14,3,59,64,61,30,18,168,53,67,36,12,173,53,61,30,3,155,25,39,22,4,94,29,33,11,8,76,21,14,8,3,50,49,52,41,23,163,4,9,3,6,21,357,374,216,84,1030
LGA13550,15,11,5,0,34,21,20,10,10,55,92,54,27,15,185,67,82,36,16,207,77,86,36,9,202,47,61,25,9,151,46,64,26,9,157,26,49,24,8,111,55,64,31,18,173,3,3,0,0,15,472,512,230,99,1308
LGA13660,5,3,0,0,10,12,5,5,0,23,32,36,33,10,109,18,29,13,10,69,19,31,14,3,62,11,10,4,0,23,14,7,3,4,30,4,6,0,0,13,23,34,17,4,74,4,5,0,0,11,158,176,105,39,470
LGA13800,42,26,12,7,89,74,77,31,18,201,358,322,151,62,901,440,508,268,81,1300,459,554,222,76,1317,395,466,198,59,1113,433,536,227,70,1271,257,431,227,72,990,267,420,184,93,970,40,39,18,10,107,2833,3448,1559,555,8393
LGA13850,3,3,4,0,9,3,0,0,0,7,24,14,14,0,50,18,16,6,3,45,12,11,10,3,37,10,8,0,4,20,7,7,4,0,23,4,5,0,0,15,16,20,12,4,53,0,5,0,0,5,101,90,56,20,273
LGA13910,18,13,10,3,45,41,25,14,9,91,135,125,71,29,361,123,126,66,27,339,71,79,63,21,234,46,57,22,8,136,36,53,20,15,130,33,22,10,5,70,87,91,66,30,287,4,7,4,0,14,628,632,368,163,1786
LGA14000,106,96,31,4,242,177,148,50,17,382,709,608,170,52,1539,813,906,241,68,2027,1063,1280,367,92,2803,883,1171,335,71,2455,1312,1969,577,144,3993,1541,2915,1022,234,5710,807,1105,467,138,2520,53,72,14,3,146,7663,10436,3320,831,22244
LGA14100,10,3,0,0,11,7,3,0,0,10,26,17,18,3,58,40,40,19,0,93,57,55,19,3,135,39,50,11,0,102,91,121,51,10,270,198,414,191,45,849,82,106,64,21,275,8,0,3,3,17,559,811,375,85,1838
LGA14170,139,89,20,8,255,187,112,37,17,348,745,465,95,27,1329,818,575,127,48,1573,943,825,171,29,1969,822,772,145,27,1766,1321,1582,347,62,3311,2128,3060,770,100,6063,729,803,240,60,1829,47,39,6,7,104,8103,8449,2009,389,18951
LGA14200,19,16,10,8,59,41,43,27,9,120,115,108,54,30,314,103,101,48,15,269,65,76,31,26,188,47,57,13,6,126,34,37,27,3,96,26,21,15,4,63,59,75,48,20,203,5,4,3,0,11,566,557,294,129,1553
LGA14300,12,10,3,0,24,10,8,3,0,20,31,38,26,9,100,30,32,16,11,101,34,29,22,8,89,13,21,11,5,48,20,15,8,0,54,10,11,11,3,32,23,22,13,6,63,0,0,0,0,6,185,189,113,53,543
LGA14350,35,38,11,3,88,75,33,24,9,147,206,155,75,42,473,174,157,66,40,440,128,120,55,28,330,66,77,44,12,191,51,45,28,6,130,22,31,0,5,61,113,110,53,30,306,11,13,7,8,34,916,813,373,187,2293
LGA14400,15,11,0,0,29,23,18,4,4,46,121,77,36,18,240,109,157,54,17,334,124,144,71,21,354,87,148,63,10,304,138,186,74,23,429,102,174,78,12,368,124,137,81,21,368,5,0,4,0,9,863,1050,474,135,2524
LGA14500,58,57,17,3,142,97,94,24,7,221,375,326,73,22,793,454,421,113,30,1015,548,630,178,33,1392,475,537,173,32,1222,971,1464,491,95,3022,1945,3949,1602,335,7826,728,1167,523,131,2548,52,74,17,7,159,5866,8888,3259,702,18710
LGA14550,18,13,4,0,37,11,18,7,5,39,71,55,35,12,170,37,46,28,9,119,38,29,22,7,90,20,18,5,5,49,10,15,10,0,36,7,18,12,3,34,33,25,15,16,93,3,4,0,0,11,263,247,142,58,713
LGA14600,15,3,3,3,24,7,7,10,0,26,41,54,21,5,118,41,44,19,3,99,21,33,15,11,76,10,10,12,4,45,18,11,5,0,39,8,12,6,4,30,23,34,20,9,92,3,0,3,0,9,205,222,124,49,593
LGA14650,197,143,39,16,392,317,241,89,40,678,1248,1050,372,172,2836,1263,1474,562,185,3486,1352,1619,614,144,3733,1019,1437,491,112,3060,1095,1524,497,126,3234,654,1121,465,131,2373,931,1182,420,148,2690,73,93,23,19,208,8323,10026,3625,1121,23096
LGA14700,9,10,3,0,29,30,16,0,0,51,141,70,11,3,226,163,112,20,3,297,213,163,36,7,420,156,148,31,4,342,290,330,112,15,744,580,944,378,64,1971,179,229,94,30,538,20,14,7,0,40,1823,2054,709,128,4722
LGA14750,14,18,3,6,35,20,23,13,3,50,84,58,39,21,202,70,67,39,14,186,58,79,40,14,189,45,41,25,17,126,27,48,12,12,97,20,28,6,5,59,46,38,36,10,139,3,3,0,0,8,403,412,218,95,1133
LGA14850,50,44,25,5,121,76,61,31,13,182,318,291,132,49,793,279,320,125,46,762,222,277,103,30,630,133,159,76,13,385,133,144,61,12,354,64,79,40,20,198,169,164,79,37,449,8,15,0,6,32,1517,1596,680,241,4034
LGA14870,41,29,0,0,73,46,27,13,8,89,108,99,46,17,268,125,95,37,13,275,91,97,57,10,257,63,105,28,10,207,76,108,32,7,226,59,81,39,11,191,78,95,53,21,251,16,9,5,3,29,731,762,321,120,1936
LGA14900,370,295,174,117,962,414,529,279,178,1400,1448,1618,837,384,4293,1416,1783,789,368,4355,1401,1887,739,293,4315,1011,1442,573,203,3222,1017,1670,598,216,3500,638,1201,512,184,2530,863,1152,622,368,3001,94,119,65,39,313,9153,12194,5560,2574,29481
LGA14920,6,11,3,0,16,9,17,4,0,36,61,49,27,3,146,26,48,24,4,108,31,43,17,3,97,29,31,10,3,67,18,20,14,4,57,9,16,4,3,32,31,41,24,12,108,6,0,7,0,14,247,285,144,38,716
LGA14950,3,3,0,0,7,0,5,0,3,15,17,20,15,6,62,9,31,8,3,53,16,12,11,10,44,3,19,6,0,29,3,11,6,0,24,7,3,0,4,17,18,20,10,7,58,3,0,0,0,4,83,135,67,36,323
LGA15050,75,34,30,13,152,111,87,43,21,269,475,479,199,78,1236,523,619,247,104,1488,545,648,260,85,1546,427,566,193,58,1236,423,546,211,49,1230,267,455,191,54,968,361,481,208,90,1141,27,27,5,3,72,3332,4011,1617,580,9533
LGA15240,139,96,35,26,295,186,159,86,49,476,692,550,236,101,1585,484,523,209,89,1297,336,384,153,53,927,229,253,107,34,613,170,179,83,22,450,93,120,46,15,265,365,409,186,85,1041,40,33,19,9,95,2875,2784,1206,492,7357
LGA15270,38,26,11,9,80,43,31,10,16,103,149,117,58,33,358,120,142,69,22,344,120,139,65,29,349,83,125,42,14,268,101,119,48,16,284,64,98,55,4,222,115,131,79,26,347,13,9,3,0,26,889,973,457,165,2485
LGA15300,17,17,3,0,35,17,12,3,3,45,81,59,36,17,188,58,73,33,20,182,70,70,34,17,194,46,51,12,3,105,36,40,29,4,107,28,26,19,3,80,75,61,44,16,201,12,11,4,6,33,465,427,225,93,1219
LGA15350,11,5,3,0,17,18,6,3,0,31,48,38,9,0,101,64,44,5,3,111,104,71,15,0,190,78,58,18,3,159,188,234,86,17,528,573,811,314,64,1757,169,221,128,38,557,8,12,7,0,27,1266,1534,589,122,3511
LGA15520,12,8,5,0,28,15,21,12,3,49,62,82,46,10,199,63,80,38,15,192,42,64,38,9,160,46,48,23,4,127,36,40,21,3,93,19,29,20,3,61,53,59,37,19,161,0,3,3,0,8,365,446,234,73,1119
LGA15560,6,6,0,0,13,5,6,4,4,23,31,25,16,6,71,31,29,13,9,76,21,26,10,3,54,19,10,9,0,36,15,4,6,0,27,11,0,4,0,16,19,23,24,9,76,3,0,0,0,3,154,127,83,36,401
LGA15650,17,17,10,4,44,24,22,14,6,60,90,74,31,22,209,84,95,38,21,238,96,123,62,19,301,63,93,47,14,218,71,107,40,8,222,59,73,30,9,180,75,76,44,10,209,8,4,8,3,17,616,693,326,110,1741
LGA15700,35,17,6,9,66,45,28,22,12,107,124,122,61,26,330,91,112,39,18,261,79,85,46,10,218,45,37,26,3,113,32,39,18,9,98,17,18,5,0,45,70,82,42,10,213,9,5,3,0,17,583,575,274,109,1541
LGA15750,13,3,3,3,17,19,10,12,6,43,80,68,35,20,202,83,92,46,22,235,60,80,47,4,191,46,51,28,8,134,43,67,21,9,139,31,32,16,8,97,60,70,46,23,197,8,9,3,4,16,454,496,256,112,1316
LGA15800,4,6,0,0,14,9,10,3,0,20,31,34,30,8,104,35,37,14,6,88,33,29,20,6,93,21,21,14,0,52,15,13,8,3,39,5,13,0,3,23,31,28,21,11,94,3,0,0,0,5,194,205,111,47,559
LGA15850,13,5,3,0,18,5,3,6,9,25,32,31,13,13,88,36,29,19,10,100,26,24,20,11,79,21,17,20,3,62,21,21,10,0,55,9,19,7,0,37,25,29,35,15,99,3,3,3,0,13,206,198,137,64,605
LGA15900,122,83,37,9,246,209,167,70,20,469,807,659,234,77,1780,884,922,274,97,2176,912,1076,352,97,2430,733,963,319,51,2067,827,1122,401,85,2433,619,971,426,89,2103,684,783,275,111,1853,54,55,19,6,133,6023,6907,2449,669,16046
LGA15950,26,19,3,0,44,30,25,3,0,57,150,79,4,0,234,180,110,15,5,318,300,199,33,3,536,241,159,20,3,427,618,394,80,9,1098,1116,1050,247,41,2448,297,254,81,22,647,15,16,0,0,34,3025,2328,494,87,5927
LGA15990,111,79,33,8,236,184,188,40,8,425,911,781,220,55,1967,1137,1182,400,94,2820,1451,1690,529,103,3774,1307,1694,537,88,3626,1977,3018,1045,187,6231,2630,5582,2105,382,10704,1322,1967,805,212,4300,94,137,37,4,272,11322,16478,5823,1168,34793
LGA16100,3,0,3,0,5,3,3,0,0,7,24,39,15,7,86,28,33,21,8,92,30,33,6,4,78,13,13,13,0,40,12,19,8,0,46,8,27,5,0,42,27,30,20,10,92,0,3,0,0,7,167,207,97,30,505
LGA16150,42,18,5,11,71,46,47,17,21,132,234,193,102,42,575,250,269,111,46,675,216,300,125,47,695,181,228,90,31,528,170,248,106,25,548,139,178,96,28,449,160,186,122,38,504,14,14,0,0,28,1474,1720,795,298,4283
LGA16200,15,11,10,0,40,28,12,22,7,74,68,78,42,24,208,87,84,62,24,260,71,95,29,22,219,56,52,34,9,159,37,61,32,10,143,24,40,18,3,81,74,73,37,38,225,4,5,7,0,18,493,524,296,145,1460
LGA16260,391,292,102,27,811,551,450,110,44,1148,1816,1481,386,121,3800,2076,1717,401,144,4335,2130,2001,454,126,4712,1465,1450,347,78,3342,1794,1992,517,116,4421,1369,2061,625,128,4186,1163,1226,374,135,2897,84,87,29,8,206,13434,13227,3464,965,31093
LGA16350,198,116,70,30,412,330,250,97,71,741,1226,1130,518,254,3122,1376,1595,631,286,3888,1615,1787,677,258,4337,1228,1416,537,205,3386,1198,1658,638,197,3690,649,1201,549,218,2610,818,954,457,236,2463,113,94,39,21,260,8962,10363,4288,1806,25421
LGA16380,78,44,26,12,159,133,124,59,19,333,550,480,214,71,1312,427,471,206,71,1170,402,498,192,71,1156,271,342,137,34,783,226,326,145,25,720,130,227,85,21,466,292,328,180,65,854,30,29,8,6,75,2613,2911,1266,399,7192
LGA16400,76,49,17,4,152,120,87,43,19,266,408,383,170,83,1037,428,469,210,60,1169,388,501,191,79,1160,287,384,145,45,862,246,360,125,49,782,163,267,99,24,560,365,391,206,80,1045,23,24,8,3,58,2575,2978,1232,458,7243
LGA16490,28,17,4,9,59,76,35,14,5,136,256,157,63,30,503,275,272,94,40,678,311,355,168,41,870,353,386,135,23,902,465,658,245,52,1421,459,681,289,72,1496,284,360,166,60,867,22,19,10,0,50,2581,2997,1191,336,7107
LGA16550,71,41,12,8,136,137,91,23,5,252,466,327,99,22,913,563,464,130,35,1196,678,644,181,43,1545,608,627,147,22,1394,969,1169,333,47,2523,1330,2305,746,121,4506,579,807,286,54,1730,47,48,21,3,117,5593,6631,2001,366,14593
LGA16610,37,21,14,12,79,44,38,24,15,123,189,176,93,42,500,154,161,68,24,405,97,120,56,26,297,66,81,36,16,194,42,67,31,9,152,17,10,13,9,48,89,88,44,34,256,8,7,0,3,18,765,799,386,191,2141
LGA16650,167,104,39,29,337,294,184,71,31,582,803,639,187,102,1729,831,654,222,79,1779,834,775,232,63,1898,545,590,165,40,1336,613,760,239,61,1678,454,729,250,50,1484,566,522,235,115,1434,51,42,17,10,125,5418,5179,1727,623,12949
LGA16700,128,103,23,5,268,193,145,34,10,383,706,536,138,37,1418,808,644,177,43,1673,911,835,207,36,1995,663,635,180,31,1505,948,1156,287,51,2443,949,1639,527,86,3198,585,649,245,48,1525,33,49,24,3,112,6168,6577,1884,359,14982
LGA16900,76,61,15,11,161,117,78,38,15,249,474,437,179,68,1166,522,593,224,89,1423,483,652,235,73,1441,342,530,168,52,1099,359,519,163,47,1083,179,326,147,43,690,333,428,171,60,989,29,18,10,4,62,2976,3692,1377,485,8532
LGA16950,138,85,38,23,290,198,148,83,31,461,705,622,274,100,1696,578,595,261,115,1544,459,521,225,70,1273,315,377,126,40,858,277,322,127,38,770,146,200,96,28,468,435,459,219,105,1212,43,25,17,5,96,3406,3464,1505,568,8936
LGA17000,22,14,4,0,44,31,21,13,0,63,106,120,47,21,294,128,150,65,20,362,138,216,77,35,466,119,175,70,22,385,141,183,61,21,403,137,171,83,25,410,113,139,63,30,345,7,14,8,5,33,972,1216,493,176,2854
