SA4_CODE_2016,C11_SH_3b_NPGH_4,C11_SH_3b_NPGH_5,C11_SH_3b_NPGH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPGH_2,C11_SH_4mb_NPGH_3,C11_SH_4mb_NPGH_4,C11_SH_4mb_NPGH_5,C11_SH_4mb_NPGH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPGH_2,C11_SH_NB_NS_NPGH_3,C11_SH_NB_NS_NPGH_4,C11_SH_NB_NS_NPGH_5,C11_SH_NB_NS_NPGH_6_mor,C11_SH_NB_NS_T,C11_SH_Tot_NPGH_2,C11_SH_Tot_NPGH_3,C11_SH_Tot_NPGH_4,C11_SH_Tot_NPGH_5,C11_SH_Tot_NPGH_6_mor,C11_SH_T_T,C11_SDRTHT_0b_NPGH_2,C11_SDRTHT_0b_NPGH_3,C11_SDRTHT_0b_NPGH_4,C11_SDRTHT_0b_NPGH_5,C11_SDRTHT_0b_NPGH_6_mor,C11_SDRTHT_0bTotal,C11_SDRTHT_1b_NPGH_2,C11_SDRTHT_1b_NPGH_3,C11_SDRTHT_1b_NPGH_4,C11_SDRTHT_1b_NPGH_5,C11_SDRTHT_1b_NPGH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPGH_2,C11_SDRTHT_2b_NPGH_3,C11_SDRTHT_2b_NPGH_4,C11_SDRTHT_2b_NPGH_5,C11_SDRTHT_2b_NPGH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPGH_2,C11_SDRTHT_3b_NPGH_3,C11_SDRTHT_3b_NPGH_4,C11_SDRTHT_3b_NPGH_5,C11_SDRTHT_3b_NPGH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPGH_2,C11_SDRTHT_4mb_NPGH_3,C11_SDRTHT_4mb_NPGH_4,C11_SDRTHT_4mb_NPGH_5,C11_SDRTHT_4mb_NPGH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPGH_2,C11_SDRTHT_NB_NS_NPGH_3,C11_SDRTHT_NB_NS_NPGH_4,C11_SDRTHT_NB_NS_NPGH_5,C11_SDRTHT_NB_NS_NPGH_6_mor,C11_SDRTHT_NB_NS_T,C11_SDRTHT_Tot_NPGH_2,C11_SDRTHT_Tot_NPGH_3,C11_SDRTHT_Tot_NPGH_4,C11_SDRTHT_Tot_NPGH_5,C11_SDRTHT_Tot_NPGH_6_mor,C11_SDRTHT_T_T,C11_FUA_0b_NPGH_2,C11_FUA_0b_NPGH_3,C11_FUA_0b_NPGH_4,C11_FUA_0b_NPGH_5,C11_FUA_0b_NPGH_6_mor,C11_FUA_0bTotal,C11_FUA_1b_NPGH_2,C11_FUA_1b_NPGH_3,C11_FUA_1b_NPGH_4,C11_FUA_1b_NPGH_5,C11_FUA_1b_NPGH_6_mor,C11_FUA_1b_Tot,C11_FUA_2b_NPGH_2,C11_FUA_2b_NPGH_3,C11_FUA_2b_NPGH_4,C11_FUA_2b_NPGH_5,C11_FUA_2b_NPGH_6_mor,C11_FUA_2b_Tot,C11_FUA_3b_NPGH_2,C11_FUA_3b_NPGH_3,C11_FUA_3b_NPGH_4,C11_FUA_3b_NPGH_5,C11_FUA_3b_NPGH_6_mor,C11_FUA_3b_Tot,C11_FUA_4mb_NPGH_2,C11_FUA_4mb_NPGH_3,C11_FUA_4mb_NPGH_4,C11_FUA_4mb_NPGH_5,C11_FUA_4mb_NPGH_6_mor,C11_FUA_4mb_Tot,C11_FUA_NB_NS_NPGH_2,C11_FUA_NB_NS_NPGH_3,C11_FUA_NB_NS_NPGH_4,C11_FUA_NB_NS_NPGH_5,C11_FUA_NB_NS_NPGH_6_mor,C11_FUA_NB_NS_T,C11_FUA_Tot_NPGH_2,C11_FUA_Tot_NPGH_3,C11_FUA_Tot_NPGH_4,C11_FUA_Tot_NPGH_5,C11_FUA_Tot_NPGH_6_mor,C11_FUA_T_T,C11_OD_0b_NPGH_2,C11_OD_0b_NPGH_3,C11_OD_0b_NPGH_4,C11_OD_0b_NPGH_5,C11_OD_0b_NPGH_6_mor,C11_OD_0bTotal,C11_OD_1b_NPGH_2,C11_OD_1b_NPGH_3,C11_OD_1b_NPGH_4,C11_OD_1b_NPGH_5,C11_OD_1b_NPGH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPGH_2,C11_OD_2b_NPGH_3,C11_OD_2b_NPGH_4,C11_OD_2b_NPGH_5,C11_OD_2b_NPGH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPGH_2,C11_OD_3b_NPGH_3,C11_OD_3b_NPGH_4,C11_OD_3b_NPGH_5,C11_OD_3b_NPGH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPGH_2,C11_OD_4mb_NPGH_3,C11_OD_4mb_NPGH_4,C11_OD_4mb_NPGH_5,C11_OD_4mb_NPGH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPGH_2,C11_OD_NB_NS_NPGH_3,C11_OD_NB_NS_NPGH_4,C11_OD_NB_NS_NPGH_5,C11_OD_NB_NS_NPGH_6_mor,C11_OD_NB_NS_T,C11_OD_Tot_NPGH_2,C11_OD_Tot_NPGH_3,C11_OD_Tot_NPGH_4,C11_OD_Tot_NPGH_5,C11_OD_Tot_NPGH_6_mor,C11_OD_T_T,C11_DS_NS_NPGH_2,C11_DS_NS_NPGH_3,C11_DS_NS_NPGH_4,C11_DS_NS_NPGH_5,C11_DS_NS_NPGH_6_mor,C11_DS_NS_T,C11_Tot_NPGH_2,C11_Tot_NPGH_3,C11_Tot_NPGH_4,C11_Tot_NPGH_5,C11_Tot_NPGH_6_mor,C11_T_T,C16_SH_0b_NPGH_2,C16_SH_0b_NPGH_3,C16_SH_0b_NPGH_4,C16_SH_0b_NPGH_5,C16_SH_0b_NPGH_6_mor,C16_SH_0bTotal,C16_SH_1b_NPGH_2,C16_SH_1b_NPGH_3,C16_SH_1b_NPGH_4,C16_SH_1b_NPGH_5,C16_SH_1b_NPGH_6_mor,C16_SH_1b_Tot,C16_SH_2b_NPGH_2,C16_SH_2b_NPGH_3,C16_SH_2b_NPGH_4,C16_SH_2b_NPGH_5,C16_SH_2b_NPGH_6_mor,C16_SH_2b_Tot,C16_SH_3b_NPGH_2,C16_SH_3b_NPGH_3,C16_SH_3b_NPGH_4,C16_SH_3b_NPGH_5,C16_SH_3b_NPGH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPGH_2,C16_SH_4mb_NPGH_3,C16_SH_4mb_NPGH_4,C16_SH_4mb_NPGH_5,C16_SH_4mb_NPGH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPGH_2,C16_SH_NB_NS_NPGH_3,C16_SH_NB_NS_NPGH_4,C16_SH_NB_NS_NPGH_5,C16_SH_NB_NS_NPGH_6_mor,C16_SH_NB_NS_T,C16_SH_Tot_NPGH_2,C16_SH_Tot_NPGH_3,C16_SH_Tot_NPGH_4,C16_SH_Tot_NPGH_5
101,7,3,0,723,254,44,25,9,0,333,40,3,0,0,0,44,1231,142,31,9,0,1413,0,0,0,0,0,0,8,0,0,0,0,8,120,6,0,0,0,125,65,16,0,0,0,86,4,0,0,0,0,10,3,0,0,0,0,6,197,27,5,3,0,228,0,0,0,0,0,3,18,0,0,0,0,18,158,17,7,0,0,178,34,7,0,0,0,45,0,0,0,0,0,6,8,0,0,0,0,7,215,26,10,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,3,5,0,0,0,0,9,26,0,0,0,0,31,0,0,0,0,0,3,1675,191,48,13,3,1933,10,0,0,0,0,10,27,0,0,0,0,32,272,11,0,0,0,287,614,84,11,0,3,710,310,57,23,8,6,408,44,4,3,0,0,57,1287,156,31,12
102,15,0,0,1170,424,83,38,17,7,576,59,3,0,0,0,71,2044,218,58,12,7,2346,0,0,0,0,0,0,5,0,0,0,0,6,140,7,3,0,0,149,227,49,6,0,0,285,13,3,0,0,0,23,4,0,0,0,0,3,395,62,8,0,0,458,0,0,0,0,0,0,22,0,0,0,0,22,228,11,0,0,0,239,77,19,4,0,0,103,8,0,0,0,0,14,8,0,0,0,0,4,337,31,6,0,4,378,0,0,0,0,0,0,9,0,0,0,0,9,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,38,6,0,0,0,0,8,2823,317,76,17,6,3239,8,0,0,0,0,10,31,3,0,0,0,37,510,31,3,0,0,542,1087,155,22,3,0,1259,522,132,81,35,12,775,81,17,6,3,0,105,2239,329,111,45
103,14,0,0,819,268,80,63,18,3,434,27,10,7,0,0,39,1314,204,83,18,3,1628,4,0,0,0,0,4,5,0,0,0,0,9,87,4,0,0,0,92,43,19,0,0,0,61,5,3,3,0,0,15,3,3,0,0,0,6,154,28,4,0,0,188,0,0,0,0,0,3,13,0,0,0,0,13,97,0,0,0,0,96,14,5,0,0,0,23,0,6,3,0,0,10,3,0,0,0,0,3,124,12,6,0,0,143,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,5,6,0,0,0,0,7,3,0,0,0,0,5,0,0,0,0,0,0,13,3,0,0,0,21,3,0,0,0,0,3,1611,248,94,24,6,1978,4,0,0,0,0,4,13,0,0,0,0,15,287,14,3,0,0,306,742,88,3,0,0,832,299,79,67,23,3,469,43,7,3,0,0,53,1390,184,80,24
104,16,0,0,587,177,52,27,5,0,266,25,0,0,0,0,29,966,122,42,6,0,1141,0,0,0,0,0,0,4,0,0,0,0,4,84,8,0,0,0,97,55,14,4,0,0,78,8,0,0,0,0,9,10,0,0,0,0,10,162,25,4,0,0,188,0,0,0,0,0,0,6,0,0,0,0,8,144,3,0,0,0,151,30,14,0,0,0,40,4,0,0,0,0,4,8,0,0,0,0,7,196,20,0,0,0,214,3,0,0,0,0,4,3,0,0,0,0,3,27,0,0,0,0,27,5,0,0,0,0,5,0,0,0,0,0,3,4,0,0,0,0,4,40,0,0,0,0,43,0,0,0,0,0,0,1358,175,49,9,0,1591,0,0,0,0,0,0,20,0,0,0,0,27,237,11,0,0,3,252,565,56,7,0,0,633,247,39,25,7,7,332,42,9,7,0,0,65,1120,117,40,16
105,7,3,0,449,164,38,11,5,3,223,34,3,0,0,0,39,815,79,21,6,3,927,0,0,0,0,0,0,4,0,0,0,0,4,19,0,0,0,0,17,12,3,0,0,0,16,4,0,0,0,0,7,0,0,0,0,0,3,38,5,0,0,0,39,0,0,0,0,0,0,8,0,0,0,0,8,71,3,0,0,0,74,13,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,4,94,3,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,17,0,3,0,0,19,4,0,0,0,0,9,967,91,26,6,3,1089,8,0,0,0,0,8,13,3,0,0,0,16,161,9,0,0,0,169,428,56,3,0,0,489,171,35,13,4,0,225,33,9,3,3,0,44,813,109,17,3
106,12,0,0,892,334,57,21,8,0,424,45,10,0,0,0,57,1506,162,32,11,0,1715,0,0,0,0,0,0,3,0,0,0,0,3,138,3,0,0,0,141,86,8,3,0,0,96,9,3,0,0,0,14,0,0,0,0,0,3,235,14,4,0,0,258,0,0,0,0,0,0,14,0,0,0,0,14,98,0,0,0,0,98,33,11,0,0,0,39,3,3,0,0,0,3,3,0,0,0,0,3,145,19,0,3,0,162,3,0,0,0,0,4,8,0,0,0,0,8,12,0,0,0,0,17,0,3,0,0,0,3,4,3,0,0,0,3,3,0,0,0,0,3,28,3,0,0,0,36,3,0,0,0,0,3,1914,198,38,11,0,2166,0,0,3,0,0,8,17,0,0,0,0,20,282,10,0,0,0,291,846,100,4,3,0,951,427,84,37,10,3,559,37,12,3,3,0,54,1613,203,42,18
107,27,3,0,842,216,66,113,52,22,465,45,5,6,3,0,56,1149,243,145,56,28,1617,0,0,0,0,0,3,5,0,0,0,0,5,210,11,0,0,0,220,141,90,20,3,0,258,11,3,14,3,3,29,12,3,0,0,0,18,377,113,36,10,5,537,13,3,0,0,0,18,51,0,0,0,0,52,749,80,9,0,0,841,109,167,36,10,0,323,3,5,20,20,4,54,16,4,3,3,0,28,945,264,70,37,9,1314,0,0,0,0,0,0,4,0,0,0,0,4,23,0,0,0,0,25,0,3,0,0,0,10,3,0,4,0,0,3,7,0,0,0,0,13,40,8,6,0,0,47,4,0,0,0,0,8,2517,621,255,97,33,3525,3,0,0,0,0,9,22,3,0,0,0,22,197,14,0,0,0,216,643,188,32,11,0,872,284,97,132,66,45,620,55,10,8,8,3,82,1195,311,175,78
108,6,3,0,872,277,38,15,8,0,340,24,3,0,0,0,31,1430,119,17,6,0,1576,3,0,0,0,0,3,10,0,0,0,0,9,88,3,0,0,0,86,77,15,0,0,0,96,6,3,0,0,0,6,3,0,0,0,0,3,183,22,0,0,0,203,0,0,0,0,0,0,12,0,0,0,0,12,198,8,0,0,0,206,41,12,0,0,0,50,7,0,0,0,0,3,13,0,0,0,0,13,268,19,0,0,0,284,3,0,0,0,0,3,9,0,0,0,0,9,39,0,0,0,0,39,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,54,4,0,0,0,0,4,1935,156,19,6,0,2126,4,0,0,0,0,4,17,3,0,0,0,19,318,17,0,0,0,334,852,88,17,3,0,960,338,60,38,11,3,457,53,5,0,3,0,59,1591,172,55,15
109,8,0,0,576,160,37,38,9,4,248,20,3,0,0,0,25,801,134,41,7,4,992,0,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,0,48,21,16,0,0,0,36,3,0,0,0,0,3,6,0,0,0,0,6,72,22,0,0,0,95,0,0,0,0,0,0,8,0,0,0,0,8,166,3,0,0,0,172,24,14,0,0,0,38,0,0,3,0,0,5,5,0,0,0,0,5,203,18,3,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,5,11,3,0,0,0,12,0,3,0,0,0,3,1096,172,47,9,4,1335,0,0,0,0,0,0,6,0,0,0,0,6,157,12,3,0,0,169,441,70,6,0,0,520,170,54,41,10,4,273,30,10,0,0,3,37,803,135,53,12
110,14,0,0,806,241,47,29,14,0,341,33,3,3,0,0,37,1258,171,49,14,3,1494,0,0,0,0,0,0,5,0,0,0,0,5,41,3,0,0,0,43,20,4,0,0,0,26,3,0,4,0,0,8,0,0,0,0,0,0,68,11,3,0,0,83,3,0,0,0,0,3,23,0,0,0,0,23,158,14,0,0,0,167,31,11,3,0,0,43,3,3,4,0,0,18,4,0,0,0,0,4,212,30,5,3,0,254,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,11,4,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,18,3,0,0,0,25,4,0,0,0,0,5,1566,211,55,23,8,1854,7,0,0,0,0,4,23,0,0,0,0,29,272,8,3,0,0,283,741,123,17,3,3,890,287,68,45,25,9,431,48,8,8,3,0,70,1387,206,68,32
