SA4_CODE_2016,C06_1PF_U_N,C06_1PF_U_1_149,C06_1PF_U_150_299,C06_1PF_U_300_399,C06_1PF_U_400_499,C06_1PF_U_500_649,C06_1PF_U_650_799,C06_1PF_U_800_999,C06_1PF_U_1000_1499,C06_1PF_U_1500_1999,C06_1PF_U_2000_2499,C06_1PF_U_2500_2999,C06_1PF_U_3000_3999,C06_1PF_U_4000m,C06_1PF_U_Ns,C06_1PF_U_T,C06_1PF_N_lf_Fi_N,C06_1PF_N_lf_Fi_1_149,C06_1PF_N_lf_Fi_150_299,C06_1PF_N_lf_Fi_300_399,C06_1PF_N_lf_Fi_400_499,C06_1PF_N_lf_Fi_500_649,C06_1PF_N_lf_Fi_650_799,C06_1PF_N_lf_Fi_800_999,C06_1PF_N_lf_Fi_1000_1499,C06_1PF_N_lf_Fi_1500_1999,C06_1PF_N_lf_Fi_2000_2499,C06_1PF_N_lf_Fi_2500_2999,C06_1PF_N_lf_Fi_3000_3999,C06_1PF_N_lf_Fi_4000m,C06_1PF_N_lf_Fi_Ns,C06_1PF_N_lf_T,C06_1PF_LFns_N,C06_1PF_LFns_1_149,C06_1PF_LFns_150_299,C06_1PF_LFns_300_399,C06_1PF_LFns_400_499,C06_1PF_LFns_500_649,C06_1PF_LFns_650_799,C06_1PF_LFns_800_999,C06_1PF_LFns_1000_1499,C06_1PF_LFns_1500_1999,C06_1PF_LFns_2000_2499,C06_1PF_LFns_2500_2999,C06_1PF_LFns_3000_3999,C06_1PF_LFns_4000m,C06_1PF_LFns_Ns,C06_1PF_LF_NS_T,C06_1PF_TFI_N,C06_1PF_TFI_1_149,C06_1PF_TFI_150_299,C06_1PF_TFI_300_399,C06_1PF_TFI_400_499,C06_1PF_TFI_500_649,C06_1PF_TFI_650_799,C06_1PF_TFI_800_999,C06_1PF_TFI_1000_1499,C06_1PF_TFI_1500_1999,C06_1PF_TFI_2000_2499,C06_1PF_TFI_2500_2999,C06_1PF_TFI_3000_3999,C06_1PF_TFI_4000m,C06_1PF_TFI_Ns,C06_1PF_TFI_T,C06_TFI_N,C06_TFI_1_149,C06_TFI_150_299,C06_TFI_300_399,C06_TFI_400_499,C06_TFI_500_649,C06_TFI_650_799,C06_TFI_800_999,C06_TFI_1000_1499,C06_TFI_1500_1999,C06_TFI_2000_2499,C06_TFI_2500_2999,C06_TFI_3000_3999,C06_TFI_4000m,C06_TFI_Ns,C06_T_T,C11_CFNC_BF_N,C11_CFNC_BF_1_149,C11_CFNC_BF_150_299,C11_CFNC_BF_300_399,C11_CFNC_BF_400_499,C11_CFNC_BF_500_649,C11_CFNC_BF_650_799,C11_CFNC_BF_800_999,C11_CFNC_BF_1000_1499,C11_CFNC_BF_1500_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_3999,C11_CFNC_BF_4000m,C11_CFNC_BF_Ns,C11_CFNC_BF_T,C11_CFNC_BPT_N,C11_CFNC_BPT_1_149,C11_CFNC_BPT_150_299,C11_CFNC_BPT_300_399,C11_CFNC_BPT_400_499,C11_CFNC_BPT_500_649,C11_CFNC_BPT_650_799,C11_CFNC_BPT_800_999,C11_CFNC_BPT_1000_1499,C11_CFNC_BPT_1500_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000_3999,C11_CFNC_BPT_4000m,C11_CFNC_BPT_Ns,C11_CFNC_BPT_T,C11_CFNC_1F1P_N,C11_CFNC_1F1P_1_149,C11_CFNC_1F1P_150_299,C11_CFNC_1F1P_300_399,C11_CFNC_1F1P_400_499,C11_CFNC_1F1P_500_649,C11_CFNC_1F1P_650_799,C11_CFNC_1F1P_800_999,C11_CFNC_1F1P_1000_1499,C11_CFNC_1F1P_1500_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000_3999,C11_CFNC_1F1P_4000m,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_T,C11_CFNC_1E1A_N,C11_CFNC_1E1A_1_149,C11_CFNC_1E1A_150_299,C11_CFNC_1E1A_300_399,C11_CFNC_1E1A_400_499,C11_CFNC_1E1A_500_649,C11_CFNC_1E1A_650_799,C11_CFNC_1E1A_800_999,C11_CFNC_1E1A_1000_1499,C11_CFNC_1E1A_1500_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000_3999,C11_CFNC_1E1A_4000m,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_T,C11_CFNC_1F1NW_N,C11_CFNC_1F1NW_1_149,C11_CFNC_1F1NW_150_299,C11_CFNC_1F1NW_300_399,C11_CFNC_1F1NW_400_499,C11_CFNC_1F1NW_500_649,C11_CFNC_1F1NW_650_799,C11_CFNC_1F1NW_800_999,C11_CFNC_1F1NW_1000_1499,C11_CFNC_1F1NW_1500_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000_3999,C11_CFNC_1F1NW_4000m,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_T,C11_CFNC_1P1NW_N,C11_CFNC_1P1NW_1_149,C11_CFNC_1P1NW_150_299,C11_CFNC_1P1NW_300_399,C11_CFNC_1P1NW_400_499,C11_CFNC_1P1NW_500_649,C11_CFNC_1P1NW_650_799,C11_CFNC_1P1NW_800_999,C11_CFNC_1P1NW_1000_1499,C11_CFNC_1P1NW_1500_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_3999,C11_CFNC_1P1NW_4000m,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_T,C11_CFNC_1A1NW_N,C11_CFNC_1A1NW_1_149,C11_CFNC_1A1NW_150_299,C11_CFNC_1A1NW_300_399,C11_CFNC_1A1NW_400_499,C11_CFNC_1A1NW_500_649,C11_CFNC_1A1NW_650_799,C11_CFNC_1A1NW_800_999,C11_CFNC_1A1NW_1000_1499,C11_CFNC_1A1NW_1500_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000_3999,C11_CFNC_1A1NW_4000m,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_T,C11_CFNC_BA_N,C11_CFNC_BA_1_149,C11_CFNC_BA_150_299,C11_CFNC_BA_300_399,C11_CFNC_BA_400_499,C11_CFNC_BA_500_649,C11_CFNC_BA_650_799,C11_CFNC_BA_800_999
101,3,21,71,155,18,130,24,16,13,0,0,0,0,0,57,509,31,69,328,601,175,822,183,206,267,71,8,19,3,3,333,3125,0,3,3,4,5,6,0,9,5,0,0,0,0,0,110,151,53,117,495,1167,232,1835,731,638,1097,294,72,92,25,9,960,7825,434,626,865,1644,4089,6275,3043,3658,11679,5735,3396,2392,1854,625,6493,52817,41,0,32,11,14,71,93,231,687,884,1036,521,848,422,90,4979,9,0,14,16,11,94,131,250,247,142,84,29,50,31,18,1126,18,0,18,7,25,53,121,294,803,651,436,203,262,85,58,3032,3,0,11,3,10,9,33,44,132,115,123,51,71,41,20,662,9,4,21,20,41,71,225,292,522,358,130,237,78,23,80,2112,4,7,31,57,78,303,283,256,330,141,68,50,38,11,46,1713,7,3,8,8,19,38,33,40,54,41,10,21,12,6,29,338,0,0,3,3,0,8,19,21
102,20,33,139,320,35,330,57,45,39,8,3,4,0,0,119,1145,79,127,541,1071,338,1731,412,438,561,137,42,29,3,3,617,6130,0,3,11,8,9,31,4,16,8,0,0,0,0,4,205,304,117,215,800,1987,427,3556,1543,1255,2065,635,200,146,36,9,1858,14851,434,801,1157,2414,6409,9598,4504,5503,17503,9410,5325,3633,2271,609,9478,79057,19,0,17,3,4,19,35,164,733,1068,1506,562,760,311,73,5268,3,0,18,14,12,86,103,197,268,154,75,33,60,18,26,1080,13,0,10,9,10,44,86,252,996,840,618,251,328,54,65,3576,0,0,0,8,3,16,25,48,140,128,115,41,72,17,36,645,7,3,7,17,53,70,275,387,805,507,131,335,80,28,120,2812,11,12,33,62,95,339,329,315,373,141,71,41,29,10,43,1912,0,0,4,8,11,35,48,64,77,39,12,32,4,0,27,360,5,0,0,0,0,12,10,24
103,12,21,99,195,27,138,29,19,14,0,3,0,0,0,36,592,41,77,384,701,244,886,189,244,266,47,13,13,3,3,424,3546,0,0,6,14,4,14,3,8,7,0,0,0,0,0,149,197,68,133,595,1222,307,1822,734,662,948,219,50,52,19,8,983,7820,431,691,938,1670,4284,5807,2849,3492,10952,5620,3038,1952,1200,400,6101,49427,62,4,37,19,12,90,105,271,691,791,966,451,628,234,86,4446,7,0,12,7,6,89,99,185,218,94,80,26,31,18,19,878,18,3,17,13,25,75,139,270,790,609,452,200,267,62,78,3017,7,0,8,0,6,21,30,49,98,94,92,32,62,14,30,534,11,3,14,19,57,92,270,305,534,313,88,215,58,18,99,2101,7,8,27,47,82,276,216,242,212,82,38,26,12,7,49,1343,9,3,8,5,4,30,31,46,48,29,12,17,10,3,29,284,11,0,3,0,3,12,11,19
104,7,18,81,168,20,166,37,15,10,4,0,0,0,0,55,592,30,55,292,568,175,846,169,152,152,35,3,13,0,0,296,2781,0,0,3,12,0,12,4,6,3,3,0,0,0,0,115,159,50,93,453,1059,228,1771,658,443,636,131,18,23,3,0,848,6413,228,432,725,1378,3818,5363,2353,2713,7410,2872,1334,714,429,154,4159,34076,18,0,9,3,3,37,55,136,399,425,414,134,198,77,29,1947,3,0,8,14,6,76,82,152,177,67,43,17,18,9,10,692,3,3,14,8,14,41,77,203,576,395,261,99,131,25,30,1875,5,0,0,0,3,11,14,25,85,50,60,16,29,5,15,332,0,4,6,15,37,51,192,202,362,189,73,96,26,7,47,1303,3,10,32,33,62,238,219,175,231,62,42,17,13,0,27,1170,0,0,6,3,11,27,21,29,39,14,9,7,8,0,10,181,8,0,0,0,0,7,5,13
105,7,6,73,126,23,99,18,14,16,4,0,0,0,0,50,427,34,57,329,550,161,653,139,149,167,30,6,15,6,4,308,2605,3,7,8,7,6,8,0,9,9,0,0,0,0,0,140,189,55,86,484,908,206,1276,479,388,618,145,26,37,9,11,780,5507,314,463,707,1167,2654,3678,1670,1969,6083,2827,1565,927,559,201,4409,29199,63,5,30,12,9,51,60,205,450,502,590,221,323,128,80,2725,5,0,13,5,3,40,46,84,102,48,27,11,6,4,13,410,10,0,11,9,5,51,75,167,473,336,215,80,106,18,50,1611,6,0,3,0,0,10,12,36,48,53,38,25,26,8,23,282,19,0,11,14,29,66,167,157,293,146,40,57,15,4,69,1085,0,4,17,31,47,170,140,112,101,27,16,7,3,3,31,707,3,0,0,3,7,21,15,15,40,21,8,10,4,0,16,164,6,0,0,0,0,7,13,16
106,9,17,127,242,34,189,41,27,34,4,0,0,0,0,59,773,56,89,461,867,266,1227,269,281,339,101,14,13,11,3,485,4474,0,0,7,10,7,14,8,11,3,5,0,0,0,0,165,229,84,135,705,1561,338,2416,970,823,1293,403,99,78,32,5,1254,10194,409,659,1011,1959,5055,6791,3307,4093,13438,7458,4193,3128,1991,506,7500,61481,31,0,32,3,3,40,39,137,545,929,1243,526,943,312,91,4875,5,0,11,9,9,66,92,157,218,136,84,35,48,21,24,912,15,0,15,13,13,52,86,214,825,735,567,313,359,61,66,3317,0,0,3,5,3,13,27,35,106,101,119,58,107,23,27,632,11,4,6,15,31,51,249,304,736,504,108,483,65,20,124,2712,7,9,37,50,88,295,289,229,248,118,40,52,15,6,38,1524,4,3,6,6,3,37,31,29,66,58,12,45,7,3,15,322,3,0,0,0,0,10,13,14
107,13,19,135,298,37,221,53,30,30,6,0,0,0,0,79,918,71,107,527,899,371,1306,327,363,524,145,40,35,5,9,552,5269,5,0,10,6,3,9,9,8,14,3,0,0,0,0,177,252,96,158,775,1655,441,2557,1154,944,1781,567,206,152,47,9,1446,11987,454,718,1160,2061,5992,7439,3517,4242,14329,9066,5524,4143,2719,744,8240,70350,13,0,3,0,0,12,32,101,449,826,1300,614,904,330,57,4627,0,0,10,9,9,56,79,141,186,90,88,31,46,15,17,777,15,0,10,0,11,16,63,184,757,708,607,281,353,66,45,3106,4,0,3,0,0,7,13,37,95,110,123,70,81,37,19,605,5,3,13,12,57,54,228,270,739,490,124,379,94,20,111,2593,8,18,34,51,82,284,264,244,282,126,68,41,18,18,31,1564,0,3,3,3,17,28,37,59,69,56,19,35,14,7,24,376,0,0,0,0,0,10,4,14
108,0,19,146,256,23,240,48,26,21,0,0,0,0,0,105,890,40,84,411,845,288,1228,243,254,260,35,12,4,3,3,486,4198,0,0,7,6,4,14,3,3,7,0,0,0,0,0,143,198,54,142,693,1539,355,2481,862,677,905,173,49,40,6,10,1210,9190,369,775,1143,2051,6902,8839,3655,4133,11411,4179,1974,1079,646,262,6126,53531,39,0,38,11,10,47,81,215,601,670,570,212,327,121,73,3019,8,0,14,15,17,101,130,261,287,83,77,26,32,16,24,1096,14,0,18,18,16,55,141,301,856,525,339,143,139,38,38,2639,4,0,8,10,3,22,26,54,118,79,61,39,32,13,28,490,15,4,12,13,59,87,274,250,495,257,77,130,35,7,60,1786,6,14,49,65,111,396,391,315,294,140,38,23,18,8,54,1931,3,0,0,14,20,49,47,38,61,39,11,15,8,0,18,319,3,0,7,4,0,9,10,11
109,4,12,57,90,10,84,15,7,5,0,0,0,0,0,31,312,25,33,187,376,97,419,92,108,119,30,3,8,0,0,198,1691,0,0,0,4,0,9,0,4,3,3,0,0,0,0,73,96,38,61,300,692,124,957,462,372,553,139,29,41,5,0,552,4323,287,344,493,886,2301,3260,1694,2082,7069,3322,1630,930,541,229,3660,28738,47,0,24,8,15,39,62,150,496,603,560,212,233,89,60,2595,4,3,9,7,8,38,63,110,150,56,43,4,5,3,21,521,17,0,7,11,9,48,73,192,577,435,230,93,126,37,43,1900,10,0,0,0,5,12,16,26,102,63,52,20,15,10,26,356,13,0,8,16,34,58,164,187,304,158,40,61,23,14,50,1135,3,5,23,28,42,170,165,146,119,50,27,16,7,4,27,822,3,0,7,0,10,22,27,32,33,13,8,4,0,6,18,191,8,0,6,3,0,10,14,20
110,12,15,84,191,30,147,33,18,19,8,0,0,0,0,75,638,49,83,356,700,227,864,182,209,266,48,12,20,0,3,415,3436,4,0,4,11,8,13,0,5,8,0,0,3,0,0,142,190,72,129,554,1202,283,1788,720,558,890,204,46,55,10,9,1037,7556,480,635,922,1636,3962,5600,2862,3223,10459,4380,2239,1325,810,338,6072,44952,79,5,66,19,9,103,116,271,780,875,817,302,445,164,110,4162,10,0,22,13,11,99,98,194,187,79,48,24,23,16,25,840,21,3,23,15,18,87,141,323,818,501,341,121,173,46,62,2694,6,0,3,6,6,23,34,45,125,79,64,18,37,15,27,489,14,4,25,18,53,102,304,278,467,229,79,126,46,10,73,1829,9,9,37,43,80,269,239,198,197,54,39,17,5,3,32,1241,3,0,9,8,8,32,31,35,50,23,7,15,6,0,23,244,7,0,0,3,0,15,14,39
