SA4_CODE_2016,C11_CF_LFns_N,C11_CF_LFns_1_149,C11_CF_LFns_150_299,C11_CF_LFns_300_399,C11_CF_LFns_400_499,C11_CF_LFns_500_649,C11_CF_LFns_650_799,C11_CF_LFns_800_999,C11_CF_LFns_1000_1499,C11_CF_LFns_1500_1999,C11_CF_LFns_2000_2499,C11_CF_LFns_2500_2999,C11_CF_LFns_3000_3999,C11_CF_LFns_4000_more,C11_CF_LFns_Ns,C11_CF_LFns_Tot,C11_C_f_c_T_Fi_N,C11_C_f_c_T_Fi_1_149,C11_C_f_c_T_Fi_150_299,C11_C_f_c_T_Fi_300_399,C11_C_f_c_T_Fi_400_499,C11_C_f_c_T_Fi_500_649,C11_CF_c_T_Fi_650_799,C11_CF_c_T_Fi_800_999,C11_CF_c_T_Fi_1000_1499,C11_CF_c_T_Fi_1500_1999,C11_CF_c_T_Fi_2000_2499,C11_CF_c_T_Fi_2500_2999,C11_CF_c_T_Fi_3000_3999,C11_CF_c_T_Fi_4000_more,C11_C_f_with_c_TFI_Ns,C11_C_f_with_c_T_T,C11_1PF_F_N,C11_1PF_F_1_149,C11_1PF_F_150_299,C11_1PF_F_300_399,C11_1PF_F_400_499,C11_1PF_F_500_649,C11_1PF_F_650_799,C11_1PF_F_800_999,C11_1PF_F_1000_1499,C11_1PF_F_1500_1999,C11_1PF_F_2000_2499,C11_1PF_F_2500_2999,C11_1PF_F_3000_3999,C11_1PF_F_4000_more,C11_1PF_F_Ns,C11_1PF_F_Tot,C11_1PF_P_N,C11_1PF_P_1_149,C11_1PF_P_150_299,C11_1PF_P_300_399,C11_1PF_P_400_499,C11_1PF_P_500_649,C11_1PF_P_650_799,C11_1PF_P_800_999,C11_1PF_P_1000_1499,C11_1PF_P_1500_1999,C11_1PF_P_2000_2499,C11_1PF_P_2500_2999,C11_1PF_P_3000_3999,C11_1PF_P_4000_more,C11_1PF_P_Ns,C11_1PF_P_Tot,C11_1PF_A_N,C11_1PF_A_1_149,C11_1PF_A_150_299,C11_1PF_A_300_399,C11_1PF_A_400_499,C11_1PF_A_500_649,C11_1PF_A_650_799,C11_1PF_A_800_999,C11_1PF_A_1000_1499,C11_1PF_A_1500_1999,C11_1PF_A_2000_2499,C11_1PF_A_2500_2999,C11_1PF_A_3000_3999,C11_1PF_A_4000_more,C11_1PF_A_Ns,C11_1PF_A_Tot,C11_1PF_U_N,C11_1PF_U_1_149,C11_1PF_U_150_299,C11_1PF_U_300_399,C11_1PF_U_400_499,C11_1PF_U_500_649,C11_1PF_U_650_799,C11_1PF_U_800_999,C11_1PF_U_1000_1499,C11_1PF_U_1500_1999,C11_1PF_U_2000_2499,C11_1PF_U_2500_2999,C11_1PF_U_3000_3999,C11_1PF_U_4000_more,C11_1PF_U_Ns,C11_1PF_U_To,C11_1PF_N_lf_Fi_N,C11_1PF_N_lf_Fi_1_149,C11_1PF_N_lf_Fi_150_299,C11_1PF_N_lf_Fi_300_399,C11_1PF_N_lf_Fi_400_499,C11_1PF_N_lf_Fi_500_649,C11_1PF_N_lf_Fi_650_799,C11_1PF_N_lf_Fi_800_999,C11_1PF_N_lf_Fi_1000_1499,C11_1PF_N_lf_Fi_1500_1999,C11_1PF_N_lf_Fi_2000_2499,C11_1PF_N_lf_Fi_2500_2999,C11_1PF_N_lf_Fi_3000_3999,C11_1PF_N_lf_Fi_4000_more,C11_1PF_N_lf_Fi_Ns,C11_1PF_N_the_lf_Tot,C11_1PF_LFns_N,C11_1PF_LFns_1_149,C11_1PF_LFns_150_299,C11_1PF_LFns_300_399,C11_1PF_LFns_400_499,C11_1PF_LFns_500_649,C11_1PF_lf_ns_Fi_650_799,C11_1PF_LFns_800_999,C11_1PF_LFns_1000_1499,C11_1PF_LFns_1500_1999,C11_1PF_LFns_2000_2499,C11_1PF_LFns_2500_2999,C11_1PF_lf_ns_Fi_3000_3999,C11_1PF_LFns_4000mo,C11_1PF_LFns_Ns,C11_1PF_LF_NS_T,C11_1PF_TFI_N,C11_1PF_TFI_1_149,C11_1PF_TFI_150_299,C11_1PF_TFI_300_399,C11_1PF_TFI_400_499,C11_1PF_TFI_500_649,C11_1PF_T_Fi_650_799,C11_1PF_T_Fi_800_999,C11_1PF_T_Fi_1000_1499,C11_1PF_T_Fi_1500_1999,C11_1PF_T_Fi_2000_2499,C11_1PF_T_Fi_2500_2999,C11_1PF_T_Fi_3000_3999,C11_1PF_TFI_4000_mr,C11_One_par_f_TFI_Ns,C11_One_parent_f_T_T,C11_TFI_N,C11_TFI_1_149,C11_TFI_150_299,C11_TFI_300_399,C11_TFI_400_499,C11_TFI_500_649,C11_TFI_650_799,C11_TFI_800_999,C11_TFI_1000_1499,C11_TFI_1500_1999,C11_TFI_2000_2499,C11_TFI_2500_2999,C11_TFI_3000_3999,C11_TFI_4000_more,C11_TFI_Ns,C11_T_T,C16_CFNC_BF_N,C16_CFNC_BF_1_149,C16_CFNC_BF_150_299,C16_CFNC_BF_300_399,C16_CFNC_BF_400_499,C16_CFNC_BF_500_649,C16_CFNC_BF_650_799,C16_CFNC_BF_800_999,C16_CFNC_BF_1000_1499,C16_CFNC_BF_1500_1999,C16_CFNC_BF_2000_2499,C16_CFNC_BF_2500_2999,C16_CFNC_BF_3000_3999,C16_CFNC_BF_4000_mr,C16_CFNC_BF_Ns,C16_CFNC_BF_Tot,C16_CFNC_BPT_N,C16_CFNC_BPT_1_149,C16_CFNC_BPT_150_299,C16_CFNC_BPT_300_399,C16_CFNC_BPT_400_499,C16_CFNC_BPT_500_649,C16_CFNC_BPT_650_799,C16_CFNC_BPT_800_999,C16_CFNC_BPT_1000_1499,C16_CFNC_BPT_1500_1999,C16_CFNC_BPT_2000_2499,C16_CFNC_BPT_2500_2999,C16_CFNC_BPT_3000_3999,C16_CFNC_BPT_4000mo,C16_CFNC_BPT_Ns,C16_CFNC_BPT_T,C16_CFNC_1F1P_N,C16_CFNC_1F1P_1_149,C16_CFNC_1F1P_150_299,C16_CFNC_1F1P_300_399,C16_CFNC_1F1P_400_499,C16_CFNC_1F1P_500_649,C16_CFNC_1F1P_650_799,C16_CFNC_1F1P_800_999
101,3,0,0,0,0,4,5,8,12,5,0,6,5,3,1402,1460,78,35,120,94,153,505,782,1283,3798,3354,2925,2054,2430,1298,3381,22300,8,11,6,20,87,44,251,285,650,382,136,166,78,4,305,2442,6,27,55,148,381,111,406,228,266,82,26,20,14,0,189,1954,4,4,3,12,42,8,25,30,44,32,11,6,0,0,45,272,11,10,51,65,119,25,31,20,11,7,3,3,0,0,39,392,47,60,221,374,576,221,472,292,339,101,59,38,10,4,353,3176,3,0,0,3,4,4,6,11,3,3,0,0,0,0,110,152,73,118,347,624,1211,424,1192,869,1311,602,235,224,103,17,1042,8385,400,216,951,973,1702,4897,4313,5110,8997,6662,5256,3489,3960,1974,6673,55561,30,6,4,0,39,22,56,86,536,732,1046,731,874,618,93,4870,3,7,6,0,48,41,89,144,432,147,120,44,38,69,22,1215,12,7,8,3,29,26,82,132
102,6,0,0,0,3,5,3,7,18,16,3,5,8,4,1888,1975,108,48,150,123,189,634,1105,1720,6432,6128,4905,3737,3489,1160,5009,34941,19,10,21,35,129,35,414,495,1140,708,296,208,99,18,619,4237,8,33,103,182,676,180,760,525,584,190,58,47,18,0,417,3774,5,0,13,23,66,14,73,66,82,39,19,15,0,0,84,516,18,15,107,134,304,74,108,67,47,19,5,0,0,3,113,1024,85,92,383,618,1276,520,1020,696,853,242,110,53,24,10,697,6672,4,0,7,3,6,6,18,10,18,3,0,0,0,0,227,296,143,154,631,991,2462,825,2389,1850,2718,1198,495,323,139,34,2157,16525,550,266,1450,1401,2986,7494,6872,7521,13957,10689,8168,5469,5090,1703,9810,83427,3,7,0,0,16,5,15,51,416,840,1429,1028,967,508,90,5376,0,3,3,0,40,35,101,124,405,194,154,67,58,59,37,1280,5,3,3,0,8,12,46,98
103,3,0,0,0,0,5,8,6,18,5,3,3,5,3,1348,1410,94,35,125,108,128,561,760,1230,3819,3494,2649,2086,2083,702,3239,21108,13,12,16,22,93,28,230,275,575,336,91,85,26,10,259,2080,3,23,65,151,357,70,316,234,218,68,24,14,9,3,156,1713,4,4,7,11,36,12,21,26,50,16,5,6,3,0,42,253,6,15,61,97,122,32,46,20,18,3,0,3,0,0,46,479,53,59,276,453,689,252,576,341,374,106,52,27,4,8,403,3676,3,0,3,7,3,3,12,5,6,3,0,3,0,0,129,179,89,108,423,747,1300,395,1213,902,1242,536,164,143,44,17,1045,8374,449,187,1003,1087,1707,4880,3902,4630,8192,6197,4644,3241,3257,1112,6329,50819,23,15,8,3,40,10,86,86,529,721,960,647,666,390,73,4247,10,6,5,0,28,29,75,96,309,130,98,39,32,39,26,919,17,10,7,5,32,23,65,130
104,0,0,0,0,0,3,7,0,9,7,3,0,0,0,850,881,59,21,80,68,116,519,744,1095,2846,2200,1444,813,682,214,1939,12847,11,6,3,15,63,32,192,195,403,165,50,50,14,3,151,1340,3,16,49,100,342,83,331,221,217,51,9,12,0,0,146,1588,0,5,7,13,22,10,32,15,26,13,6,0,0,0,32,171,10,10,47,106,144,53,43,31,30,4,3,0,0,0,46,530,49,45,193,343,642,228,451,289,282,71,19,10,10,0,317,2957,3,4,0,3,3,3,3,4,9,0,0,0,0,0,85,124,70,85,305,576,1217,405,1048,754,956,306,92,76,22,3,782,6707,262,139,774,825,1572,4411,3651,3997,6406,3928,2523,1322,1170,368,4117,35468,7,7,3,0,20,7,36,39,284,388,438,287,267,141,41,1964,3,0,3,0,24,32,86,120,285,131,75,37,26,13,19,857,0,4,0,0,9,20,41,87
105,0,0,0,3,4,0,4,3,7,9,4,3,0,3,897,939,65,24,93,85,97,363,503,738,2057,1695,1339,902,858,285,2181,11293,5,10,8,5,65,22,196,197,361,207,58,50,16,0,185,1392,0,9,36,96,218,47,235,126,105,27,19,3,6,0,104,1029,0,3,5,13,20,5,16,16,21,19,3,0,0,3,30,153,8,16,54,69,97,23,39,25,11,4,0,0,0,0,53,407,37,38,184,367,497,180,402,212,248,60,17,18,3,3,306,2568,0,0,6,11,3,4,0,3,12,0,0,0,0,0,148,192,54,86,296,566,901,281,886,575,758,319,98,66,21,12,825,5743,308,128,650,788,1146,2804,2487,2686,4566,3227,2408,1405,1390,472,4379,28835,36,11,8,0,24,11,56,85,365,454,602,439,408,218,86,2815,0,0,3,3,9,12,50,45,146,51,36,20,15,24,9,421,5,3,0,0,8,11,38,76
106,0,0,0,0,3,3,4,9,25,15,7,9,5,3,1582,1665,80,57,107,72,122,506,771,1297,4636,4693,3772,3894,3432,1258,3966,28635,3,3,12,23,88,42,310,335,722,470,187,203,75,15,307,2798,3,25,66,165,486,138,477,332,323,124,34,26,16,0,224,2443,3,0,11,12,37,12,37,37,49,24,12,15,3,3,50,308,10,13,76,128,167,44,80,47,38,13,3,0,0,0,47,667,62,70,303,557,860,334,771,440,513,161,67,36,14,13,497,4708,3,0,3,5,7,6,7,8,13,7,0,0,0,0,167,239,86,117,479,893,1647,567,1681,1200,1662,793,311,286,111,37,1295,11164,426,213,1065,1186,2053,5735,4904,5319,10020,8368,6411,5803,5155,1797,7455,65900,16,9,0,3,21,11,41,57,404,759,1211,842,842,453,87,4751,5,5,7,0,28,34,91,116,375,139,106,67,29,40,23,1064,4,4,0,0,22,9,49,83
107,3,0,0,0,0,7,4,18,39,22,18,8,0,0,1699,1808,116,59,145,111,186,605,906,1514,5082,5534,4840,3993,4233,1580,4481,33373,10,9,9,21,92,32,282,417,831,603,253,249,109,20,382,3327,7,39,57,153,524,149,533,385,468,161,57,44,19,3,269,2874,7,3,11,17,41,13,34,48,71,28,14,7,8,0,69,356,14,21,86,128,179,44,69,34,34,13,0,0,0,0,64,695,88,85,323,581,877,461,842,547,688,249,112,49,31,10,598,5538,0,0,4,5,4,6,12,0,10,3,0,3,0,0,177,221,124,154,496,909,1722,706,1778,1435,2096,1064,442,345,161,30,1551,13019,576,294,1204,1268,2236,6816,5298,5937,10770,9336,7783,5869,5989,2157,8285,73801,8,5,0,0,10,3,21,26,312,653,1122,954,1044,551,75,4788,0,4,13,0,19,25,78,103,315,153,128,55,42,41,13,985,0,3,0,0,4,12,25,75
108,0,0,0,3,3,8,12,8,21,13,3,3,3,0,1231,1309,75,40,131,103,174,737,1048,1576,4217,2882,1940,1154,1004,298,2822,18187,3,9,16,20,98,46,291,260,502,249,63,74,11,0,233,1877,3,35,62,146,498,165,521,288,266,75,9,20,3,3,244,2333,0,4,8,17,32,12,32,27,41,15,0,4,0,0,47,247,4,20,71,143,187,45,64,47,25,3,0,8,0,0,61,679,51,57,267,524,923,445,832,458,437,101,42,16,5,3,527,4685,6,0,3,9,3,3,15,4,9,0,0,0,0,0,131,177,71,125,427,853,1752,715,1743,1083,1267,440,119,124,21,10,1248,9999,419,213,1242,1284,2324,7970,6328,6574,9528,5488,3395,1933,1700,566,6374,55332,14,11,8,3,25,10,63,64,445,595,641,405,353,225,60,2910,4,12,10,3,33,33,142,172,473,174,99,49,35,34,23,1299,4,6,3,3,18,19,75,106
109,3,0,0,0,0,3,4,4,15,8,0,0,3,0,730,767,56,22,82,61,82,275,472,759,2302,2004,1538,887,798,284,1789,11412,6,13,16,5,42,15,157,160,297,163,62,45,18,0,140,1135,0,17,26,88,246,63,218,132,125,35,13,12,4,0,98,1075,0,3,3,5,26,3,17,13,24,3,8,0,0,0,28,135,6,5,31,53,81,10,17,13,9,3,0,0,0,0,19,251,35,30,113,235,334,113,252,156,194,41,23,11,3,0,174,1728,3,0,3,3,3,0,5,4,3,0,0,0,0,0,91,111,51,68,197,389,729,206,667,475,654,249,104,70,24,3,547,4432,303,103,577,597,992,2828,2424,2819,5105,3745,2677,1414,1263,478,3593,28919,22,10,0,0,17,16,39,41,348,438,607,362,302,156,55,2402,3,3,5,3,18,19,43,63,193,84,54,32,22,18,7,573,4,4,3,3,11,10,44,77
110,0,0,0,5,0,3,4,9,20,7,4,3,3,0,1212,1278,96,49,152,107,140,605,823,1336,3805,2944,2150,1301,1189,438,3030,18145,7,10,19,25,86,44,285,269,475,231,85,75,26,3,226,1872,3,16,42,112,324,105,350,204,230,59,21,8,0,0,137,1619,0,4,8,18,41,15,33,15,27,15,3,3,0,0,39,219,14,15,71,107,142,31,61,15,19,5,0,0,0,0,46,540,41,62,281,408,696,262,558,319,379,98,35,23,5,6,396,3575,0,0,10,6,6,3,10,7,6,3,0,0,0,0,155,198,72,104,437,684,1289,458,1294,832,1143,402,144,112,37,9,1002,8021,442,195,1078,1000,1690,4810,4009,4548,8100,5362,3797,2092,2001,739,5939,45795,39,14,6,4,43,20,93,118,612,738,929,548,510,307,118,4090,6,4,4,0,37,30,110,111,284,137,70,32,31,19,27,900,12,7,16,0,28,20,62,150
