SA4_CODE_2016,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_CF_T,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_CF_T,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_CF_T,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_CF_T,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_CF_T,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_CF_T,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_CF_T,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_CF_T,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_CF_T,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_CF_T,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_CF_T,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_CF_T,C16_950over_CF_NC,C16_950ov_CF_Cu15DS_,C16_950ov_CF_CU15_NDS,C16_950ov_CF_NCU15_DS,C16_950ov_CF_NDCO,C16_950ov_CF_T,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_CF_T,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_CF_Tot
101,9,0,0,43,130,13,70,5,12,229,330,21,169,19,40,574,310,26,213,9,25,579,602,48,492,38,55,1235,844,102,869,58,119,2003,731,133,883,73,98,1920,172,50,221,30,31,512,61,23,104,15,19,222,17,13,44,5,4,94,8,0,14,0,3,27,4,3,5,0,0,13,14,3,15,0,0,28,141,10,91,5,26,278,3741,471,3460,304,471,8438
102,0,0,0,19,92,0,18,3,9,129,292,13,38,13,24,382,170,9,73,7,22,285,383,27,161,20,47,635,1190,83,792,83,180,2339,2058,257,2197,201,391,5102,740,255,1150,161,179,2484,197,73,320,76,70,740,65,31,101,20,24,248,19,8,40,15,7,90,13,3,23,0,5,48,10,6,24,5,3,51,114,21,100,15,30,271,5545,802,5138,632,1021,13137
103,19,3,3,62,166,12,86,9,20,289,415,32,269,22,46,780,317,32,249,15,46,666,588,65,539,37,72,1306,730,77,895,54,101,1857,474,134,778,57,80,1531,53,35,113,19,9,228,7,8,21,0,4,37,4,0,5,0,0,9,0,0,6,0,0,10,0,0,0,0,0,0,7,0,3,0,0,16,112,20,95,13,17,259,3252,466,3430,252,436,7835
104,0,0,3,12,55,3,30,4,6,95,181,14,50,10,13,268,142,9,65,5,17,242,353,27,231,18,45,668,629,71,568,59,88,1411,593,147,762,77,111,1693,156,54,272,24,39,545,35,4,53,7,6,111,7,0,11,3,0,22,0,0,3,0,0,3,0,0,0,0,0,0,4,0,6,0,0,16,69,14,45,4,12,149,2352,363,2200,217,359,5490
105,55,0,11,134,173,25,129,10,18,355,351,17,287,22,43,719,218,26,198,11,35,489,320,29,281,18,33,673,312,50,342,32,30,764,148,35,253,20,25,488,26,11,43,3,8,90,5,0,3,0,0,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,14,84,20,77,6,9,205,2075,259,1961,149,243,4682
106,3,0,4,42,115,3,42,7,13,180,334,22,122,15,46,540,304,24,149,13,31,529,705,81,689,44,113,1626,1310,138,1288,99,182,3012,1112,312,1837,173,238,3672,206,78,357,41,47,720,48,30,69,12,17,168,14,3,14,7,8,45,3,0,6,0,0,13,5,0,0,0,0,7,12,7,6,0,4,24,136,10,81,11,22,262,4567,738,4859,446,740,11346
107,3,4,0,37,128,0,47,6,8,193,515,13,116,24,34,703,216,19,107,7,29,381,420,28,183,23,57,722,993,70,662,58,150,1931,1537,221,1536,163,273,3725,728,153,992,129,145,2144,266,78,404,62,54,860,74,34,137,14,14,274,26,10,32,10,8,82,13,9,21,3,4,49,12,3,14,0,3,33,111,18,75,10,19,240,5239,676,4452,533,835,11736
108,8,0,3,29,143,4,44,3,14,206,345,23,101,15,32,517,285,15,116,5,40,460,521,43,343,34,74,1017,893,102,831,69,150,2051,768,150,983,120,116,2141,210,88,280,40,42,662,42,24,64,10,12,153,11,4,10,0,0,32,6,0,0,0,0,8,3,0,3,0,0,6,4,0,8,0,0,17,122,14,61,5,16,214,3606,490,2983,322,530,7932
109,19,3,0,50,150,7,95,14,10,274,367,19,237,17,21,669,262,20,173,12,15,483,380,38,339,17,27,809,394,63,396,27,37,915,154,50,261,32,25,516,29,3,44,4,3,82,3,3,5,0,0,8,0,0,3,0,3,11,3,0,0,0,0,6,0,0,0,0,0,0,6,0,9,0,0,14,62,5,50,9,10,140,2085,240,1842,149,170,4486
110,19,3,4,66,226,28,150,9,30,437,439,39,228,27,57,781,376,43,268,21,25,727,525,48,493,37,83,1186,729,85,828,46,78,1771,419,100,678,42,58,1304,65,24,150,21,17,271,13,4,25,0,0,47,3,0,0,0,0,4,0,0,3,0,0,8,3,0,0,0,0,0,10,0,8,0,3,20,154,20,121,24,24,334,3493,479,3406,280,443,8097
111,7,0,3,45,159,3,29,3,13,215,466,19,94,14,43,632,268,19,106,9,30,429,469,31,236,17,61,814,1509,112,1025,85,182,2914,2449,249,1997,201,281,5170,839,191,965,130,148,2273,223,62,251,51,37,629,75,27,75,12,5,192,27,13,37,7,9,94,5,4,11,0,0,29,22,0,13,4,3,49,139,17,70,7,28,261,6865,757,5019,567,855,14068
112,6,0,0,24,117,10,39,4,14,178,255,17,88,6,31,396,209,18,105,14,21,372,459,31,289,32,38,844,895,99,731,69,107,1905,1076,164,1236,123,157,2760,471,139,693,95,78,1470,196,41,284,38,30,597,71,16,134,17,12,237,21,13,53,9,0,93,18,5,19,4,3,45,21,6,25,4,4,51,98,11,81,7,13,216,4130,601,3925,430,539,9631
113,19,3,3,62,174,12,92,8,17,310,458,30,358,38,59,942,301,34,236,17,27,617,541,64,610,22,42,1284,638,101,733,43,66,1577,281,88,403,38,41,851,42,16,83,13,3,154,4,6,11,0,0,24,0,0,4,0,3,9,0,0,4,0,0,3,0,0,0,0,0,3,7,0,4,0,0,12,118,10,95,9,6,237,2877,396,2939,217,298,6726
114,3,0,0,24,52,0,15,0,4,74,151,6,72,12,13,259,150,12,95,3,14,272,361,27,261,13,40,701,603,67,603,49,97,1423,556,108,700,52,83,1502,146,41,220,29,47,485,70,20,78,17,15,192,26,3,34,4,4,77,17,0,9,3,3,37,3,0,4,0,0,9,14,6,16,4,0,36,67,12,53,3,16,146,2366,307,2259,210,351,5495
