SA4_CODE_2016,C16_OTT_DS_FUA,C16_OTT_DS_OD,C16_OTT_DS_NS_,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_FUA,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS_,C16_TT_NS_T,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_FUA,C16_Tot_DS_OD,C16_Tot_DS_NS_,C16_T_T
101,74,43,40,884,5438,780,1100,495,261,8084,73106,7840,6177,1839,992,89951
102,304,8,18,1783,5585,1547,1152,460,164,8903,98876,15980,10101,1623,613,127190
103,41,20,31,583,6354,613,519,341,225,8053,71373,4819,2911,1259,917,81279
104,48,39,13,530,3135,531,538,528,107,4839,43932,5054,4305,2730,607,56621
105,123,49,22,582,3919,214,367,527,108,5134,39835,1614,2347,1731,483,46016
106,30,14,71,913,5753,1040,390,454,258,7885,85329,9581,2852,1457,898,100123
107,291,17,70,998,3961,1070,1781,413,205,7433,78989,14033,15448,1396,709,110576
108,215,44,17,1134,4978,820,929,601,142,7471,70197,8585,7331,3116,754,89980
109,22,27,11,510,3418,523,367,241,51,4602,40289,4428,1835,1061,295,47908
110,26,28,20,657,5715,507,529,565,95,7412,63198,4004,3020,1713,659,72583
111,191,8,11,1286,4606,1139,1147,305,94,7294,110211,17142,11351,1175,467,140341
112,111,58,61,1106,6024,1395,1158,1310,170,10055,72335,14005,8167,4938,944,100397
113,55,13,5,554,4259,245,622,259,41,5425,52059,2123,4332,844,349,59715
114,32,19,21,685,3621,441,203,315,67,4644,52377,3980,1431,1453,445,59683
115,422,4,5,1213,2410,345,278,97,81,3218,60337,7417,3647,391,322,72117
116,44,5,3,584,5182,1074,648,154,75,7129,82475,17256,5900,555,365,106553
117,566,6,10,838,991,2580,12216,891,360,17046,13946,28669,94716,1880,987,140208
118,479,4,22,763,1267,1515,8130,138,115,11167,23057,19857,63780,1089,488,108261
119,450,16,9,1215,5958,1960,5688,213,165,13986,101437,28308,62180,1281,744,193945
120,310,6,10,604,1807,1406,5252,214,249,8934,36526,21723,51664,1296,803,112013
121,817,3,13,1238,2603,789,5549,81,85,9101,73621,12598,67560,352,455,154586
122,669,15,8,1431,2261,711,2713,261,77,6018,52279,8371,30628,716,400,92390
123,151,3,61,907,3775,1187,326,82,42,5416,71947,11111,2748,351,300,86467
124,59,3,3,696,4988,1196,809,170,72,7229,91269,11788,5486,483,444,109467
125,664,0,9,1275,4380,1664,4985,163,189,11379,75461,23079,48781,781,706,148804
126,244,3,19,618,1355,550,1324,23,66,3321,34999,9544,20199,202,287,65229
127,108,8,0,809,5930,1242,2349,137,194,9856,91720,14034,16452,661,604,123470
128,334,0,3,593,1654,697,1586,79,51,4070,49528,10843,17947,442,209,78968
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
