SA4_CODE_2016,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_CF_T,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_CF_T,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_CF_T,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_CF_T,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_CF_T,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_CF_T,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_CF_T,C16_4000m_CF_1C,C16_4000m_CF_2C,C16_4000m_CF_3C,C16_4000m_Cou_fa_4mo_ch,C16_4000m_CF_T,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_CF_T,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_CF_T,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_CF_T
101,212,134,53,38,424,336,277,109,69,783,1268,1083,480,227,3054,1154,1251,537,222,3165,1147,1248,580,160,3134,921,1032,364,100,2418,1003,1315,500,135,2951,815,1184,495,138,2633,1066,1154,580,243,3044,81,71,46,11,209,8237,8954,3837,1388,22418
102,265,205,68,32,576,532,392,145,63,1142,1975,1882,753,286,4897,2176,2375,1002,337,5895,2092,2593,1001,289,5978,1420,2059,729,229,4430,1517,2134,771,221,4644,897,1475,652,205,3229,1473,1772,885,315,4450,140,122,63,11,342,12828,15257,6171,2049,36311
103,241,151,62,38,487,321,250,138,86,798,1232,1093,567,252,3141,1123,1214,592,254,3183,1092,1267,599,237,3186,753,1017,436,141,2346,791,1070,482,134,2470,481,739,392,98,1713,880,1044,595,267,2787,95,74,36,17,223,7286,8101,4006,1586,20978
104,190,136,54,24,410,266,236,103,46,651,964,893,410,163,2432,792,874,405,149,2221,694,746,298,76,1820,416,483,205,49,1157,369,483,197,57,1108,221,243,103,26,585,610,664,268,153,1689,57,37,17,8,119,4772,4945,2144,792,12652
105,127,85,45,27,286,178,153,76,52,459,636,533,286,138,1592,558,619,276,139,1585,532,528,264,94,1417,402,441,209,59,1116,385,445,197,63,1092,226,251,138,37,657,541,624,360,208,1736,65,50,27,10,149,3823,3848,1931,864,10463
106,280,174,78,35,569,406,317,168,71,973,1631,1473,656,279,4031,1638,1895,792,289,4624,1617,2027,801,294,4735,1180,1617,615,187,3599,1157,1596,615,172,3532,832,1218,532,138,2725,1241,1484,725,308,3754,105,104,35,19,263,10410,12117,5108,1837,29469
107,300,224,68,51,643,468,338,146,71,1031,1776,1515,589,227,4113,1817,2133,806,298,5058,1922,2436,861,248,5463,1428,2046,743,190,4415,1546,2375,798,206,4921,1032,1911,808,212,3962,1326,1718,736,247,4027,81,99,49,21,250,12085,15098,5722,1841,34748
108,286,194,75,54,606,421,338,186,87,1041,1543,1294,573,239,3650,1147,1242,516,217,3125,935,1058,438,155,2592,600,700,306,72,1671,464,588,272,56,1376,260,390,137,40,819,825,901,449,189,2368,88,76,32,21,217,6864,6977,3074,1173,18091
109,122,76,43,25,265,209,164,79,41,488,722,727,341,133,1924,659,716,352,144,1868,584,760,337,116,1794,421,484,213,68,1189,343,501,223,77,1139,215,278,156,35,674,494,557,335,131,1515,58,53,22,6,141,3963,4446,2161,787,11353
110,191,162,67,37,453,333,258,126,71,796,1173,1053,535,228,2981,1001,1078,542,226,2852,891,1062,460,138,2552,586,724,286,67,1666,528,694,326,96,1647,331,434,217,68,1048,834,924,530,216,2505,91,67,37,19,214,6229,6657,3236,1243,17361
