SA4_CODE_2016,Managers_C06_M,Managers_C06_F,Managers_C06_P,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Professionals_C06_M,Professionals_C06_F,Professionals_C06_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Tech_trad_wkrs_C06_M,Tech_trad_wkrs_C06_F,Tech_trad_wkrs_C06_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Com_pers_S_work_C06_Cens_M,Com_pers_S_work_C06_Cens_F,Com_pers_S_work_C06_Cens_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Cler_admin_work_C06_M,Cler_admin_work_C06_F,Cler_admin_work_C06_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Sales_workers_C06_M,Sales_workers_C06_F,Sales_workers_C06_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Mach_oper_driv_C06_M,Mach_oper_driv_C06_F,Mach_oper_driv_C06_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Labourers_C06_M,Labourers_C06_F,Labourers_C06_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Inadeq_descr_Ns_C06_M,Inadeq_descr_Ns_C06_F,Inadeq_descr_Ns_C06_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
101,9606,5502,15110,9531,5663,15195,9597,5957,15560,5999,7913,13913,6586,9251,15837,6316,9983,16298,10774,1974,12751,11632,2203,13833,11632,2234,13869,2798,5760,8553,3363,6902,10271,3598,7857,11455,2463,9678,12141,2912,10780,13691,2851,10663,13513,2854,5134,7992,3050,5411,8462,3365,5494,8856,5016,429,5445,5274,422,5696,5177,444,5624,6645,3670,10314,6521,3329,9853,6859,3458,10321,851,553,1403,1057,769,1831,1049,794,1839,47006,40613,87626,49930,44731,94663,50446,46886,97339
102,8820,4617,13445,9238,5069,14310,9820,5820,15643,9138,11115,20248,10151,13317,23465,10636,15273,25902,16720,2648,19371,17684,2927,20609,18373,3230,21602,4008,8547,12550,4696,10379,15075,5104,12210,17315,3907,14319,18227,4083,15060,19138,4045,15041,19083,5178,8980,14164,5218,9517,14737,5355,9493,14852,6670,868,7540,7211,824,8038,7482,873,8354,8609,4661,13267,9086,4342,13434,9851,4609,14463,1098,807,1905,1331,868,2195,1417,963,2383,64163,56553,120714,68699,62312,131011,72088,67514,139593
103,9770,4779,14553,9173,4568,13742,8541,4529,13073,4520,7161,11685,4955,8342,13300,4808,9200,14014,10049,1869,11918,10851,1995,12847,10778,2026,12803,1919,5365,7288,2194,6223,8414,2515,7094,9609,1644,7998,9638,1774,8556,10331,1675,8327,10006,2600,4808,7412,2534,4889,7426,2699,4985,7681,6263,431,6700,7615,552,8165,6965,539,7499,6783,3821,10602,6293,3727,10023,6450,3680,10131,756,522,1275,863,544,1407,864,600,1468,44292,36767,81060,46262,39399,85662,45297,40989,86287
104,4052,2218,6269,3966,2366,6328,3877,2396,6279,3226,4343,7566,3503,5043,8539,3523,5779,9300,5764,1029,6792,6022,1113,7132,6012,1172,7189,1565,3618,5180,1795,4442,6237,1907,4769,6679,1070,5043,6115,1183,5431,6610,1248,5262,6504,1959,3473,5427,1995,3673,5666,1941,3533,5475,2629,172,2800,2861,193,3051,3002,196,3200,4041,2121,6157,4177,2005,6182,4358,2216,6575,455,319,776,470,319,789,520,368,880,24758,22342,47099,25965,24570,50539,26388,25696,52076
105,6180,3078,9260,5839,2888,8721,5209,2759,7964,2349,4261,6603,2404,4836,7239,2297,4970,7271,5334,970,6307,5378,961,6340,5278,956,6232,1265,3317,4577,1501,4046,5542,1568,4356,5931,938,4428,5369,1035,4560,5596,941,4268,5210,1487,2650,4144,1427,2646,4076,1536,2548,4091,3555,257,3811,3692,273,3970,3369,272,3641,4023,2237,6258,3752,2031,5777,3554,1970,5519,501,351,850,475,345,822,519,344,860,25633,21544,47183,25498,22593,48088,24273,22440,46707
106,7098,3757,10855,7380,4186,11566,7332,4381,11715,5305,7031,12342,6075,8589,14666,5804,9714,15517,15460,2378,17838,17258,2689,19946,16839,2852,19692,2415,6364,8776,2647,7721,10371,3264,9241,12507,2108,9893,12003,2322,11232,13552,2156,11271,13430,2818,6669,9489,2870,7192,10062,3221,7430,10649,9630,678,10309,11987,1063,13056,11307,1329,12637,7413,4619,12027,7390,4900,12290,7973,5077,13055,926,620,1551,1172,609,1783,1133,635,1771,53174,42013,95188,59102,48181,107286,59029,51933,110966
107,7318,3822,11143,7672,4254,11923,8279,4991,13274,9951,11717,21666,11002,13683,24682,11430,15703,27129,15833,2402,18241,16316,2560,18873,16911,2753,19665,3726,7456,11179,4394,9324,13722,4890,11066,15952,3377,12520,15897,3465,13434,16895,3534,13588,17128,3650,7357,11008,3798,7471,11269,4119,7869,11985,8365,724,9086,8700,450,9147,8131,488,8621,7186,3588,10780,7379,3601,10979,7861,3724,11586,1185,687,1873,1188,737,1928,1178,802,1987,60591,50275,110873,63918,55504,119425,66333,60992,127331
108,5968,3253,9222,5699,3170,8870,5428,3332,8759,4199,5922,10120,4655,7107,11761,4793,8045,12837,8819,1577,10397,8904,1625,10532,8968,1825,10790,1934,5137,7076,2310,6380,8689,2620,7129,9745,1435,7068,8504,1606,7484,9089,1532,7261,8787,2693,4853,7542,2809,5229,8039,2911,5214,8128,3908,266,4176,4220,277,4496,4318,288,4608,5837,3188,9028,5794,2955,8753,6099,3125,9221,634,427,1063,615,456,1075,773,512,1279,35424,31695,67119,36615,34688,71304,37433,36723,74160
109,6433,3045,9479,6008,2735,8746,5574,2725,8295,2714,4187,6901,2862,4651,7512,2876,5065,7941,6031,1161,7194,5996,1155,7150,5852,1148,6996,999,3197,4197,1167,3767,4939,1303,4228,5535,1057,4770,5830,1031,4973,6005,1003,4881,5890,1637,2976,4613,1596,2975,4565,1690,3013,4703,3554,378,3933,3590,336,3929,3401,262,3666,4347,2520,6868,3941,2266,6209,3919,2349,6272,512,336,854,487,348,837,502,309,812,27278,22583,49862,26679,23206,49891,26119,23980,50100
110,9875,4865,14739,9175,4505,13681,8526,4354,12886,4303,6584,10895,4379,7432,11807,4434,7980,12417,7860,1603,9459,8292,1640,9932,8187,1660,9848,1611,4677,6282,1808,5429,7238,1905,6031,7934,1360,7069,8431,1469,7480,8947,1380,7177,8550,2531,4040,6574,2516,4436,6954,2492,4313,6801,4620,342,4965,5301,417,5717,5342,446,5784,6743,3393,10140,6596,3443,10044,6804,3635,10442,706,493,1195,783,487,1271,783,544,1331,39609,33064,72666,40316,35271,75583,39847,36134,75985
