SA4_CODE_2016,C11_CFNC_BA_1000_1499,C11_CFNC_BA_1500_1999,C11_CFNC_BA_2000_2499,C11_CFNC_BA_2500_2999,C11_CFNC_BA_3000_3999,C11_CFNC_BA_4000_mr,C11_CFNC_BA_Ns,C11_CFNC_BA_Tot,C11_CFNC_BNW_Ne_Nil,C11_CFNC_BNW_1_149,C11_CFNC_BNW_150_299,C11_CFNC_BNW_300_399,C11_CFNC_BNW_400_499,C11_CFNC_BNW_500_649,C11_CFNC_BNW_650_799,C11_CFNC_BNW_800_999,C11_CFNC_BNW_1000_1499,C11_CFNC_BNW_1500_1999,C11_CFNC_BNW_2000_2499,C11_CFNC_BNW_2500_2999,C11_CFNC_BNW_3000_3999,C11_CFNC_BNW_4000mr,C11_CFNC_BNW_Ns,C11_CFNC_BNW_T,C11_CFNC_LFns_N,C11_CFNC_LFns_1_149,C11_CFNC_LFns_150_299,C11_CFNC_LFns_300_399,C11_CFNC_LFns_400_499,C11_CFNC_LFns_500_649,C11_CFNC_LFns_650_799,C11_CFNC_LFns_800_999,C11_CFNC_LFns_1000_1499,C11_CFNC_LFns_1500_1999,C11_CFNC_LFns_2000_2499,C11_CFNC_LFns_2500_2999,C11_CFNC_LFns_3000_3999,C11_CFNC_LFns_4000m,C11_CFNC_LFns_Ns,C11_CFNC_LFns_T,C11_CFNC_T_N,C11_CFNC_T_1_149,C11_CFNC_T_150_299,C11_CFNC_T_300_399,C11_CFNC_T_400_499,C11_CFNC_T_500_649,C11_CFNC_T_650_799,C11_CFNC_T_800_999,C11_CFNC_T_1000_1499,C11_CFNC_T_1500_1999,C11_CFNC_T_2000_2499,C11_CFNC_T_2500_2999,C11_CFNC_T_3000_3999,C11_CFNC_T_4000m,C11_CFNC_T_Ns,C11_CFNC_T_T,C11_CFC_BFT_N,C11_CFC_BFT_1_149,C11_CFC_BFT_150_299,C11_CFC_BFT_300_399,C11_CFC_BFT_400_499,C11_CFC_BFT_500_649,C11_CFC_BFT_650_799,C11_CFC_BFT_800_999,C11_CFC_BFT_1000_1499,C11_CFC_BFT_1500_1999,C11_CFC_BFT_2000_2499,C11_CFC_BFT_2500_2999,C11_CFC_BFT_3000_3999,C11_CFC_BFT_4000_mr,C11_CFC_BFT_Ns,C11_CFC_BFT_Tot,C11_CFC_BPT_N,C11_CFC_BPT_1_149,C11_CFC_BPT_150_299,C11_CFC_BPT_300_399,C11_CFC_BPT_400_499,C11_CFC_BPT_500_649,C11_CFC_BPT_650_799,C11_CFC_BPT_800_999,C11_CFC_BPT_1000_1499,C11_CFC_BPT_1500_1999,C11_CFC_BPT_2000_2499,C11_CFC_BPT_2500_2999,C11_CFC_BPT_3000_3999,C11_CFC_BPT_4000m,C11_CFC_BPT_Ns,C11_CFC_BPT_T,C11_CFC_1F1P_N,C11_CFC_1F1P_1_149,C11_CFC_1F1P_150_299,C11_CFC_1F1P_300_399,C11_CFC_1F1P_400_499,C11_CFC_1F1P_500_649,C11_CFC_1F1P_650_799,C11_CFC_1F1P_800_999,C11_CFC_1F1P_1000_1499,C11_CFC_1F1P_1500_1999,C11_CFC_1F1P_2000_2499,C11_CFC_1F1P_2500_2999,C11_CFC_1F1P_3000_3999,C11_CFC_1F1P_4000m,C11_CFC_1F1P_Ns,C11_CFC_1F1P_Tot,C11_CF_1E1A_N,C11_CF_1E1A_1_149,C11_CF_1E1A_150_299,C11_CF_1E1A_300_399,C11_CF_1E1A_400_499,C11_CF_1E1A_500_649,C11_CF_1E1A_650_799,C11_CF_1E1A_800_999,C11_CF_1E1A_1000_1499,C11_CF_1E1A_1500_1999,C11_CF_1E1A_2000_2499,C11_CF_1E1A_2500_2999,C11_CF_1E1A_3000_3999,C11_CF_1E1A_4000m,C11_CF_1E1A_Ns,C11_CF_1E1A_T,C11_CF_1F1NW_N,C11_CF_1F1NW_1_149,C11_CF_1F1NW_150_299,C11_CF_1F1NW_300_399,C11_CF_1F1NW_400_499,C11_CF_1F1NW_500_649,C11_CF_1F1NW_650_799,C11_CF_1F1NW_800_999,C11_CF_1F1NW_1000_1499,C11_CF_1F1NW_1500_1999,C11_CF_1F1NW_2000_2499,C11_CF_1F1NW_2500_2999,C11_CF_1F1NW_3000_3999,C11_CF_1F1NW_4000mo,C11_CF_1F1NW_Ns,C11_CF_1F1NW_T,C11_CF_1P1NW_N,C11_CF_1P1NW_1_149,C11_CF_1P1NW_150_299,C11_CF_1P1NW_300_399,C11_CF_1P1NW_400_499,C11_CF_1P1NW_500_649,C11_CF_1P1NW_650_799,C11_CF_1P1NW_800_999,C11_CF_1P1NW_1000_1499,C11_CF_1P1NW_1500_1999,C11_CF_1P1NW_2000_2499,C11_CF_1P1NW_2500_2999,C11_CF_1P1NW_3000_3999,C11_CF_1P1NW_4000_mr,C11_CF_1P1NW_Ns,C11_CF_1P1NW_Tot,C11_CF_1A1NW_N,C11_CF_1A1NW_1_149,C11_CF_1A1NW_150_299,C11_CF_1A1NW_300_399,C11_CF_1A1NW_400_499,C11_CF_1A1NW_500_649,C11_CF_1A1NW_650_799,C11_CF_1A1NW_800_999,C11_CF_1A1NW_1000_1499,C11_CF_1A1NW_1500_1999,C11_CF_1A1NW_2000_2499,C11_CF_1A1NW_2500_2999,C11_CF_1A1NW_3000_3999,C11_CF_1A1NW_4000m,C11_CF_1A1NW_Ns,C11_CF_1A1NW_Tot,C11_CF_BA_N,C11_CF_BA_1_149,C11_CF_BA_150_299,C11_CF_BA_300_399,C11_CF_BA_400_499,C11_CF_BA_500_649,C11_CF_BA_650_799,C11_CF_BA_800_999,C11_CF_BA_1000_1499,C11_CF_BA_1500_1999,C11_CF_BA_2000_2499,C11_CF_BA_2500_2999,C11_CF_BA_3000_3999,C11_CF_BA_4000_more,C11_CF_BA_Ns,C11_CF_BA_Tot,C11_CF_BNW_N,C11_CF_BNW_1_149,C11_CF_BNW_150_299,C11_CF_BNW_300_399,C11_CF_BNW_400_499,C11_CF_BNW_500_649,C11_CF_BNW_650_799,C11_CF_BNW_800_999,C11_CF_BNW_1000_1499,C11_CF_BNW_1500_1999,C11_CF_BNW_2000_2499,C11_CF_BNW_2500_2999,C11_CF_BNW_3000_3999,C11_CF_BNW_4000_more,C11_CF_BNW_Ns,C11_CF_BNW_Tot
101,35,19,32,13,23,10,13,202,149,40,345,133,131,3231,1371,1507,1052,341,168,85,60,43,304,8951,9,0,11,3,4,79,22,14,15,7,4,5,4,0,1587,1766,247,58,483,261,333,3970,2337,2957,3880,2707,2095,1206,1429,660,2243,24872,16,3,20,6,5,34,47,112,457,689,991,650,1042,762,598,5434,0,0,5,5,8,34,49,93,227,142,118,56,66,29,91,919,14,5,16,13,12,57,99,274,1274,1315,1227,650,864,289,516,6633,3,0,4,0,3,23,24,45,167,191,219,114,231,89,104,1219,7,9,12,13,29,64,195,365,983,682,202,457,147,70,265,3473,3,4,14,17,44,83,125,154,214,113,52,39,16,15,99,1009,5,0,0,7,7,14,16,29,73,53,18,26,4,4,56,313,3,0,0,0,0,6,6,11,34,34,38,30,32,31,52,285,25,10,46,34,43,197,212,187,345,126,58,28,22,11,197,1547
102,48,48,38,20,40,5,24,266,232,33,558,174,132,5285,2421,2469,1341,434,192,94,85,58,505,14006,7,0,13,0,5,126,45,46,23,8,4,3,4,3,1736,2034,296,55,668,284,339,6031,3370,3956,4807,3364,2768,1415,1461,508,2646,31962,17,3,5,4,5,12,26,76,540,867,1403,906,1276,572,715,6443,0,0,11,10,9,32,54,133,344,252,172,75,73,37,139,1353,12,12,21,8,10,35,97,295,2016,2425,2146,1226,1432,326,865,10930,8,0,5,0,3,9,25,69,290,349,378,190,222,74,171,1797,14,16,14,10,37,61,302,558,1994,1556,444,1104,292,89,532,7017,6,8,17,25,47,128,173,227,398,206,97,66,57,15,172,1635,3,4,3,0,4,16,37,57,138,91,42,59,29,5,93,582,0,0,3,0,0,7,3,22,54,50,73,41,49,24,64,392,38,9,71,60,67,327,382,284,634,321,141,54,56,18,365,2814
103,26,30,24,12,18,7,25,205,137,17,305,98,73,3166,1010,1077,513,128,86,34,43,29,313,7030,3,0,16,5,0,66,26,39,9,3,0,0,0,0,1320,1490,270,43,450,232,276,3919,1932,2501,3130,2166,1834,1011,1135,387,2046,21333,29,10,17,8,6,43,56,112,471,697,889,562,857,376,554,4693,0,3,3,8,8,19,37,64,141,114,54,33,36,17,56,597,18,4,6,19,12,51,108,282,1287,1381,1135,694,799,182,545,6523,4,0,0,0,3,5,17,33,183,187,210,110,158,38,82,1036,16,11,19,11,35,75,233,378,1047,817,224,575,152,55,280,3924,0,3,6,16,14,72,78,127,208,83,43,31,13,3,87,780,4,0,3,0,12,17,20,41,79,49,13,31,10,4,41,326,0,0,3,0,0,7,3,16,37,45,32,28,36,8,43,249,17,5,62,33,37,272,197,179,353,113,36,27,14,13,208,1566
104,23,23,14,10,12,0,12,134,81,20,301,101,98,2926,1169,1193,700,190,75,36,28,19,234,7160,7,0,10,0,4,65,22,25,3,7,0,0,0,0,973,1117,127,32,391,178,238,3481,1860,2149,2603,1421,988,439,470,148,1388,15912,15,3,3,4,3,19,27,76,297,455,473,242,295,94,240,2244,0,0,4,7,13,37,55,119,219,128,71,24,25,9,64,775,11,7,9,4,7,39,84,213,889,843,597,246,240,67,286,3535,0,0,0,3,0,7,12,29,107,125,90,53,36,10,49,538,7,4,10,8,21,52,169,260,726,396,122,179,42,15,135,2157,4,0,19,17,21,111,136,184,232,75,24,23,6,3,87,942,0,0,0,3,3,7,14,31,52,36,10,12,0,5,36,214,0,0,0,0,3,5,3,3,19,33,17,11,11,4,20,143,22,4,34,29,45,238,224,177,296,103,43,22,14,9,176,1430
105,24,28,12,6,12,3,23,146,67,5,172,64,36,1716,559,556,221,55,36,8,15,8,189,3712,8,3,10,3,0,41,15,18,8,3,0,0,0,0,868,966,187,23,263,138,142,2165,1093,1378,1748,1214,979,429,506,182,1364,11808,28,3,16,4,7,13,43,88,314,376,483,358,413,186,443,2775,0,0,3,0,0,10,26,41,72,46,35,19,17,3,38,301,11,3,6,11,5,34,67,143,660,661,563,267,285,47,305,3069,0,4,0,4,4,7,11,23,88,92,97,48,65,12,59,518,7,3,9,17,12,52,120,223,546,345,100,182,52,17,165,1854,0,4,11,8,26,42,64,78,123,41,15,10,5,0,54,488,3,0,3,3,3,13,13,16,35,28,7,3,5,0,32,173,0,3,0,0,0,5,3,3,24,13,19,8,10,6,31,127,10,3,37,33,33,191,153,122,191,70,21,6,3,4,154,1043
106,36,28,28,31,29,7,25,223,165,28,362,121,125,4013,1594,1673,931,267,115,80,43,52,377,9947,10,0,11,3,3,81,30,31,18,7,4,3,0,0,1422,1624,258,46,477,222,282,4664,2455,2822,3727,2878,2334,1619,1611,504,2191,26096,22,9,8,0,4,18,19,63,388,651,1079,717,1191,654,544,5374,0,0,3,3,0,21,32,66,181,143,107,75,78,21,90,816,11,17,4,7,3,23,77,219,1279,1832,1655,1247,1488,337,651,8857,3,0,0,0,4,13,21,37,205,262,266,208,208,76,118,1426,11,16,8,9,25,60,186,415,1581,1311,401,1387,300,101,451,6271,3,0,12,10,24,92,136,191,303,151,62,72,29,10,113,1212,0,3,0,6,10,12,26,27,141,71,31,85,35,9,87,542,3,0,0,0,0,4,3,8,41,51,45,46,55,19,58,323,24,8,61,30,49,266,270,268,497,202,115,38,32,18,267,2154
107,35,31,34,16,26,11,19,203,277,53,480,152,145,4928,1872,1921,957,297,130,74,54,42,432,11814,8,3,16,5,4,107,28,27,19,8,8,4,3,3,1489,1738,339,82,567,249,332,5503,2617,2994,3585,2738,2501,1535,1590,539,2247,27410,20,7,12,0,4,8,23,72,333,661,1114,842,1377,810,581,5876,0,0,8,3,5,35,33,104,255,226,176,88,111,35,107,1177,21,14,16,3,4,35,68,222,1444,2106,2244,1360,1820,417,763,10534,3,0,0,3,4,7,15,40,212,315,367,238,303,117,153,1787,16,9,15,7,30,47,212,452,1584,1443,525,1192,400,129,470,6539,5,7,16,20,60,122,147,222,322,216,106,88,67,12,155,1574,3,0,0,3,3,16,38,58,119,95,40,54,22,9,87,551,0,0,0,3,0,4,9,13,37,56,77,43,57,24,72,397,45,18,72,59,59,322,351,310,751,389,175,82,78,20,400,3139
108,41,23,18,3,14,0,14,160,183,33,520,164,152,5626,2401,2441,1275,332,143,70,59,44,481,13921,3,0,17,5,6,121,37,40,20,7,3,0,0,0,1527,1793,277,51,686,322,397,6519,3534,3922,4044,2165,1337,660,677,259,2309,27139,15,7,11,0,7,27,44,110,458,611,643,325,412,153,329,3155,3,0,8,7,12,39,56,134,309,148,87,32,42,16,92,991,8,7,16,6,8,58,111,283,1312,1102,790,367,367,84,393,4914,3,0,7,0,4,12,29,41,163,167,135,65,70,11,71,781,8,11,6,9,34,66,219,372,955,518,146,278,63,7,239,2937,0,0,14,21,40,138,172,231,338,104,35,28,10,4,114,1252,4,0,3,3,11,22,40,44,95,50,15,18,4,0,47,351,4,0,0,0,0,5,4,15,36,25,31,8,24,5,38,193,30,10,63,53,59,360,362,337,529,154,56,21,8,7,262,2313
109,24,20,11,11,8,5,13,155,87,13,210,70,65,1899,685,703,342,85,59,25,20,15,200,4482,6,0,3,0,0,48,14,25,8,10,5,0,3,0,796,921,200,24,301,146,179,2344,1282,1588,2149,1493,1036,450,444,184,1254,13076,17,3,12,16,4,30,39,90,296,425,539,287,351,146,319,2578,0,0,6,3,0,11,16,34,108,57,42,10,14,4,28,336,11,9,15,8,13,37,78,187,879,888,672,304,301,90,310,3807,0,0,3,4,0,0,14,28,119,103,117,65,45,14,60,573,6,0,14,8,11,31,141,221,581,388,109,168,46,15,163,1913,0,0,7,9,18,38,50,77,109,37,15,10,10,3,39,415,3,4,3,0,0,0,22,14,31,30,10,11,3,4,26,159,0,0,0,0,0,0,8,4,17,14,20,11,13,3,32,126,10,3,25,14,25,115,98,104,148,58,22,15,10,4,90,737
110,29,30,18,15,13,7,23,203,114,18,300,100,68,2928,905,964,482,127,91,39,21,31,275,6467,6,0,9,3,7,97,14,28,18,10,3,0,3,0,1250,1451,272,41,494,219,260,3747,1890,2382,3149,2018,1506,678,776,290,1912,19631,34,13,24,11,9,38,66,145,538,745,822,472,541,245,539,4235,0,0,10,3,9,21,30,70,167,105,64,21,30,10,53,590,16,9,16,8,20,60,119,298,1300,1170,861,410,425,107,476,5294,3,0,3,0,3,9,12,32,177,158,141,72,78,26,112,830,7,8,14,15,31,66,241,411,967,541,156,270,68,34,266,3099,3,9,12,11,23,101,90,139,163,74,28,17,12,0,73,749,3,0,4,3,3,16,23,35,70,40,15,20,3,3,48,282,5,0,5,0,0,4,7,5,42,28,15,9,16,7,50,187,29,13,63,39,45,290,223,175,354,95,41,19,12,7,217,1610
