SA4_CODE_2016,C06_15_19_Mar_RegM_M,C06_15_19_Mar_RegM_F,C06_15_19_Mar_DFM_M,C06_15_19_Mar_DFM_F,C06_15_19_N_mar_M,C06_15_19_N_mar_F,C06_15_19_T_M,C06_15_19_T_F,C06_15_19_T_P,C06_20_24_Mar_RegM_M,C06_20_24_Mar_RegM_F,C06_20_24_Mar_DFM_M,C06_20_24_Mar_DFM_F,C06_20_24_N_mar_M,C06_20_24_N_mar_F,C06_20_24_T_M,C06_20_24_T_F,C06_20_24_T_P,C06_25_29_Mar_RegM_M,C06_25_29_Mar_RegM_F,C06_25_29_Mar_DFM_M,C06_25_29_Mar_DFM_F,C06_25_29_N_mar_M,C06_25_29_N_mar_F,C06_25_29_T_M,C06_25_29_T_F,C06_25_29_T_P,C06_30_34_Mar_RegM_M,C06_30_34_Mar_RegM_F,C06_30_34_Mar_DFM_M,C06_30_34_Mar_DFM_F,C06_30_34_N_mar_M,C06_30_34_N_mar_F,C06_30_34_T_M,C06_30_34_T_F,C06_30_34_T_P,C06_35_39_Mar_RegM_M,C06_35_39_Mar_RegM_F,C06_35_39_Mar_DFM_M,C06_35_39_Mar_DFM_F,C06_35_39_N_mar_M,C06_35_39_N_mar_F,C06_35_39_T_M,C06_35_39_T_F,C06_35_39_T_P,C06_40_44_Mar_RegM_M,C06_40_44_Mar_RegM_F,C06_40_44_Mar_DFM_M,C06_40_44_Mar_DFM_F,C06_40_44_N_mar_M,C06_40_44_N_mar_F,C06_40_44_T_M,C06_40_44_T_F,C06_40_44_T_P,C06_45_49_Mar_RegM_M,C06_45_49_Mar_RegM_F,C06_45_49_Mar_DFM_M,C06_45_49_Mar_DFM_F,C06_45_49_N_mar_M,C06_45_49_N_mar_F,C06_45_49_T_M,C06_45_49_T_F,C06_45_49_T_P,C06_50_54_Mar_RegM_M,C06_50_54_Mar_RegM_F,C06_50_54_Mar_DFM_M,C06_50_54_Mar_DFM_F,C06_50_54_N_mar_M,C06_50_54_N_mar_F,C06_50_54_T_M,C06_50_54_T_F,C06_50_54_T_P,C06_55_59_Mar_RegM_M,C06_55_59_Mar_RegM_F,C06_55_59_Mar_DFM_M,C06_55_59_Mar_DFM_F,C06_55_59_N_mar_M,C06_55_59_N_mar_F,C06_55_59_T_M,C06_55_59_T_F,C06_55_59_T_P,C06_60_64_Mar_RegM_M,C06_60_64_Mar_RegM_F,C06_60_64_Mar_DFM_M,C06_60_64_Mar_DFM_F,C06_60_64_N_mar_M,C06_60_64_N_mar_F,C06_60_64_T_M,C06_60_64_T_F,C06_60_64_T_P,C06_65_69_Mar_RegM_M,C06_65_69_Mar_RegM_F,C06_65_69_Mar_DFM_M,C06_65_69_Mar_DFM_F,C06_65_69_N_mar_M,C06_65_69_N_mar_F,C06_65_69_T_M,C06_65_69_T_F,C06_65_69_T_P,C06_70_74_Mar_RegM_M,C06_70_74_Mar_RegM_F,C06_70_74_Mar_DFM_M,C06_70_74_Mar_DFM_F,C06_70_74_N_mar_M,C06_70_74_N_mar_F,C06_70_74_T_M,C06_70_74_T_F,C06_70_74_T_P,C06_75_79_Mar_RegM_M,C06_75_79_Mar_RegM_F,C06_75_79_Mar_DFM_M,C06_75_79_Mar_DFM_F,C06_75_79_N_mar_M,C06_75_79_N_mar_F,C06_75_79_T_M,C06_75_79_T_F,C06_75_79_T_P,C06_80_84_Mar_RegM_M,C06_80_84_Mar_RegM_F,C06_80_84_Mar_DFM_M,C06_80_84_Mar_DFM_F,C06_80_84_N_mar_M,C06_80_84_N_mar_F,C06_80_84_T_M,C06_80_84_T_F,C06_80_84_T_P,C06_85o_Mar_RegM_M,C06_85o_Mar_RegM_F,C06_85o_Mar_DFM_M,C06_85o_Mar_DFM_F,C06_85o_N_mar_M,C06_85o_N_mar_F,C06_85o_T_M,C06_85o_T_F,C06_85o_T_P,C06_T_Marr_reg_marr_M,C06_T_Marr_reg_marr_F,C06_T_Mar_de_fa_mar_M,C06_T_Mar_de_fa_mar_F,C06_Tot_N_mar_M,C06_Tot_N_mar_F,C06_Tot_T_M,C06_Tot_T_F,C06_Tot_T_P,C11_15_19_Mar_RegM_M,C11_15_19_Mar_RegM_F,C11_15_19_Mar_DFM_M,C11_15_19_Mar_DFM_F,C11_15_19_N_mar_M,C11_15_19_N_mar_F,C11_15_19_T_M,C11_15_19_T_F,C11_15_19_T_P,C11_20_24_Mar_RegM_M,C11_20_24_Mar_RegM_F,C11_20_24_Mar_DFM_M,C11_20_24_Mar_DFM_F,C11_20_24_N_mar_M,C11_20_24_N_mar_F,C11_20_24_T_M,C11_20_24_T_F,C11_20_24_T_P,C11_25_29_Mar_RegM_M,C11_25_29_Mar_RegM_F,C11_25_29_Mar_DFM_M,C11_25_29_Mar_DFM_F,C11_25_29_N_mar_M,C11_25_29_N_mar_F,C11_25_29_T_M,C11_25_29_T_F,C11_25_29_T_P,C11_30_34_Mar_RegM_M,C11_30_34_Mar_RegM_F,C11_30_34_Mar_DFM_M,C11_30_34_Mar_DFM_F,C11_30_34_N_mar_M,C11_30_34_N_mar_F,C11_30_34_T_M,C11_30_34_T_F,C11_30_34_T_P,C11_35_39_Mar_RegM_M,C11_35_39_Mar_RegM_F,C11_35_39_Mar_DFM_M,C11_35_39_Mar_DFM_F,C11_35_39_N_mar_M,C11_35_39_N_mar_F,C11_35_39_T_M,C11_35_39_T_F,C11_35_39_T_P,C11_40_44_Mar_RegM_M,C11_40_44_Mar_RegM_F,C11_40_44_Mar_DFM_M,C11_40_44_Mar_DFM_F,C11_40_44_N_mar_M,C11_40_44_N_mar_F,C11_40_44_T_M,C11_40_44_T_F,C11_40_44_T_P,C11_45_49_Mar_RegM_M,C11_45_49_Mar_RegM_F
101,8,31,72,246,5847,5341,5928,5615,11543,178,434,678,972,3056,2453,3917,3859,7775,998,1577,887,935,1727,1526,3614,4042,7650,2362,3055,924,872,1477,1316,4771,5242,10016,3358,4156,879,850,1471,1521,5709,6521,12232,4106,4418,761,823,1620,1651,6489,6891,13379,4392,4627,738,717,1774,1747,6898,7089,13990,4273,4394,612,577,1583,1540,6460,6510,12972,4496,4407,515,401,1454,1456,6464,6263,12723,3874,3614,276,201,1117,1362,5263,5176,10434,3171,2685,152,97,937,1341,4260,4123,8389,2410,1868,68,42,827,1400,3304,3306,6611,1839,1283,51,28,694,1558,2587,2861,5448,1016,663,17,14,527,1391,1554,2067,3623,459,198,18,6,379,1115,854,1312,2171,36938,37403,6638,6773,24492,26712,68066,70889,138958,4,9,69,202,6091,5478,6163,5693,11854,134,354,690,1070,3261,2593,4083,4018,8101,978,1522,1086,1155,1995,1716,4061,4386,8447,2006,2719,887,908,1336,1315,4235,4943,9174,3257,3707,947,859,1373,1451,5575,6017,11594,3695,4316,900,979,1638,1720,6236,7015,13255,4151,4341
102,8,33,88,256,9402,8670,9500,8962,18461,291,646,983,1471,5674,4791,6952,6912,13861,1773,2670,1475,1498,3019,2527,6277,6700,12977,3986,4788,1347,1255,2216,2414,7547,8456,16001,5152,5919,1150,1123,2095,2599,8393,9643,18041,5833,6343,1031,998,2347,2927,9212,10269,19479,6080,6416,830,858,2445,3081,9350,10358,19713,5782,5743,674,632,2180,2716,8634,9093,17731,5430,5312,491,462,1866,2688,7786,8461,16247,4706,4573,343,259,1605,2454,6656,7285,13941,4199,3915,228,141,1272,2430,5696,6483,12184,3741,3239,121,72,1222,2685,5081,5999,11082,3346,2712,73,37,1304,3149,4720,5909,10625,2208,1484,35,31,1042,3068,3287,4575,7868,1032,510,16,13,881,2614,1926,3133,5061,53572,54300,8881,9109,38569,48827,101021,112245,213268,7,11,88,188,9945,9182,10043,9381,19423,276,587,935,1465,6515,5504,7727,7557,15286,1775,2644,1688,1821,3470,3069,6927,7536,14466,3504,4357,1370,1365,2238,2267,7116,7993,15109,5019,5567,1309,1229,2215,2771,8545,9565,18114,5507,6144,1195,1179,2355,3018,9056,10346,19401,5761,6093
103,7,15,100,287,6011,5396,6124,5696,11820,221,514,858,1199,3306,2758,4387,4467,8854,1211,1773,1044,986,1833,1535,4082,4299,8382,2534,3180,866,808,1359,1307,4763,5297,10058,3301,3790,707,727,1322,1406,5336,5925,11265,3692,4196,611,635,1511,1525,5814,6352,12169,4096,4255,559,493,1546,1507,6202,6254,12453,3911,4030,383,352,1470,1391,5762,5778,11541,4111,3991,331,284,1388,1422,5832,5698,11532,3395,3104,211,135,1132,1401,4733,4637,9369,2801,2365,109,69,951,1380,3861,3823,7684,2162,1818,54,29,835,1402,3052,3249,6299,1686,1202,29,15,664,1591,2383,2812,5194,934,560,9,6,454,1476,1398,2046,3446,372,190,8,3,354,1196,737,1379,2119,34437,34982,5876,6037,24149,26694,64470,67711,132181,7,13,91,275,5725,5308,5820,5597,11418,211,405,917,1265,3588,2885,4711,4554,9270,1196,1773,1224,1225,1948,1740,4374,4738,9110,2207,2757,880,830,1285,1277,4368,4868,9231,3004,3471,730,723,1331,1441,5065,5636,10698,3374,3759,712,734,1451,1596,5539,6089,11631,3580,3956
104,10,12,50,138,4045,3712,4103,3862,7966,120,254,367,551,1833,1428,2314,2241,4553,495,801,489,574,1023,951,2005,2327,4329,1221,1584,549,523,831,994,2603,3104,5708,1705,2139,511,520,943,1102,3155,3762,6916,2223,2535,485,545,1109,1338,3812,4422,8235,2558,2893,488,504,1223,1447,4270,4839,9110,2721,2793,400,395,1176,1235,4297,4423,8718,2709,2656,333,232,1021,1138,4060,4028,8089,2436,2309,156,121,792,946,3385,3381,6769,2056,1907,105,77,637,931,2796,2912,5711,1785,1435,74,51,566,992,2428,2475,4899,1414,967,38,22,487,1075,1944,2064,4013,793,514,21,4,393,1055,1203,1580,2779,400,164,12,10,277,885,690,1059,1745,22635,22972,4084,4280,16354,19222,43072,46470,89547,5,11,51,125,4020,3734,4074,3867,7944,114,240,379,575,2007,1772,2505,2587,5094,565,895,561,573,1184,1139,2312,2609,4919,1059,1395,494,534,850,932,2406,2863,5268,1689,1951,541,573,896,1036,3126,3565,6690,1961,2319,521,555,947,1269,3430,4134,7569,2239,2479
105,4,11,70,199,3260,2959,3332,3166,6505,127,283,522,728,1745,1647,2390,2652,5048,631,983,633,676,1129,1124,2395,2780,5179,1332,1631,582,580,926,942,2845,3150,5999,1732,2044,500,494,888,992,3120,3537,6657,1978,2268,446,437,1059,966,3486,3680,7163,2270,2423,390,403,1056,1023,3719,3845,7565,2167,2239,285,255,1019,893,3470,3391,6859,2163,2117,212,178,978,873,3357,3163,6517,1839,1692,139,94,799,785,2773,2572,5347,1536,1393,81,38,675,802,2294,2235,4528,1208,1016,41,30,573,917,1819,1958,3780,1043,675,27,6,486,944,1551,1628,3181,496,275,9,5,263,792,767,1080,1844,182,88,5,3,192,624,373,718,1094,18709,19146,3951,4116,15044,16289,37702,39555,77257,10,12,82,180,3214,2881,3302,3071,6372,104,229,561,791,1801,1686,2466,2710,5180,604,908,730,747,1187,1234,2528,2894,5420,1075,1401,508,519,792,964,2374,2887,5266,1494,1711,500,472,819,961,2816,3145,5961,1682,1867,443,483,927,1040,3047,3386,6435,1847,2057
106,5,28,94,288,7335,6601,7431,6909,14344,275,598,979,1425,4317,3403,5569,5431,10999,1655,2428,1327,1308,2370,1869,5358,5604,10961,3402,4256,1051,1019,1750,1617,6209,6892,13105,4191,4864,948,887,1665,1808,6800,7563,14365,4751,5114,803,779,1726,1879,7276,7777,15052,5058,5307,643,604,1716,1871,7408,7778,15188,4903,4962,498,469,1521,1599,6925,7031,13954,4872,4712,366,332,1313,1657,6551,6707,13253,4087,3793,278,173,1125,1377,5493,5339,10836,3167,2716,138,97,885,1347,4198,4160,8356,2488,2086,72,46,686,1437,3250,3567,6816,1910,1350,44,32,678,1690,2623,3078,5701,1085,662,28,10,503,1546,1617,2222,3841,452,236,16,8,340,1186,799,1428,2228,42298,43118,7287,7485,27930,30890,77508,81491,158999,10,16,79,259,7649,7139,7737,7405,15143,286,623,1153,1678,4797,3792,6237,6090,12324,1765,2527,1650,1712,2677,2231,6088,6472,12560,3246,3864,1198,1145,1901,1666,6342,6675,13018,4118,4780,1111,1049,1774,1878,7000,7704,14705,4527,4993,1002,958,1797,2029,7329,7986,15315,4730,5011
107,5,27,53,161,8592,8037,8655,8228,16880,320,745,796,1211,6978,5845,8099,7807,15903,1943,2883,1292,1287,3737,2833,6974,7005,13979,4162,4985,1083,1014,2461,2220,7708,8217,15924,4947,5637,874,852,2126,2114,7943,8603,16548,5787,6270,788,787,2231,2332,8807,9384,18189,5881,6058,639,640,2205,2477,8733,9175,17908,5453,5678,472,451,1809,2103,7737,8230,15967,5406,4951,354,286,1540,1884,7296,7117,14416,4316,4120,200,153,1108,1772,5623,6050,11669,3757,3490,122,84,984,1774,4869,5348,10218,3276,2666,60,32,909,1983,4241,4686,8926,2627,1907,37,31,824,2277,3482,4210,7693,1516,960,13,12,664,2069,2192,3040,5233,586,279,12,12,501,1565,1092,1845,2945,49979,50634,6793,7009,36678,41292,93450,98939,192391,3,21,56,153,8990,8331,9044,8499,17542,212,622,813,1250,7723,6431,8753,8298,17053,1863,2832,1553,1638,4225,3191,7640,7654,15300,3773,4477,1158,1089,2379,2071,7317,7638,14954,5167,5682,954,964,2178,2293,8298,8937,17238,5160,5696,899,848,2228,2442,8287,8984,17275,5651,5937
108,8,10,66,218,5749,5105,5821,5337,11158,162,363,581,799,2482,1922,3217,3078,6297,814,1211,694,753,1374,1274,2880,3234,6120,1756,2328,686,678,1214,1306,3657,4314,7969,2563,3120,721,675,1292,1588,4574,5387,9957,3251,3809,684,718,1561,1850,5502,6377,11877,3785,4277,659,682,1754,2036,6195,6996,13186,3840,3938,590,588,1683,1749,6102,6277,12379,4319,4433,465,390,1452,1597,6238,6421,12664,4194,4109,357,284,1295,1667,5842,6061,11902,3871,3578,220,163,1126,1535,5226,5276,10497,3382,2804,123,74,984,1784,4489,4655,9148,2777,2129,83,41,985,2015,3847,4185,8028,1768,1087,29,15,713,1976,2510,3076,5590,710,354,17,14,563,1606,1295,1977,3271,37186,37546,5978,6094,24228,29007,67395,72642,140037,0,8,73,180,5672,5148,5744,5339,11086,127,310,537,820,2605,2205,3272,3331,6602,758,1150,750,827,1449,1482,2956,3461,6417,1527,1952,659,674,1119,1278,3310,3907,7216,2334,2826,717,708,1264,1548,4316,5092,9406,2761,3273,743,753,1474,1831,4980,5856,10833,3209,3659
109,3,12,58,145,3415,3106,3478,3265,6743,106,258,454,650,1945,1761,2504,2671,5177,658,1016,601,600,1178,909,2442,2530,4965,1487,1741,485,463,830,754,2802,2957,5758,1805,2160,424,380,833,822,3059,3361,6420,2167,2396,329,325,895,897,3390,3617,7003,2448,2663,301,313,912,936,3663,3906,7565,2403,2410,265,225,891,862,3563,3492,7059,2435,2273,207,147,760,777,3408,3199,6608,1953,1824,120,98,614,680,2685,2599,5290,1608,1444,74,57,552,708,2236,2215,4444,1270,1045,45,23,437,774,1748,1847,3599,1096,775,19,16,423,899,1540,1686,3223,615,378,9,3,324,832,948,1210,2153,240,134,5,4,203,692,447,830,1277,20296,20518,3393,3457,14209,15408,37906,39381,77287,0,8,63,116,3438,3083,3503,3206,6708,92,218,429,630,1937,1685,2455,2540,4996,633,984,604,612,1165,1027,2405,2626,5029,1213,1497,469,422,771,757,2444,2671,5117,1729,1868,378,410,716,798,2828,3075,5902,1841,2098,393,375,831,928,3060,3400,6464,1994,2185
110,7,19,92,269,5176,4724,5268,5017,10290,213,452,752,1052,2947,2446,3911,3948,7860,1015,1575,847,870,1691,1528,3562,3979,7541,2185,2737,770,698,1281,1339,4234,4774,9005,2839,3263,606,596,1275,1372,4723,5224,9942,3227,3690,566,582,1408,1431,5208,5699,10908,3581,3863,498,495,1507,1523,5584,5885,11475,3592,3597,393,314,1357,1326,5341,5238,10583,3684,3549,307,268,1247,1282,5233,5092,10329,3151,2954,171,125,1051,1177,4376,4249,8623,2573,2351,104,57,887,1244,3564,3646,7214,2033,1572,67,28,724,1268,2816,2867,5687,1518,1075,21,16,580,1496,2112,2587,4700,838,501,13,6,410,1303,1261,1808,3066,396,163,3,3,305,1118,711,1289,1997,30844,31358,5211,5391,21847,24569,57902,61318,119215,3,8,114,278,4994,4663,5110,4949,10059,201,448,800,1138,2982,2532,3982,4109,8092,1028,1450,1037,1076,1777,1679,3840,4202,8047,1809,2278,780,731,1216,1377,3806,4383,8189,2542,2981,677,634,1189,1365,4401,4982,9385,2916,3201,607,643,1307,1465,4833,5308,10139,3156,3452
