SA4_CODE_2016,Pakistan_C06_P,Pakistan_C11_M,Pakistan_C11_F,Pakistan_C11_P,Pakistan_C16_M,Pakistan_C16_F,Pakistan_C16_P,Philippines_C06_M,Philippines_C06_F,Philippines_C06_P,Philippines_C11_M,Philippines_C11_F,Philippines_C11_P,Philippines_C16_M,Philippines_C16_F,Philippines_C16_P,Poland_C06_M,Poland_C06_F,Poland_C06_P,Poland_C11_M,Poland_C11_F,Poland_C11_P,Poland_C16_M,Poland_C16_F,Poland_C16_P,Singapore_C06_M,Singapore_C06_F,Singapore_C06_P,Singapore_C11_M,Singapore_C11_F,Singapore_C11_P,Singapore_C16_M,Singapore_C16_F,Singapore_C16_P,South_Africa_C06_M,South_Africa_C06_F,South_Africa_C06_P,South_Africa_C11_M,South_Africa_C11_F,South_Africa_C11_P,South_Africa_C16_M,South_Africa_C16_F,South_Africa_C16_P,Sri_Lanka_C06_M,Sri_Lanka_C06_F,Sri_Lanka_C06_P,Sri_Lanka_C11_M,Sri_Lanka_C11_F,Sri_Lanka_C11_P,Sri_Lanka_C16_M,Sri_Lanka_C16_F,Sri_Lanka_C16_P,Thailand_C06_M,Thailand_C06_F,Thailand_C06_P,Thailand_C11_M,Thailand_C11_F,Thailand_C11_P,Thailand_C16_M,Thailand_C16_F,Thailand_C16_P,F_Y_R_o_Macedonia_C06_M,F_Y_R_o_Macedonia_C06_F,F_Y_R_o_Macedonia_C06_P,F_Y_R_o_Macedonia_C11_M,F_Y_R_o_Macedonia_C11_F,F_Y_R_o_Macedonia_C11_P,F_Y_R_o_Macedonia_C16_M,F_Y_R_o_Macedonia_C16_F,F_Y_R_o_Macedonia_C16_P,Turkey_C06_M,Turkey_C06_F,Turkey_C06_P,Turkey_C11_M,Turkey_C11_F,Turkey_C11_P,Turkey_C16_M,Turkey_C16_F,Turkey_C16_P,Unitd_Kingdom_C06_M,Unitd_Kingdom_C06_F,Unitd_Kingdom_C06_P,Unitd_Kingdom_C11_M,Unitd_Kingdom_C11_F,Unitd_Kingdom_C11_P,Unitd_Kingdom_C16_M,Unitd_Kingdom_C16_F,Unitd_Kingdom_C16_P,Unit_Sts_Amer_C06_M,Unit_Sts_Amer_C06_F,Unit_Sts_Amer_C06_P,Unit_Sts_Amer_C11_M,Unit_Sts_Amer_C11_F,Unit_Sts_Amer_C11_P,Unit_Sts_Amer_C16_M,Unit_Sts_Amer_C16_F,Unit_Sts_Amer_C16_P,Vietnam_C06_M,Vietnam_C06_F,Vietnam_C06_P,Vietnam_C11_M,Vietnam_C11_F,Vietnam_C11_P,Vietnam_C16_M,Vietnam_C16_F,Vietnam_C16_P,Zimbabwe_C06_M,Zimbabwe_C06_F,Zimbabwe_C06_P,Zimbabwe_C11_M,Zimbabwe_C11_F,Zimbabwe_C11_P,Zimbabwe_C16_M,Zimbabwe_C16_F,Zimbabwe_C16_P,Born_elsewhere_C06_M,Born_elsewhere_C06_F,Born_elsewhere_C06_P,Born_elsewhere_C11_M,Born_elsewhere_C11_F,Born_elsewhere_C11_P,Born_elsewhere_C16_M,Born_elsewhere_C16_F,Born_elsewhere_C16_P,Country_birt_ns_C06_M,Country_birt_ns_C06_F,Country_birt_ns_C06_P,Country_birt_ns_C11_M,Country_birt_ns_C11_F,Country_birt_ns_C11_P,Country_birt_ns_C16_M,Country_birt_ns_C16_F,Country_birt_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
101,25,54,39,102,90,57,148,104,343,450,198,475,670,291,658,952,123,120,242,108,137,244,87,126,212,30,50,76,40,68,104,52,58,110,156,162,319,231,234,469,294,282,576,56,45,109,68,66,135,94,83,178,29,96,122,52,146,195,78,204,280,319,263,582,312,281,591,297,263,562,21,12,41,14,23,38,29,28,59,4246,4429,8674,4390,4492,8882,4389,4366,8758,275,288,563,345,393,736,390,430,815,98,66,161,98,94,194,93,100,196,40,53,94,66,67,127,64,68,130,1772,1643,3420,1958,1827,3784,2095,2145,4234,6608,6108,12718,6200,5694,11895,9170,9153,18322,98696,99243,197942,103616,104206,207823,109123,109716,218843
102,80,43,35,77,77,60,137,270,722,996,345,935,1277,509,1246,1752,144,142,287,138,156,288,156,187,339,54,90,140,64,87,150,82,111,197,526,550,1075,692,679,1369,776,844,1612,82,75,160,90,79,165,119,116,239,48,149,196,88,265,353,139,422,560,21,15,36,20,16,35,23,20,39,43,30,72,47,34,79,56,37,90,8696,8800,17490,8921,9200,18115,8890,9085,17974,383,374,757,467,464,932,539,513,1056,49,53,107,77,90,171,125,180,302,71,73,144,102,108,210,141,135,278,2209,2221,4428,2512,2703,5222,2934,3221,6155,10169,10882,21048,8231,8533,16756,10156,11152,21301,143943,154013,297957,150704,161484,312182,158768,168972,327736
103,22,16,13,32,48,37,87,97,286,385,164,363,524,253,515,769,68,77,150,51,76,124,54,63,117,26,29,57,23,39,55,21,44,64,138,151,292,211,226,437,265,271,535,46,49,92,60,67,123,75,83,156,13,37,54,35,72,108,53,123,179,7,16,21,10,9,24,16,6,25,18,6,22,23,12,32,15,7,28,2204,2372,4580,2314,2366,4678,2208,2341,4554,134,130,263,145,156,303,153,172,329,30,28,62,68,40,109,104,94,202,38,49,88,76,78,158,74,95,174,900,753,1652,1060,911,1971,1128,1007,2142,5379,5274,10648,6042,5529,11572,9589,9775,19366,94590,95075,189671,98326,98419,196740,102700,103464,206155
104,16,16,14,24,39,41,79,32,234,264,49,300,356,83,394,474,30,37,61,25,39,65,31,48,74,10,21,32,19,13,35,23,19,39,131,119,251,174,208,381,215,221,437,14,9,25,21,15,33,29,28,51,19,49,73,26,75,100,42,147,188,4,0,5,0,0,4,3,3,9,11,11,23,15,3,19,10,8,23,2530,2573,5098,2652,2669,5316,2576,2604,5186,135,128,263,159,161,323,185,217,399,18,20,35,25,28,53,30,48,76,23,24,47,42,34,76,49,34,83,720,761,1481,948,1062,2006,1200,1418,2618,3471,3357,6829,3216,3133,6349,5437,5625,11058,61499,63972,125469,63795,66811,130602,66583,69704,136288
105,38,19,11,36,63,50,108,36,148,185,71,202,275,141,313,460,27,28,53,14,25,41,8,13,24,3,6,11,9,19,29,14,13,29,56,66,120,82,100,182,78,121,197,35,29,64,63,69,127,84,88,172,5,17,22,9,37,45,14,48,60,10,3,14,6,7,11,4,4,11,7,4,8,3,0,5,7,4,7,819,800,1613,797,751,1547,715,711,1430,64,66,131,64,92,153,63,82,145,16,11,20,17,20,38,30,38,68,34,31,64,46,45,85,43,51,97,442,363,811,485,385,866,630,529,1159,4401,4223,8623,3872,3538,7413,5958,5902,11860,57064,57422,114485,56510,57086,113589,56474,57300,113779
106,49,47,35,84,70,38,109,89,422,511,159,559,717,320,772,1091,103,113,214,71,104,174,70,81,152,27,38,62,29,35,63,23,49,67,206,214,421,404,370,773,472,420,897,24,23,46,44,38,85,57,48,114,39,91,128,49,151,204,67,239,302,14,11,29,17,23,41,10,12,22,19,15,35,13,8,26,28,19,43,3553,3552,7103,3804,3780,7581,3847,3792,7648,167,203,369,226,252,478,234,284,524,43,26,71,60,33,100,89,93,181,46,24,77,87,83,170,113,108,228,942,945,1884,1054,1101,2149,1226,1206,2424,6588,6561,13158,6574,6240,12816,9643,9874,19519,112058,113697,225753,120897,122349,243247,130635,132782,263416
107,112,113,69,184,207,96,301,240,725,966,283,836,1122,382,999,1387,273,348,626,232,320,550,196,281,475,56,66,122,55,86,145,69,95,163,282,281,561,362,358,723,448,431,886,88,96,183,128,138,260,181,161,338,107,241,355,195,404,598,222,520,739,2171,2109,4279,1984,2018,4000,1840,1884,3725,364,348,714,389,347,738,381,338,720,7985,8649,16634,7751,8518,16272,7436,8097,15533,274,329,598,343,427,771,422,469,890,336,334,665,359,398,755,473,575,1050,55,55,109,52,54,108,75,84,159,4593,4603,9198,4949,4955,9906,5135,5407,10547,8151,8081,16229,6518,6152,12667,8567,8755,17323,130024,133512,263537,136179,139803,275983,144488,149005,293494
108,14,15,8,22,22,12,31,71,324,398,80,381,456,133,576,706,61,52,114,48,54,105,47,69,116,18,32,44,18,44,63,18,41,61,121,195,319,199,233,434,251,277,530,30,20,49,34,32,58,42,40,80,17,63,78,27,107,138,42,170,215,4,6,6,7,7,12,9,9,14,11,9,24,9,11,22,14,11,22,4068,4304,8374,4253,4515,8770,4248,4428,8673,171,169,341,217,199,418,252,252,503,17,19,39,32,42,70,34,62,94,21,37,64,43,54,100,55,60,114,869,846,1710,945,971,1917,1142,1165,2307,5648,5976,11624,5500,5575,11072,8643,9009,17652,94128,98600,192729,97970,103140,201110,103296,108901,212201
109,6,20,8,26,25,22,47,58,193,257,98,249,350,155,339,495,38,44,78,24,34,66,20,27,50,8,16,22,9,14,24,18,24,37,91,97,182,106,114,219,112,118,233,23,32,56,35,35,68,75,81,151,8,26,36,15,56,75,22,92,117,3,0,5,4,3,3,3,0,3,4,3,10,6,3,16,12,3,12,1388,1355,2744,1395,1428,2830,1305,1372,2675,64,77,145,69,92,163,79,93,174,16,10,25,26,15,40,20,29,51,16,31,45,23,36,55,21,24,49,466,475,946,643,650,1295,842,872,1711,3296,3054,6353,3171,2902,6078,5306,5383,10683,54451,55169,109621,54552,55765,110317,57060,58743,115803
110,5,17,15,32,60,25,80,46,211,257,125,294,421,358,602,963,38,24,65,18,19,44,26,26,47,30,50,82,39,48,84,33,55,91,113,127,233,181,174,352,212,216,430,44,32,77,35,40,81,80,72,150,18,35,56,36,59,96,38,86,127,3,5,5,0,0,3,3,0,8,11,5,17,11,4,10,13,6,22,1597,1693,3294,1660,1681,3338,1551,1582,3124,232,258,486,243,268,514,247,272,520,20,16,36,50,49,99,75,93,167,33,43,75,50,50,98,49,49,99,599,547,1149,824,734,1555,1062,1077,2140,5056,5036,10095,5253,5245,10494,8756,9156,17914,85115,87277,172396,86906,89288,176193,89260,92299,181555
