SOS_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SOS10,244491,484815,128585,12875,870760,153096,25868,1049729,22223,23839,11556,1294,58915,36795,4571,100280,35160,55434,21979,2150,114733,37434,9202,161367,57387,79271,33538,3450,173647,74230,13775,261652,23023,19204,10408,1631,54265,45499,7756,107520,40316,32006,15357,2827,90503,54942,14103,159546,64975,39102,14482,4220,122773,70005,22708,215479,451,388,202,30,1072,790,161,2027,128757,90703,40447,8700,268615,171233,44723,484573,335,71,91,18,513,986,54,1559,432,123,190,15,768,1346,61,2180,40,62,35,3,144,170,13,326,1537,1626,815,148,4124,2041,840,7003,2343,1887,1134,185,5546,4547,973,11070,1653,1604,590,98,3949,3211,519,7681,434635,658284,204286,25312,1322517,406318,85866,1814697
SOS11,135969,130975,60319,4376,331634,108394,13236,453262,8112,2861,4267,339,15578,22310,1544,39437,3240,1600,1970,110,6916,6170,740,13823,11349,4456,6232,453,22492,28478,2283,53259,4154,1777,2713,300,8938,17469,1302,27704,546,173,282,30,1030,1614,159,2800,776,128,184,20,1104,1318,136,2562,15,10,13,5,48,73,4,124,5486,2083,3192,348,11116,20475,1599,33194,593,102,121,16,829,1800,63,2693,774,117,128,24,1042,1788,88,2923,64,26,21,0,110,125,9,240,551,420,342,36,1344,729,119,2188,1976,665,616,70,3331,4440,278,8047,898,531,320,28,1782,1771,137,3683,155677,138711,70679,5287,370355,163551,17537,551443
SOS12,16128,14709,5714,469,37017,12191,1264,50470,320,92,120,10,536,479,35,1050,127,55,59,3,240,147,21,413,444,147,173,8,782,626,54,1461,139,62,83,7,293,582,29,899,14,8,10,0,33,37,6,79,4,4,0,0,9,9,0,16,0,5,0,0,9,9,0,15,164,74,102,7,339,640,31,1014,78,16,13,0,110,227,3,348,186,24,30,3,244,300,13,558,7,3,0,0,13,20,0,34,71,47,19,4,146,101,8,257,348,92,65,10,509,651,28,1192,176,102,46,0,331,273,14,620,17258,15125,6099,496,38985,14386,1390,54761
SOS13,61312,61753,14401,1284,138747,33662,3944,176355,340,197,79,9,626,321,33,975,38,33,5,0,76,29,4,108,376,233,84,9,695,347,37,1079,129,62,36,9,230,234,15,487,7,3,0,0,9,25,0,33,7,0,3,0,10,4,3,17,16,8,8,0,30,33,6,69,153,75,48,10,281,297,28,605,248,75,44,4,375,610,34,1022,284,90,57,7,440,552,50,1035,138,146,61,7,352,331,26,708,179,164,39,4,391,97,22,511,848,477,203,33,1562,1591,124,3279,606,615,146,17,1384,628,80,2096,63296,63145,14881,1347,142669,36523,4210,183411
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
