SOS_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
SOS10,782,2669,22319,50952,20682,16225,7423,4948,2007,128003,4,15,151,892,1168,1488,1764,1458,381,7314,104,439,383,1988,1209,1685,1702,1067,509,9077,678,4054,3962,19598,14908,12436,12281,7564,3801,79273,30,301,1024,6905,3654,3015,1511,625,150,17213,44,230,496,2415,591,361,316,158,119,4738,47,196,571,2679,1302,1178,2949,1269,957,11138,33,193,265,745,959,2188,4688,4654,1213,14927,191,615,2190,7155,3547,5104,1878,578,172,21433,1743,4063,4659,37298,6309,4138,2366,1250,475,62295,90,441,2448,8089,2357,1738,1038,394,162,16753,56,481,845,5043,1447,1240,635,332,150,10225,142,1317,2590,7721,3343,2263,1243,633,189,19458,55,466,339,4537,1370,935,940,552,249,9444,21,149,357,1913,1709,3220,5363,5714,2691,21148,118,420,709,4269,1819,700,380,161,67,8645,208,1045,3238,12832,4516,2854,1366,629,187,26874,99,414,1046,7429,6784,5983,3248,1561,618,27180,105,473,1552,5692,2453,2804,1908,592,180,15758,0,12,32,185,343,1350,2290,1298,499,6008
SOS11,15,86,227,807,399,263,122,65,36,2018,0,0,3,23,72,94,120,94,20,424,7,19,12,76,23,38,81,27,26,315,59,433,510,2081,3334,3855,5242,3331,1481,20317,5,27,58,263,158,136,83,28,16,774,3,19,30,142,99,88,64,47,18,497,6,25,53,302,288,462,1038,484,286,2938,0,3,0,16,35,78,116,84,32,364,3,12,55,138,76,117,39,18,0,465,78,282,208,2215,294,269,180,111,56,3697,5,22,53,217,83,60,49,31,14,541,4,16,22,93,26,28,14,7,3,213,9,14,14,58,24,12,6,5,0,147,11,100,21,258,158,171,198,125,36,1078,3,14,21,98,108,207,407,391,276,1527,9,33,41,240,119,54,36,17,9,557,8,22,86,358,45,30,8,0,3,562,0,9,11,47,55,39,32,8,11,208,17,33,38,303,173,143,86,44,6,851,0,3,3,17,39,111,238,82,16,502
SOS12,0,7,9,36,23,17,15,3,5,119,0,0,0,3,9,10,8,13,0,31,0,0,0,3,0,8,6,3,0,22,3,55,45,225,412,520,639,291,94,2289,0,0,4,18,8,9,4,3,0,51,0,3,4,13,12,10,10,0,3,52,0,3,4,34,32,58,121,37,21,312,0,0,0,0,3,4,13,9,3,36,0,0,8,8,11,8,0,0,0,29,0,3,3,51,16,14,11,10,6,113,0,3,3,17,8,8,11,3,0,55,0,0,0,7,0,3,0,0,0,11,0,0,0,4,0,5,0,0,0,3,0,7,5,35,18,21,26,16,4,120,0,3,0,8,13,23,39,24,13,120,0,0,3,28,11,7,9,0,3,60,0,0,5,14,7,6,0,0,0,32,0,0,3,4,11,3,3,0,0,34,0,3,3,21,11,22,9,3,0,76,0,0,0,7,3,13,33,4,0,62
SOS13,4,27,36,199,154,101,62,23,5,607,0,0,0,17,34,64,63,35,4,218,0,0,0,5,15,21,30,5,3,82,20,145,187,827,1696,2001,1991,762,207,7825,0,0,4,62,59,45,21,12,3,204,0,7,5,56,43,41,29,10,0,199,4,10,36,176,181,255,438,124,53,1276,0,3,0,9,9,33,46,47,11,151,0,9,14,28,24,28,18,3,0,118,7,14,19,156,75,82,55,26,10,429,4,4,3,55,24,31,30,6,6,161,0,0,3,17,20,15,4,0,0,60,0,0,8,28,16,17,10,6,3,94,0,20,18,97,77,68,68,24,6,379,0,3,11,42,67,204,318,186,75,899,0,17,8,80,35,22,14,3,3,179,0,3,15,45,34,20,4,0,6,123,0,3,6,88,97,60,44,23,0,324,0,3,0,59,82,61,35,8,0,248,0,0,5,26,60,174,264,67,16,616
SOS17,0,0,0,0,5,3,0,3,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,3,43,48,11,4,3,0,3,110,0,0,0,0,0,3,0,0,0,7,0,0,0,4,0,0,0,0,0,8,6,3,48,56,27,33,36,11,3,222,0,0,3,3,3,0,0,0,0,4,0,3,12,11,0,0,0,0,0,29,0,0,9,8,5,0,0,4,0,32,0,0,0,0,0,0,0,0,0,5,0,0,11,13,0,0,0,0,0,24,3,3,3,39,0,0,0,3,0,49,0,0,5,6,3,0,0,0,0,12,0,0,0,0,3,0,0,0,0,4,0,0,5,8,3,0,0,0,0,17,0,0,3,9,0,0,0,0,0,14,0,0,5,6,0,3,0,0,3,19,0,0,0,9,0,0,0,0,0,12,0,0,12,10,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,3,15,0,4,0,0,0,23,0,0,0,0,0,0,3,0,0,5
