SOS_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS10,69012,129720,311305,279892,257020,164552,33915,3028,456,1248900,78832,45377,88034,82981,77029,120434,170034,115258,60176,838164,6407,10902,26930,19719,17047,15296,13311,11192,10163,130972,154257,186005,426273,382594,351096,300284,217264,129473,70794,2218034,20992,116750,443616,403973,361302,216836,35379,2319,334,1601492,79574,107996,142372,144987,130678,104848,40984,5663,601,757714,4217,6049,22244,15832,10385,10653,3346,439,71,73244,3033,6614,12878,9398,8382,5245,1639,492,182,47853,107818,237404,621105,574187,510745,337579,81358,8910,1191,2480298,6164,13402,22718,16985,15985,10826,817,95,35,87032,19795,15764,13424,10277,8703,7773,1571,198,38,77542,25957,29163,36141,27265,24688,18605,2389,294,75,164579,133777,266570,657248,601454,535436,356184,83743,9207,1262,2644881,169379,87610,128820,114154,116682,194136,308884,206506,95320,1421500,13553,22354,55288,41363,35709,30851,25683,19562,14929,259305,316706,376543,841359,756967,687831,581173,418310,235279,111515,4325678
SOS11,22270,27974,58287,61847,69079,52608,10200,993,218,303479,17800,9149,19982,17537,19053,40970,71545,48898,24034,268967,2399,2770,5364,4866,5756,6420,6858,6477,4974,45885,42465,39894,83635,84256,93887,99993,88602,56366,29226,618327,8766,29650,74330,75967,84082,59256,9118,782,153,342108,24593,18995,33217,37225,39228,37260,13031,1694,182,205413,1411,1771,5349,3558,3729,4778,1357,171,40,22164,1166,1447,2155,2066,2072,1618,638,300,132,11605,35934,51864,115046,118813,129115,102915,24144,2953,507,581287,3275,4567,5564,4757,4747,3513,208,50,20,26694,4365,2455,2817,2490,2246,2391,445,56,16,17287,7639,7022,8382,7249,6996,5907,656,107,32,43986,43575,58885,123432,126064,136103,108822,24799,3056,541,625270,38012,15554,29011,27640,32861,70332,132824,88111,37568,471915,4942,5673,10973,10137,11827,13016,13289,11157,7449,88463,86529,80110,163411,163839,180793,192171,170916,102322,45558,1185649
SOS12,2133,2152,4550,6363,7852,6144,1184,128,21,30526,1972,776,1754,1718,2185,4925,7526,3817,1476,26142,237,207,506,553,667,809,684,488,225,4379,4340,3132,6809,8638,10703,11875,9401,4432,1724,61045,898,2448,5627,7608,9567,6907,1124,107,26,34308,2379,1549,2798,3981,4716,4648,1537,215,23,21845,166,146,449,375,479,605,194,28,0,2434,127,129,193,207,277,228,85,48,14,1298,3565,4268,9070,12169,15035,12386,2936,393,60,59891,293,370,445,437,503,496,21,3,0,2560,380,178,208,242,250,311,64,6,0,1629,672,541,657,672,753,804,80,11,0,4193,4237,4810,9725,12849,15791,13188,3021,405,64,64086,4131,1268,2423,2609,3807,8831,14817,7658,2548,48094,543,431,1006,1115,1335,1664,1476,945,365,8880,8907,6513,13157,16573,20935,23683,19314,9009,2974,121062
SOS13,7986,8335,16074,24047,32288,25291,7333,1353,193,122906,7734,2250,5123,5835,7388,14796,20509,9032,3092,75753,1298,947,1939,2609,3499,3684,2912,1401,669,18962,17018,11532,23136,32498,43171,43769,30752,11785,3961,217622,4608,10768,21813,30652,42839,32338,9390,1917,272,154594,8861,5562,8878,14484,18620,18521,8184,1718,275,85105,594,504,1693,1425,1869,2362,931,204,47,9613,572,530,758,987,1208,998,618,345,66,6089,14631,17362,33132,47544,64534,54217,19128,4188,665,255400,733,1006,1150,1193,1533,1276,86,8,6,6992,1285,476,557,618,764,949,176,23,7,4853,2009,1487,1714,1812,2293,2229,264,27,10,11846,16640,18841,34842,49355,66829,56446,19387,4212,676,267240,16414,4114,7949,8944,12450,26670,41478,18948,5540,142489,2692,2175,4070,5284,7304,7829,6317,3019,1157,39843,35753,25135,46857,63585,86576,90948,67180,26179,7371,449576
SOS17,9,3,17,13,17,13,11,0,0,72,0,0,0,4,10,32,40,13,5,110,0,0,3,0,8,5,14,8,0,41,7,4,24,14,31,53,60,24,7,220,3,3,16,5,16,6,0,0,0,48,3,0,3,4,4,6,7,0,0,25,0,3,7,8,15,3,6,0,0,43,0,0,0,3,0,3,0,0,0,4,6,3,23,27,30,25,10,0,0,130,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,6,3,23,27,30,25,10,0,0,130,3,3,5,4,12,36,73,24,9,185,0,3,4,0,8,10,20,17,0,63,12,9,32,34,50,74,108,42,10,374
SOS19,84,295,554,250,241,194,35,3,0,1646,106,192,265,203,236,400,352,87,35,1876,46,131,271,182,169,131,88,30,14,1063,232,615,1091,629,646,732,477,120,48,4590,53,288,703,408,289,194,38,3,3,1977,49,193,294,165,168,135,40,3,0,1047,6,19,49,19,26,30,8,0,0,148,8,33,44,37,21,15,0,0,0,158,112,528,1094,630,507,376,89,7,4,3331,45,112,204,133,120,82,5,0,0,699,26,48,72,29,25,34,7,3,0,245,68,152,277,169,143,113,11,3,0,941,183,683,1372,797,653,491,96,8,4,4272,221,394,575,437,539,786,852,203,56,4062,114,285,759,662,610,445,240,72,21,3220,517,1358,2703,1900,1798,1722,1196,282,78,11545
