SOS_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SOS10,251,52,795,432,1179,148,2856,586,112,1307,892,3795,148,6835,5818,848,15329,9468,31060,2247,64766,1625,236,2759,1904,5139,270,11938,3990,682,16497,12258,82131,4297,119860,4901,668,11575,5424,10583,1208,34359,6076,822,17573,9200,19706,2373,55756,3135,451,12453,10054,14091,2004,42187,4710,863,12323,9692,22014,2788,52396,5335,991,13591,4892,5052,929,30785,14559,2953,31893,9205,5944,1639,66197,2262,453,5929,3825,5645,750,18867,26110,4336,59654,13102,9912,2840,115958,2568,479,8400,4486,9187,1233,26346,8794,2715,17959,12713,17592,1589,61358,16927,3410,20968,4242,5165,1041,51759,12635,2318,25908,7515,9228,1916,59524,1343,339,4906,2366,4062,501,13512,2399,456,5764,3737,22727,1014,36094,4611,588,11547,5766,16250,5932,44689,128650,23763,297128,131167,300465,34873,916055,157,39,502,303,465,106,1571,211,47,420,160,227,43,1104,2924,569,9469,5153,6078,1276,25475,559,132,1261,536,713,105,3306,1624,351,5395,4128,5062,847,17409,3400,549,8671,4294,4289,858,22061,5007,958,20878,13239,18309,3389,61784,2586,426,12297,8952
SOS11,176,64,882,674,3306,458,5558,214,104,863,874,7345,265,9663,358,128,1637,1657,12527,809,17105,171,53,456,798,3232,138,4854,178,83,1275,1632,26955,981,31108,102,33,485,565,3530,234,4945,311,82,1523,1351,8653,687,12605,212,58,1097,1384,5681,586,9019,124,70,643,1067,6454,676,9025,72,55,423,319,1039,88,1996,193,111,833,856,685,66,2737,53,43,398,460,1416,131,2503,922,479,3921,1544,2137,296,9297,92,60,489,658,3278,314,4899,1140,679,3554,4225,7952,560,18115,2300,1184,5677,1312,1970,249,12694,1671,543,4722,2373,4066,436,13815,90,54,410,348,1210,115,2225,249,87,748,624,8376,291,10370,182,60,645,639,5013,1260,7803,8818,4012,30692,23347,114819,8652,190339,85,62,515,384,792,182,2014,75,21,263,173,526,48,1113,165,84,958,939,2209,358,4708,52,19,219,191,412,43,938,62,47,532,768,1713,205,3329,38,40,292,360,924,103,1756,245,170,2085,2727,8724,1208,15155,187,120,1582,2235
SOS12,10,7,91,96,648,98,947,5,10,52,73,572,26,733,20,12,123,151,1328,80,1702,14,10,47,65,397,16,553,15,14,154,237,3185,145,3747,19,0,43,53,313,20,456,21,7,137,145,813,71,1194,20,7,111,96,625,57,918,4,11,77,106,796,59,1048,10,4,38,44,96,10,206,39,11,68,71,85,4,276,3,0,29,45,139,12,232,111,50,417,167,256,35,1034,5,9,48,64,333,23,486,98,60,354,504,781,66,1863,209,124,619,101,220,36,1305,139,61,378,224,358,43,1198,14,3,66,41,179,12,323,11,6,59,58,999,29,1167,25,9,76,51,597,153,920,790,410,2982,2398,12715,1012,20305,4,3,67,76,142,30,324,0,0,18,24,32,5,78,9,9,100,86,210,40,455,8,6,17,17,39,4,92,6,7,74,97,207,24,419,9,8,36,45,105,16,218,27,17,191,277,827,129,1467,6,12,158,273
SOS13,443,180,2572,2541,9135,1320,16192,80,28,258,343,2529,128,3366,127,34,634,619,4613,276,6309,51,13,150,332,1197,53,1790,85,42,664,927,12414,563,14705,61,20,348,301,1473,117,2327,68,31,473,413,2413,207,3613,57,30,283,309,1290,166,2127,52,27,240,393,2760,250,3724,44,14,175,136,339,35,739,128,44,427,299,236,42,1173,35,13,196,257,626,79,1198,616,204,2129,660,928,158,4696,55,26,169,223,1130,107,1711,472,257,1383,1352,2540,196,6195,677,351,1734,491,807,113,4171,553,178,1455,693,1057,152,4085,45,16,230,160,554,56,1063,73,20,196,196,3644,103,4227,125,37,391,369,2351,633,3900,3846,1579,14112,10996,52034,4750,87309,257,293,2138,1882,2592,800,7955,17,8,102,86,188,18,419,58,44,466,440,845,170,2023,19,17,91,88,113,22,345,46,33,375,526,991,173,2148,43,19,261,248,490,80,1141,87,72,852,935,2474,445,4861,71,37,520,656
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,6,3,19,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,12,0,22,3,46,0,0,3,0,18,3,18,0,0,6,7,44,9,63,0,0,3,4,10,0,15,6,0,20,21,151,9,219,3,0,8,0,3,0,19,5,3,16,10,30,3,71,4,0,42,22,42,5,112,3,0,7,10,43,3,69,3,0,6,3,0,4,20,5,0,19,5,0,3,31,0,0,0,0,12,0,19,30,5,45,12,13,3,112,4,0,12,3,23,0,47,4,3,22,12,37,0,84,10,5,18,7,10,0,53,9,0,30,6,12,3,72,5,0,11,7,18,0,38,3,0,7,3,29,4,48,3,0,20,3,46,28,100,116,24,316,132,567,90,1251,3,0,20,4,7,0,40,0,0,0,0,0,0,5,3,0,14,3,4,0,33,0,0,0,0,0,0,3,5,0,7,3,4,0,16,0,0,0,0,3,0,13,7,0,16,13,11,0,51,4,3,43,21
