SOS_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOS10,87097,55350,36777,18739,5463,1304,303989,1674,15544,19042,16365,14821,7269,1927,433,77081,69444,251416,193545,129200,90308,47953,17772,5538,805166,29448,85745,89075,82368,59866,34401,14240,5133,400284,53156,113005,105897,106452,82164,51992,26101,9088,547851,7287,7448,7876,7540,5941,3238,970,360,40667,5891,10631,14902,18970,18619,14114,5857,2481,91457,66333,131086,128669,132968,106718,69344,32938,11925,679982,3042,7535,7500,7805,7926,6461,3346,1476,45092,49459,67254,52991,48975,45528,42639,35426,25989,368260,224865,652375,577913,473033,361948,226813,111098,51804,2679848
SOS11,5658,5429,5386,3553,1145,252,26121,274,2378,3247,3546,4610,2478,638,125,17290,5136,24806,24712,18638,18655,12382,4961,1507,110795,4132,13855,17204,18784,18903,13013,5612,1707,93214,23186,46427,41494,43040,38507,25710,12348,3689,234405,4005,3568,2866,2964,2560,1565,437,114,18080,1969,2994,3758,5210,6269,5439,2375,788,28805,29165,52991,48116,51219,47330,32715,15164,4597,281287,479,942,942,1212,1832,2005,1135,464,9006,17028,15475,14660,17177,19823,22864,20216,12568,139811,56417,114938,114548,116006,116538,89011,48870,21211,677536
SOS12,488,567,646,456,106,12,2556,12,191,303,376,565,288,50,8,1805,361,1730,2459,2177,2284,1389,415,83,10896,308,1173,1717,2231,2329,1475,503,99,9834,2105,3888,4518,5195,5072,3249,1169,284,25478,306,267,301,304,313,179,37,10,1724,173,240,411,638,757,556,182,65,3016,2577,4400,5230,6139,6138,3991,1388,352,30212,26,66,77,127,187,211,79,26,807,1738,1295,1514,1948,2513,2531,1711,658,13920,5040,9117,11789,13572,14675,10337,4246,1246,70028
SOS13,1992,2722,2931,2024,484,91,11452,61,578,1198,1719,2214,1067,183,21,7044,1777,7307,10451,10499,10461,6281,1594,364,48741,1402,4114,6867,9596,9492,5644,1653,353,39116,7681,13238,15996,20417,18030,10495,3370,613,89846,1079,898,1126,1286,1176,620,126,16,6326,650,934,1565,2593,2849,2131,637,129,11491,9411,15066,18691,24298,22056,13245,4135,761,107664,160,237,357,628,848,782,285,87,3383,7898,5631,7078,9732,10873,9467,4951,1699,57325,20820,34038,46633,59187,58874,38508,13290,3381,274729
SOS17,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,0,6,5,3,7,3,0,3,35,0,8,0,3,6,13,3,0,31,4,4,9,11,8,20,3,3,61,0,0,0,0,0,3,0,0,3,3,0,0,3,4,0,0,0,8,5,4,7,11,11,23,3,3,74,0,0,0,0,0,0,0,0,3,7,7,6,6,13,21,14,0,69,8,30,15,24,43,60,25,3,212
SOS19,85,39,31,20,12,0,365,3,31,23,23,26,11,0,0,120,199,494,197,146,110,88,16,4,1247,75,146,99,99,128,100,14,3,663,154,314,226,252,265,169,18,3,1416,42,23,22,12,15,11,0,0,126,33,33,29,26,49,23,4,0,195,232,363,277,290,333,205,23,7,1738,11,21,14,13,10,15,5,0,83,448,798,701,670,495,283,90,29,3513,989,2023,1392,1284,1142,722,150,41,7741
