SOS_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SOS10,11522,3609,5199,904,21234,4173,1215,1954,346,7691,3381,2321,5848,503,12058,2204,1690,6507,277,10680,18057,5676,10961,929,35630,10075,8468,17028,976,36545,49486,14214,19054,1787,84546,28437,21813,20597,2385,73235,37273,34251,22806,2734,97053,34867,39545,18055,2538,95005,23651,39846,14340,1741,79579,25740,41909,11692,1623,80964,54746,90568,17517,2997,165829,37941,71329,8055,1720,119043,25267,53105,3595,878,82843,18255,43691,4548,477,66968,43495,116512,4508,890,165403,30186,72760,19155,1131,123236,7510,5891,4173,468,18038,466272,668407,215583,25308,1375577
SOS11,1655,412,867,62,2996,1150,186,561,66,1962,958,334,2096,117,3507,643,193,3199,62,4105,7915,1111,5201,269,14492,4325,1548,8938,276,15081,27528,3344,9306,621,40800,14335,5718,8928,779,29754,17312,10483,8126,745,36667,15710,12479,5468,569,34222,8660,11818,3554,288,24326,9133,11583,2751,282,23751,15625,21941,3126,336,41028,8540,15252,1078,155,25019,4527,9354,374,62,14319,2446,5577,465,16,8511,4688,9394,390,53,14526,10238,17444,6452,334,34460,3913,1449,2149,188,7693,159302,139608,73028,5285,377220
SOS12,197,42,61,3,308,144,31,50,5,237,133,56,208,17,410,91,20,288,3,405,964,129,480,29,1606,589,172,789,27,1576,3176,360,771,62,4374,1567,658,729,82,3036,1940,1180,690,60,3869,1719,1312,446,52,3532,881,1247,295,27,2454,1010,1227,208,18,2464,1569,2295,276,28,4164,845,1558,99,17,2522,465,972,32,3,1481,292,583,54,4,936,503,1070,40,3,1610,1193,2131,673,32,4030,431,172,190,28,822,17712,15232,6384,493,39831
SOS13,1055,281,259,25,1620,682,157,163,20,1020,568,237,517,17,1337,313,131,702,21,1166,3345,545,1128,75,5093,1821,784,1672,60,4331,8475,1423,1625,149,11668,5311,2436,1722,171,9629,6921,4084,1560,192,12765,6044,4711,1128,122,12003,3450,4367,814,78,8699,4094,4528,647,77,9343,6604,8678,904,98,16275,3948,6594,345,63,10949,2374,4457,137,25,6989,1429,2946,180,14,4575,3526,7024,235,26,10818,4675,9915,1766,73,16421,1607,817,418,52,2892,66237,64109,15908,1350,147607
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
