SOS_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SOS10,66558,30815,32751,63564,29786,31184,60973,29611,31795,61406,28697,30655,59347,151517,160336,311851,27695,29723,57422,26681,28733,55413,25802,27972,53777,25304,27380,52687,23878,26140,50014,129364,139949,269317,23792,25546,49335,23276,25163,48436,22329,23906,46228,22757,24034,46790,23038,24749,47788,115188,123395,238588,19664,21190,40856,18308,19830,38131,17748,19160,36913,15303,17073,32372,14840,16611,31453,85859,93869,179728,13965,15877,29847,13464,15116,28582,12399,14580,26982,11522,13995,25518,11047,13468,24507,62393,73041,135439,43407,56429,99838,27554,42346,69901,10930,22168,33107,2113,5791,7904,117,491,607,2613075,2696512,5309583
SOS11,20047,9370,10273,19640,9506,10354,19862,9186,10120,19311,9209,9950,19160,46900,51120,98014,9258,9721,18975,8924,9804,18720,8847,9717,18565,9164,9839,19004,9084,9798,18886,45277,48880,94156,9069,9719,18795,8961,9459,18421,8789,9579,18374,8997,9444,18443,9867,10308,20177,45689,48521,94204,7873,8577,16448,7824,8456,16281,7483,8154,15637,6780,7499,14276,6664,7400,14062,36626,40089,76713,6087,6863,12951,5755,6642,12394,5506,6418,11920,5072,6045,11117,4913,5979,10889,27334,31945,59276,18626,24424,43052,11344,17829,29170,4166,8769,12933,768,2340,3102,56,296,348,706317,750755,1457064
SOS12,2427,1126,1173,2299,1181,1250,2428,1161,1212,2374,1159,1254,2419,5859,6077,11935,1180,1187,2366,1220,1182,2406,1175,1165,2340,1184,1171,2353,1190,1095,2278,5951,5795,11747,1148,1102,2248,1169,1119,2287,1141,1048,2193,1081,1036,2116,1137,1125,2261,5681,5421,11103,1025,885,1901,864,852,1721,868,825,1696,729,726,1460,753,687,1434,4239,3975,8208,661,636,1300,615,590,1213,585,537,1126,533,461,993,504,465,970,2899,2692,5596,1675,1736,3415,907,1122,2031,280,456,737,60,129,195,3,17,21,74085,74476,148561
SOS13,9932,4846,4671,9521,4697,4583,9277,4566,4548,9116,4785,4398,9185,23981,23051,47029,4825,4154,8983,4719,4318,9040,4604,4107,8716,4611,4171,8781,4433,3966,8396,23199,20713,43915,4435,3936,8370,4470,3805,8275,4045,3503,7545,4149,3547,7697,4230,3609,7844,21325,18403,39733,3494,2862,6355,3324,2720,6045,3108,2536,5646,2545,2168,4715,2630,2068,4696,15102,12347,27452,2254,1841,4093,2043,1648,3693,1805,1516,3315,1677,1311,2990,1502,1183,2678,9278,7497,16777,5115,4284,9401,2498,2560,5056,732,1070,1806,169,297,470,9,33,46,285013,267300,552316
SOS17,13,5,3,8,0,6,6,0,4,4,0,3,3,12,23,35,5,6,13,0,3,3,0,3,3,4,8,10,4,6,16,16,26,42,3,7,7,4,10,7,6,10,13,8,12,21,5,10,12,26,36,63,4,3,10,0,9,9,3,4,6,4,5,12,3,9,12,21,28,46,0,10,8,0,0,0,0,4,3,0,3,4,0,3,3,5,14,22,10,10,19,3,7,7,3,0,3,0,0,0,0,0,0,171,239,412
SOS19,190,100,60,154,103,61,165,110,80,185,94,70,159,514,341,850,119,100,225,77,74,157,94,75,173,88,79,160,90,67,153,477,391,866,114,80,191,88,69,157,74,61,138,90,56,147,94,55,145,458,326,779,81,41,124,69,30,95,39,33,73,37,27,57,40,15,62,266,154,413,37,24,61,26,17,46,28,11,38,22,16,32,11,11,24,121,78,199,43,38,83,25,27,47,4,19,26,3,3,4,0,0,0,7351,4939,12288
