SOS_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
SOS10,54,228,1589,3830,861,566,244,73,17,7457,157297,279004,244730,395795,171984,140856,95076,47203,20019,1551960,187,558,1290,8563,1467,934,180,17,7,13206,3,16,179,1109,714,663,368,262,42,3349,19,96,332,1795,1317,1040,578,182,69,5419,71,282,430,2147,944,587,288,113,39,4901,20,86,180,1836,1263,947,1190,373,41,5929,812,2816,19322,38643,14515,12876,6789,4069,1465,101320,9,30,126,861,1063,1265,1597,1602,286,6843,87,433,394,2391,1262,1877,1827,998,363,9642,708,4354,4220,22576,17567,13865,13570,7216,2496,86569,27,335,982,5718,3249,2597,1220,467,86,14686,47,267,489,2854,736,373,321,132,44,5272,41,243,500,2090,1338,1121,2741,1283,446,9811,22,192,263,782,1122,2092,3484,4030,1238,13232,189,715,2555,6775,2725,4156,1811,585,118,19645,1569,4343,7158,43625,7248,4278,2464,1101,339,72124,99,439,2501,6450,1639,1262,947,364,101,13797,77,565,974,6464,1680,1243,725,306,102,12124,157,1385,2704,7725,3990,2387,1196,527,134,20217
SOS11,0,16,79,143,50,14,8,0,0,315,42540,84889,74479,129591,69016,72864,60209,32742,11560,577888,7,25,11,290,35,17,8,0,0,393,0,0,3,15,19,17,7,28,0,92,0,3,7,39,12,5,10,0,0,77,16,62,57,256,157,132,98,43,5,826,0,3,8,59,62,45,60,26,4,266,10,66,274,602,257,168,148,54,14,1600,0,0,4,21,66,75,131,162,15,479,3,37,17,103,47,56,98,45,15,415,78,504,513,2031,3110,3730,5468,3217,1071,19714,3,39,50,277,133,116,51,22,11,708,3,13,26,131,69,66,85,33,13,442,3,31,38,165,224,410,979,535,130,2512,0,9,14,30,41,77,151,130,28,482,3,27,59,135,66,110,29,17,3,449,82,288,223,2487,368,250,185,99,25,4012,3,21,38,89,37,28,47,41,21,334,3,34,31,150,29,24,13,9,5,289,7,19,14,91,26,17,14,9,0,187
SOS12,0,0,0,0,0,0,0,0,0,0,3905,9108,7225,12035,8209,9297,7179,3257,906,61124,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,8,4,35,12,19,17,3,0,101,0,0,0,3,3,0,10,3,0,22,0,3,3,17,6,7,11,8,0,68,0,0,0,3,9,9,10,10,0,42,0,0,3,6,6,7,13,3,0,28,3,47,32,233,374,531,716,346,70,2353,0,0,0,9,6,9,3,0,0,29,0,4,5,11,7,10,15,4,0,48,0,3,3,16,30,77,123,51,23,323,0,5,0,0,4,8,13,10,3,40,0,3,0,12,8,8,3,0,0,38,5,4,12,73,18,5,16,14,3,151,0,0,0,3,0,3,7,4,0,20,0,0,3,6,5,3,0,0,0,17,0,0,0,3,3,0,0,0,0,6
SOS13,0,0,5,10,3,0,0,0,0,17,13400,34992,28634,45314,34117,36067,25593,9669,2361,230151,0,0,0,12,6,0,0,0,0,24,0,0,5,6,9,12,17,9,0,53,0,0,0,13,6,3,7,0,0,30,0,13,18,80,65,75,60,4,0,319,0,0,4,29,26,22,17,3,0,100,0,23,56,159,116,85,63,26,4,529,0,0,0,9,33,66,75,69,15,269,0,0,0,10,19,32,41,14,0,115,23,151,192,683,1441,1901,2197,933,178,7693,0,4,11,52,48,43,22,8,0,187,4,11,18,40,41,45,50,12,3,220,4,18,15,97,129,234,425,183,32,1143,0,0,3,14,20,65,79,52,11,237,0,10,10,41,23,29,14,7,4,126,8,8,29,173,76,69,84,33,7,495,0,6,8,19,8,15,20,19,0,95,0,0,5,22,24,23,13,0,0,91,0,0,7,33,26,33,13,4,3,122
SOS17,0,0,0,0,0,0,0,0,0,0,8,7,11,18,19,13,16,8,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,3,3,0,0,0,0,0,7,144,145,542,1602,714,615,433,91,20,4304,0,0,0,10,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,11,0,0,0,9,0,3,0,0,0,12,0,3,57,38,5,12,0,0,0,111,0,0,0,3,3,4,0,0,0,7,0,0,0,7,0,3,0,0,0,16,3,0,56,61,38,42,54,14,4,277,0,0,0,9,3,3,0,0,0,14,0,3,9,21,3,0,0,0,0,36,0,0,14,13,3,3,6,3,0,50,0,0,0,0,0,3,3,0,0,10,0,0,4,6,3,0,0,0,0,18,3,0,15,62,0,3,0,0,0,94,0,0,4,6,0,4,4,0,0,19,0,0,0,15,0,0,0,0,0,14,0,3,0,8,4,0,0,0,0,21
