SOS_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS10,..,28461,35116,8754,6593,6754,4140,1712,591,92117,..,7115,21115,21549,24985,39832,47351,41107,24757,227809,5817,8400,9589,4579,4033,4861,4305,2843,1467,45889,457696,315540,395677,360275,331400,281180,200086,114345,47986,2504188,..,16875,303838,448920,406530,341932,242621,113312,25574,1899596,..,29895,119493,71230,51824,29692,11876,2866,489,317354,..,5302,23381,47896,61812,38450,17363,12896,8487,215586,929215,..,..,..,..,..,..,..,..,929215,..,279050,..,..,..,..,..,..,..,279050,..,161696,120534,35762,22357,10454,1862,72,3,352748,..,33643,27352,9804,11410,19035,17034,13112,7854,139237,..,25077,31012,9286,6754,4678,1889,679,255,79635,..,59141,82917,22730,16367,14968,9072,3472,1084,209750,..,14531,47223,49975,57130,72531,74265,57294,33370,406320,11910,16273,20198,11304,9332,8842,7120,4411,2071,91460,941128,641489,775937,706910,643520,540573,383101,208106,79190,4919959
SOS11,..,4609,3511,1322,2217,2707,1751,783,211,17112,..,2356,4904,4437,9242,17942,21702,20390,11386,92355,2588,3761,2494,1303,1793,2698,2406,1493,677,19204,124931,74015,77083,78300,86749,90700,78785,48342,18879,677792,..,3668,55042,80689,88062,99312,91848,46884,9788,475289,..,15914,31649,21041,18401,12781,6322,1699,272,108071,..,3915,12287,18207,18824,9041,4401,3754,2589,73026,250862,..,..,..,..,..,..,..,..,250862,..,51409,..,..,..,..,..,..,..,51409,..,41979,16513,7187,5803,3364,617,24,0,75494,..,6527,2798,1370,2523,3958,3671,2530,1597,24981,..,4402,3185,1500,1470,930,462,151,57,12156,..,9267,8490,3516,4792,5462,3785,1587,386,37284,..,4894,12045,12457,21155,33381,35530,28914,15177,163550,5353,7308,5877,3623,3898,4697,4263,2347,942,38304,256213,149284,147878,149584,164922,172935,150913,87889,30809,1310430
SOS12,..,130,166,100,227,330,197,76,16,1246,..,126,280,289,822,1653,1844,1396,614,7026,207,321,215,145,219,366,295,131,55,1954,12539,6841,6212,7964,9862,10712,8401,3923,1261,67725,..,265,4377,8573,10935,12743,10720,4332,785,52719,..,1127,2597,2363,2481,1852,882,211,27,11540,..,308,947,1550,1652,880,468,367,210,6383,25311,..,..,..,..,..,..,..,..,25311,..,5645,..,..,..,..,..,..,..,5645,..,4518,1809,749,611,335,49,0,0,8067,..,550,223,154,283,423,445,300,213,2592,..,429,260,179,195,133,61,26,7,1282,..,296,415,247,483,693,412,178,43,2761,..,287,716,951,2071,3596,3506,2345,911,14385,446,665,513,390,483,656,589,224,82,4059,25760,14092,11863,15150,19194,21305,17127,7993,2281,134754
SOS13,..,487,484,341,767,1003,578,164,36,3855,..,333,635,742,1914,3678,3861,2484,1096,14744,745,1188,746,425,739,1102,824,331,111,6204,45635,24977,20678,29456,38931,38854,26991,10390,3063,238974,..,1002,16393,37237,51261,53938,40667,14189,2175,216853,..,2919,7810,7425,8749,6845,2943,551,84,37327,..,607,1927,3457,4303,2444,1376,1099,694,15909,92823,..,..,..,..,..,..,..,..,92823,..,22944,..,..,..,..,..,..,..,22944,..,17748,7846,2933,2183,963,158,8,0,31843,..,1531,686,417,811,1511,1601,1215,877,8648,..,1513,1119,578,697,693,340,126,45,5118,..,983,1133,811,1628,2176,1326,406,86,8553,..,935,2004,2678,5888,9652,8818,4767,1786,36526,1488,2375,1820,1165,1717,2191,1658,637,165,13221,94311,52557,40755,56705,77236,80415,58885,23008,5906,489768
SOS17,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
SOS19,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,222,417,504,270,247,302,191,43,15,2212,222,417,504,270,247,302,191,43,15,2212,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,474,901,1278,812,691,673,420,92,19,5356,474,901,1278,812,691,673,420,92,19,5356
