SOS_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
SOS10,0,0,45,591,680,767,700,564,145,3489,81,566,1109,5899,2551,2160,1239,495,164,14264,78,164,586,3195,342,441,309,57,10,5183,140,419,1237,5259,681,408,143,39,3,8334,24,40,160,1140,1574,1991,1958,882,225,7990,42,97,308,1965,1841,1040,716,318,50,6383,427,1563,1524,4134,1871,1247,850,241,76,11932,211,783,2765,11968,8860,7949,2874,1035,435,36875,9,61,99,759,622,516,474,264,95,2904,9,117,360,994,536,333,112,26,7,2486,1139,4617,8442,37580,16651,13442,11014,6165,2319,101368,8313,13919,19272,52351,21186,18169,14316,8687,4143,160353,174281,331138,352991,789461,336739,280884,201050,105800,40722,2613075,56,234,910,2330,707,518,232,71,26,5085,148645,263850,234464,399822,177371,148526,107340,63448,39171,1582653,149,521,1183,6741,1078,432,104,27,10,10245,0,17,144,1172,735,711,351,278,55,3465,18,88,402,2563,1402,1284,587,257,122,6720,72,286,542,2650,903,602,325,102,55,5528,16,64,160,1733,1309,1163,1274,427,131,6280
SOS11,0,0,0,11,50,48,90,75,17,291,8,67,30,286,102,70,59,21,4,640,0,15,82,313,19,10,4,0,0,442,24,72,116,166,41,16,3,3,0,449,0,0,3,19,19,35,29,14,3,119,3,7,4,61,42,27,18,3,0,170,31,161,150,369,260,218,320,85,24,1616,13,29,73,295,104,48,14,3,0,581,3,16,16,81,118,126,158,88,31,631,0,54,47,181,98,85,38,6,3,507,92,410,446,1884,975,1060,1231,799,306,7204,2490,4952,5672,12248,7497,8295,7884,5072,2176,56274,45663,93331,84281,159362,86907,92178,82312,45959,16330,706317,0,21,37,61,19,3,3,0,0,144,40571,80710,72654,136057,74379,78919,66182,41877,21494,612842,9,27,16,221,10,8,3,0,0,302,0,0,0,15,19,20,10,13,0,76,0,12,14,67,9,15,9,0,0,126,15,50,60,379,178,152,120,49,16,1037,0,7,5,70,64,62,55,22,4,298
SOS12,0,0,0,0,6,3,6,3,0,21,0,0,3,14,3,3,3,0,0,22,0,0,0,16,3,0,0,0,0,19,0,5,3,7,0,0,0,0,0,23,0,0,0,0,4,0,3,0,0,8,0,0,0,0,9,0,0,0,0,14,0,20,9,29,31,30,38,11,3,170,0,4,0,21,9,0,0,0,0,37,0,0,0,11,11,16,24,10,0,80,0,0,0,9,12,13,0,0,0,35,0,21,15,101,119,106,146,82,18,598,232,578,529,1196,917,1151,1026,547,165,6337,4155,9914,7948,14285,10233,11809,9916,4576,1252,74085,0,0,0,0,0,0,0,0,0,0,3605,8744,6776,12777,8452,9251,6870,3247,1279,60998,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,8,0,7,9,50,28,16,13,3,0,122,0,0,0,7,9,8,10,0,0,31
SOS13,0,0,0,3,16,44,41,34,4,142,0,9,6,32,18,24,12,7,0,104,0,3,10,34,13,9,8,3,0,83,8,22,22,47,8,7,4,0,0,110,0,0,0,5,18,24,8,0,0,59,0,0,6,10,12,8,3,5,3,53,15,75,64,159,130,159,164,37,13,827,3,9,11,66,27,29,9,0,0,154,0,4,0,31,47,49,78,28,3,240,0,3,12,38,29,29,26,3,0,147,11,83,92,448,457,549,626,339,71,2661,1040,2786,2708,5468,4689,5196,4184,1843,463,28373,14561,38497,32338,54806,43405,47179,36434,14394,3412,285013,0,0,0,0,0,0,0,0,0,0,12355,32958,25232,45054,33308,32839,21580,8190,2811,214320,0,0,3,9,8,0,0,0,0,18,0,0,0,14,8,12,10,0,0,49,0,0,0,23,4,13,3,0,0,42,4,9,25,126,92,97,44,9,8,422,0,0,0,24,30,26,22,0,0,105
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,11,10,7,12,27,25,22,48,16,3,171,0,0,0,0,0,0,0,0,0,0,3,11,8,24,12,21,22,15,4,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS19,0,0,0,3,3,3,3,0,0,9,0,0,0,3,0,0,0,0,0,8,0,0,9,28,0,0,0,0,0,35,0,0,3,15,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,3,0,0,0,6,4,3,0,0,0,14,5,0,19,10,0,7,8,3,0,44,0,0,10,9,11,10,0,0,0,38,0,0,7,4,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,4,8,26,99,38,33,20,5,0,235,15,28,173,604,222,172,121,35,8,1379,188,202,1031,2882,1148,986,719,162,32,7351,0,0,0,0,0,0,0,0,0,0,110,139,407,848,383,470,287,59,27,2726,0,0,3,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,11,11,3,0,0,0,0,24,0,0,0,9,3,0,3,0,0,12
