SOS_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SOS10,466272,931935,10497,60290,62440,292598,15331,71296,356616,1381570,444880,1805761,39244,166998,58602,203941,125682,408358,223526,779295,668407,2585056,2836,13439,13961,50291,6823,24755,71685,194784,95303,283270,10398,33953,23939,54832,85941,189556,120280,278343,215583,561613,25308,54195,1375577,4132792
SOS11,159302,315567,2467,13755,13629,63382,4726,21515,77314,305397,98133,404044,5655,23059,9596,30850,26224,81518,41478,135432,139608,539476,973,4528,5246,19000,2904,10577,31661,88277,40782,122379,2282,7071,6047,12997,23913,50641,32244,70715,73028,193087,5285,11000,377220,1059134
SOS12,17712,35042,315,1762,1553,7264,539,2479,7839,31346,10248,42858,651,2639,1240,3991,3098,9639,4986,16273,15232,59130,100,446,466,1690,253,942,2688,7595,3501,10678,205,625,488,1046,2192,4699,2880,6371,6384,17045,493,1042,39831,112259
SOS13,66237,130985,1374,7583,7299,33685,2287,10453,30507,124641,41464,176363,3295,13467,5362,17287,13988,44092,22645,74846,64109,251207,182,826,1104,3986,552,2007,5940,16569,7778,23391,528,1630,1356,2906,6244,13365,8129,17901,15908,41291,1350,2859,147607,426346
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
