SOS_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOS10,2613075,2696512,5309583,174281,165134,339417,331138,313341,644487,162451,154257,316706,190536,186005,376543,415091,426273,841359,374373,382594,756967,336739,351096,687831,280884,300284,581173,201050,217264,418310,105800,129473,235279,40722,70794,111515,2513898,2606313,5120214,99177,90194,189374,41840,42963,84803,1253,1188,2442,862,915,1779,43963,45065,89030,1551960,1582653,3134610,900759,951603,1852362,1599417,1625278,3224696,860364,922173,1782534,2095521,2170812,4266340,40469,38326,78797,305951,290084,596034,128090,126134,254224,86062,88560,174621,94952,134205,229164,1232563,1298374,2530939,116964,107578,224545,382406,397498,779905,105948,116159,222113,83747,99179,182927,23254,31981,55236,2418980,2506020,4925001,188651,184220,372874
SOS11,706317,750755,1457064,45663,43673,89333,93331,88752,182086,44063,42465,86529,40215,39894,80110,79780,83635,163411,79588,84256,163839,86907,93887,180793,92178,99993,192171,82312,88602,170916,45959,56366,102322,16330,29226,45558,662213,710058,1372272,44099,40699,84797,45394,46964,92358,901,850,1747,835,830,1663,47131,48644,95777,577888,612842,1190734,72146,77703,149849,619119,662454,1281567,33182,36308,69491,623790,668196,1291984,11055,10887,21942,84667,80527,165196,29031,29504,58530,8287,11503,19789,13929,28200,42122,194168,232732,426901,44065,45032,89101,175490,183463,358959,54548,57680,112226,35216,33808,69027,2401,2076,4477,632917,677074,1309990,77569,74787,152350
SOS12,74085,74476,148561,4155,3880,8040,9914,9550,19463,4567,4340,8907,3380,3132,6513,6347,6809,13157,7932,8638,16573,10233,10703,20935,11809,11875,23683,9916,9401,19314,4576,4432,9009,1252,1724,2974,69188,70203,139394,4897,4270,9171,4936,5007,9943,74,73,147,111,99,209,5121,5175,10298,61124,60998,122128,6623,7090,13713,66596,66785,133384,2092,2432,4523,66563,66949,133513,1074,1013,2094,8888,8543,17427,3006,3084,6094,630,805,1431,1054,2470,3528,18731,22612,41342,4513,4464,8977,20171,19187,39358,6069,5577,11643,4233,3087,7321,213,162,381,66969,67839,134809,9937,9058,18999
SOS13,285013,267300,552316,14561,13436,27997,38497,36247,74747,18729,17018,35753,13601,11532,25135,23718,23136,46857,31084,32498,63585,43405,43171,86576,47179,43769,90948,36434,30752,67180,14394,11785,26179,3412,3961,7371,267240,252391,519630,17776,14911,32684,10148,9200,19347,239,235,472,221,177,402,10616,9607,20226,230151,214320,444470,26484,26892,53379,246679,232822,479498,11661,11901,23564,250445,236304,486756,3825,3475,7302,34217,32415,66631,12779,12455,25228,2914,3473,6390,3690,8470,12165,79387,93825,173216,15938,15084,31024,74233,61444,135669,20663,15524,36182,13650,8244,21890,818,583,1398,250458,239639,490100,34630,27007,61637
SOS17,171,239,412,10,4,14,7,14,22,3,7,12,9,4,9,11,24,32,18,14,34,25,31,50,22,53,74,48,60,108,16,24,42,3,7,10,173,234,409,3,3,6,4,10,10,0,0,0,0,0,0,5,10,13,102,135,232,60,86,142,119,154,279,36,55,92,137,184,325,0,0,0,10,10,22,0,5,5,0,3,3,0,6,8,52,76,125,12,15,22,38,57,93,9,22,35,13,12,27,0,0,4,0,0,0,1415,1860,3279
SOS19,7351,4939,12288,188,149,338,202,200,402,285,232,517,746,615,1358,1615,1091,2703,1269,629,1900,1148,646,1798,986,732,1722,719,477,1196,162,120,282,32,48,78,0,0,0,7351,4939,12288,503,289,789,17,8,26,20,3,25,538,301,839,4304,2726,7028,1663,1346,3012,4175,3038,7212,997,821,1822,4199,3009,7203,24,19,43,148,158,304,90,82,172,137,141,283,179,254,430,2208,1965,4169,385,247,633,1339,826,2159,454,274,731,286,135,420,41,24,65,0,0,0,0,0,0
