CED_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
CED101,3703,492,4255,25738,8314,679,34726,86273,7396,128392
CED102,3134,778,3995,26591,7577,580,34751,99763,10777,145283
CED103,3630,535,4224,29031,7998,685,37713,95543,7289,140551
CED104,2920,674,3645,26595,9534,849,36983,74569,5584,117135
CED105,2803,424,3267,26285,6852,567,33704,92577,11461,137741
CED106,4258,765,5117,31583,8913,755,41252,80770,6354,128377
CED107,2915,640,3617,25026,10218,1144,36389,77714,15160,129260
CED108,1735,226,1980,28669,8675,889,38236,83869,9913,132022
CED109,3965,553,4576,23536,9389,671,33602,73369,7209,114180
CED110,4269,1288,5595,22021,9199,1040,32262,86182,13481,131922
CED111,3517,619,4206,24443,10869,1099,36403,83055,8767,128230
CED112,3560,1207,4809,25047,10488,1263,36789,76903,10418,124112
CED113,2427,744,3218,22335,8577,879,31793,76948,12159,120903
CED114,3374,997,4422,24147,9960,978,35078,82673,14833,132590
CED115,2616,285,2947,23286,7102,441,30827,91489,10591,132904
CED116,3732,1130,4897,19757,9899,975,30632,82796,12775,126202
CED117,2088,260,2391,23688,6193,848,30726,84493,10991,126207
CED118,1451,240,1711,34316,8472,931,43724,79319,8459,131500
CED119,2541,246,2827,27562,9999,942,38508,70844,5020,114365
CED120,1957,703,2705,26461,9967,1094,37523,72028,9626,119176
CED121,3117,725,3882,25761,11449,1109,38323,76999,10815,126136
CED122,2823,620,3521,25911,7762,713,34386,100713,14470,149570
CED123,1803,263,2105,29213,10490,1223,40928,79833,10437,131195
CED124,3685,1083,4814,18924,9229,792,28941,81140,11455,121542
CED125,1140,277,1445,28383,9914,970,39264,77884,8964,126110
CED126,3688,845,4599,27462,9678,923,38057,74022,7722,119796
CED127,2244,369,2641,23577,9937,1130,34649,72256,7604,114511
CED128,2134,361,2522,25709,8311,657,34675,87693,8918,131291
CED129,1921,253,2203,30756,9439,817,41012,74339,4658,120008
CED130,2950,785,3784,22500,8833,943,32279,78613,13562,124455
CED131,2669,1237,3958,24017,10414,1037,35472,82397,9135,127000
CED132,3270,422,3750,27768,7748,686,36201,88854,9070,134124
CED133,3720,738,4499,22049,9657,1169,32874,84914,13192,130979
CED134,2793,685,3535,22207,8944,948,32102,75307,14968,122377
CED135,2256,445,2743,33180,7217,601,40999,97158,12171,150329
CED136,2561,600,3193,25554,11159,1302,38020,76422,10222,124668
CED137,3222,365,3644,27810,7517,557,35880,105005,13166,154050
CED138,4138,1374,5565,22472,9131,983,32588,81108,13788,127476
CED139,3402,779,4237,23048,9448,990,33484,78572,13038,125092
CED140,3784,930,4747,22534,9858,1074,33470,75650,8880,117999
CED141,3040,756,3838,23370,11748,1076,36191,74462,7562,118216
CED142,1105,317,1456,15387,5498,436,21317,140312,24846,186472
CED143,2785,696,3536,27110,7966,848,35928,74495,8899,119324
CED144,2989,387,3434,28014,6852,596,35459,93670,10466,139594
CED145,2968,866,3919,21803,7034,603,29441,80118,13998,123563
CED146,1390,385,1801,28344,7931,678,36950,84531,10327,131818
CED147,2930,670,3641,24751,11383,1158,37291,76819,9104,123212
CED194,49,28,78,847,475,45,1373,6811,3361,11545
CED197,6,0,10,39,37,0,79,226,76,374
