CED_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED101,41510,44396,85906,3470,3718,7196,15869,16330,32201,209,200,405,276,296,577,82,85,168,85,68,157,19,23,44,23,16,42,72,87,154,0,0,0,16638,17101,33742,5549,6194,11746,346,309,652,26008,27320,53330,3408,3724,7127,70923,75446,146367
CED102,41581,43344,84931,4325,4051,8375,16845,16637,33478,358,323,678,386,419,807,137,134,270,152,111,263,40,41,79,44,31,72,132,151,279,0,3,4,18093,17848,35939,10621,11070,21694,508,481,990,33546,33452,66996,5256,5362,10617,80382,82160,162541
CED103,39805,42389,82198,4034,4199,8233,17906,18259,36165,458,428,890,508,521,1029,151,150,301,196,167,371,47,50,97,41,30,76,151,167,316,0,0,0,19468,19782,39245,10194,11238,21434,377,311,690,34066,35534,69606,3352,3577,6930,77222,81510,158728
CED104,43536,45113,88644,2959,3166,6127,14254,14743,28998,235,248,480,267,266,535,69,73,142,99,105,205,24,21,45,12,23,34,85,82,170,0,0,0,15045,15570,30615,2956,3323,6281,243,268,508,21209,22319,43527,2462,2747,5211,67207,70178,137388
CED105,44916,45459,90376,3989,3827,7821,15940,15663,31608,241,185,422,244,208,449,139,75,213,130,84,215,16,15,28,31,13,44,42,23,66,5,0,5,16790,16274,33058,10093,7655,17752,480,390,877,31354,28150,59498,6011,5319,11335,82279,78923,161207
CED106,38474,42202,80668,3941,4242,8186,17652,18772,36423,426,433,866,432,461,890,151,171,321,189,191,377,36,42,75,26,25,50,144,133,274,0,0,0,19049,20225,39273,7724,8639,16364,306,319,622,31022,33428,64447,2813,3289,6102,72307,78914,151222
CED107,39827,39961,79794,8753,9433,18184,14816,16011,30829,268,282,552,765,840,1608,111,112,225,212,191,405,50,67,116,59,60,122,129,140,271,0,6,8,16424,17697,34126,993,1103,2090,383,338,716,26548,28566,55119,8817,7069,15886,75196,75604,150795
CED108,44370,45876,90250,4004,4115,8126,18015,18363,36382,188,165,357,363,356,721,96,78,175,101,71,169,24,16,40,44,41,86,44,46,90,0,0,0,18872,19140,38014,4844,5361,10206,421,337,761,28141,28960,57100,5037,5256,10294,77556,80090,157643
CED109,36837,39494,76324,3768,4073,7840,15632,16614,32245,192,206,393,401,407,808,61,59,120,99,121,226,28,29,57,42,28,68,73,88,158,0,0,6,16527,17560,34088,2151,2407,4561,346,357,704,22799,24398,47194,3570,3723,7291,63203,67610,130812
CED110,38462,40629,79089,7745,8716,16464,14866,16513,31375,681,725,1401,1750,1720,3472,166,170,339,276,300,573,135,138,270,154,162,317,195,230,427,3,0,3,18213,19963,38177,1304,1575,2883,529,569,1099,27795,30826,58622,6671,6752,13424,72932,78210,151141
CED111,41147,42435,83578,4943,5074,10023,15806,16678,32486,252,303,557,449,458,899,62,90,150,158,136,295,62,64,126,52,45,99,237,278,514,5,3,4,17072,18055,35124,4298,3682,7982,399,392,790,26713,27210,53915,4447,4539,8978,72304,74175,146479
CED112,37959,40091,78049,5054,5616,10669,18889,20901,39793,193,200,394,628,676,1305,93,99,193,134,168,303,37,36,71,54,62,113,84,102,192,0,0,0,20122,22237,42362,1064,1162,2227,524,558,1091,26771,29576,56345,4906,5362,10259,69629,75029,144655
CED113,39008,38701,77712,6180,6661,12839,9576,9979,19554,1094,1115,2211,1015,1044,2065,194,192,388,277,272,553,97,103,204,222,190,410,3689,3797,7483,3,0,3,16172,16698,32865,1397,1550,2946,385,356,746,24134,25264,49393,6313,5937,12247,69455,69899,139350
CED114,43060,42937,86002,8198,8887,17083,8715,9433,18150,4563,4945,9505,919,916,1840,288,287,575,266,252,518,108,114,223,143,145,285,154,200,352,0,0,0,15154,16297,31448,1625,1748,3374,429,448,880,25402,27377,52784,7495,7577,15067,75958,77891,153852
