CED_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED101,0,0,7,26,24,20,0,4,0,82,22,112,221,998,366,303,115,26,6,2162,0,3,8,99,19,53,25,23,29,261,0,3,6,30,57,80,66,42,31,312,5,32,34,79,46,54,33,12,3,298,3,11,35,164,91,71,61,33,9,470,0,0,3,28,41,50,33,24,3,184,0,4,21,91,44,42,37,13,10,261,7,15,43,271,38,39,23,7,3,439,10,26,68,337,104,58,18,3,0,628,3,10,29,278,339,369,278,147,25,1475,0,0,9,34,36,28,22,14,3,159,9,60,49,118,47,49,29,5,3,366,13,40,141,881,613,504,203,107,40,2529,0,5,0,22,16,13,15,9,3,91,0,3,6,43,26,8,4,0,0,90,34,169,364,1790,963,788,567,363,175,5220,352,631,796,2054,985,957,751,553,308,7389,9442,17970,20113,43696,20792,18700,12691,8149,4255,155806
CED102,0,3,6,36,19,17,3,6,6,100,27,139,238,1606,491,374,190,45,10,3117,0,3,7,204,29,40,24,17,16,347,0,0,9,72,44,72,40,22,18,283,0,29,58,172,49,68,35,11,3,434,0,7,34,148,76,45,37,12,3,367,0,0,3,34,36,75,64,26,16,252,0,6,14,100,22,31,23,13,7,210,3,13,46,372,40,56,17,0,0,547,11,34,108,785,135,94,24,8,0,1196,10,23,61,441,501,779,800,443,137,3199,0,10,19,142,109,61,54,18,8,419,27,61,51,191,75,30,21,11,0,468,28,49,342,1120,530,568,216,72,37,2954,0,0,3,20,11,11,8,3,8,52,0,4,20,61,12,7,0,0,0,104,92,251,769,4297,1301,1208,1055,585,225,9782,523,847,1222,3786,1331,1083,903,776,657,11115,10311,17259,22701,59650,21059,17188,12313,8387,3995,172850
CED103,0,0,9,30,45,30,15,13,4,144,27,188,178,1296,345,312,146,32,25,2546,0,0,9,126,46,80,49,22,12,341,0,3,13,74,59,97,79,57,41,438,33,92,120,249,90,98,65,23,4,779,15,26,75,309,155,97,100,31,15,830,0,0,0,34,33,40,32,21,6,174,17,66,119,589,307,291,180,97,29,1694,15,38,134,587,136,117,63,19,0,1099,9,19,82,392,94,53,23,9,3,678,3,3,3,17,21,29,26,13,5,125,0,0,3,87,50,39,30,19,4,224,29,107,107,238,96,52,53,9,8,703,11,22,159,529,258,193,69,30,13,1281,0,3,6,24,27,19,17,20,5,125,0,3,35,80,26,14,3,0,0,158,117,280,382,2231,840,709,517,366,146,5584,362,476,850,2238,860,736,612,471,329,6933,10213,18184,23129,53098,21575,18521,12216,7775,4224,168948
CED104,0,0,0,37,40,38,11,7,0,136,10,45,92,401,261,242,123,39,20,1218,0,0,5,91,49,113,65,17,16,350,3,29,19,87,124,113,129,81,43,626,15,94,96,128,117,111,74,20,5,656,18,196,309,557,439,296,142,69,24,2050,0,0,0,9,21,21,22,10,3,79,5,66,108,429,417,388,185,73,27,1704,5,22,45,222,85,120,66,9,0,577,3,9,42,133,50,39,6,0,0,287,0,0,0,5,7,5,0,4,0,19,0,3,3,22,37,28,0,3,0,89,16,156,110,217,129,90,52,23,5,790,0,11,28,172,141,122,37,3,4,523,3,9,7,32,53,31,29,20,4,185,0,7,15,74,49,42,14,4,0,207,32,190,264,967,760,598,494,294,153,3741,207,470,528,1213,767,679,567,427,247,5099,7743,20254,19468,31901,22123,18983,13779,7236,3645,145136
CED105,0,0,3,9,8,8,10,3,0,49,12,82,190,750,418,322,158,48,15,1982,0,5,6,43,29,68,59,69,88,369,0,3,0,10,14,51,49,27,33,182,4,10,16,48,21,32,20,9,4,158,0,0,10,45,36,28,25,10,0,160,0,0,0,8,27,35,31,32,9,143,4,41,138,606,211,155,99,55,23,1331,8,7,70,469,34,38,7,0,0,622,6,26,82,285,47,48,10,5,0,503,0,3,27,153,241,328,302,152,35,1242,7,28,106,624,709,427,272,137,20,2322,6,35,42,65,19,18,7,3,0,203,61,212,995,4423,3279,3140,1092,472,206,13888,0,0,0,0,3,3,14,0,3,25,0,12,21,31,16,4,0,0,0,86,140,555,915,3220,1501,1092,791,474,253,8936,824,1334,1520,3361,1412,1216,887,586,274,11414,13427,23462,25453,52941,20595,17678,11348,6474,3267,174634
CED106,0,5,4,57,114,85,46,54,14,381,21,99,105,794,209,170,81,17,12,1517,0,12,4,88,42,90,47,29,17,327,0,34,31,89,166,106,98,92,50,673,34,211,151,230,149,116,72,28,4,999,39,350,520,1103,979,775,359,183,71,4380,0,0,0,18,23,24,9,13,3,85,5,23,44,295,198,128,76,43,18,831,22,42,112,713,161,189,125,25,3,1391,13,39,61,284,79,37,16,4,3,526,0,0,3,12,11,0,7,7,0,39,0,10,5,29,46,25,10,10,4,136,46,279,180,244,220,149,78,38,14,1256,13,18,33,320,143,88,26,14,5,659,0,8,3,41,41,33,32,25,6,195,0,8,21,109,90,81,22,6,0,342,58,352,327,1551,894,587,512,359,212,4857,257,598,755,1502,880,616,586,515,537,6247,9031,22851,20516,39308,23647,17601,13418,8767,5117,160255
CED107,0,3,0,15,27,8,5,9,0,69,14,65,53,219,105,94,28,9,3,589,0,0,0,12,5,21,14,22,19,103,3,16,9,50,77,108,133,64,25,482,0,4,3,20,13,9,3,6,0,59,0,46,50,141,81,55,44,18,3,436,0,0,0,0,9,17,24,15,3,71,3,16,7,54,31,15,7,0,0,137,0,3,3,10,6,3,4,0,0,37,4,14,27,84,23,9,0,0,0,155,0,0,0,4,7,3,4,3,3,26,0,0,4,12,5,0,0,0,0,22,4,33,25,79,42,42,38,7,0,288,3,4,22,104,31,16,0,0,0,185,0,3,0,9,26,14,28,11,3,104,0,17,30,62,24,23,4,0,0,158,9,57,82,317,186,213,204,152,54,1276,641,1355,1625,3163,2082,2064,1966,1163,510,14581,10497,21531,19687,37808,21264,20600,17178,9101,3617,161298
CED108,0,0,3,17,18,11,0,0,0,50,92,688,1510,5541,3106,2631,1178,271,143,15154,0,3,7,64,42,117,84,72,128,524,0,3,5,29,68,116,116,81,33,451,8,27,11,29,23,42,22,5,4,167,7,20,35,156,87,83,48,23,11,467,0,0,4,31,50,54,59,51,19,259,15,87,109,648,206,190,113,45,18,1421,0,3,9,45,9,13,3,0,0,76,4,23,42,157,44,31,13,3,0,305,0,0,5,18,17,33,21,13,0,116,12,7,40,174,178,107,84,30,3,651,7,57,50,88,33,24,16,3,0,283,0,0,26,188,131,154,50,14,13,575,0,0,0,9,3,6,9,12,0,42,0,0,21,40,18,10,0,0,0,101,85,572,1179,3056,1804,1468,875,468,245,9747,809,1447,1469,2931,1438,1259,970,498,164,10984,13609,25619,25131,49591,21123,17517,11451,5231,1980,171249
CED109,0,0,0,22,26,17,7,6,3,86,8,52,65,349,188,155,46,22,5,890,0,3,6,110,39,44,28,24,8,257,0,9,6,95,98,96,115,85,34,536,3,22,24,51,27,37,34,9,3,205,5,25,59,224,148,96,81,27,6,670,0,0,0,14,32,44,22,25,3,146,0,0,0,25,24,17,8,3,3,88,0,5,3,49,17,25,18,3,4,114,6,20,37,192,59,24,14,0,0,352,4,4,21,118,184,168,110,45,19,672,0,0,9,56,47,32,41,8,9,197,12,39,49,159,81,45,43,11,3,438,0,3,14,130,87,71,35,11,3,360,0,0,10,34,32,21,34,11,6,154,0,8,5,40,11,6,0,0,0,76,38,168,217,1551,802,680,637,313,113,4513,323,598,651,2195,1018,970,840,544,395,7526,8253,16632,15568,36064,19306,17006,13217,8441,4576,139062
CED110,0,0,12,52,40,28,12,3,3,145,6,44,44,209,118,114,44,14,3,592,0,3,0,18,10,14,15,18,12,92,0,23,12,55,85,135,215,128,58,706,0,8,0,13,16,9,6,3,0,63,0,32,35,134,98,91,90,42,10,531,0,0,0,0,4,14,17,17,4,61,0,3,5,17,13,3,11,0,0,58,0,3,11,38,8,3,0,0,0,63,9,27,33,84,31,16,9,3,0,224,0,0,0,0,3,8,3,3,0,11,0,0,3,7,10,0,3,0,0,29,9,47,24,115,56,74,98,24,3,455,0,3,6,67,14,13,0,0,0,109,0,3,3,32,34,31,31,29,14,190,0,3,9,31,19,23,21,6,0,108,37,183,152,490,290,287,311,182,80,2028,450,1039,1079,2329,1775,2085,2017,1369,766,12903,8185,19216,16352,31567,20619,23905,21518,12372,5595,159321
