CED_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
CED101,85,4,1588,162,1361,121,7,1493,3,1660,0,152,168,0,315,0,315,3,10,0,0,11,0,11,162,1521,295,11,1818,3,1990,0,0,0,0,0,0,0,1667,1607,295,13,1909,6,3577,826,46,0,0,51,0,876,97,879,100,4,986,0,1080,3,112,210,3,323,0,328,0,3,0,0,9,0,9,93,994,311,3,1314,0,1414,3,0,0,0,0,0,3,926,1046,311,4,1361,0,2288,412,26,0,0,26,0,436,49,423,55,3,486,0,529,6,67,103,3,169,0,180,0,4,0,3,3,0,3,48,497,161,7,658,0,715,3,0,0,0,0,0,3,469,515,161,7,684,0,1149,11371,1037,10,7,1051,23,12442,1635,11494,861,67,12420,7,14066,42,1035,1148,9,2196,3,2244,13,39,6,11,62,0,76,1692,12570,2019,89,14678,6,16382,30,8,0,0,8,18,59,13088,13615,2022,101,15742,48,28882
CED102,115,0,934,137,1550,122,3,1684,0,1814,3,187,206,3,392,0,391,0,7,0,0,12,0,11,140,1750,332,8,2085,0,2219,0,0,0,0,0,0,5,955,1861,334,8,2199,3,3163,416,59,0,0,59,0,476,76,1014,109,3,1132,0,1202,0,155,199,0,360,0,360,0,10,0,0,10,0,7,76,1181,311,5,1497,0,1570,0,0,0,0,0,0,0,492,1236,311,5,1553,0,2042,180,12,0,0,12,0,188,36,504,52,0,560,0,595,0,71,102,0,178,0,179,0,8,0,6,8,0,12,37,584,158,8,747,0,780,0,3,0,0,3,0,3,213,598,158,8,763,0,974,7590,1069,12,9,1090,7,8680,1471,14047,834,64,14944,3,16414,28,1328,1247,4,2575,0,2603,9,77,9,28,113,0,122,1499,15446,2088,99,17633,3,19141,7,24,5,0,25,34,61,9091,16531,2106,111,18745,41,27883
CED103,70,0,1705,153,1306,133,4,1443,0,1599,7,174,169,0,344,0,352,0,8,0,4,15,0,14,164,1489,300,6,1797,0,1960,0,3,0,0,4,3,3,1802,1554,298,9,1867,3,3670,980,43,0,0,43,0,1024,85,950,94,3,1044,0,1129,3,152,164,0,322,0,322,0,7,0,0,7,0,7,88,1112,259,5,1373,0,1461,0,0,0,0,3,0,7,1068,1154,263,5,1420,3,2490,484,28,0,0,28,3,509,30,564,53,0,621,0,657,3,82,111,0,196,0,202,0,7,0,3,4,0,4,36,657,168,4,826,0,866,0,0,0,0,0,0,0,520,679,168,4,858,3,1374,12307,882,16,6,901,9,13211,1746,12762,790,48,13595,3,15348,39,1407,1002,16,2430,0,2464,8,55,8,16,85,0,88,1789,14231,1796,79,16109,3,17901,7,8,3,0,7,18,38,14103,15116,1813,84,17016,34,31150
CED104,109,3,3304,197,1160,51,3,1217,0,1409,5,68,43,0,116,0,121,0,8,0,0,5,0,5,196,1237,93,3,1337,0,1535,0,0,0,0,0,0,0,3387,1340,98,3,1445,3,4840,1853,46,0,0,43,0,1900,103,876,48,0,923,0,1029,3,53,57,0,111,0,114,0,3,0,0,4,0,4,107,929,107,0,1038,0,1146,0,0,0,0,0,0,0,1966,977,105,0,1080,0,3050,883,13,0,0,13,0,899,47,472,24,0,492,0,539,0,40,44,0,79,0,82,0,3,3,0,8,0,8,47,510,69,0,582,0,627,0,0,0,0,0,0,0,931,525,69,0,597,0,1531,21323,757,15,12,787,28,22140,1540,8420,353,24,8798,3,10345,28,491,300,3,799,0,824,5,42,5,9,56,0,58,1575,8955,657,38,9657,3,11233,24,11,0,0,14,15,53,22922,9732,674,49,10451,44,33428
CED105,74,0,577,82,2031,316,13,2363,0,2445,3,523,478,6,1005,0,1010,0,15,3,0,23,0,27,85,2576,793,23,3391,3,3480,0,0,0,0,0,4,4,586,2649,796,25,3468,7,4061,234,27,0,0,27,0,257,44,1348,184,9,1536,0,1588,0,406,424,3,832,0,838,0,5,3,0,9,0,9,48,1761,611,9,2381,0,2427,0,0,0,0,0,0,0,278,1788,611,9,2409,0,2687,120,11,0,0,18,0,137,18,641,96,0,738,0,759,0,185,243,0,423,0,423,0,3,3,0,4,0,4,18,828,343,0,1167,0,1188,0,3,0,0,3,0,3,143,848,339,0,1190,0,1332,4171,908,22,3,940,12,5125,857,19575,2464,101,22137,5,23002,37,4176,3389,43,7606,23,7662,10,119,26,56,198,3,206,904,23866,5874,201,29938,31,30873,10,33,4,10,41,79,125,5089,24804,5905,207,30920,115,36124
CED106,100,7,3514,219,975,59,0,1028,0,1253,3,107,93,5,204,0,204,0,0,0,0,0,0,0,224,1086,150,3,1237,0,1458,0,0,0,0,0,0,0,3639,1178,150,3,1334,3,4972,1956,54,0,0,54,3,2014,131,688,51,4,741,0,871,3,78,75,3,152,0,154,0,0,0,0,3,0,7,133,761,122,9,897,0,1029,0,0,0,0,0,3,4,2090,816,122,9,948,11,3044,1028,24,0,0,24,3,1057,69,415,26,3,442,0,512,3,34,36,0,73,0,73,0,3,0,0,3,0,3,74,448,62,5,517,0,590,0,0,0,0,0,0,0,1099,474,62,5,543,3,1642,21325,782,0,4,785,18,22128,2020,10031,466,38,10534,4,12563,28,886,611,7,1502,0,1531,3,27,8,9,42,0,51,2051,10947,1087,52,12087,4,14140,8,4,0,0,5,12,27,23385,11727,1089,58,12877,36,36304
CED107,37,5,3153,49,78,5,0,92,0,137,0,5,6,0,9,0,9,0,0,0,0,0,0,0,53,82,14,0,103,0,156,0,0,0,0,0,3,4,3172,121,14,0,133,6,3312,600,8,0,0,8,0,607,10,35,0,0,33,0,42,3,3,5,0,4,0,8,0,0,0,0,0,0,0,11,36,3,0,39,0,48,0,0,0,0,0,3,3,608,44,3,0,48,3,659,150,0,0,0,0,0,150,4,6,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,5,0,12,0,0,0,0,0,0,0,158,6,0,0,5,0,163,23873,255,8,5,266,33,24175,454,871,31,8,914,6,1378,7,72,60,0,128,0,141,5,9,0,3,12,0,17,471,949,94,11,1057,6,1530,35,5,0,0,5,57,96,24375,1205,104,14,1325,103,25800
CED108,109,3,1553,145,2153,107,22,2279,0,2429,7,199,156,0,356,0,359,0,23,3,4,32,0,29,152,2375,266,27,2669,0,2824,0,3,0,0,3,0,9,1599,2476,269,27,2776,3,4382,450,36,0,0,36,0,486,59,1398,62,7,1464,0,1523,0,142,131,0,273,0,273,0,3,0,3,7,0,7,59,1547,195,7,1746,0,1810,0,0,0,0,0,0,3,515,1579,191,7,1781,0,2296,215,11,0,0,15,0,227,21,644,35,0,683,0,708,0,72,83,0,151,0,151,0,0,0,0,3,0,3,21,721,121,0,841,0,863,0,0,0,0,0,0,0,235,729,119,3,851,0,1088,11001,1021,27,14,1063,17,12075,1236,17961,731,129,18818,10,20061,30,1447,954,13,2413,4,2449,23,129,11,49,181,5,208,1286,19537,1690,184,21409,20,22717,28,27,3,0,28,56,114,12319,20579,1725,199,22504,87,34910
CED109,96,0,2277,127,698,32,3,730,0,854,0,38,19,0,56,0,59,0,4,0,0,7,0,7,132,737,49,3,790,0,920,0,0,0,0,0,0,6,2306,835,49,3,894,3,3204,1138,40,3,0,45,0,1180,56,466,20,0,487,0,547,3,39,25,0,59,0,59,0,3,0,0,3,0,3,62,503,42,0,548,0,610,3,0,0,0,0,0,3,1205,542,45,0,590,0,1797,558,18,0,0,18,0,575,47,250,13,0,268,0,315,0,12,14,0,31,0,31,0,0,0,0,3,0,3,47,268,30,0,302,0,345,0,0,0,0,0,0,0,603,288,30,0,315,0,925,17305,838,11,3,856,26,18179,1273,5574,185,20,5776,7,7050,27,250,122,0,378,0,403,15,27,0,15,44,0,59,1315,5853,307,34,6198,7,7517,24,4,0,4,8,13,38,18637,6700,314,44,7054,45,25737
CED110,37,4,2753,76,88,4,0,95,0,174,0,13,26,0,36,0,35,3,0,0,0,0,0,3,83,100,30,0,132,0,210,6,0,0,0,0,3,6,2801,134,30,0,160,8,2977,503,5,0,0,5,0,508,20,16,0,0,22,0,36,0,3,13,0,19,0,19,0,0,0,0,0,0,0,20,19,17,0,39,0,56,0,0,0,0,0,0,0,521,30,17,0,42,0,568,126,0,0,0,0,0,126,4,8,0,0,8,0,5,0,0,8,0,8,0,8,0,0,0,0,0,0,0,3,4,8,0,12,0,16,0,0,0,0,0,0,0,130,4,8,0,12,0,143,18788,301,5,8,314,48,19144,564,872,39,5,914,0,1480,4,75,181,0,255,0,262,10,6,0,3,12,0,14,581,953,223,10,1180,0,1759,45,4,0,0,3,23,75,19410,1254,222,12,1493,76,20977
