CED_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
CED101,4814,178,3,4991,41,7,0,0,47,10,3,10,57,13,0,66,150,31,3,7,183,5,4,11,200,7,0,203,193,35,3,7,234,15,6,23,254,21,0,274,4338,487,46,71,4948,92,25,121,5062,195,6,5262,1397,294,21,51,1758,56,9,69,1822,230,3,2058,11,0,0,9,15,0,0,0,15,0,9,30,5744,778,69,130,6721,150,34,187,6907,426,22,7356,1024,117,9,6,1153,25,9,34,1194,60,3,1256,1197,147,11,9,1363,13,3,13,1378,48,0,1426,22,3,6,0,31,0,0,0,38,5,0,41,22,3,0,22,41,0,0,0,41,0,0,46,2257,277,23,38,2596,37,15,52,2649,117,3,2765,28,8,0,0,33,6,0,6,42,4,0,47,83,15,0,0,100,0,7,12,106,9,0,115,108,26,0,0,133,10,7,18,150,7,0,159,2368,302,23,36,2728,46,19,72,2797,123,3,2928,660,137,11,12
CED102,4519,192,3,4714,50,13,0,0,62,8,0,8,70,3,0,73,96,20,0,5,128,4,0,4,131,8,0,139,149,31,0,5,187,15,0,15,203,12,0,213,3909,562,43,89,4616,81,22,109,4719,206,5,4931,1337,344,31,63,1771,58,19,76,1847,309,9,2166,14,0,0,7,22,0,0,0,22,7,31,61,5260,912,79,160,6410,143,39,186,6589,523,40,7154,916,139,6,6,1066,11,11,29,1092,50,0,1142,991,181,19,6,1201,14,8,18,1219,52,0,1274,23,5,13,0,44,0,0,0,44,3,0,43,17,3,0,19,35,0,0,0,35,3,0,42,1950,335,31,30,2344,27,17,45,2394,109,0,2502,19,9,0,0,29,3,0,8,34,3,0,37,58,17,0,3,81,3,3,5,87,7,0,87,76,25,0,3,105,7,3,9,120,12,0,125,2030,352,36,32,2450,35,21,60,2515,114,0,2628,639,142,5,30
CED103,5392,181,7,5577,82,9,0,0,90,6,3,15,101,0,0,104,189,23,0,4,214,11,8,24,234,5,0,246,273,31,0,4,303,19,13,35,340,6,0,349,4954,520,55,60,5583,120,29,147,5731,186,8,5923,1509,252,26,32,1817,55,18,77,1893,211,0,2100,3,0,0,12,17,0,0,0,17,0,12,28,6468,774,83,102,7421,176,42,222,7642,399,21,8052,1122,129,8,7,1265,43,3,48,1305,65,0,1376,1322,153,11,7,1490,32,4,43,1531,43,0,1575,20,4,3,0,30,3,0,3,32,3,0,35,11,3,0,12,29,0,0,0,29,0,0,31,2478,284,17,27,2811,76,15,88,2898,116,0,3014,49,10,0,0,64,5,0,6,68,0,0,68,86,9,0,0,94,9,4,12,106,4,4,110,132,21,0,0,155,10,3,20,173,4,4,179,2614,303,17,30,2969,86,18,107,3072,118,4,3189,676,118,3,15
CED104,6306,141,8,6462,52,4,0,0,58,15,0,15,75,7,0,80,145,15,0,8,164,3,0,6,172,3,3,176,198,18,0,8,225,15,0,20,243,9,3,253,5796,497,65,59,6418,108,23,129,6548,150,12,6715,1587,123,13,38,1761,26,3,29,1796,105,8,1910,12,0,0,8,24,0,0,0,24,4,4,25,7394,620,77,109,8203,133,29,159,8363,264,22,8650,1423,146,10,14,1591,39,11,53,1642,65,0,1713,1905,156,10,8,2080,22,4,27,2106,30,0,2136,35,11,14,0,58,3,0,3,66,0,0,67,21,0,0,10,30,3,0,3,31,3,0,39,3380,313,37,33,3764,68,14,81,3846,103,4,3949,35,3,0,0,35,0,0,0,39,3,0,42,77,13,0,0,90,0,0,0,96,3,0,97,112,11,0,0,125,3,0,4,132,8,0,135,3491,330,38,34,3887,71,14,89,3975,106,4,4090,784,58,3,11
CED105,3201,268,14,3482,64,19,0,3,90,19,8,26,118,17,0,130,103,49,0,4,151,24,10,38,187,10,0,205,164,67,0,6,244,47,22,65,306,28,3,335,2596,605,42,89,3337,119,50,173,3508,293,18,3819,2376,1170,64,201,3800,239,66,305,4103,1253,53,5411,19,13,0,13,43,3,3,3,49,11,67,127,4989,1781,103,305,7180,359,118,482,7662,1562,137,9357,758,112,7,5,881,34,11,43,925,90,3,1019,721,191,7,12,930,35,15,51,977,75,3,1057,18,6,12,0,34,4,0,4,35,4,0,42,19,12,0,27,63,0,0,0,63,0,0,65,1511,325,23,49,1907,72,26,95,2000,175,3,2184,41,11,0,0,51,14,3,14,64,3,0,75,54,30,0,0,90,10,14,31,119,19,3,138,92,42,0,0,138,28,16,45,183,23,3,210,1602,373,22,49,2050,99,41,141,2190,197,13,2393,1049,521,28,91
CED106,6506,219,5,6733,108,6,0,3,114,17,0,17,128,0,0,133,193,17,0,5,217,11,0,11,231,16,0,242,301,24,3,8,331,29,0,29,362,13,0,378,6037,535,57,51,6682,155,33,183,6864,236,8,7107,2117,172,18,32,2339,66,10,75,2413,154,0,2565,3,0,0,7,5,0,0,0,5,0,3,15,8155,702,79,89,9024,220,40,258,9288,391,10,9682,1574,129,5,8,1712,36,10,50,1767,87,0,1850,1874,138,19,11,2040,37,4,43,2083,52,0,2136,33,3,8,0,45,0,0,0,45,4,0,49,13,0,0,11,23,3,0,3,28,3,0,29,3487,273,36,29,3821,78,21,91,3917,146,0,4057,44,0,0,0,47,11,0,11,54,0,0,59,108,6,0,0,117,7,0,9,121,5,0,126,153,6,0,3,164,14,0,20,181,6,0,180,3638,274,36,35,3981,90,19,110,4093,144,0,4239,1009,87,8,14
CED107,5330,198,9,5538,59,6,0,0,68,12,0,12,79,9,0,92,123,7,8,3,143,10,0,10,150,4,0,155,187,14,8,3,211,17,0,21,229,14,0,247,4789,501,104,72,5469,75,12,89,5561,213,9,5787,1114,186,40,37,1373,86,13,102,1475,288,6,1770,10,0,0,0,7,0,0,0,7,0,18,23,5913,681,147,113,6850,164,26,194,7045,506,30,7581,1189,102,17,13,1317,26,5,27,1348,60,3,1410,1404,132,16,18,1574,18,4,25,1599,48,5,1647,48,7,15,0,71,0,0,0,76,4,0,80,14,9,0,15,36,0,0,0,36,0,0,39,2664,254,46,43,3006,44,11,57,3056,113,5,3175,30,0,0,0,30,12,0,12,46,5,0,49,55,5,0,0,54,4,0,6,61,5,0,67,86,5,0,0,92,16,0,19,109,9,0,117,2749,259,46,43,3097,62,12,74,3170,119,5,3293,496,77,23,19
CED108,4857,243,10,5107,115,33,3,3,151,24,0,24,175,24,0,200,199,39,0,7,247,32,4,31,279,15,0,294,318,72,3,9,402,53,4,57,457,36,0,488,4397,600,59,96,5145,139,35,168,5314,272,10,5595,2265,493,27,83,2872,134,29,164,3032,642,18,3689,21,4,0,14,40,0,3,3,45,7,47,100,6687,1102,85,185,8059,268,61,332,8395,926,72,9387,1248,146,6,18,1425,39,14,56,1475,77,3,1551,895,142,13,9,1061,16,7,17,1078,62,3,1143,40,9,11,0,56,3,0,3,60,3,0,63,25,3,0,32,64,0,0,0,61,12,0,75,2212,302,35,56,2601,61,16,79,2679,154,3,2838,48,16,0,3,67,19,0,19,88,9,0,99,94,27,0,0,121,12,3,15,138,19,0,149,141,42,0,6,186,28,3,32,222,29,0,251,2354,345,36,59,2789,93,22,115,2903,178,3,3091,972,242,7,33
CED109,5074,114,4,5198,27,12,0,0,35,3,0,3,39,0,0,39,110,7,3,3,124,3,0,3,122,0,0,123,133,16,3,3,161,4,0,4,162,0,0,163,4689,381,54,59,5181,43,7,54,5240,117,4,5360,1087,104,11,27,1231,18,4,23,1253,74,0,1328,6,0,4,0,11,0,0,0,11,0,7,17,5786,488,68,87,6423,69,11,81,6504,189,12,6705,1011,99,8,7,1126,23,3,25,1152,36,0,1191,1514,136,17,21,1687,16,3,18,1703,36,0,1746,32,8,10,0,40,0,0,0,40,3,0,45,24,0,0,19,39,0,0,0,36,0,0,38,2573,240,31,45,2897,43,6,45,2939,79,0,3016,19,0,0,0,19,0,0,0,21,0,0,18,49,9,0,4,62,3,0,3,65,0,0,65,68,8,0,4,82,4,0,4,83,0,0,88,2640,249,35,54,2974,47,6,51,3023,80,0,3107,538,47,16,11
CED110,4109,243,7,4358,36,18,0,3,50,5,3,11,62,10,0,69,90,11,4,0,107,14,3,18,128,7,0,128,123,26,4,3,161,23,8,32,187,13,0,203,3370,681,78,48,4172,96,37,126,4302,255,7,4562,925,205,22,35,1192,60,6,62,1251,285,11,1542,5,0,0,4,6,0,0,0,6,0,15,28,4303,884,104,85,5370,152,41,193,5565,541,34,6132,920,128,9,5,1058,15,7,21,1085,80,0,1167,1038,237,22,10,1306,30,13,41,1342,92,0,1438,21,4,16,0,42,0,0,0,42,0,0,42,12,0,0,12,25,0,0,0,27,7,3,36,1994,370,46,25,2432,44,17,59,2497,176,10,2683,19,0,0,0,21,17,0,17,34,7,0,37,45,0,4,0,46,9,0,9,60,4,0,61,57,4,4,0,65,23,0,23,89,7,0,104,2052,369,45,29,2504,71,17,83,2589,185,10,2783,351,101,18,15
