CED_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED101,13236,26818,294,1657,1922,8911,453,2066,10390,40329,13062,52973,1329,5674,2126,7473,4510,14676,7965,27822,21031,80793,79,401,401,1417,194,695,1839,4988,2522,7496,379,1234,828,1992,3001,6662,4207,9880,6724,17381,870,1901,41866,126883
CED102,15986,32505,272,1583,1730,8100,442,2063,11182,42175,13621,53911,1222,5249,1781,6190,4325,14076,7331,25514,20955,79425,78,344,335,1203,163,597,1928,5085,2499,7231,317,1054,819,1886,3092,6876,4230,9813,6732,17038,1104,2423,44775,131395
CED103,15289,30587,176,963,1983,8871,265,1179,12504,46857,14925,57861,1429,5951,2563,9002,4083,13148,8078,28101,23001,85964,27,131,310,1030,93,307,1651,4189,2082,5660,269,857,850,1973,2421,5298,3538,8134,5622,13788,965,2025,44873,132371
CED104,12535,24957,343,1948,2578,11772,355,1572,10508,41764,13779,57058,1813,7631,2865,10074,4662,14988,9339,32685,23118,89744,39,163,336,1158,91,295,1044,2778,1510,4393,339,1084,522,1229,1814,3987,2672,6299,4181,10688,380,820,40216,126218
CED105,10549,21692,628,3931,2450,12623,654,3200,11150,45885,14890,65640,1400,6317,1646,5930,4653,15763,7698,28012,22585,93649,183,914,555,2226,293,1129,2449,7345,3477,11618,438,1538,774,1907,3159,7300,4378,10739,7847,22362,982,2176,41967,139883
CED106,14133,28054,233,1193,2732,12382,233,975,13066,50095,16260,64646,1515,6157,3307,11500,3441,10725,8264,28378,24522,93026,33,120,389,1297,60,200,1352,3496,1832,5113,285,874,947,2174,1820,3846,3049,6888,4881,12003,602,1267,44140,134345
CED107,16255,32158,293,1618,1747,8085,516,2337,9309,37317,11856,49361,662,2671,1188,3783,2903,9024,4745,15485,16604,64844,94,435,516,1874,258,960,3100,8617,3969,11884,198,621,594,1285,2261,4758,3052,6660,7020,18541,508,1057,40389,116603
CED108,10494,21524,625,3786,2360,11738,842,4160,11362,45597,15186,65289,1525,6725,1674,5913,4724,15913,7929,28553,23113,93839,244,1245,669,2749,542,2170,3565,10760,5013,16920,473,1624,683,1577,3464,8000,4621,11198,9636,28115,819,1808,44065,145283
CED109,13560,26890,267,1477,1675,7643,338,1488,9266,36068,11540,46669,1235,5182,1649,5766,3789,12209,6664,23160,18211,69831,31,141,314,1054,128,439,1634,4191,2105,5831,277,887,587,1304,2417,5185,3285,7376,5390,13210,563,1188,37717,111113
CED110,19201,38101,236,1298,1522,7067,448,2030,7456,29668,9665,40060,537,2193,1097,3535,2785,8514,4423,14236,14085,54295,96,473,624,2329,317,1183,3476,9592,4512,13571,246,766,717,1534,2765,5870,3732,8168,8243,21742,520,1083,42052,115227
CED111,14679,29066,276,1548,1616,7460,395,1769,9402,36722,11689,47498,1070,4465,1602,5533,3496,11087,6167,21083,17861,68579,71,305,468,1659,198,719,2207,5830,2942,8508,307,974,733,1620,2685,5754,3731,8349,6672,16860,675,1397,39887,115897
