CED_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
CED101,205,246,370,434,1538,2230,1210,2345,95,8675,551,1222,1575,1522,3636,4512,1645,2280,171,17116,192,514,730,704,2044,2441,1012,1322,186,9148,236,1419,1385,1181,1222,836,367,404,124,7172,369,1112,1498,1390,3381,2697,825,808,116,12200,204,1631,1190,844,1157,1013,351,476,109,6965,106,283,348,367,1084,895,415,654,104,4249,160,1052,1100,712,1172,797,320,381,129,5817,42,84,79,87,236,223,67,93,462,1384,2065,7565,8279,7243,15470,15635,6207,8770,1499,72728
CED102,213,250,422,552,1835,2564,1232,2328,104,9503,602,1306,1620,1550,4608,5771,1898,2583,204,20148,171,551,1044,804,2239,2527,1028,1279,222,9854,255,1316,1732,1337,1511,1021,422,477,161,8233,393,946,1282,1171,3564,2800,870,858,148,12028,233,1597,1580,1084,1513,1132,398,483,124,8141,122,295,499,474,1129,958,431,704,117,4728,196,1229,2204,1035,1480,1086,408,449,194,8278,75,119,134,108,283,271,65,97,626,1770,2255,7601,10517,8102,18162,18127,6751,9254,1901,82673
CED103,235,316,511,594,1828,3150,1571,3240,106,11559,796,1959,2189,2090,5876,8240,2860,3657,244,27903,190,508,675,638,1710,2117,871,1172,138,8012,229,1698,1279,953,981,846,323,354,107,6769,343,1244,1489,1365,3382,2762,918,807,129,12448,203,1661,1156,803,1136,1030,384,580,109,7064,55,220,249,233,545,481,190,314,32,2330,124,999,832,580,714,581,224,266,100,4421,38,114,89,77,231,266,62,122,480,1471,2205,8711,8476,7336,16400,19462,7413,10520,1447,81976
CED104,279,417,528,665,1443,2967,1738,4235,96,12362,652,1917,2254,2094,3730,5796,2348,3835,175,22798,142,485,526,560,1324,2129,833,1367,98,7468,214,1654,1094,942,786,606,289,298,63,5946,302,1549,1673,1431,2232,2165,756,793,100,10988,205,1804,950,711,684,823,332,576,68,6156,55,186,159,158,370,355,163,353,31,1842,135,1066,536,455,507,480,138,275,64,3660,41,95,63,67,127,199,48,121,316,1081,2030,9163,7791,7078,11194,15520,6653,11845,1020,72293
CED105,107,181,273,349,1168,1459,533,1109,114,5297,271,794,784,832,2722,2911,835,1065,183,10403,196,791,990,965,2369,2639,992,1011,397,10349,206,1045,1325,1162,1164,866,367,566,194,6895,230,845,954,846,2695,1904,555,530,143,8687,179,1543,1268,805,1054,725,247,353,165,6333,123,451,543,589,1654,1249,543,792,199,6136,161,1268,1521,1002,2028,1326,470,463,243,8483,56,158,151,105,294,250,60,81,717,1873,1532,7080,7811,6651,15149,13321,4600,5966,2354,64461
CED106,277,539,714,800,1594,3480,1942,5026,103,14471,812,2537,2554,2491,4243,7542,3058,5686,233,29157,117,368,439,388,846,1147,499,695,51,4558,191,1811,1161,799,692,556,234,267,79,5791,275,1421,1492,1167,1952,1989,706,882,78,9953,183,1686,981,632,718,918,358,605,74,6150,20,189,107,103,232,183,90,170,17,1116,71,802,486,339,379,290,115,154,45,2691,40,143,85,89,152,231,68,171,345,1332,1985,9504,8021,6809,10799,16341,7072,13665,1021,75220
CED107,268,424,446,606,1072,1570,1004,3507,112,9009,492,862,1262,1317,2102,2345,1128,1942,106,11550,289,478,495,697,2208,2351,1384,2214,155,10275,370,1433,1159,1480,1501,952,406,515,147,7958,352,874,1058,1294,2205,1190,527,554,60,8116,264,1588,845,888,1012,536,350,483,109,6083,228,255,291,330,973,1026,899,1711,124,5836,310,1660,1002,916,1333,1147,518,766,170,7825,70,84,64,59,139,132,63,123,367,1109,2640,7664,6615,7585,12552,11237,6290,11806,1346,67745
CED108,107,169,176,261,1280,1458,616,1043,89,5185,356,570,693,809,3108,3118,817,984,140,10589,156,411,505,616,2672,2372,1071,1114,218,9125,262,950,1100,1351,1690,1041,412,571,185,7556,307,660,944,1051,4222,2545,716,650,149,11248,218,1528,1090,909,1261,772,275,294,141,6491,201,503,625,775,3089,2161,1035,1463,255,10099,231,1218,1080,1142,2361,1506,488,582,271,8891,61,102,66,79,299,258,99,90,601,1649,1891,6108,6283,6991,19982,15224,5525,6785,2048,70841
CED109,274,300,462,618,1323,2598,1425,3817,110,10925,628,1302,1673,1610,2554,3902,1707,2855,176,16401,220,364,482,595,1542,2493,1148,1723,146,8718,300,1393,1061,1117,1111,922,474,516,100,6996,350,1253,1652,1457,2467,2333,824,882,136,11353,191,1611,990,823,924,1086,449,743,97,6914,92,215,198,248,556,612,316,566,62,2869,109,814,492,433,618,601,259,380,77,3780,53,94,67,72,154,190,69,135,343,1185,2219,7346,7086,6967,11239,14745,6675,11617,1245,69136
CED110,188,354,360,586,1040,1315,776,2163,96,6876,506,975,1276,1566,2067,2247,961,1639,101,11323,233,608,587,845,1928,1797,834,1266,160,8256,361,1489,1304,1840,1344,594,404,419,156,7923,285,849,1021,1352,2038,1015,429,420,72,7484,243,1812,883,1002,1028,557,338,444,95,6409,127,296,348,347,672,431,339,655,77,3281,269,1795,1015,1056,1060,816,333,554,164,7077,62,95,67,89,125,115,32,100,330,1022,2276,8266,6872,8683,11300,8886,4457,7657,1254,59642
