CED_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
CED101,3,26,4,0,0,0,0,0,0,31,46,302,6,4,7,0,4,0,4,376,617,1454,145,107,314,185,100,125,43,3093,24,52,4,3,8,11,0,3,0,108,73,209,28,17,33,11,10,4,3,390,35,42,6,9,13,0,0,0,0,107,1484,3649,679,415,802,466,357,404,124,8381,0,6,8,5,0,0,3,0,0,33,373,366,347,145,152,148,139,127,26,1821,470,349,475,238,249,184,150,169,36,2310,931,348,3762,323,448,360,685,630,149,7641,32,17,28,39,34,19,37,31,7,247,101,82,106,69,81,74,97,80,14,708,71,99,56,18,39,23,46,34,8,397,56,71,106,35,44,43,94,84,90,621,4310,7076,5753,1428,2229,1539,1719,1706,503,26267,7,28,0,0,6,0,0,0,0,48,23,197,5,6,10,0,0,0,0,247,354,1642,31,158,487,159,4,50,28,2918,12,50,0,3,13,5,0,4,0,89
CED102,8,31,0,5,0,0,0,4,0,48,58,434,9,9,13,3,6,4,7,538,725,1917,293,165,380,277,155,264,69,4243,23,78,12,14,13,14,10,10,0,167,70,255,20,13,42,16,10,19,5,456,27,57,10,7,12,4,3,5,3,129,1619,4391,1008,640,1006,684,544,859,186,10929,9,3,7,3,3,11,3,3,0,40,390,386,434,177,177,160,177,170,37,2112,464,410,639,256,248,269,199,243,44,2769,688,338,3241,355,405,290,665,635,139,6744,44,26,31,26,29,35,41,30,0,258,102,72,125,75,79,74,103,106,13,744,76,114,88,34,34,36,61,74,10,527,71,82,138,41,40,46,109,156,133,823,4375,8590,6049,1808,2487,1926,2075,2580,634,30524,6,24,0,0,10,0,0,0,0,43,43,300,6,11,18,4,0,0,0,388,504,2169,92,274,685,294,9,104,51,4183,24,79,0,14,22,11,0,4,8,145
CED103,13,39,4,0,4,3,0,3,0,72,117,762,20,4,31,11,3,11,0,953,1295,3357,281,115,539,271,96,100,79,6120,43,92,9,4,9,12,3,3,3,176,137,326,25,21,48,19,12,11,12,607,43,76,6,5,8,8,3,3,0,161,2490,6553,985,494,1093,701,340,429,208,13279,0,5,10,0,3,5,3,0,0,26,427,485,361,129,163,150,94,94,31,1925,448,469,446,196,193,183,101,139,28,2207,805,372,2613,304,336,315,368,421,100,5630,31,24,31,20,30,26,14,25,4,207,95,96,81,64,64,83,52,62,9,600,114,170,72,35,42,29,25,36,12,524,73,95,76,44,32,30,43,61,87,543,6129,12903,5005,1432,2588,1849,1148,1392,565,33020,14,54,0,3,11,3,0,0,0,76,59,496,10,17,22,3,0,4,4,618,780,3191,86,231,931,253,3,47,65,5582,33,123,6,8,27,5,0,3,3,203
CED104,19,35,0,0,5,0,0,0,0,66,124,552,16,7,15,6,0,4,8,730,1224,2136,157,63,290,100,48,36,34,4083,50,73,7,0,11,13,0,0,4,159,174,359,31,24,44,12,6,9,4,662,49,65,3,11,14,3,3,0,0,148,2502,5019,530,338,765,465,162,216,121,10107,5,3,0,0,0,3,0,0,0,12,546,508,288,125,155,99,70,68,33,1894,502,434,289,181,170,158,56,82,30,1903,1322,460,3288,259,299,375,405,512,106,7029,34,31,37,18,23,30,8,32,3,219,178,98,88,51,55,76,45,65,6,668,99,121,49,6,26,14,12,15,4,346,88,90,67,16,31,30,33,31,80,477,6910,9985,4848,1104,1915,1383,848,1082,432,28512,14,58,0,0,4,0,0,0,0,82,50,357,11,3,14,3,0,0,5,445,537,2105,62,111,456,91,3,23,30,3412,22,78,0,0,23,3,0,0,0,128
CED105,4,4,0,0,3,0,3,0,0,15,20,131,10,10,8,0,3,0,3,176,296,892,190,125,192,167,133,143,38,2185,9,27,7,3,10,9,4,4,0,70,22,105,22,19,13,5,20,17,0,216,10,22,3,4,4,0,3,0,3,56,787,2456,692,402,676,507,479,537,136,6664,0,0,6,4,4,0,0,0,3,31,206,200,350,129,142,115,192,154,32,1517,301,257,414,207,208,189,214,227,29,2055,547,195,3222,255,331,254,752,666,146,6364,33,14,50,32,29,25,47,55,4,290,64,29,120,73,57,57,141,94,9,656,52,70,106,28,35,39,80,58,19,493,54,72,193,50,38,44,119,162,126,861,2401,4484,5386,1334,1748,1412,2201,2115,544,21629,4,14,0,0,4,0,0,0,0,27,7,74,4,8,3,3,0,0,0,95,149,886,26,123,225,112,11,42,16,1587,4,27,0,0,7,3,0,0,0,47
CED106,36,52,6,0,3,3,0,0,0,92,186,928,17,4,23,11,3,5,11,1194,2026,3453,188,81,464,204,37,53,110,6623,78,130,3,0,17,7,5,3,6,248,227,414,17,19,50,26,4,9,12,772,48,63,3,0,16,7,4,4,5,148,3836,7229,604,358,993,667,164,303,239,14388,3,3,3,3,0,0,0,0,0,15,533,518,212,84,111,156,51,68,33,1777,404,399,223,129,136,145,59,87,30,1622,541,275,1240,166,183,200,146,215,51,3015,36,25,30,9,18,21,9,14,0,160,113,109,49,49,50,84,30,37,15,544,103,173,37,16,33,34,16,19,14,448,67,123,50,22,23,27,16,32,59,421,8231,13906,2683,946,2133,1585,549,847,586,31463,25,57,3,0,15,0,0,0,3,100,79,611,13,10,40,3,0,6,8,764,965,2980,75,170,701,203,4,18,73,5194,33,135,0,6,29,8,0,0,4,218
CED107,0,13,3,0,0,0,0,0,0,18,39,172,3,0,13,0,0,3,3,233,196,449,32,20,42,10,6,24,12,787,5,17,0,0,3,0,0,0,0,27,76,186,16,20,13,11,4,3,0,321,49,59,9,13,8,0,3,0,0,134,780,1896,244,230,162,116,83,124,28,3668,3,3,0,3,0,3,0,0,0,10,293,214,152,164,52,55,71,58,11,1076,393,233,326,250,111,79,102,108,22,1630,1750,339,5817,640,418,471,1926,1307,174,12843,75,16,65,35,30,55,82,101,8,468,146,35,70,56,40,69,122,109,14,662,37,34,15,18,6,16,27,31,0,192,159,33,147,44,12,57,174,172,80,878,4002,3693,6913,1486,906,943,2608,2035,351,22939,10,23,0,0,0,0,0,0,0,32,16,143,5,5,11,0,0,0,5,183,152,673,9,49,84,16,0,7,10,991,7,42,0,4,3,0,0,0,0,58
CED108,7,12,3,3,0,0,0,0,0,22,18,87,10,8,5,3,4,3,0,139,347,897,138,99,270,105,163,74,39,2129,9,39,3,3,10,8,9,5,0,91,24,94,12,13,28,7,10,11,0,207,16,32,9,3,6,6,0,0,3,68,606,2166,698,398,741,308,668,415,96,6088,9,4,6,3,3,0,10,9,0,48,200,222,354,144,142,90,276,133,20,1582,276,293,395,225,206,165,329,172,31,2103,601,297,3856,429,473,320,1453,919,168,8516,32,14,44,28,45,22,118,71,7,393,58,43,96,78,59,49,219,139,20,771,46,67,70,29,35,22,101,46,7,433,44,57,149,50,62,39,200,181,108,891,2294,4330,5851,1518,2095,1150,3550,2170,503,23466,0,14,0,0,3,3,0,0,0,23,7,70,4,3,5,3,0,0,0,98,123,807,36,158,338,100,26,57,22,1659,3,29,4,5,17,4,0,0,0,61
CED109,6,17,0,0,0,0,0,0,0,27,31,227,6,7,6,0,3,0,0,282,597,925,59,52,143,62,26,19,25,1908,12,34,3,0,3,3,0,0,0,59,92,217,15,21,29,10,8,0,3,401,30,39,8,7,14,3,4,0,4,108,1740,3278,325,338,510,344,130,149,95,6919,5,4,8,3,3,6,0,3,0,28,501,463,272,204,151,162,76,62,18,1899,605,422,386,252,184,203,84,94,35,2267,1606,483,4727,490,507,446,688,701,173,9809,55,27,27,36,31,24,23,33,3,244,153,111,106,67,85,102,86,71,11,793,69,90,48,18,27,24,18,22,3,327,114,98,80,41,40,52,51,52,74,600,5614,6432,6062,1532,1730,1439,1196,1203,453,25667,10,32,0,0,4,0,0,0,0,49,20,155,0,4,6,0,0,0,0,182,342,1213,26,77,214,62,3,8,27,1973,8,50,0,7,5,0,0,0,0,75
CED110,0,16,0,0,0,0,0,0,0,20,18,143,4,3,3,0,0,0,3,173,154,398,13,31,36,8,3,11,5,663,4,24,3,0,0,0,0,0,0,31,35,232,15,12,8,3,10,5,3,326,23,38,3,5,3,0,0,0,0,74,600,2137,175,215,173,99,55,91,32,3576,3,3,3,3,0,0,0,0,0,14,242,287,135,144,65,58,38,45,18,1037,266,283,212,234,125,114,49,83,24,1399,1311,335,4620,685,366,581,931,1279,173,10282,32,13,53,61,20,60,47,116,3,404,81,37,55,82,31,68,78,129,11,566,14,43,25,15,13,13,17,34,3,169,81,54,132,69,29,57,88,138,83,737,2860,4040,5448,1556,875,1064,1316,1936,365,19454,0,33,0,0,3,0,0,0,0,36,8,98,0,3,13,0,0,0,0,120,121,606,8,41,40,5,0,5,3,829,3,41,0,8,3,0,0,0,0,50
