CED_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
CED111,28,231,173,14,27,144,615,6,173,8,28,0,4,224,65,1731,103,61,34,25,2022,279,707,204,71,20,14,1293,309,318,190,35,25,11,882,955,211,345,21,44,15,1590,2264,234,512,22,41,12,3092,3234,238,656,15,44,10,4198,1952,32,313,7,18,6,2330,773,3,128,3,5,0,914,281,3,59,3,4,3,351,107,0,22,0,0,0,134,49,0,12,0,0,0,62,40,3,15,0,4,0,58,131,229,109,25,26,27,545,10459,4113,2844,300,306,273,18293
CED112,16,69,172,19,26,133,436,6,69,11,31,9,4,126,31,652,68,37,31,10,830,170,357,171,106,133,12,955,235,182,186,34,56,7,708,589,138,317,63,54,15,1177,2386,199,705,22,53,25,3399,4025,59,712,11,53,12,4874,1689,8,220,4,15,6,1942,284,3,60,0,7,0,354,80,0,18,0,4,0,98,23,0,6,0,0,0,30,13,0,8,0,0,0,20,19,0,7,0,4,0,29,110,114,102,42,28,28,420,9684,1846,2762,372,482,251,15396
CED113,24,51,355,19,162,305,923,17,60,42,34,42,5,193,157,396,285,69,73,15,989,727,295,461,93,89,15,1684,734,132,380,31,63,14,1354,1269,135,506,20,154,7,2094,1614,112,588,17,201,9,2541,1572,77,460,12,83,11,2209,457,8,194,0,20,3,684,212,0,59,0,9,0,279,76,0,24,0,4,3,108,23,0,13,0,4,0,46,12,0,3,0,5,0,27,22,0,24,0,7,3,61,100,67,155,23,77,23,441,7015,1336,3550,325,993,415,13632
CED114,39,72,506,76,467,392,1551,68,88,81,56,71,12,363,757,525,621,119,165,27,2206,2062,405,918,95,198,50,3726,1150,133,609,33,98,17,2041,2085,136,636,20,87,20,2984,1963,35,402,7,55,4,2467,1014,3,155,3,18,3,1206,128,3,33,3,10,0,167,16,0,7,0,0,0,29,8,0,3,0,0,0,16,3,0,5,0,0,0,15,0,0,0,0,0,0,0,16,0,26,0,4,0,46,151,90,193,32,172,29,665,9457,1490,4200,441,1345,554,17487
CED115,41,186,246,14,18,118,625,3,156,5,10,0,0,175,31,1094,69,30,16,10,1249,103,770,96,98,32,11,1117,120,387,137,39,18,0,692,586,349,202,50,42,7,1226,3276,308,489,50,104,32,4251,3645,364,687,38,177,30,4945,2175,79,329,20,102,6,2706,432,12,73,3,17,0,538,107,5,19,0,3,0,132,41,0,6,0,0,0,48,8,0,0,0,3,0,11,26,0,5,0,0,0,33,165,203,152,23,53,46,643,10762,3896,2517,382,587,267,18407
CED116,19,56,253,9,58,223,624,7,68,27,34,13,0,148,50,449,164,51,64,14,791,379,421,335,147,97,14,1389,392,152,358,44,65,13,1025,1173,222,565,43,227,21,2254,2535,173,800,46,105,29,3687,2112,28,508,14,52,14,2729,503,3,106,0,13,0,629,122,0,28,0,4,0,159,59,3,15,0,0,0,78,9,0,4,0,0,0,19,3,0,3,0,0,0,5,7,0,10,0,6,0,26,110,103,140,37,45,18,451,7488,1689,3325,419,755,349,14019
CED117,31,76,235,17,22,150,528,3,97,8,22,0,0,132,32,732,51,48,7,7,882,87,265,116,120,14,6,608,160,118,125,37,8,3,453,471,93,167,44,28,6,815,1250,82,315,31,36,6,1718,4006,59,634,19,38,21,4784,4057,32,589,5,22,7,4707,2696,10,469,4,27,3,3209,2116,14,290,3,11,6,2442,1401,0,219,0,9,8,1626,873,3,142,0,0,0,1014,1125,0,208,0,8,3,1349,232,90,161,36,26,34,574,18533,1676,3726,400,258,252,24836
CED118,14,133,139,21,11,97,412,6,102,3,9,0,3,130,18,683,38,28,5,3,776,33,350,56,35,28,3,513,48,181,83,20,3,0,342,132,134,116,28,52,9,468,622,135,244,32,42,3,1082,3866,181,620,22,72,18,4783,2594,23,359,10,33,14,3032,1605,5,141,0,8,5,1763,642,3,55,0,3,0,708,89,0,11,3,0,0,101,20,0,3,0,0,0,24,20,0,12,0,0,0,31,163,107,111,19,28,29,449,9862,2040,1994,238,299,181,14621
CED119,11,38,105,16,7,67,249,3,43,3,7,0,0,51,6,307,19,35,9,3,376,6,136,29,31,13,3,217,22,84,50,14,14,3,180,62,76,58,13,294,3,505,152,67,138,15,100,0,467,1568,54,290,10,47,3,1973,1724,32,235,3,22,9,2018,907,17,131,3,6,4,1067,478,0,74,0,0,0,566,199,0,19,0,0,0,220,65,0,5,0,0,0,65,48,0,13,0,0,0,60,89,60,51,39,29,8,276,5340,914,1201,186,543,109,8291
CED120,20,57,238,18,113,221,659,10,44,23,19,5,3,97,58,325,112,50,58,10,615,217,219,193,67,56,13,763,215,86,194,21,27,0,543,502,85,252,10,42,4,898,1071,52,376,6,44,7,1558,1744,51,363,8,34,7,2217,1396,7,197,3,15,3,1622,403,0,48,0,6,4,459,68,0,25,0,0,0,93,40,0,3,0,0,0,43,5,0,0,0,0,0,11,15,0,7,0,5,0,30,101,47,120,27,59,12,369,5869,981,2153,226,454,286,9962
CED121,13,91,225,16,87,186,614,9,89,23,36,18,3,180,114,645,128,73,50,14,1020,462,498,232,93,89,22,1396,444,168,250,48,65,8,985,1287,204,378,38,112,9,2033,2899,191,649,13,77,16,3850,2554,31,489,8,35,8,3128,790,3,117,0,10,3,924,83,0,28,0,5,0,122,16,6,10,0,0,0,33,5,0,4,0,0,0,10,0,0,3,0,0,0,4,13,0,7,0,7,0,28,133,106,110,31,57,25,457,8831,2041,2657,347,617,284,14775
CED122,52,278,334,19,23,161,868,4,229,3,26,4,3,268,37,2004,39,35,8,16,2136,70,674,90,87,4,9,938,103,277,108,27,14,3,538,186,196,161,29,94,5,671,527,170,228,40,90,3,1063,2515,152,512,86,98,17,3384,4378,83,644,28,49,18,5206,4669,43,597,7,63,10,5394,3180,26,469,7,25,4,3714,1432,4,242,4,24,3,1711,793,3,138,0,20,0,949,1189,3,296,3,20,0,1514,338,274,208,27,40,35,915,19482,4428,4062,423,572,284,29266
CED123,18,123,160,9,21,101,428,4,101,6,19,3,0,128,15,792,52,21,18,9,906,67,464,93,107,3,5,737,116,215,116,38,7,3,493,606,189,223,41,85,8,1154,2181,250,505,69,32,16,3050,5804,232,768,27,44,26,6897,2066,15,278,3,23,5,2396,608,0,67,0,4,0,684,118,3,21,0,8,0,150,46,0,11,0,0,0,58,11,0,0,0,0,0,16,15,3,6,0,0,0,29,175,151,118,15,29,29,517,11861,2538,2409,340,286,203,17640
CED124,17,38,310,17,84,248,713,7,39,24,31,18,0,114,126,386,248,49,58,13,884,626,272,371,145,138,16,1573,586,107,377,44,56,10,1181,1435,99,512,28,72,14,2150,2410,73,591,14,46,23,3157,1698,12,373,11,27,14,2127,284,0,77,0,3,0,362,40,0,14,0,5,5,57,15,3,3,0,0,0,18,7,0,3,0,0,0,11,0,0,0,0,0,0,3,10,0,14,0,3,0,30,107,65,141,38,48,25,411,7351,1099,3051,377,552,366,12796
CED125,22,146,133,7,9,85,408,3,126,4,15,0,0,149,9,1126,25,30,20,6,1217,42,736,85,54,16,7,936,49,411,74,34,6,3,581,242,357,129,32,45,4,806,1412,419,409,36,26,3,2309,4523,319,658,28,53,22,5606,1812,26,224,0,23,16,2100,710,0,51,0,5,0,776,112,3,13,0,4,0,126,29,0,10,0,0,0,40,11,0,3,0,0,0,14,10,0,3,0,0,0,17,144,199,108,14,20,30,514,9134,3884,1932,244,219,177,15595
CED126,10,24,168,14,15,134,370,3,31,5,18,3,4,54,12,265,23,68,16,9,401,20,78,33,26,7,3,171,15,36,41,9,8,0,115,38,31,58,46,26,0,205,135,24,172,8,31,3,373,848,21,330,8,31,4,1252,1821,14,453,5,27,10,2327,1281,6,309,7,15,3,1618,913,14,229,0,13,3,1162,746,3,165,3,7,0,922,500,0,118,3,9,0,622,857,0,140,0,3,3,998,133,43,113,28,22,13,352,7339,587,2354,243,236,197,10950
CED127,10,30,194,16,44,158,464,6,25,12,15,3,0,55,21,124,79,19,16,0,259,93,352,136,88,19,3,698,109,116,132,37,34,3,437,354,144,244,48,116,8,906,1158,89,401,26,52,11,1739,2767,113,526,25,30,9,3478,1236,24,189,3,15,0,1460,323,3,57,0,3,0,386,102,0,12,3,0,0,119,34,3,6,0,0,0,45,23,0,0,0,0,0,24,13,0,10,0,8,0,27,96,64,102,25,28,7,322,6342,1095,2106,305,373,209,10437
CED128,47,96,212,24,17,97,497,0,107,8,19,0,0,137,19,816,30,45,13,6,932,89,434,109,85,27,5,756,96,249,101,32,25,10,514,271,169,168,39,45,7,696,1311,154,313,62,57,9,1914,4544,151,739,32,157,44,5671,2703,54,395,12,101,17,3279,681,11,96,4,25,8,828,222,0,29,0,5,4,258,49,3,20,0,0,0,68,18,0,3,3,3,0,27,21,0,8,0,0,0,32,170,103,128,28,33,27,497,10249,2349,2357,393,505,235,16092
CED129,8,7,118,15,13,70,227,0,19,3,7,0,4,29,9,71,17,27,6,0,130,4,46,38,34,3,0,126,14,29,31,6,0,0,82,36,23,40,11,56,0,177,89,22,87,3,49,0,258,489,14,224,9,26,0,765,1939,8,298,7,24,3,2271,2176,4,197,6,10,11,2412,1144,0,98,6,0,3,1252,395,0,60,4,0,0,464,195,0,23,0,0,0,221,143,0,24,0,0,0,168,111,12,66,32,11,15,250,6765,257,1318,169,217,113,8835
CED130,28,80,472,82,415,482,1564,47,95,63,29,23,5,265,373,499,439,93,125,25,1560,1139,495,622,143,122,40,2559,952,177,532,41,72,13,1792,2020,241,587,46,82,25,2991,2609,93,634,24,64,20,3440,1480,18,286,8,26,5,1829,250,4,60,0,11,0,332,39,0,18,0,3,0,62,5,0,9,0,0,0,13,4,0,3,0,0,0,10,3,0,0,0,0,0,8,9,0,28,0,3,0,42,129,101,194,25,195,31,671,9094,1810,3943,495,1139,645,17129
CED131,14,263,174,49,23,160,680,12,191,15,25,3,3,239,91,1575,160,49,20,18,1911,326,492,298,94,25,9,1251,356,216,258,47,23,6,909,876,195,375,38,78,11,1571,2505,187,851,37,98,17,3700,4889,67,1174,21,81,14,6249,2096,16,395,3,16,5,2532,592,0,115,0,5,0,716,195,8,56,0,5,3,260,91,0,31,3,4,0,130,36,0,13,0,0,0,48,51,0,31,0,3,0,86,153,197,138,50,25,15,572,12289,3393,4074,415,418,259,20841
CED132,40,72,302,26,37,176,650,3,81,5,26,0,0,117,30,636,44,28,0,3,751,36,172,67,36,9,4,318,40,61,86,17,5,0,208,91,33,121,12,36,0,292,406,41,197,9,17,8,675,2118,44,473,14,33,5,2692,4838,16,713,15,34,10,5626,4649,7,583,5,21,13,5284,2657,0,339,0,12,5,3020,1598,0,236,3,13,9,1862,1040,0,163,3,7,7,1224,1831,0,372,0,23,0,2229,308,55,159,54,32,25,632,19678,1226,3863,246,295,264,25570
CED133,11,48,378,61,69,296,865,11,60,36,34,25,0,163,147,419,321,116,113,18,1142,646,274,561,181,145,30,1835,608,132,541,65,67,11,1421,1664,116,873,42,106,23,2826,2718,86,1097,34,95,28,4058,1688,22,505,13,43,19,2291,349,3,88,0,13,4,459,60,4,22,0,0,0,92,27,0,6,0,0,0,38,7,0,3,0,3,0,16,0,0,3,3,0,0,4,13,0,15,0,0,0,23,95,79,167,39,52,27,465,8045,1246,4622,586,736,449,15687
CED134,41,172,603,99,930,624,2477,23,149,91,151,142,18,569,369,670,636,266,247,47,2226,1236,646,856,313,306,37,3398,797,270,607,64,108,22,1873,1239,213,591,50,96,13,2197,1536,93,539,13,81,8,2271,1084,21,223,3,41,6,1383,184,0,35,0,14,0,232,27,0,17,0,5,0,47,3,0,6,0,0,0,14,8,0,3,0,0,0,11,3,0,3,0,0,0,9,9,0,25,0,8,0,41,99,134,253,51,230,46,812,6651,2378,4484,1016,2204,817,17557
CED135,45,292,241,40,33,130,778,4,229,6,47,3,0,296,53,1652,62,68,33,4,1870,91,707,132,156,35,11,1132,112,313,149,45,20,6,642,244,292,162,65,68,7,845,1226,241,375,66,67,4,1987,8858,273,1079,59,164,26,10460,6337,87,745,15,105,29,7315,1923,12,284,3,21,4,2252,473,4,94,3,15,0,586,148,3,36,0,0,0,187,58,3,19,0,0,0,77,57,0,12,0,4,0,76,305,244,180,45,31,33,849,19938,4362,3578,626,601,258,29364
CED136,15,104,172,7,26,103,430,3,86,24,23,5,0,144,53,818,99,35,59,12,1073,394,496,168,89,66,13,1220,340,209,233,13,45,9,858,986,248,394,10,481,14,2132,3328,212,707,14,158,17,4441,4006,27,509,0,56,15,4610,721,5,95,0,15,3,832,130,3,27,0,4,0,167,27,3,10,0,3,0,49,8,0,0,0,0,0,10,6,4,0,0,0,0,8,6,0,8,0,3,0,16,112,118,99,33,42,20,421,10149,2329,2542,234,960,201,16421
CED137,59,81,347,20,33,156,700,3,67,10,12,12,0,102,36,564,72,26,66,6,766,81,205,99,67,28,4,485,81,75,118,24,26,3,326,178,63,142,12,78,4,478,508,58,219,29,49,4,871,2559,64,445,22,36,8,3134,6281,24,708,16,67,26,7130,4579,21,500,9,39,16,5162,2789,8,368,10,32,3,3220,1083,6,187,0,18,5,1298,463,3,113,3,3,0,581,543,0,108,0,8,0,657,381,74,238,37,52,41,828,19632,1313,3670,297,548,281,25744
CED138,9,37,256,10,37,256,603,0,42,18,21,14,3,96,32,632,162,40,71,14,945,143,332,282,90,134,11,993,146,143,360,19,81,6,753,560,103,498,28,106,16,1308,1876,98,960,30,83,19,3071,2866,60,1186,30,112,17,4272,1627,9,567,3,27,15,2243,688,7,225,0,18,0,931,280,0,113,0,3,3,400,108,4,47,0,0,0,162,50,0,16,0,3,0,76,52,0,26,0,3,0,83,120,99,200,31,30,30,510,8557,1575,4906,292,727,401,16454
CED139,27,133,514,81,278,410,1438,28,120,83,62,27,3,328,409,774,474,98,93,36,1880,1411,474,729,73,110,40,2843,911,197,582,17,66,18,1786,1795,152,597,16,240,17,2821,2177,54,552,3,110,10,2907,1046,13,228,0,23,5,1317,198,5,47,0,6,0,254,22,0,17,0,7,0,45,7,0,7,0,3,0,16,6,3,3,0,0,0,16,0,0,0,0,0,0,0,8,0,18,0,4,0,28,109,99,170,39,132,25,566,8156,2029,4021,393,1095,555,16251
CED140,10,82,186,17,27,165,489,4,66,17,7,3,3,101,21,693,73,52,35,14,881,144,278,139,98,64,10,741,209,122,208,25,24,5,590,557,104,251,29,47,5,999,1823,132,497,15,43,13,2524,3879,75,677,10,35,17,4689,1666,8,256,5,11,3,1949,627,5,80,0,6,3,718,216,0,19,0,0,0,240,88,0,12,0,0,0,108,30,0,6,0,0,0,37,33,0,4,0,3,3,50,125,98,117,22,25,14,391,9435,1651,2546,290,327,260,14505
