CED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
CED101,376,2201,597,546,115,4950,892,271,2785,1212,1238,261,6662,63,8,207,135,214,29,658,156,36,348,327,1055,60,1984,232,23,603,328,611,304,2095,6709,1519,17574,8803,13288,2103,49998
CED102,395,2133,518,421,107,5045,1157,311,3268,1279,1143,267,7426,111,28,338,186,211,35,904,167,39,482,375,999,69,2136,345,32,876,406,607,439,2704,9446,1788,22353,9884,12030,2555,58051
CED103,459,2693,612,510,119,6344,1498,471,3778,1254,1040,270,8305,114,19,294,133,163,29,762,294,62,568,363,865,66,2214,539,54,1038,345,439,310,2729,13416,2325,26511,8758,10211,2093,63320
CED104,609,2953,758,595,132,6715,1283,430,3249,1276,1128,254,7623,68,15,247,131,140,17,618,155,57,421,283,998,49,1964,269,61,674,297,515,217,2033,8817,2409,20778,8492,12010,1817,54322
CED105,154,1303,414,397,92,3093,582,194,2144,1209,1199,213,5541,27,7,128,79,136,19,391,88,18,283,326,904,77,1696,168,28,610,418,737,471,2433,4076,791,12543,7203,10895,2234,37738
CED106,523,2574,555,300,111,5865,1973,435,4214,1080,679,269,8648,123,29,336,101,101,29,725,249,52,577,251,504,54,1693,521,56,1064,316,298,206,2453,13981,2704,28049,7315,6197,1819,60064
CED107,484,2462,733,977,108,5442,571,387,2468,1579,2353,302,7658,25,9,101,80,194,24,430,31,18,161,224,1493,57,1985,25,16,158,154,733,246,1338,2246,1475,9986,6847,21749,2197,44494
CED108,175,1123,389,480,89,2933,599,186,2872,1390,2006,318,7379,11,9,105,83,152,21,386,69,20,280,231,1074,69,1734,123,20,451,344,884,448,2275,4069,827,13096,7500,15337,2405,43225
CED109,392,2327,688,500,124,4929,838,300,2665,1214,1090,276,6386,45,13,244,175,266,38,791,97,23,282,358,1281,63,2109,130,23,472,407,740,266,2033,4427,1498,15341,9579,16016,2096,48955
CED110,472,2200,749,870,122,4918,641,330,2803,1792,2912,311,8789,17,14,84,85,242,20,461,40,17,141,231,1262,78,1765,34,19,143,151,640,221,1197,1846,1296,8957,6800,18894,1881,39676
