CED_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
CED101,66,4562,223,4854,342,8504,366,9212,146,4485,206,4832,95,5217,240,5550,157,10601,575,11333,178,9239,450,9875,269,9204,483,9952,473,8070,440,8985,531,5217,332,6071,727,2636,226,3598,649,770,91,1513,3636,68508,3638,75773,35,4353,203,4584,154,8261,348,8761,79,4326,190,4592,48,4848,245,5141,119,10972,589,11685,185,10146,474,10801,402,9930,507,10845,579,8666,467,9713,711,5558,349,6617,1200,3101,257,4553,1495,1094,151,2735,5000,71248,3781,80026,103,8918,427,9442,494,16762,714,17970,221,8810,393,9428,147,10060,480,10685,272,21575,1171,23016,369,19385,929,20678,666,19129,994,20792,1049,16742,909,18700,1243,10770,679,12691,1929,5736,487,8149,2143,1865,246,4255,8632,139754,7420,155806
CED102,58,4948,338,5341,261,8236,504,8993,96,4276,231,4610,96,6385,451,6935,163,16232,1163,17559,210,11385,828,12421,314,9295,627,10241,462,7268,543,8273,709,4817,395,5916,1061,2501,294,3854,771,600,208,1582,4193,75948,5584,85720,31,4639,289,4969,113,7700,443,8261,72,4167,193,4433,59,6254,412,6723,134,16132,1145,17411,192,11300,768,12261,380,9787,648,10812,647,7756,516,8913,905,5088,400,6395,1556,2630,353,4535,1396,667,353,2408,5481,76121,5524,87129,89,9589,631,10311,373,15936,949,17259,167,8449,423,9037,153,12641,866,13658,299,32368,2302,34970,398,22690,1599,24681,689,19089,1281,21059,1108,15023,1061,17188,1607,9905,794,12313,2615,5124,646,8387,2163,1267,566,3995,9672,152064,11111,172850
CED103,66,4866,215,5144,250,8882,301,9429,105,4751,192,5056,77,6337,279,6690,126,13229,660,14015,155,11280,558,11991,265,9656,446,10362,344,8102,375,8823,418,5200,284,5896,634,2589,183,3406,662,783,100,1551,3090,75681,3593,82368,30,4827,221,5071,106,8380,261,8753,41,4364,157,4563,62,6439,316,6818,109,13859,682,14652,179,11754,507,12441,282,10516,415,11210,475,8825,397,9697,541,5470,311,6320,1114,3007,245,4369,1379,1105,192,2675,4319,78561,3705,86580,100,9689,431,10213,354,17266,563,18184,149,9118,353,9621,138,12779,591,13511,234,27089,1344,28675,332,23032,1068,24430,544,20168,862,21575,815,16930,777,18521,952,10667,597,12216,1746,5597,430,7775,2041,1891,288,4224,7406,154239,7300,168948
CED104,50,3912,130,4094,297,9840,270,10412,116,5216,164,5497,94,4413,159,4665,136,5966,286,6384,133,8518,390,9042,171,9990,395,10556,222,8669,371,9262,306,6134,263,6704,514,2689,185,3389,523,709,61,1298,2561,66064,2674,71298,24,3514,116,3655,136,9432,278,9841,81,4837,152,5071,55,4021,164,4239,111,5976,254,6336,139,9652,346,10130,198,10964,404,11566,224,9130,370,9722,391,6367,314,7069,798,2852,203,3850,1333,883,127,2346,3495,67622,2725,73835,74,7428,250,7743,431,19273,548,20254,193,10058,317,10565,148,8433,321,8901,247,11941,534,12722,274,18166,730,19177,374,20951,799,22123,450,17793,743,18983,696,12501,579,13779,1303,5543,389,7236,1860,1592,193,3645,6055,133682,5398,145136
CED105,96,6193,506,6791,410,10930,794,12133,145,5318,341,5796,151,6875,523,7556,283,14692,1240,16213,375,10294,884,11553,561,8996,771,10327,846,7386,595,8823,985,4333,420,5744,874,1843,220,2935,617,488,94,1196,5332,77347,6397,89077,64,6022,548,6634,186,10400,742,11330,77,5107,324,5508,76,6041,469,6587,220,13151,907,14274,342,9811,745,10890,673,8927,665,10265,1071,7245,538,8850,1019,4211,379,5608,1358,1913,261,3534,1286,631,152,2071,6379,73460,5721,85554,163,12208,1050,13427,595,21336,1539,23462,219,10420,666,11308,231,12918,990,14140,501,27837,2145,30490,720,20103,1632,22447,1230,17925,1440,20595,1913,14632,1136,17678,2001,8548,802,11348,2232,3754,483,6474,1902,1120,247,3267,11709,150803,12119,174634
CED106,48,4418,174,4640,248,11222,339,11808,109,5424,245,5786,71,4269,159,4503,96,7528,399,8023,87,10001,413,10500,127,10567,465,11157,162,7894,350,8403,258,5741,281,6275,523,3236,185,3944,725,1038,146,1909,2448,71342,3155,76948,24,4229,136,4389,122,10601,322,11044,61,5389,215,5659,47,4329,202,4569,80,8448,382,8911,118,11301,457,11876,173,11825,494,12488,260,8602,336,9193,382,6392,363,7140,817,3732,273,4825,1608,1329,264,3209,3689,76170,3447,83302,72,8645,311,9031,368,21818,661,22851,175,10812,458,11445,115,8598,366,9077,169,15982,786,16933,202,21304,870,22375,300,22388,953,23647,422,16490,692,17601,637,12133,643,13418,1339,6966,459,8767,2338,2372,410,5117,6139,147516,6598,160255
CED107,61,4951,432,5437,524,9888,769,11173,208,4680,466,5351,125,3877,819,4821,210,7863,1558,9628,259,7862,1239,9356,432,8912,1190,10536,623,8664,995,10277,700,6985,872,8555,664,3114,428,4204,440,702,142,1288,4238,67490,8910,80634,27,4635,402,5061,233,9357,770,10362,113,4470,418,5004,96,3962,446,4512,194,8261,766,9218,266,8510,832,9609,421,9372,940,10732,552,8905,865,10326,615,7179,820,8615,930,3442,524,4900,1090,940,296,2328,4541,69038,7079,80662,92,9578,831,10497,750,19245,1537,21531,318,9149,886,10359,224,7845,1264,9334,404,16122,2328,18848,521,16366,2071,18964,851,18283,2132,21264,1180,17569,1859,20600,1317,14167,1694,17178,1592,6556,947,9101,1530,1643,446,3617,8780,136528,15986,161298
CED108,131,6301,523,6954,702,11733,838,13275,238,5835,398,6480,166,5816,410,6391,282,11470,728,12484,294,10610,705,11608,506,9236,688,10421,682,7259,532,8472,870,4234,383,5482,630,1482,176,2288,338,253,58,652,4841,74230,5441,84513,68,6099,483,6650,308,11240,797,12343,137,5577,353,6071,106,5741,342,6189,233,12546,817,13600,328,10849,723,11910,632,9431,637,10701,875,7587,577,9038,1007,4479,484,5966,1031,1661,242,2935,928,311,91,1331,5659,75526,5548,86738,205,12395,1006,13609,1013,22970,1634,25619,382,11417,752,12553,268,11557,756,12584,516,24014,1546,26077,625,21458,1431,23514,1129,18667,1323,21123,1566,14846,1106,17517,1875,8709,864,11451,1662,3145,426,5231,1260,571,147,1980,10506,149758,10985,171249
CED109,44,4054,195,4297,234,7966,368,8573,99,3721,198,4014,62,3649,213,3919,96,7628,544,8269,136,8463,573,9172,191,8682,514,9387,246,7469,486,8196,406,5492,372,6276,549,2970,213,3730,585,960,127,1666,2644,61058,3797,67499,22,3728,210,3960,97,7619,346,8066,57,3665,165,3886,43,3524,182,3743,82,8238,573,8896,142,9064,520,9727,212,9181,526,9918,309,8004,495,8806,451,6103,386,6943,904,3531,268,4707,1405,1302,207,2913,3722,63963,3876,71568,64,7784,404,8253,340,15590,710,16632,154,7390,363,7905,100,7172,391,7668,181,15866,1122,17161,278,17527,1098,18899,401,17864,1039,19306,547,15477,977,17006,860,11603,756,13217,1455,6502,488,8441,1988,2263,330,4576,6367,125022,7678,139062
CED110,63,3743,311,4117,563,8587,632,9777,224,4162,313,4701,171,3159,356,3693,268,6165,779,7216,340,6929,681,7957,566,8300,836,9698,855,9709,955,11519,1032,8636,871,10538,831,4323,596,5740,723,1085,284,2088,5635,64805,6614,77043,51,3719,300,4069,268,8550,618,9439,115,4027,290,4429,92,3168,274,3529,221,6830,608,7655,313,7846,581,8735,548,9548,823,10923,815,10681,889,12389,880,9206,886,10973,1181,4746,702,6631,1601,1377,524,3503,6079,69701,6494,82275,106,7465,613,8185,837,17133,1242,19216,343,8193,601,9129,263,6324,634,7220,492,12994,1388,14874,647,14774,1264,16687,1111,17848,1653,20619,1667,20393,1848,23905,1911,17848,1759,21518,2012,9068,1295,12372,2325,2462,806,5595,11716,134501,13108,159321
