SAL_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
SAL10001,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10002,182,84,60,39,241,223,56,117,25,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,7,3,14,16,0,6,0,61,0,0,0,0,0,0,0,0,0,10,22,14,3,0,7,8,0,7,0,52,4,0,3,3,5,7,0,3,0,31,37,19,16,8,17,15,0,4,0,121,25,19,6,0,0,0,0,0,0,59,0,0,0,5,3,11,0,0,0,24,5,0,0,0,0,0,0,0,0,7,9,0,9,0,15,17,0,4,0,58,0,4,3,0,6,0,0,0,0,21,3,9,5,10,19,28,6,3,0,80,7,5,0,4,6,6,0,0,0,23,0,10,6,0,26,3,3,11,0,61,15,20,36,20,26,34,7,23,3,189,14,20,28,18,31,28,4,6,3,158,5,0,0,0,0,0,0,0,0,10,10,3,0,0,5,0,0,0,0,25
SAL10003,86,140,82,61,195,359,109,281,26,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,3,4,10,7,8,3,0,47,0,0,0,0,0,3,0,3,0,3,3,10,4,0,14,10,4,8,0,46,3,0,9,0,10,8,5,7,0,33,25,27,8,12,15,13,0,0,0,98,24,12,13,0,5,6,0,0,0,60,0,5,0,4,4,7,0,0,0,25,0,0,0,0,6,7,4,8,0,19,0,7,12,11,29,28,3,27,0,123,5,5,4,0,9,9,0,3,0,31,12,29,16,17,32,39,21,20,4,179,12,10,6,0,9,14,0,8,0,52,4,0,4,3,23,21,10,9,0,84,22,29,30,8,30,28,14,33,0,200,15,55,45,32,24,37,14,17,0,249,7,0,0,3,4,3,0,0,0,23,14,7,5,4,6,8,0,0,0,43
SAL10004,16,23,16,12,70,76,30,65,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,6,0,0,0,0,5,4,9,7,0,5,3,0,5,0,32,0,10,7,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,6,0,14,0,3,4,0,4,0,0,0,0,8,0,4,4,3,11,6,0,0,0,30,0,3,9,4,12,9,9,14,0,52,9,14,10,16,16,14,3,8,0,84,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
SAL10005,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10006,28,63,36,38,112,128,39,94,7,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,7,0,3,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,10,34,13,4,10,8,0,0,0,74,20,27,7,3,11,3,0,0,0,72,5,0,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,3,0,3,0,4,0,0,0,0,8,3,0,0,0,3,0,0,0,0,10,5,3,11,0,6,0,0,0,0,32,4,3,0,3,18,0,0,0,0,35,0,6,9,8,11,13,0,5,0,51,5,21,24,25,31,27,5,4,0,140,0,5,0,3,0,0,0,0,0,5,4,6,0,7,5,0,0,0,0,20
SAL10007,28,36,29,19,97,121,42,113,20,508,0,3,5,6,11,4,0,7,0,34,3,0,5,0,9,5,0,6,0,29,0,0,0,3,7,0,0,0,0,18,0,0,0,0,0,5,0,7,0,11,0,0,4,3,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,5,0,12,12,13,11,4,0,5,0,49,0,22,6,4,4,0,0,0,0,42,0,0,0,0,6,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,8,0,5,0,4,6,0,25,0,9,4,3,4,0,0,0,0,18,0,0,0,0,8,5,0,0,0,20,4,10,7,0,15,3,5,0,0,46,4,8,17,14,19,10,0,5,0,83,0,0,0,0,0,0,0,3,0,6,0,0,0,0,8,4,0,4,0,22
SAL10008,0,3,0,0,4,4,5,16,0,39,0,4,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10009,65,120,87,81,361,403,165,367,13,1672,0,0,0,0,5,0,0,0,0,6,0,0,3,0,10,7,3,10,0,35,4,5,6,8,16,8,3,4,0,55,0,0,3,0,4,4,0,0,0,13,0,6,7,4,16,10,4,3,0,57,0,3,3,0,0,6,3,7,0,21,30,54,48,22,54,16,9,0,3,230,19,76,17,17,16,11,0,5,0,158,0,9,6,0,3,8,0,0,0,26,0,0,0,0,0,0,0,0,0,7,3,4,5,6,18,18,4,4,0,58,0,0,0,0,3,6,0,0,0,20,5,14,13,5,10,13,7,7,0,63,5,17,8,4,17,10,3,8,0,65,11,0,10,7,37,19,14,5,0,95,16,39,28,24,35,28,6,28,0,197,33,54,81,72,106,67,12,24,3,457,4,4,4,0,3,0,0,0,0,11,7,18,22,5,18,7,0,4,0,78
SAL10010,39,48,41,34,141,137,47,89,8,577,0,0,0,0,0,3,0,0,0,5,4,0,0,0,0,0,0,0,0,10,8,0,4,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,6,5,0,0,18,0,0,5,0,4,0,0,0,0,7,7,15,24,7,17,0,0,0,0,71,10,18,11,3,0,10,0,0,0,53,3,0,8,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,3,0,11,0,0,0,0,15,0,0,4,0,3,0,0,0,0,8,0,3,0,5,0,0,0,0,0,17,6,8,3,5,4,0,0,0,0,27,3,4,3,4,10,0,0,0,0,21,3,10,9,6,6,0,0,0,0,42,9,31,24,26,32,15,4,5,0,148,0,0,0,0,0,0,0,0,0,6,4,7,3,0,3,0,0,0,0,21
