SAL_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,7,12
SAL10002,0,4,8,9,17,49,8,32,0,128,14,59,34,37,40,30,8,10,0,234,41,132,58,23,55,23,15,16,8,364,54,75,33,11,48,25,20,9,5,281,90,92,47,32,90,28,28,22,11,440,80,80,69,32,103,43,32,33,4,472,13,21,13,11,16,3,14,13,0,103,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,305,462,254,154,379,206,119,131,31,2037
SAL10003,3,9,5,17,12,22,0,14,3,83,12,48,13,24,25,23,0,5,0,155,63,202,53,23,56,42,5,8,8,463,175,237,32,24,72,33,9,12,15,616,180,204,39,30,101,37,9,20,16,636,123,169,26,24,93,31,10,17,4,494,43,94,19,4,41,12,4,10,4,231,0,4,0,0,3,3,0,3,4,30,0,0,0,0,0,0,0,0,0,0,600,960,192,148,407,212,40,85,51,2701
SAL10004,0,3,9,6,4,18,4,16,0,61,0,7,9,4,6,8,0,8,0,39,13,26,22,10,11,7,4,8,0,101,25,43,12,12,24,9,8,0,0,136,30,46,18,12,30,8,7,8,0,155,22,18,11,12,26,10,10,14,0,114,5,5,0,0,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,137,84,65,91,56,35,49,0,618
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,10
SAL10006,0,0,10,14,0,27,3,19,0,80,4,3,28,22,9,17,3,13,3,107,13,26,63,39,26,33,25,40,4,271,10,17,37,49,17,16,30,27,5,205,27,29,22,40,16,17,47,29,7,233,7,15,25,23,19,11,31,20,0,157,0,3,6,8,0,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,85,189,203,94,121,147,155,20,1078
SAL10007,0,3,20,13,0,18,0,17,0,70,4,0,36,13,5,6,8,14,0,89,18,25,58,15,19,10,25,21,7,186,10,19,40,17,17,9,46,26,0,178,12,6,24,16,18,6,60,30,6,191,15,12,27,20,16,11,32,35,0,171,7,7,3,5,6,0,7,4,0,39,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,70,74,214,102,82,59,180,140,21,947
SAL10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,7,5,0,0,0,0,0,5,0,0,10,7,0,0,0,4,0,0,0,0,11,8,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,39,7,4,3,3,4,3,8,0,71
SAL10009,5,5,24,30,12,92,12,56,3,245,12,34,67,81,32,45,26,31,3,331,65,135,175,130,95,62,108,68,6,842,97,153,136,121,107,38,94,67,14,838,83,102,89,79,99,52,83,49,16,648,51,60,61,52,55,20,61,37,10,396,5,15,3,5,11,5,6,5,0,61,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,317,500,560,500,419,320,391,315,47,3372
SAL10010,0,0,13,12,0,15,8,11,0,66,5,5,28,13,4,14,13,15,6,110,20,23,58,40,33,12,34,38,3,261,16,33,48,27,35,21,37,23,0,230,25,18,42,22,28,17,35,35,0,216,9,17,18,25,20,7,40,35,0,181,4,5,4,0,0,0,7,3,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,87,98,210,140,124,87,175,162,11,1094
