SAL_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SAL10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,4,0,0,0,0,6,0,4,0,0,0,0,12,0,3,0,0,0,0,3,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,5,14,24,19,0,4,0,54
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10014,7,3,11,0,0,0,19,3,0,0,0,0,0,3,4,0,9,0,0,0,10,0,4,0,0,0,0,5,0,0,0,0,0,0,4,4,5,6,0,0,0,13,5,15,3,0,3,0,26,6,7,9,0,3,0,30,3,7,7,0,0,0,20,7,12,5,5,0,0,27,7,16,3,0,0,0,31,14,24,8,3,10,0,52,9,27,4,3,0,0,48,5,33,8,0,0,0,48,17,46,15,3,0,0,79,23,83,16,0,3,0,131,6,28,10,0,0,0,46,3,14,9,0,0,0,35,7,15,8,0,0,0,36,130,337,123,26,35,0,653
SAL10015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,5,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,4,0,21
SAL10016,6,0,3,0,0,0,19,0,0,3,0,0,0,7,12,6,3,0,0,0,17,0,0,0,3,0,0,10,6,0,0,0,3,0,14,4,10,4,6,4,0,24,9,9,3,0,0,0,27,11,7,7,4,3,0,35,13,14,4,0,3,0,33,11,14,6,3,0,0,35,10,13,6,4,5,0,31,15,20,9,6,4,4,55,11,12,0,0,3,0,31,12,17,0,3,0,0,44,17,51,11,3,0,0,86,17,43,18,4,0,0,83,14,23,4,0,0,0,41,0,12,4,0,3,0,18,14,15,6,0,0,0,41,168,282,99,48,37,3,633
SAL10017,14,6,5,0,0,0,23,0,4,0,0,0,0,0,3,5,5,0,0,0,9,5,4,0,0,4,0,7,9,3,0,0,0,0,16,0,10,4,0,0,0,16,3,9,4,0,5,0,17,3,20,13,0,0,0,39,4,15,0,3,6,0,36,8,19,10,3,3,0,39,8,22,8,0,0,0,41,19,61,14,5,5,0,91,8,37,3,0,3,0,60,11,27,4,0,4,0,40,22,60,12,3,5,0,102,27,86,16,5,4,0,130,5,27,4,0,0,0,37,3,5,5,0,0,0,12,6,18,0,0,3,0,29,153,423,103,30,37,6,755
SAL10018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,0,3,3,5,3,0,0,0,4,5,6,0,3,0,0,16,0,9,0,0,0,0,19,11,6,4,0,0,0,13,9,4,0,0,0,0,10,0,6,0,0,0,0,8,3,0,4,0,0,0,6,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,34,40,22,0,10,0,101
SAL10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,4
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL10021,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,6,0,0,3,0,0,0,5,0,6,0,0,0,0,3,0,5,0,0,0,0,3,8,4,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,14,5,15,4,3,0,0,27,4,4,4,0,0,0,16,0,8,9,0,0,0,14,0,0,0,0,3,0,7,27,55,26,6,15,0,126
SAL10022,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,12,0,8,0,0,0,0,11,4,7,5,0,0,0,18,0,9,4,3,0,0,18,0,11,5,0,0,0,20,0,18,0,0,0,0,15,5,17,3,0,0,0,30,0,13,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,6,27,92,20,14,9,0,162
SAL10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8
SAL10024,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL10025,21,12,11,4,4,0,47,8,0,0,0,0,0,16,15,5,14,0,0,0,34,11,9,11,3,4,0,33,19,9,14,0,10,0,48,15,9,12,3,5,0,44,13,30,23,11,8,0,84,37,42,23,8,16,0,131,20,51,32,11,8,6,125,47,65,27,16,8,0,168,27,90,25,15,8,0,168,75,135,48,12,19,0,292,57,95,27,8,3,0,193,27,49,10,3,0,0,91,70,153,41,12,3,0,279,53,105,47,14,4,0,230,9,21,10,4,0,0,43,3,11,3,0,0,0,17,32,46,24,9,10,3,124,560,927,410,129,122,9,2166
SAL10026,9,0,4,0,6,0,27,3,0,0,0,0,0,3,3,0,4,0,3,0,10,0,0,0,0,6,0,9,13,5,4,0,5,0,23,14,8,12,4,3,0,39,8,8,6,9,11,0,41,12,25,14,5,6,0,58,20,14,12,4,3,0,51,27,35,13,11,6,3,86,20,20,6,9,6,0,63,39,51,24,8,6,0,130,21,36,5,5,0,0,63,8,13,0,0,0,3,25,17,22,8,0,5,0,61,13,21,15,5,0,0,53,3,4,4,0,0,0,14,3,6,0,0,6,0,9,5,17,7,4,4,0,42,258,291,132,58,69,8,813
SAL10027,7,3,3,0,0,0,17,0,0,0,0,0,0,3,8,3,0,0,0,0,11,3,0,0,0,0,0,3,7,6,3,0,6,0,19,7,0,5,3,5,0,14,6,8,5,0,6,0,25,7,12,0,0,5,0,25,9,9,4,0,4,0,30,14,10,0,3,0,0,35,14,9,6,0,0,0,26,10,17,5,3,6,0,41,5,13,0,0,0,0,13,0,8,3,0,0,0,13,3,15,8,3,0,0,29,17,23,4,0,0,0,38,0,9,0,0,0,0,11,5,3,0,0,0,0,10,5,10,0,0,0,0,16,134,160,54,22,25,0,391
SAL10028,0,3,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,3,3,3,4,0,0,0,13,3,7,4,0,0,0,11,5,0,0,0,0,0,10,3,3,0,0,0,0,3,3,4,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,31,14,6,3,0,83
SAL10029,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,11
SAL10030,15,3,3,0,0,0,26,8,0,0,0,0,0,8,4,0,0,0,3,0,9,0,0,0,0,0,0,4,10,0,0,0,0,0,11,7,4,0,0,0,0,6,10,8,0,0,0,0,24,13,6,6,3,0,0,30,12,8,3,3,0,0,22,27,8,0,3,0,0,32,13,3,0,0,0,0,19,35,20,5,3,7,5,65,18,9,4,0,0,0,36,39,11,3,0,0,0,57,55,29,3,3,0,5,95,114,72,15,3,10,0,217,55,57,10,0,0,0,128,82,92,6,3,0,0,185,20,14,0,4,0,0,41,528,349,56,35,30,13,1008
SAL10031,6,3,11,0,0,0,17,0,4,0,0,0,0,6,0,0,5,0,0,0,5,0,0,3,0,0,0,5,4,0,0,0,0,0,4,3,0,7,0,0,0,10,3,4,10,0,4,0,27,0,3,5,0,0,0,18,0,5,0,0,4,0,15,0,4,5,0,4,0,11,7,6,5,0,4,0,23,3,20,17,0,0,0,35,0,9,0,0,0,0,9,0,14,5,0,0,0,25,6,15,7,0,0,0,24,10,44,29,0,0,0,80,11,32,3,0,0,0,51,12,17,11,0,0,0,43,9,6,8,0,5,0,20,78,183,125,10,26,0,426
SAL10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,8,0,0,0,0,14
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,0,13
SAL10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11
