SAL_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SAL10036,2034,6446,51,98,23,57,78,154,191,279,0,0,0,0,0,0,35,92,223,369,0,0,0,0,0,0,0,0,0,0,3,11,2339,6980,121,..,2459,6980
SAL10037,32,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,69,8,..,35,69
SAL10038,362,1126,14,34,61,192,71,221,70,172,553,1300,943,2307,0,0,9,25,1582,3809,0,0,0,0,0,0,22,29,22,29,0,0,2039,5183,172,..,2210,5183
SAL10039,14,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,55,16,..,28,55
SAL10040,53,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,132,4,..,53,132
SAL10041,80,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,168,12,..,91,168
SAL10042,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,7,..,36,50
SAL10043,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,48,6,..,22,48
SAL10044,46,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,148,9,..,55,148
SAL10045,153,402,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,412,9,..,163,412
SAL10046,1870,4593,485,773,69,109,560,888,19,33,0,0,0,0,0,0,8,13,25,44,0,3,3,13,0,0,0,0,3,13,4,4,2461,5547,145,..,2605,5547
SAL10047,33,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,89,3,..,32,89
SAL10048,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,9,12,0,0,10,35,4,..,11,35
SAL10049,2019,5953,96,216,131,332,224,552,61,116,18,31,0,0,0,0,12,30,93,175,0,0,0,0,0,0,0,0,0,0,0,0,2335,6675,86,..,2425,6675
SAL10050,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,11,..,29,26
SAL10051,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,..,5,3
SAL10052,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,38,5,..,24,38
SAL10053,19,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,60,0,..,18,60
SAL10054,16,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,41,8,..,21,41
SAL10055,21,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,58,0,..,24,58
SAL10056,61,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,152,5,..,68,152
SAL10057,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,6,20,31,0,..,16,31
SAL10058,30,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,69,81,..,115,69
SAL10059,68,156,3,8,10,18,13,27,3,7,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,81,190,77,..,155,190
SAL10060,116,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,120,344,11,..,129,344
SAL10061,1440,3376,112,208,118,293,232,501,0,0,0,0,0,0,0,0,9,20,8,16,11,20,0,0,0,0,3,7,14,22,16,29,1707,3946,223,..,1934,3946
SAL10062,864,2317,1068,2626,718,1790,1790,4415,421,767,275,409,375,539,0,0,22,42,1093,1758,0,0,0,0,0,0,47,94,47,94,8,9,3794,8594,458,..,4248,8594
SAL10063,402,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,8,11,0,0,0,0,0,0,0,0,0,0,0,0,406,1412,22,..,428,1412
SAL10064,930,3052,14,28,3,11,18,37,4,3,0,0,0,0,0,0,6,8,10,14,0,0,0,0,4,3,9,13,10,15,4,0,972,3126,29,..,998,3126
SAL10065,17,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,43,0,..,21,43
SAL10066,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35,5,..,17,35
SAL10067,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0,..,9,16
SAL10068,37,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,5,39,103,5,..,42,103
SAL10069,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,..,5,17
SAL10070,180,425,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,435,54,..,241,435
SAL10071,89,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,186,51,..,144,186
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL10073,442,1387,0,7,0,0,0,7,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,4,12,447,1410,17,..,464,1410
SAL10074,534,1319,3,10,0,0,3,10,9,13,0,0,0,0,0,0,0,3,6,15,0,0,0,0,0,0,0,0,0,0,0,0,544,1345,53,..,594,1345
SAL10075,17,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,9,..,27,34
SAL10076,68,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,71,171,8,..,79,171
SAL10077,206,412,4,6,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,214,421,51,..,265,421
SAL10078,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,..,5,19
SAL10079,475,1169,47,68,22,36,68,102,14,21,0,0,0,0,0,0,0,0,17,19,0,0,0,0,0,0,0,3,0,3,0,3,561,1297,47,..,611,1297
SAL10080,74,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,183,14,..,90,183
SAL10081,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,..,7,8
SAL10082,168,399,11,17,0,0,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,178,420,28,..,206,420
SAL10083,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,36,9,..,19,36
SAL10084,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,6,..,10,15
SAL10085,52,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,59,133,17,..,73,133
SAL10086,7185,17719,919,1561,163,281,1082,1832,398,639,52,94,0,0,0,3,9,16,455,747,3,4,19,26,0,3,12,29,36,61,27,52,8785,20413,1033,..,9828,20413
SAL10087,1626,5282,311,793,124,370,436,1163,175,376,478,1041,751,1672,550,1341,14,41,1966,4463,0,0,0,0,0,0,20,58,20,58,13,30,4063,11004,496,..,4567,11004
SAL10088,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,..,3,4
SAL10089,238,390,0,0,6,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,44,146,14,27,0,0,0,0,55,172,8,5,306,582,18,..,324,582
SAL10090,207,564,0,7,0,11,4,12,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,215,579,40,..,255,579
SAL10091,820,2544,26,82,295,818,320,900,380,794,1071,2428,611,1314,414,1014,0,0,2483,5549,0,0,0,0,0,0,3,13,3,13,0,4,3629,9013,325,..,3948,9013
SAL10092,14,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,45,0,..,15,45
SAL10093,11,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,36,4,..,13,36
SAL10094,998,2964,37,101,44,120,79,219,16,28,0,0,0,0,0,0,3,19,17,43,0,0,0,0,0,0,5,8,5,8,4,9,1107,3248,45,..,1149,3248
SAL10095,129,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,269,14,..,142,269
SAL10096,108,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,113,269,9,..,121,269
SAL10097,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0,..,8,19
SAL10098,817,2853,0,8,5,35,5,40,108,204,83,131,0,0,0,0,28,79,219,414,0,0,0,0,0,0,0,8,0,8,0,5,1053,3319,120,..,1166,3319
SAL10099,2047,6294,386,910,303,822,682,1733,1577,3058,3185,6474,1457,3001,239,530,18,33,6474,13101,0,0,0,0,0,0,42,108,42,108,14,37,9266,21276,1104,..,10368,21276
SAL10100,262,570,9,12,0,0,9,12,0,9,0,0,0,0,0,0,0,0,5,4,0,3,0,0,0,0,4,4,5,6,0,0,273,602,43,..,315,602
SAL10101,106,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,110,293,14,..,126,293
SAL10102,1191,2970,0,3,0,0,0,3,249,364,0,0,0,0,0,0,0,0,249,362,0,0,0,0,0,0,0,0,0,0,0,0,1445,3340,110,..,1554,3340
SAL10103,1468,4255,92,182,3,4,91,187,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,7,1564,4446,52,..,1616,4446
SAL10104,935,2822,22,52,174,459,193,510,39,77,0,0,998,2440,36,93,7,20,1079,2631,0,0,0,0,0,0,7,15,7,15,0,0,2228,5985,163,..,2387,5985
SAL10105,22,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,63,13,..,36,63
SAL10106,207,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,4,9,0,6,214,519,20,..,233,519
SAL10107,4615,17274,147,394,954,3017,1102,3406,1413,3730,1119,3344,1004,3142,1465,4842,186,602,5189,15658,0,0,0,0,0,0,30,126,38,129,49,126,10982,36595,1152,..,12132,36595
SAL10108,46,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,126,10,..,53,126
SAL10109,785,2273,12,22,84,190,91,210,26,64,38,69,0,0,0,0,0,5,73,136,0,0,0,0,0,0,0,4,0,4,8,16,953,2641,126,..,1079,2641
SAL10110,1759,5682,10,38,103,293,111,329,11,11,25,38,0,0,0,0,13,34,48,78,0,0,0,0,0,3,0,3,0,7,72,230,1992,6327,142,..,2133,6327
SAL10111,51,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,143,5,..,53,143
SAL10112,2892,8551,126,179,46,125,168,305,231,488,187,333,51,109,0,0,16,43,489,968,0,0,3,0,0,0,3,5,4,4,7,26,3561,9857,301,..,3868,9857
SAL10113,17,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,3,4,0,0,19,44,11,..,29,44
SAL10114,69,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,187,12,..,80,187
SAL10115,1335,3906,10,29,78,167,88,191,47,102,28,59,30,46,0,6,8,21,112,236,0,0,0,0,0,0,3,7,4,6,0,0,1539,4344,582,..,2126,4344
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL10117,476,1264,22,47,170,319,190,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,1631,22,..,688,1631
SAL10118,51,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,144,5,..,61,144
SAL10119,139,393,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,142,402,0,..,145,402
SAL10120,78,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,188,6,..,88,188
SAL10121,52,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,136,8,..,68,136
SAL10122,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10,4,..,10,10
SAL10123,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,..,3,4
SAL10124,11,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,49,11,..,24,49
SAL10125,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0,..,4,20
SAL10126,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,6,..,12,20
SAL10127,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,18,..,20,7
SAL10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,..,0,4
SAL10129,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,6,..,13,17
SAL10130,30,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,90,0,..,36,90
SAL10131,56,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,147,3,..,60,147
SAL10132,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,10,..,17,17
SAL10133,51,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,144,9,..,59,144
SAL10134,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,..,0,5
SAL10135,35,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,81,7,..,39,81
SAL10136,9,19,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,5,..,13,22
SAL10137,15,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,41,0,..,18,41
SAL10138,16,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,40,0,..,16,40
SAL10139,15,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,49,6,..,25,49
SAL10140,12,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,6,..,19,42
SAL10141,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,10,..,20,12
SAL10142,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,..,3,7
SAL10143,26,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,23,52,0,..,29,52
SAL10144,200,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,551,9,..,206,551
SAL10145,51,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,106,18,..,62,106
