SAL_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SAL10001,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,26,0,0,0,3,33
SAL10002,0,0,0,0,..,0,0,0,0,0,..,21,0,27,0,27,..,124,43,164,3,165,..,500,79,577,3,586,..,1673,238,1913,9,1921,..,37,10,45,109,157,2116,1702,251,1953,124,4200
SAL10003,0,0,0,0,..,13,0,10,0,10,..,25,3,28,0,29,..,14,3,15,0,18,..,87,12,102,6,104,..,1193,216,1411,15,1427,..,19,3,24,256,284,3728,1216,220,1440,274,5431
SAL10004,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,17,0,17,..,41,0,45,3,49,..,3,0,3,27,29,1048,46,0,52,28,1127
SAL10005,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,19,0,0,0,0,21
SAL10006,0,0,0,0,..,0,7,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,12,4,14,0,12,..,49,11,66,0,70,..,0,0,0,83,84,2390,55,11,67,88,2542
SAL10007,4,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,9,5,10,0,10,..,36,12,53,0,53,..,0,0,0,88,95,1906,41,12,57,88,2051
SAL10008,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,3,3,110,3,0,3,3,121
SAL10009,9,9,0,9,..,14,0,11,0,11,..,0,0,0,0,0,..,10,7,9,0,9,..,96,11,110,6,109,..,401,61,467,10,474,..,17,3,21,176,199,5879,424,65,486,187,6552
SAL10010,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,3,0,3,..,5,0,5,0,5,..,24,3,28,0,28,..,4,0,4,85,88,2430,31,3,34,85,2544
