SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL10039,3,6,0,0,3,10,0,3,3,14,10,26,0,0,0,0,6,7,6,7,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,44
SAL10040,14,31,0,5,0,7,0,0,3,19,11,35,0,3,0,3,4,25,11,34,19,70,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,8,0,8,3,8,0,0,38,105
SAL10041,18,38,3,12,0,6,3,8,8,33,12,63,0,0,0,4,4,8,5,10,15,76,0,0,0,0,0,8,3,4,5,12,0,0,0,0,0,0,5,4,6,16,3,7,46,135
SAL10042,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,3,17,38
SAL10043,7,13,0,0,0,11,0,0,6,7,8,21,0,0,0,8,0,4,4,10,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47
SAL10044,17,27,0,0,4,21,0,3,12,29,11,54,0,0,6,7,9,23,7,29,20,84,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,3,0,10,7,17,0,0,42,126
SAL10045,60,118,0,5,5,23,0,3,20,74,27,107,0,0,7,24,24,67,30,88,56,199,0,0,0,3,0,0,4,10,7,18,0,0,0,0,6,14,6,14,15,31,0,3,130,345
SAL10046,789,1600,6,21,51,236,21,95,286,1167,367,1516,21,74,37,127,128,384,177,585,546,2096,4,31,19,61,12,28,107,288,143,413,9,26,38,81,105,215,148,318,288,734,19,48,1647,4470
SAL10047,10,27,0,0,0,3,0,0,8,19,7,21,0,0,0,0,4,13,4,13,11,31,0,6,0,0,0,0,0,5,0,9,0,0,0,0,4,8,4,8,8,19,0,0,27,73
SAL10048,0,9,0,0,0,0,0,0,3,13,3,13,0,0,0,0,0,5,0,5,0,17,0,0,0,0,0,6,0,0,0,6,0,0,0,0,3,4,3,4,3,8,0,0,9,30
SAL10049,538,1104,36,233,70,344,31,163,369,1461,503,2195,36,165,48,171,188,623,277,961,779,3151,14,69,38,139,34,129,212,628,296,965,22,87,39,87,212,470,270,645,567,1607,50,104,1938,5969
SAL10050,9,8,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,18
SAL10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL10052,8,6,0,0,3,8,0,0,0,6,3,13,0,0,0,0,0,5,4,9,5,17,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,10,36
SAL10053,7,13,0,0,0,10,0,0,9,22,3,26,0,0,0,8,0,0,0,8,8,29,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,0,0,14,54
SAL10054,0,9,0,0,0,0,0,0,3,14,3,14,0,4,0,0,0,6,0,10,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36
SAL10055,7,16,0,0,0,8,0,0,8,21,6,29,0,0,0,0,0,3,0,3,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,48
SAL10056,24,56,0,0,3,13,4,9,7,25,12,38,0,0,0,5,9,19,8,21,15,60,0,0,0,5,0,0,3,5,5,11,0,0,0,0,0,0,0,0,4,12,0,0,45,134
SAL10057,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19
SAL10058,20,35,0,0,0,3,0,0,5,8,3,9,0,0,3,3,0,0,3,3,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,54
SAL10059,42,75,0,3,4,13,0,0,9,35,17,52,0,0,0,6,7,12,5,19,22,68,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3,6,8,10,0,0,62,159
SAL10060,27,53,3,14,0,0,7,33,17,47,21,95,3,9,0,0,19,73,22,87,46,178,0,10,0,9,0,3,6,18,12,37,0,0,0,4,5,19,7,21,21,59,3,5,95,302
SAL10061,640,1281,9,46,26,118,12,63,201,793,249,1029,15,75,31,104,101,320,153,496,401,1524,0,4,17,68,6,21,64,153,88,247,4,14,15,31,70,159,88,207,181,454,13,29,1232,3294
SAL10062,1021,2029,3,21,104,445,5,23,706,2569,814,3066,38,152,113,385,100,313,246,854,1066,3922,0,0,17,52,3,8,92,199,114,254,14,35,53,113,103,215,168,363,274,618,39,85,2402,6648
SAL10063,150,304,7,32,31,153,3,20,61,264,104,470,24,110,13,56,80,275,120,443,218,913,0,4,0,7,0,0,9,28,16,40,6,12,5,9,17,50,25,70,34,108,0,0,413,1324
SAL10064,239,479,7,51,47,229,24,133,296,1210,380,1630,22,101,20,70,87,279,129,456,510,2081,3,22,7,34,8,16,53,133,71,200,0,3,12,27,37,96,49,125,125,325,6,17,879,2906
SAL10065,4,12,0,0,0,6,0,0,3,15,4,24,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,39
SAL10066,0,6,0,0,0,15,0,0,0,0,0,15,0,0,0,7,0,3,0,11,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,36
SAL10067,0,0,0,0,0,3,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15
SAL10068,17,36,0,0,0,0,5,11,5,28,10,43,0,0,0,0,0,3,0,3,7,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,6,7,6,0,0,30,88
SAL10069,3,5,0,0,0,0,0,0,0,8,0,8,0,0,0,6,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
SAL10070,96,187,0,0,5,19,0,0,12,48,13,67,0,6,0,5,14,36,15,51,28,117,0,0,0,5,0,4,4,15,10,25,0,0,0,5,10,12,8,18,18,44,0,3,142,351
SAL10071,36,59,0,0,0,4,0,0,11,31,14,39,0,12,0,0,4,12,10,23,14,62,0,0,0,0,0,0,4,12,4,12,0,0,0,0,3,9,3,9,4,22,0,3,56,142
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10073,160,313,11,58,33,174,0,4,71,294,120,529,15,63,26,96,46,164,91,324,211,849,0,0,8,25,5,11,12,21,18,56,0,0,0,3,19,53,23,50,42,111,0,10,414,1285
SAL10074,191,389,4,14,17,73,4,16,71,297,96,402,10,45,13,28,37,116,53,188,153,590,0,5,5,5,6,17,27,73,36,100,5,15,4,8,30,66,36,88,76,185,0,8,417,1173
SAL10075,6,16,0,0,0,0,0,0,6,7,6,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,15,35
SAL10076,30,58,0,3,0,6,0,0,8,32,12,41,0,3,0,4,3,19,9,22,20,64,0,0,4,8,0,0,0,0,4,7,0,0,0,0,4,5,4,5,10,17,0,0,56,140
SAL10077,75,144,0,0,3,12,0,0,18,74,20,95,0,4,0,3,8,19,10,31,27,118,0,3,0,3,0,5,3,14,7,26,0,0,0,8,7,4,4,16,16,38,6,11,122,314
SAL10078,3,5,0,0,0,0,0,0,0,7,0,7,0,0,0,3,0,0,3,9,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14
SAL10079,133,273,0,12,11,47,7,56,64,231,79,340,0,3,6,20,21,68,31,93,112,431,0,8,10,24,4,13,40,96,54,143,3,16,11,20,41,93,61,131,106,277,13,28,365,1008
SAL10080,25,51,0,0,3,16,0,4,5,32,11,51,0,0,0,5,5,9,3,13,17,63,0,0,0,0,0,0,4,14,4,14,0,0,0,3,7,13,4,16,15,30,0,0,54,147
SAL10081,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL10082,70,134,0,0,6,35,0,0,28,115,34,147,0,7,4,13,5,20,10,36,45,185,0,0,0,5,0,3,6,14,5,19,0,0,0,0,4,4,4,4,5,21,0,0,125,340
SAL10083,0,8,0,0,0,4,0,0,0,7,0,13,0,0,0,3,0,4,3,4,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,9,3,9,0,0,15,29
SAL10084,4,3,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
SAL10085,16,39,0,0,5,14,0,0,9,27,12,46,0,8,0,0,0,0,3,12,18,52,0,0,0,0,0,0,3,16,3,16,0,0,0,0,0,0,0,0,3,16,0,0,37,105
SAL10086,2445,4884,50,325,237,1153,59,290,1167,4591,1514,6362,77,325,155,524,285,902,516,1745,2038,8103,24,101,87,336,25,102,449,1242,578,1780,34,117,103,216,311,650,451,989,1028,2767,88,190,5594,15946
SAL10087,1150,2327,33,200,108,535,35,180,719,2713,893,3623,79,357,79,268,275,928,428,1553,1322,5175,7,27,20,85,13,55,150,392,188,558,26,87,46,113,205,491,276,689,467,1241,75,162,3012,8907
SAL10088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10089,114,238,0,0,0,8,0,5,3,8,5,21,0,4,0,3,7,20,6,25,11,46,0,0,0,0,0,0,7,19,7,19,0,0,0,0,11,27,11,27,18,49,5,21,156,349
SAL10090,80,161,0,0,8,26,3,9,37,150,45,183,3,12,5,18,15,44,23,73,66,252,0,0,0,5,0,0,9,35,12,36,0,0,5,5,10,22,13,29,26,68,9,13,174,490
SAL10091,868,1733,0,22,99,448,5,16,914,3305,1023,3790,40,177,142,477,122,382,305,1043,1324,4829,0,4,18,60,7,23,125,305,154,398,15,43,61,137,95,206,174,385,328,779,50,95,2568,7444
SAL10092,8,18,0,0,0,5,0,0,3,15,4,20,0,8,0,0,0,4,0,9,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,40
SAL10093,5,12,0,0,0,0,0,0,3,13,3,13,0,0,0,0,4,7,4,7,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,10,31
SAL10094,272,555,9,37,63,283,7,24,218,847,295,1189,49,199,70,232,114,404,226,832,521,2024,0,4,9,21,4,14,23,70,37,113,3,17,23,52,78,174,104,238,149,350,9,31,956,2949
SAL10095,68,135,0,0,0,3,0,7,13,38,14,49,0,0,0,3,4,12,4,19,16,69,0,0,0,0,0,0,0,8,0,8,0,0,0,0,3,7,3,7,8,16,0,0,92,221
SAL10096,52,103,0,10,6,16,0,8,13,44,22,75,0,6,3,8,0,15,7,25,30,96,0,0,0,0,0,0,0,6,0,6,0,0,0,3,5,8,4,12,8,15,0,0,87,224
SAL10097,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12
SAL10098,152,316,32,194,43,237,16,77,180,803,263,1315,26,124,14,51,86,292,129,468,389,1786,4,14,30,122,12,29,86,262,127,427,9,37,12,31,103,257,127,326,251,757,23,56,817,2911
SAL10099,2560,5214,15,65,155,693,21,90,1274,4615,1459,5462,84,355,228,778,353,1142,665,2275,2127,7736,4,27,36,141,18,50,243,570,306,789,40,125,138,311,344,751,519,1193,823,1984,171,348,5678,15283
SAL10100,89,180,8,29,5,22,0,8,23,74,31,128,0,3,0,3,13,45,14,56,48,180,0,7,4,9,3,15,11,40,24,66,0,5,0,6,3,11,7,18,29,88,0,0,170,454
SAL10101,26,51,0,11,0,8,4,15,27,103,35,141,0,0,3,7,6,20,9,27,39,172,0,3,0,0,0,3,4,8,4,20,0,0,0,0,3,16,3,16,8,34,0,0,79,255
SAL10102,301,603,13,60,19,103,14,83,119,484,166,723,6,38,9,31,69,220,82,284,256,1008,7,18,18,64,19,77,162,459,207,618,8,26,14,25,114,241,128,288,334,912,24,59,919,2580
SAL10103,466,941,11,65,75,355,16,90,308,1204,418,1717,40,167,66,215,139,452,240,830,661,2550,7,38,18,60,10,30,67,200,101,333,11,30,16,34,53,110,81,172,183,509,5,7,1315,4002
SAL10104,573,1159,11,66,80,362,8,32,620,2266,716,2726,42,162,83,280,118,377,242,816,961,3545,3,6,9,36,6,10,94,229,110,282,12,50,40,95,67,147,119,296,235,577,21,43,1783,5316
SAL10105,15,21,0,0,4,9,0,0,7,7,5,23,0,0,0,0,0,0,0,0,7,21,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,4,0,4,0,14,0,0,19,56
SAL10106,71,143,3,10,10,42,0,3,35,137,49,197,0,0,0,0,9,38,9,38,62,232,0,0,0,0,0,0,12,32,12,32,4,8,0,3,6,13,8,23,18,57,0,7,152,436
SAL10107,2750,5706,120,800,445,2351,97,483,2266,9260,2927,12890,259,1188,289,1016,830,2808,1372,5010,4300,17906,35,178,71,302,42,176,342,1004,490,1650,61,217,125,295,543,1294,731,1807,1220,3457,315,709,8583,27774
SAL10108,26,49,0,0,3,16,0,11,10,43,19,65,0,3,0,0,0,0,0,9,17,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,117
SAL10109,298,593,4,30,40,175,9,24,210,815,260,1053,15,74,49,161,65,199,128,443,388,1491,0,0,6,27,0,0,35,80,43,104,8,18,11,22,42,76,53,121,91,222,9,13,788,2326
SAL10110,533,1094,18,108,84,429,27,119,662,2588,792,3240,41,185,44,143,126,444,210,774,999,4011,8,15,25,83,4,29,91,275,125,407,16,50,12,35,95,222,121,306,243,709,22,51,1799,5869
SAL10111,15,37,3,12,4,13,0,5,4,16,10,39,0,3,0,3,10,20,8,28,16,71,0,7,0,0,0,0,0,3,0,11,0,0,0,0,4,10,4,10,4,18,0,0,41,127
SAL10112,1121,2233,26,138,160,729,21,97,685,2770,891,3735,99,424,147,528,283,900,533,1857,1415,5586,4,20,31,97,8,18,107,270,149,403,16,54,54,129,114,262,182,446,335,849,19,33,2890,8707
SAL10113,3,11,0,0,0,0,0,6,3,8,7,17,0,0,0,0,5,7,5,7,4,17,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,13,39
SAL10114,34,64,0,11,0,6,0,0,3,18,6,35,0,16,7,9,9,18,16,49,21,85,0,0,0,0,0,0,3,12,3,12,0,0,0,0,5,6,5,6,6,15,0,0,56,160
SAL10115,488,965,14,73,87,388,10,59,316,1268,434,1791,43,161,66,210,100,313,197,682,632,2475,0,6,29,77,0,20,57,145,90,245,10,43,19,40,58,132,90,214,183,463,8,11,1301,3913
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10117,198,391,4,10,9,48,5,46,102,389,119,485,12,36,4,19,57,180,74,238,191,723,0,4,12,51,3,14,31,82,48,153,3,10,10,20,30,67,46,101,95,256,9,19,496,1384
SAL10118,21,38,0,0,3,9,4,5,9,34,13,50,5,9,0,7,5,19,14,33,25,82,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,3,8,0,0,50,127
SAL10119,43,84,0,4,4,26,3,13,21,95,39,148,4,18,0,11,14,38,19,76,56,222,0,0,0,4,0,4,9,20,3,22,0,0,3,8,4,11,7,18,10,39,0,0,112,346
SAL10120,31,58,0,0,0,0,0,5,8,36,8,34,0,4,0,5,8,20,8,29,22,70,0,0,0,0,0,0,3,3,3,3,0,6,0,0,3,14,7,15,11,19,5,0,61,155
SAL10121,24,46,0,0,3,10,0,0,9,36,10,46,0,6,0,0,3,7,4,12,18,56,0,0,0,0,3,10,0,4,4,13,0,0,0,0,3,11,3,11,8,20,0,0,46,123
