SAL_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
SAL10001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,13,26,37,11,0,0,107,0,0,0,0,5,7,0,0,0,8,8,27,41,30,36,47,8,0,0,200,4,4,10,9,3,17,3,0,0,48,13,14,13,15,14,25,5,0,0,97,21,9,5,6,4,6,0,0,0,44,0,3,3,20,19,18,4,0,0,67,0,0,7,0,8,3,0,0,0,29,0,7,7,16,10,6,0,0,0,46,0,0,0,6,6,7,0,0,0,19,0,8,20,13,15,18,7,0,0,79,0,0,6,0,6,4,0,0,0,18,3,6,11,8,10,10,4,0,0,56,3,0,6,0,9,11,5,0,0,32,4,4,17,3,10,13,0,0,0,46,0,0,0,0,0,4,0,0,0,7,0,6,9,4,10,6,0,0,0,43,0,8,5,9,9,16,3,0,0,55
SAL10003,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,9,11,15,15,8,0,0,54,0,0,0,9,0,4,0,0,0,12,4,11,41,38,20,29,3,0,0,148,0,0,3,5,22,10,4,0,0,53,6,10,19,18,14,13,7,0,0,94,13,3,3,17,7,6,7,0,0,52,0,4,3,10,16,18,3,0,0,58,0,0,6,15,9,7,0,0,0,40,0,0,26,39,32,17,0,6,0,125,0,3,8,11,12,5,8,0,0,44,4,20,34,55,57,37,28,4,0,235,0,0,6,12,7,5,7,0,0,35,0,0,15,20,20,23,6,0,0,83,0,6,9,13,14,16,13,7,0,74,0,0,10,14,13,15,8,0,0,79,0,0,10,5,3,0,5,0,0,20,0,0,5,8,10,16,3,0,0,46,3,5,12,14,19,7,3,3,0,76
SAL10004,0,0,0,3,6,0,0,0,0,7,0,0,5,4,4,4,0,0,0,12,0,3,7,0,10,9,0,0,0,31,0,0,0,6,0,0,0,0,0,3,6,3,3,12,5,10,3,0,0,43,0,0,0,0,0,3,4,0,0,7,10,7,3,3,8,6,3,0,0,31,9,0,6,3,0,0,0,0,0,13,0,0,0,3,4,6,0,0,0,19,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,0,10,0,0,0,0,3,3,0,0,0,8,0,0,0,8,17,13,0,0,0,39,0,5,4,0,4,0,0,0,0,16,0,3,3,8,11,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,15,0,0,3,0,4,0,0,0,0,7
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10006,0,0,0,0,0,0,0,0,0,4,0,5,12,19,23,11,0,0,0,69,3,3,14,12,8,9,6,0,0,56,0,0,0,6,4,4,0,0,0,10,5,11,25,11,15,26,0,0,0,96,0,0,7,4,3,4,0,0,0,16,5,6,10,4,7,6,0,0,0,37,12,6,17,8,3,0,0,0,0,40,3,0,8,5,18,7,3,0,0,41,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,14,0,0,8,3,0,0,0,0,0,18,0,0,8,8,15,11,0,0,0,37,0,0,3,0,4,0,0,0,0,7,0,0,6,12,13,4,0,0,0,33,0,4,3,0,0,0,0,0,0,6,5,6,7,5,5,3,0,0,0,24,0,4,3,5,4,0,0,0,0,26
SAL10007,0,3,0,4,8,6,4,7,0,37,3,5,31,47,46,22,3,0,0,156,0,3,4,6,9,8,0,0,0,44,0,0,3,5,3,3,0,0,0,21,10,4,16,22,10,5,3,0,0,67,0,3,0,0,6,0,0,0,0,15,6,4,0,0,0,7,0,0,0,20,5,7,0,0,5,4,0,0,0,21,0,0,0,0,3,6,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,6,0,0,6,3,0,0,0,0,0,10,0,3,0,0,0,5,0,0,0,16,0,0,3,0,0,7,4,0,0,12,0,0,4,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,5,7,0,3,9,0,0,0,30,0,4,5,0,8,5,0,0,0,24
SAL10008,0,0,5,5,4,7,3,6,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SAL10009,0,0,7,6,5,0,4,0,0,22,4,11,71,92,70,51,0,0,0,296,3,14,42,38,31,16,3,0,0,150,0,3,7,13,16,10,0,0,0,53,13,38,56,53,33,24,0,0,0,214,0,0,21,17,13,7,0,0,0,65,20,20,33,21,13,11,6,0,0,130,34,17,11,14,3,5,0,0,0,83,0,0,31,29,35,26,7,0,0,120,0,0,0,0,0,3,0,0,0,7,0,0,7,8,4,0,0,0,0,22,4,4,0,0,5,5,0,0,0,15,0,12,12,21,10,6,0,0,0,53,0,8,14,17,10,4,0,0,0,58,0,4,25,33,22,17,0,0,0,102,0,4,15,11,3,7,3,0,0,39,0,7,23,25,21,13,3,0,0,88,4,0,0,4,0,0,0,0,0,7,7,8,24,13,11,9,0,0,0,77,3,7,19,24,10,4,4,0,0,71
SAL10010,0,0,4,0,6,3,0,0,0,8,0,9,23,21,16,14,0,0,0,73,0,3,24,18,23,10,0,0,0,80,0,0,0,4,0,0,0,0,0,10,11,19,18,21,20,16,0,0,0,104,0,0,4,5,11,3,0,0,0,21,0,7,9,4,7,7,0,0,0,28,9,4,0,9,0,0,0,0,0,29,0,3,10,6,11,14,5,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,3,0,0,0,14,0,0,5,6,3,0,0,0,0,13,0,0,8,5,6,7,0,0,0,30,0,0,0,3,7,8,0,0,0,20,0,0,0,6,0,4,0,0,0,6,0,0,6,5,12,9,0,0,0,35,0,0,0,0,0,0,0,0,0,3,10,0,8,0,3,4,0,0,0,28,0,3,5,4,4,7,0,0,0,33
