SSC_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SSC10001,0,3,0,3,0,10,0,6
SSC10002,19,199,443,276,235,1173,22,1203
SSC10003,178,897,790,160,75,2086,71,2165
SSC10004,3,83,164,65,31,348,3,349
SSC10005,0,5,3,0,3,7,3,11
SSC10006,49,349,315,111,48,875,45,917
SSC10007,29,250,300,109,46,732,34,767
SSC10008,0,0,12,12,3,26,0,28
SSC10009,19,432,858,255,139,1695,36,1734
SSC10010,30,274,291,122,76,788,27,819
SSC10011,0,25,29,18,8,80,5,86
SSC10012,0,0,0,0,4,5,0,5
SSC10013,0,5,3,0,0,14,0,14
SSC10014,11,296,515,168,94,1089,20,1106
SSC10015,16,40,51,9,16,129,5,133
SSC10016,236,899,873,214,104,2327,66,2391
SSC10017,79,571,841,255,107,1858,42,1901
SSC10018,24,123,150,49,22,361,17,378
SSC10019,0,8,11,8,3,23,0,23
SSC10020,0,8,6,6,0,19,0,19
SSC10021,7,39,90,52,55,249,7,251
SSC10022,240,379,186,42,15,862,74,939
SSC10023,3,15,15,7,0,43,0,43
SSC10024,0,4,8,5,4,22,0,25
SSC10025,122,1087,1754,712,478,4148,92,4237
SSC10026,121,833,855,308,218,2325,95,2424
SSC10027,197,831,665,138,65,1906,58,1961
SSC10028,3,62,108,45,33,248,7,248
SSC10029,0,16,30,8,11,67,0,67
SSC10030,669,2003,717,92,20,3496,91,3592
SSC10031,8,108,377,215,178,889,20,908
SSC10032,0,8,9,9,6,28,0,35
SSC10033,0,0,0,0,0,3,0,3
SSC10034,0,3,11,5,11,28,4,29
SSC10035,0,14,12,4,3,30,0,30
SSC10036,141,656,911,302,153,2158,66,2228
SSC10037,0,5,9,0,9,26,3,31
SSC10038,266,1035,522,100,44,1970,68,2031
SSC10039,0,3,9,3,0,14,0,14
SSC10040,0,14,18,11,0,43,0,49
SSC10041,0,25,19,12,8,66,4,70
SSC10042,0,0,9,13,4,25,0,25
SSC10043,0,0,8,3,0,13,0,14
SSC10044,0,0,19,14,6,41,4,38
SSC10045,0,28,65,35,18,143,3,150
SSC10046,124,944,829,226,90,2217,78,2301
SSC10047,0,4,18,3,3,33,0,33
SSC10048,0,0,6,3,0,10,0,11
SSC10049,211,820,747,263,151,2193,106,2302
SSC10050,0,4,5,0,3,10,0,10
SSC10051,0,0,0,0,0,3,0,3
